"","GO0043235_receptor_complex"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.502340102533206
"Q8N196_IDR_235_739",0.497659897466794
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.592886303127588
"Q8N1C3_IDR_361_403",0.407113696872412
"Q8N1F8_IDR_334_534",0.481762633041889
"Q8N1F8_IDR_723_773",0.518237366958111
"Q8N1G0_IDR_1158_1198",0.19935820215666
"Q8N1G0_IDR_1_85",0.20266697751677
"Q8N1G0_IDR_608_672",0.209424789301048
"Q8N1G0_IDR_861_1155",0.201414887402635
"Q8N1G0_IDR_87_504",0.187135143622887
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.599604372690459
"Q8N228_IDR_1_90",0.482451488507795
"Q8N228_IDR_210_341",0.517548511492205
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.504813420715939
"Q8N2C3_IDR_165_214",0.495186579284061
"Q8N2C7_IDR_1300_1451",0.101876359823577
"Q8N2C7_IDR_1507_1554",0.0970808938580107
"Q8N2C7_IDR_1770_1837",0.101224548618339
"Q8N2C7_IDR_241_322",0.103621683489128
"Q8N2C7_IDR_2428_2474",0.101599725950951
"Q8N2C7_IDR_2755_2786",0.101266364332911
"Q8N2C7_IDR_2912_3214",0.0995076357188821
"Q8N2C7_IDR_363_584",0.100794379703531
"Q8N2C7_IDR_693_781",0.0928683422061297
"Q8N2C7_IDR_963_1171",0.100160066298541
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.254448647742734
"Q8N302_IDR_522_621",0.288781027720971
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.520420740907417
"Q8N309_IDR_506_549",0.479579259092583
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.328867891900981
"Q8N344_IDR_348_473",0.346732080686907
"Q8N344_IDR_97_194",0.324400027412112
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.331204287683144
"Q8N365_IDR_198_243",0.337433159422398
"Q8N365_IDR_300_385",0.331362552894458
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.3258338559645
"Q8N392_IDR_19_78",0.359677537429236
"Q8N392_IDR_538_572",0.314488606606263
"Q8N393_IDR_63_241",0.501351365082756
"Q8N3C7_IDR_352_480",0.323764229291709
"Q8N3C7_IDR_556_618",0.336327313893742
"Q8N3D4_IDR_1081_1132",0.256364103103389
"Q8N3D4_IDR_1138_1370",0.256447655009544
"Q8N3D4_IDR_120_150",0.258119037434416
"Q8N3D4_IDR_161_1074",0.229069204452652
"Q8N3E9_IDR_1_55",0.515969297608789
"Q8N3E9_IDR_486_519",0.484030702391211
"Q8N3F8_IDR_111_159",0.34999513378453
"Q8N3F8_IDR_219_677",0.321221449498378
"Q8N3F8_IDR_821_863",0.328783416717092
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.485401457288734
"Q8N3J2_IDR_47_77",0.514598542711266
"Q8N3J3_IDR_1_444",0.454311616599376
"Q8N3J3_IDR_577_647",0.545688383400624
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.49398278200306
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.518406492605124
"Q8N3Z6_IDR_384_543",0.481593507394876
"Q8N412_IDR_1_162",0.536866613325576
"Q8N412_IDR_268_303",0.463133386674425
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.524627097390034
"Q8N441_IDR_403_446",0.475372902609966
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.493002884435492
"Q8N448_IDR_425_459",0.506997115564508
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.496227815310471
"Q8N4L4_IDR_63_309",0.503772184689529
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.503260576686245
"Q8N4N8_IDR_84_180",0.496739423313755
"Q8N4P6_IDR_1_53",0.5062179618862
"Q8N4P6_IDR_333_439",0.4937820381138
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.519572095316053
"Q8N4S9_IDR_368_436",0.480427904683947
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.334584121084782
"Q8N573_IDR_148_203",0.339317181304362
"Q8N573_IDR_1_67",0.348582297954702
"Q8N573_IDR_281_586",0.312100520740936
"Q8N587_IDR_1_45",0.490979933453796
"Q8N587_IDR_52_190",0.509020066546204
"Q8N594_IDR_169_234",0.496221080928912
"Q8N594_IDR_1_72",0.503778919071088
"Q8N5A5_IDR_270_367",0.343976110194279
"Q8N5A5_IDR_369_466",0.325738938848755
"Q8N5A5_IDR_64_126",0.330284950956967
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.488504638465189
"Q8N5C6_IDR_789_819",0.511495361534811
"Q8N5C7_IDR_1_33",0.506239029986843
"Q8N5C7_IDR_165_195",0.493760970013157
"Q8N5C8_IDR_48_533",0.566044264826897
"Q8N5C8_IDR_618_684",0.433955735173103
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.496564923529539
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.325882090713975
"Q8N5U6_IDR_406_501",0.342694088520648
"Q8N5U6_IDR_603_799",0.331423820765378
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.521512264158172
"Q8N5Y2_IDR_93_168",0.478487735841828
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.500133194675828
"Q8N612_IDR_835_915",0.499866805324171
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.491774432472297
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.526662369524355
"Q8N6P7_IDR_409_480",0.473337630475645
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.329440664818982
"Q8N6U8_IDR_350_455",0.342141837721367
"Q8N6U8_IDR_496_529",0.32841749745965
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.485450188909666
"Q8N7G0_IDR_264_328",0.327779515758738
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.511580129903872
"Q8N7P1_IDR_505_536",0.488419870096128
"Q8N7R1_IDR_1_139",0.579951873463389
"Q8N7R1_IDR_144_296",0.420048126536612
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.136263102029002
"Q8N7X0_IDR_1_41",0.135081629402693
"Q8N7X0_IDR_305_407",0.12622063760441
"Q8N7X0_IDR_524_627",0.213186694719501
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.502260244219617
"Q8N878_IDR_333_499",0.497739755780383
"Q8N883_IDR_552_585",0.489271532044314
"Q8N883_IDR_61_245",0.510728467955686
"Q8N895_IDR_1_308",0.37940730925663
"Q8N895_IDR_372_422",0.307244114583397
"Q8N895_IDR_480_718",0.313348576159973
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.54588948556342
"Q8N8E2_IDR_479_541",0.45411051443658
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.564922964436713
"Q8N8G2_IDR_20_76",0.435077035563287
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.555020960980196
"Q8N8R5_IDR_204_247",0.444979039019804
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.486844649464849
"Q8N8U3_IDR_397_427",0.513155350535151
"Q8N8V4_IDR_157_233",0.504098301165921
"Q8N8V4_IDR_237_343",0.495901698834079
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.358803895509326
"Q8N8Z6_IDR_416_715",0.641196104490674
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.330137444591992
"Q8N9B5_IDR_940_988",0.343833478101821
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.522023479859521
"Q8N9I0_IDR_88_138",0.477976520140479
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.513176347146327
"Q8N9K5_IDR_1_36",0.486823652853673
"Q8N9L1_IDR_1_63",0.518723459530535
"Q8N9L1_IDR_277_334",0.481276540469465
"Q8N9M1_IDR_107_422",0.48654996664343
"Q8N9M1_IDR_1_49",0.51345003335657
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.335030884793225
"Q8N9N5_IDR_1_47",0.329117900350183
"Q8N9N5_IDR_321_374",0.335851214856593
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.492214587264167
"Q8N9R8_IDR_377_411",0.507785412735833
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.489045891996751
"Q8N9Z0_IDR_77_172",1
