"","GO0043565_sequence_specific_DNA_binding"
"Q8N137_IDR_442_797",0.414678618881327
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.583076713158308
"Q8N196_IDR_235_739",0.416923286841692
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.490804781167019
"Q8N1C3_IDR_361_403",0.509195218832981
"Q8N1F8_IDR_334_534",0.414532640998698
"Q8N1F8_IDR_723_773",0.585467359001302
"Q8N1G0_IDR_1158_1198",0.148265774882924
"Q8N1G0_IDR_1_85",0.147124575936028
"Q8N1G0_IDR_608_672",0.131912562712639
"Q8N1G0_IDR_861_1155",0.432792238744841
"Q8N1G0_IDR_87_504",0.139904847723569
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.516532781788583
"Q8N228_IDR_1_90",0.489381199987388
"Q8N228_IDR_210_341",0.510618800012612
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.501783256266102
"Q8N2C3_IDR_165_214",0.498216743733898
"Q8N2C7_IDR_1300_1451",0.0850186927136762
"Q8N2C7_IDR_1507_1554",0.095223825018598
"Q8N2C7_IDR_1770_1837",0.107821600878847
"Q8N2C7_IDR_241_322",0.108905651239795
"Q8N2C7_IDR_2428_2474",0.114890416080463
"Q8N2C7_IDR_2755_2786",0.104006340508555
"Q8N2C7_IDR_2912_3214",0.0896294809690647
"Q8N2C7_IDR_363_584",0.12581685736929
"Q8N2C7_IDR_693_781",0.0836581523741022
"Q8N2C7_IDR_963_1171",0.0850289828476092
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.303151128106518
"Q8N302_IDR_522_621",0.298577660697644
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.554666816211697
"Q8N309_IDR_506_549",0.445333183788303
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.33195777893465
"Q8N344_IDR_348_473",0.304738483657581
"Q8N344_IDR_97_194",0.363303737407769
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.267326744403632
"Q8N365_IDR_198_243",0.378104441316259
"Q8N365_IDR_300_385",0.354568814280109
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.314923290158909
"Q8N392_IDR_19_78",0.410945908902032
"Q8N392_IDR_538_572",0.274130800939059
"Q8N393_IDR_63_241",0.484154943007921
"Q8N3C7_IDR_352_480",0.334007911563756
"Q8N3C7_IDR_556_618",0.338568778275488
"Q8N3D4_IDR_1081_1132",0.293137053033729
"Q8N3D4_IDR_1138_1370",0.234898697720705
"Q8N3D4_IDR_120_150",0.273712568943929
"Q8N3D4_IDR_161_1074",0.198251680301637
"Q8N3E9_IDR_1_55",0.645657664313073
"Q8N3E9_IDR_486_519",0.354342335686927
"Q8N3F8_IDR_111_159",0.364505552416706
"Q8N3F8_IDR_219_677",0.275800534202528
"Q8N3F8_IDR_821_863",0.359693913380766
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.520299681981545
"Q8N3J2_IDR_47_77",0.479700318018455
"Q8N3J3_IDR_1_444",0.498422845651049
"Q8N3J3_IDR_577_647",0.501577154348951
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.401692062965012
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.484528769512344
"Q8N3Z6_IDR_384_543",0.515471230487656
"Q8N412_IDR_1_162",0.496104214918514
"Q8N412_IDR_268_303",0.503895785081486
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.467707154864679
"Q8N441_IDR_403_446",0.532292845135321
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.37566009737491
"Q8N448_IDR_425_459",0.62433990262509
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.334376112829129
"Q8N4L4_IDR_63_309",0.665623887170871
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.573368797064126
"Q8N4N8_IDR_84_180",0.426631202935874
"Q8N4P6_IDR_1_53",0.461456629416195
"Q8N4P6_IDR_333_439",0.538543370583805
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.448085881396008
"Q8N4S9_IDR_368_436",0.551914118603992
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.36090058558086
"Q8N573_IDR_148_203",0.405612806398106
"Q8N573_IDR_1_67",0.309323137362414
"Q8N573_IDR_281_586",0.28506405623948
"Q8N587_IDR_1_45",0.431605990532624
"Q8N587_IDR_52_190",0.568394009467376
"Q8N594_IDR_169_234",0.489740649522269
"Q8N594_IDR_1_72",0.510259350477731
"Q8N5A5_IDR_270_367",0.38364325348533
"Q8N5A5_IDR_369_466",0.274638610992499
"Q8N5A5_IDR_64_126",0.341718135522172
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.533934657735688
"Q8N5C6_IDR_789_819",0.466065342264312
"Q8N5C7_IDR_1_33",0.494527661769562
"Q8N5C7_IDR_165_195",0.505472338230438
"Q8N5C8_IDR_48_533",0.802375547646196
"Q8N5C8_IDR_618_684",0.197624452353804
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.523242438064522
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.318742233752436
"Q8N5U6_IDR_406_501",0.334079587785243
"Q8N5U6_IDR_603_799",0.347178178462321
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.481899001583245
"Q8N5Y2_IDR_93_168",0.518100998416755
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.506111786471478
"Q8N612_IDR_835_915",0.493888213528522
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.506227911083325
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.524435506518684
"Q8N6P7_IDR_409_480",0.475564493481317
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.312951041870575
"Q8N6U8_IDR_350_455",0.366342234174578
"Q8N6U8_IDR_496_529",0.320706723954848
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.545934079601938
"Q8N7G0_IDR_264_328",0.222042045089797
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.495072912338746
"Q8N7P1_IDR_505_536",0.504927087661254
"Q8N7R1_IDR_1_139",0.515513423800753
"Q8N7R1_IDR_144_296",0.484486576199247
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.143968404321348
"Q8N7X0_IDR_1_41",0.20801967713977
"Q8N7X0_IDR_305_407",0.118071907138024
"Q8N7X0_IDR_524_627",0.142423725104061
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.528923955734896
"Q8N878_IDR_333_499",0.471076044265104
"Q8N883_IDR_552_585",0.487239883159587
"Q8N883_IDR_61_245",0.512760116840413
"Q8N895_IDR_1_308",0.476004738680301
"Q8N895_IDR_372_422",0.214439175016668
"Q8N895_IDR_480_718",0.309556086303031
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.713476938034555
"Q8N8E2_IDR_479_541",0.286523061965445
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.625394527409912
"Q8N8G2_IDR_20_76",0.374605472590088
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.359032126608689
"Q8N8R5_IDR_204_247",0.640967873391311
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.480821116541189
"Q8N8U3_IDR_397_427",0.519178883458811
"Q8N8V4_IDR_157_233",0.50950050353231
"Q8N8V4_IDR_237_343",0.49049949646769
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.394817303770106
"Q8N8Z6_IDR_416_715",0.605182696229894
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.298747992806944
"Q8N9B5_IDR_940_988",0.390314865144992
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.525958208912126
"Q8N9I0_IDR_88_138",0.474041791087874
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.498677410365576
"Q8N9K5_IDR_1_36",0.501322589634424
"Q8N9L1_IDR_1_63",0.70088493867001
"Q8N9L1_IDR_277_334",0.29911506132999
"Q8N9M1_IDR_107_422",0.375490912000701
"Q8N9M1_IDR_1_49",0.624509087999298
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.332461879262022
"Q8N9N5_IDR_1_47",0.324815679678286
"Q8N9N5_IDR_321_374",0.342722441059691
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.493189005710506
"Q8N9R8_IDR_377_411",0.506810994289494
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.618810785913685
"Q8N9Z0_IDR_77_172",1
