"","GO0034660_ncRNA_metabolic_process"
"Q8N137_IDR_442_797",0.317428841175836
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.548077334430169
"Q8N196_IDR_235_739",0.451922665569831
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.473574904986362
"Q8N1C3_IDR_361_403",0.526425095013638
"Q8N1F8_IDR_334_534",0.543483691284369
"Q8N1F8_IDR_723_773",0.456516308715631
"Q8N1G0_IDR_1158_1198",0.206704535772418
"Q8N1G0_IDR_1_85",0.188757625342409
"Q8N1G0_IDR_608_672",0.168562547997487
"Q8N1G0_IDR_861_1155",0.26647107075922
"Q8N1G0_IDR_87_504",0.169504220128466
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.501741088108685
"Q8N228_IDR_1_90",0.5197966342262
"Q8N228_IDR_210_341",0.4802033657738
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.456405715553645
"Q8N2C3_IDR_165_214",0.543594284446354
"Q8N2C7_IDR_1300_1451",0.0974840760711329
"Q8N2C7_IDR_1507_1554",0.121324801715471
"Q8N2C7_IDR_1770_1837",0.0930715960520756
"Q8N2C7_IDR_241_322",0.0878316142893174
"Q8N2C7_IDR_2428_2474",0.0947334384652467
"Q8N2C7_IDR_2755_2786",0.0954977336873278
"Q8N2C7_IDR_2912_3214",0.0896196487187721
"Q8N2C7_IDR_363_584",0.100322206699584
"Q8N2C7_IDR_693_781",0.115209243245678
"Q8N2C7_IDR_963_1171",0.104905641055394
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.411720781024255
"Q8N302_IDR_522_621",0.316375855021824
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.362603201372559
"Q8N309_IDR_506_549",0.637396798627441
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.335654308103763
"Q8N344_IDR_348_473",0.32712150601586
"Q8N344_IDR_97_194",0.337224185880377
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.334557208158167
"Q8N365_IDR_198_243",0.344986308009221
"Q8N365_IDR_300_385",0.320456483832613
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.356395526089257
"Q8N392_IDR_19_78",0.274583430390424
"Q8N392_IDR_538_572",0.369021043520319
"Q8N393_IDR_63_241",0.495367116255504
"Q8N3C7_IDR_352_480",0.326000860750646
"Q8N3C7_IDR_556_618",0.319443118435702
"Q8N3D4_IDR_1081_1132",0.236158824399682
"Q8N3D4_IDR_1138_1370",0.238915842156293
"Q8N3D4_IDR_120_150",0.223457668008684
"Q8N3D4_IDR_161_1074",0.301467665435341
"Q8N3E9_IDR_1_55",0.45032357787281
"Q8N3E9_IDR_486_519",0.54967642212719
"Q8N3F8_IDR_111_159",0.293965833110687
"Q8N3F8_IDR_219_677",0.274889680082688
"Q8N3F8_IDR_821_863",0.431144486806625
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.581904317121487
"Q8N3J2_IDR_47_77",0.418095682878513
"Q8N3J3_IDR_1_444",0.470689335743514
"Q8N3J3_IDR_577_647",0.529310664256487
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.500873040470291
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.368918710956141
"Q8N3Z6_IDR_384_543",0.631081289043859
"Q8N412_IDR_1_162",0.468969157230614
"Q8N412_IDR_268_303",0.531030842769386
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.49908271634202
"Q8N441_IDR_403_446",0.50091728365798
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.515415034313471
"Q8N448_IDR_425_459",0.484584965686529
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.488247458307345
"Q8N4L4_IDR_63_309",0.511752541692655
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.498396423237619
"Q8N4N8_IDR_84_180",0.501603576762381
"Q8N4P6_IDR_1_53",0.459639413378834
"Q8N4P6_IDR_333_439",0.540360586621166
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.462784744784094
"Q8N4S9_IDR_368_436",0.537215255215906
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.324928923550182
"Q8N573_IDR_148_203",0.291207740755887
"Q8N573_IDR_1_67",0.30998533381582
"Q8N573_IDR_281_586",0.398806925428293
"Q8N587_IDR_1_45",0.492988393031741
"Q8N587_IDR_52_190",0.507011606968259
"Q8N594_IDR_169_234",0.553074474305562
"Q8N594_IDR_1_72",0.446925525694438
"Q8N5A5_IDR_270_367",0.307610567102979
"Q8N5A5_IDR_369_466",0.36813739183885
"Q8N5A5_IDR_64_126",0.324252041058171
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.605450501454391
"Q8N5C6_IDR_789_819",0.394549498545609
"Q8N5C7_IDR_1_33",0.438977431404487
"Q8N5C7_IDR_165_195",0.561022568595513
"Q8N5C8_IDR_48_533",0.431231073309307
"Q8N5C8_IDR_618_684",0.568768926690693
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.497508742003146
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.345750946913646
"Q8N5U6_IDR_406_501",0.302226807166912
"Q8N5U6_IDR_603_799",0.352022245919442
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.407297370095249
"Q8N5Y2_IDR_93_168",0.592702629904751
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.500819030456458
"Q8N612_IDR_835_915",0.499180969543542
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.514780327858458
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.474177298822659
"Q8N6P7_IDR_409_480",0.525822701177341
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.323050219362262
"Q8N6U8_IDR_350_455",0.319430065184389
"Q8N6U8_IDR_496_529",0.357519715453349
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.509116400163459
"Q8N7G0_IDR_264_328",0.342001046604967
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.49528686813165
"Q8N7P1_IDR_505_536",0.50471313186835
"Q8N7R1_IDR_1_139",0.480783708910538
"Q8N7R1_IDR_144_296",0.519216291089462
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.126579530185356
"Q8N7X0_IDR_1_41",0.120468299357655
"Q8N7X0_IDR_305_407",0.181236759905751
"Q8N7X0_IDR_524_627",0.118119057047483
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.480340978229476
"Q8N878_IDR_333_499",0.519659021770524
"Q8N883_IDR_552_585",0.497405192866369
"Q8N883_IDR_61_245",0.502594807133631
"Q8N895_IDR_1_308",0.310201785031048
"Q8N895_IDR_372_422",0.332988549108653
"Q8N895_IDR_480_718",0.356809665860298
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.477913496706528
"Q8N8E2_IDR_479_541",0.522086503293472
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.470084392351252
"Q8N8G2_IDR_20_76",0.529915607648748
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.486350494906844
"Q8N8R5_IDR_204_247",0.513649505093156
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.509716576607154
"Q8N8U3_IDR_397_427",0.490283423392846
"Q8N8V4_IDR_157_233",0.428997068152971
"Q8N8V4_IDR_237_343",0.571002931847029
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.500050304375569
"Q8N8Z6_IDR_416_715",0.499949695624431
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.355237791621749
"Q8N9B5_IDR_940_988",0.332951576099641
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.333559868909766
"Q8N9I0_IDR_88_138",0.666440131090234
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.507029717342562
"Q8N9K5_IDR_1_36",0.492970282657438
"Q8N9L1_IDR_1_63",0.485144748617067
"Q8N9L1_IDR_277_334",0.514855251382933
"Q8N9M1_IDR_107_422",0.53777896694363
"Q8N9M1_IDR_1_49",0.46222103305637
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.322061183491388
"Q8N9N5_IDR_1_47",0.372237174618922
"Q8N9N5_IDR_321_374",0.30570164188969
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.498311671575901
"Q8N9R8_IDR_377_411",0.501688328424099
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.51844702117942
"Q8N9Z0_IDR_77_172",1
