"","GO0006259_DNA_metabolic_process"
"Q8N137_IDR_442_797",0.314650470238144
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.508766065942877
"Q8N196_IDR_235_739",0.491233934057123
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.455347010633451
"Q8N1C3_IDR_361_403",0.544652989366549
"Q8N1F8_IDR_334_534",0.585041382628109
"Q8N1F8_IDR_723_773",0.414958617371891
"Q8N1G0_IDR_1158_1198",0.214073929950872
"Q8N1G0_IDR_1_85",0.183431225808453
"Q8N1G0_IDR_608_672",0.184434464787452
"Q8N1G0_IDR_861_1155",0.232845697819083
"Q8N1G0_IDR_87_504",0.18521468163414
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.481362629355206
"Q8N228_IDR_1_90",0.563087483017571
"Q8N228_IDR_210_341",0.436912516982429
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.44528361835064
"Q8N2C3_IDR_165_214",0.55471638164936
"Q8N2C7_IDR_1300_1451",0.10363645487492
"Q8N2C7_IDR_1507_1554",0.120739378193156
"Q8N2C7_IDR_1770_1837",0.089270369944094
"Q8N2C7_IDR_241_322",0.0905726676530445
"Q8N2C7_IDR_2428_2474",0.0913873564776573
"Q8N2C7_IDR_2755_2786",0.0925197852807414
"Q8N2C7_IDR_2912_3214",0.102968168291207
"Q8N2C7_IDR_363_584",0.104022583906525
"Q8N2C7_IDR_693_781",0.101922757022781
"Q8N2C7_IDR_963_1171",0.102960478355873
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.574865890823888
"Q8N302_IDR_522_621",0.20867524831623
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.360181852546067
"Q8N309_IDR_506_549",0.639818147453933
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.318356535738759
"Q8N344_IDR_348_473",0.321510666118354
"Q8N344_IDR_97_194",0.360132798142887
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.313058124693352
"Q8N365_IDR_198_243",0.381467791286369
"Q8N365_IDR_300_385",0.305474084020279
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.455552762766988
"Q8N392_IDR_19_78",0.258365141091589
"Q8N392_IDR_538_572",0.286082096141423
"Q8N393_IDR_63_241",0.485233576768299
"Q8N3C7_IDR_352_480",0.344586127040823
"Q8N3C7_IDR_556_618",0.318687060623321
"Q8N3D4_IDR_1081_1132",0.24119788181298
"Q8N3D4_IDR_1138_1370",0.274669995129128
"Q8N3D4_IDR_120_150",0.243608258263801
"Q8N3D4_IDR_161_1074",0.24052386479409
"Q8N3E9_IDR_1_55",0.493628949713741
"Q8N3E9_IDR_486_519",0.506371050286259
"Q8N3F8_IDR_111_159",0.244359986065602
"Q8N3F8_IDR_219_677",0.360276435933717
"Q8N3F8_IDR_821_863",0.39536357800068
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.618117196901549
"Q8N3J2_IDR_47_77",0.381882803098452
"Q8N3J3_IDR_1_444",0.472574183287661
"Q8N3J3_IDR_577_647",0.527425816712339
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.531515671590184
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.513306503358118
"Q8N3Z6_IDR_384_543",0.486693496641882
"Q8N412_IDR_1_162",0.45686455367818
"Q8N412_IDR_268_303",0.54313544632182
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.493653677419936
"Q8N441_IDR_403_446",0.506346322580064
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.504704039108511
"Q8N448_IDR_425_459",0.495295960891489
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.515862129208235
"Q8N4L4_IDR_63_309",0.484137870791765
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.481883435962152
"Q8N4N8_IDR_84_180",0.518116564037848
"Q8N4P6_IDR_1_53",0.456249662735252
"Q8N4P6_IDR_333_439",0.543750337264748
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.476972718415195
"Q8N4S9_IDR_368_436",0.523027281584805
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.371284239445256
"Q8N573_IDR_148_203",0.294637463732771
"Q8N573_IDR_1_67",0.356177257323648
"Q8N573_IDR_281_586",0.34918527894358
"Q8N587_IDR_1_45",0.494533097805822
"Q8N587_IDR_52_190",0.505466902194178
"Q8N594_IDR_169_234",0.54125609716492
"Q8N594_IDR_1_72",0.45874390283508
"Q8N5A5_IDR_270_367",0.29877983636258
"Q8N5A5_IDR_369_466",0.396352392479577
"Q8N5A5_IDR_64_126",0.304867771157843
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.603875989383764
"Q8N5C6_IDR_789_819",0.396124010616236
"Q8N5C7_IDR_1_33",0.403836018085364
"Q8N5C7_IDR_165_195",0.596163981914636
"Q8N5C8_IDR_48_533",0.452714341926156
"Q8N5C8_IDR_618_684",0.547285658073844
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.507318649645262
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.304619133082493
"Q8N5U6_IDR_406_501",0.323058315737561
"Q8N5U6_IDR_603_799",0.372322551179946
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.471341245998323
"Q8N5Y2_IDR_93_168",0.528658754001677
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.53409853164834
"Q8N612_IDR_835_915",0.46590146835166
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.549873824443888
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.489345628285672
"Q8N6P7_IDR_409_480",0.510654371714328
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.343249846237699
"Q8N6U8_IDR_350_455",0.319861569639023
"Q8N6U8_IDR_496_529",0.336888584123278
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.497569652118674
"Q8N7G0_IDR_264_328",0.346790402377004
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.496711471008936
"Q8N7P1_IDR_505_536",0.503288528991064
"Q8N7R1_IDR_1_139",0.481074403502967
"Q8N7R1_IDR_144_296",0.518925596497033
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.152282926081717
"Q8N7X0_IDR_1_41",0.130389133620374
"Q8N7X0_IDR_305_407",0.164513588470712
"Q8N7X0_IDR_524_627",0.129740186663307
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.50529892562592
"Q8N878_IDR_333_499",0.49470107437408
"Q8N883_IDR_552_585",0.492375915218849
"Q8N883_IDR_61_245",0.507624084781151
"Q8N895_IDR_1_308",0.346674435206892
"Q8N895_IDR_372_422",0.324268069141763
"Q8N895_IDR_480_718",0.329057495651346
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.490457864415011
"Q8N8E2_IDR_479_541",0.509542135584989
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.437880662969417
"Q8N8G2_IDR_20_76",0.562119337030583
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.468903335182239
"Q8N8R5_IDR_204_247",0.531096664817761
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.500675964786527
"Q8N8U3_IDR_397_427",0.499324035213473
"Q8N8V4_IDR_157_233",0.50025426387515
"Q8N8V4_IDR_237_343",0.49974573612485
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.459776590817665
"Q8N8Z6_IDR_416_715",0.540223409182335
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.355355796992571
"Q8N9B5_IDR_940_988",0.301556278679879
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.388851854825197
"Q8N9I0_IDR_88_138",0.611148145174803
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.501125555700408
"Q8N9K5_IDR_1_36",0.498874444299593
"Q8N9L1_IDR_1_63",0.482558359232337
"Q8N9L1_IDR_277_334",0.517441640767663
"Q8N9M1_IDR_107_422",0.613150828567828
"Q8N9M1_IDR_1_49",0.386849171432172
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.298960033728665
"Q8N9N5_IDR_1_47",0.412905820515198
"Q8N9N5_IDR_321_374",0.288134145756137
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.497461471775312
"Q8N9R8_IDR_377_411",0.502538528224688
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.571836419532868
"Q8N9Z0_IDR_77_172",1
