"","GO0009889_regulation_of_biosynthetic_process"
"Q8N137_IDR_442_797",0.409214877564218
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.512861861413999
"Q8N196_IDR_235_739",0.487138138586001
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.460651771612574
"Q8N1C3_IDR_361_403",0.539348228387426
"Q8N1F8_IDR_334_534",0.416110344220102
"Q8N1F8_IDR_723_773",0.583889655779898
"Q8N1G0_IDR_1158_1198",0.163058876010303
"Q8N1G0_IDR_1_85",0.155825627118651
"Q8N1G0_IDR_608_672",0.143531530329287
"Q8N1G0_IDR_861_1155",0.343648220509158
"Q8N1G0_IDR_87_504",0.193935746032601
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.497554702503834
"Q8N228_IDR_1_90",0.451209691122326
"Q8N228_IDR_210_341",0.548790308877674
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.502301836212088
"Q8N2C3_IDR_165_214",0.497698163787912
"Q8N2C7_IDR_1300_1451",0.0814897414364251
"Q8N2C7_IDR_1507_1554",0.0917994445229204
"Q8N2C7_IDR_1770_1837",0.0994391958450167
"Q8N2C7_IDR_241_322",0.107832719945553
"Q8N2C7_IDR_2428_2474",0.109340249554776
"Q8N2C7_IDR_2755_2786",0.0994085418953545
"Q8N2C7_IDR_2912_3214",0.104859481147159
"Q8N2C7_IDR_363_584",0.118641103301058
"Q8N2C7_IDR_693_781",0.103339335064456
"Q8N2C7_IDR_963_1171",0.083850187287281
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.34162615788864
"Q8N302_IDR_522_621",0.303630085672621
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.508924254540508
"Q8N309_IDR_506_549",0.491075745459492
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.320011721551985
"Q8N344_IDR_348_473",0.30398864047071
"Q8N344_IDR_97_194",0.375999637977304
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.293900590226918
"Q8N365_IDR_198_243",0.359628696027683
"Q8N365_IDR_300_385",0.346470713745399
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.331870694573225
"Q8N392_IDR_19_78",0.381315736692308
"Q8N392_IDR_538_572",0.286813568734467
"Q8N393_IDR_63_241",0.511400723684595
"Q8N3C7_IDR_352_480",0.406429707876393
"Q8N3C7_IDR_556_618",0.330152788425599
"Q8N3D4_IDR_1081_1132",0.269405072126047
"Q8N3D4_IDR_1138_1370",0.237151083438186
"Q8N3D4_IDR_120_150",0.2600501803871
"Q8N3D4_IDR_161_1074",0.233393664048667
"Q8N3E9_IDR_1_55",0.616629303791775
"Q8N3E9_IDR_486_519",0.383370696208225
"Q8N3F8_IDR_111_159",0.342424944392369
"Q8N3F8_IDR_219_677",0.313726383884692
"Q8N3F8_IDR_821_863",0.343848671722939
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.529324164163125
"Q8N3J2_IDR_47_77",0.470675835836875
"Q8N3J3_IDR_1_444",0.533917697764701
"Q8N3J3_IDR_577_647",0.4660823022353
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.40427941288328
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.438001776459064
"Q8N3Z6_IDR_384_543",0.561998223540936
"Q8N412_IDR_1_162",0.466491352879572
"Q8N412_IDR_268_303",0.533508647120428
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.417141775203553
"Q8N441_IDR_403_446",0.582858224796447
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.405582090873054
"Q8N448_IDR_425_459",0.594417909126946
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.420962239819376
"Q8N4L4_IDR_63_309",0.579037760180624
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.540060480796962
"Q8N4N8_IDR_84_180",0.459939519203038
"Q8N4P6_IDR_1_53",0.438802064250086
"Q8N4P6_IDR_333_439",0.561197935749914
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.45622947504276
"Q8N4S9_IDR_368_436",0.54377052495724
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.32496825985537
"Q8N573_IDR_148_203",0.346218621372769
"Q8N573_IDR_1_67",0.315632903986641
"Q8N573_IDR_281_586",0.33814847464059
"Q8N587_IDR_1_45",0.47014584909657
"Q8N587_IDR_52_190",0.52985415090343
"Q8N594_IDR_169_234",0.487582874506882
"Q8N594_IDR_1_72",0.512417125493118
"Q8N5A5_IDR_270_367",0.392965651930436
"Q8N5A5_IDR_369_466",0.292696761429231
"Q8N5A5_IDR_64_126",0.314337586640333
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.526140957572561
"Q8N5C6_IDR_789_819",0.473859042427439
"Q8N5C7_IDR_1_33",0.49396739812811
"Q8N5C7_IDR_165_195",0.50603260187189
"Q8N5C8_IDR_48_533",0.74858898347475
"Q8N5C8_IDR_618_684",0.25141101652525
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.511452174316512
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.361377290614368
"Q8N5U6_IDR_406_501",0.302286239042315
"Q8N5U6_IDR_603_799",0.336336470343317
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.46567982513953
"Q8N5Y2_IDR_93_168",0.53432017486047
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.501944794136778
"Q8N612_IDR_835_915",0.498055205863222
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.476277165972672
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.507389524928482
"Q8N6P7_IDR_409_480",0.492610475071518
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.328182309393754
"Q8N6U8_IDR_350_455",0.359964271594843
"Q8N6U8_IDR_496_529",0.311853419011404
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.568863741849776
"Q8N7G0_IDR_264_328",0.238116314608661
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.496868880805018
"Q8N7P1_IDR_505_536",0.503131119194982
"Q8N7R1_IDR_1_139",0.499331463220585
"Q8N7R1_IDR_144_296",0.500668536779415
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.143976027844739
"Q8N7X0_IDR_1_41",0.210614870743011
"Q8N7X0_IDR_305_407",0.127141581706257
"Q8N7X0_IDR_524_627",0.133862648584859
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.50924420312482
"Q8N878_IDR_333_499",0.49075579687518
"Q8N883_IDR_552_585",0.499618374623544
"Q8N883_IDR_61_245",0.500381625376456
"Q8N895_IDR_1_308",0.409066173795415
"Q8N895_IDR_372_422",0.242349771206251
"Q8N895_IDR_480_718",0.348584054998334
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.638893066063983
"Q8N8E2_IDR_479_541",0.361106933936017
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.585087331338954
"Q8N8G2_IDR_20_76",0.414912668661046
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.375309163632473
"Q8N8R5_IDR_204_247",0.624690836367527
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.463295943138835
"Q8N8U3_IDR_397_427",0.536704056861165
"Q8N8V4_IDR_157_233",0.551882812592463
"Q8N8V4_IDR_237_343",0.448117187407537
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.4509106571452
"Q8N8Z6_IDR_416_715",0.5490893428548
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.300421688912836
"Q8N9B5_IDR_940_988",0.358352979275446
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.511961390427039
"Q8N9I0_IDR_88_138",0.488038609572961
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.488744845016377
"Q8N9K5_IDR_1_36",0.511255154983623
"Q8N9L1_IDR_1_63",0.6542078385413
"Q8N9L1_IDR_277_334",0.3457921614587
"Q8N9M1_IDR_107_422",0.408843871681993
"Q8N9M1_IDR_1_49",0.591156128318007
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.325471637627899
"Q8N9N5_IDR_1_47",0.318755690304813
"Q8N9N5_IDR_321_374",0.355772672067287
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.502513792877602
"Q8N9R8_IDR_377_411",0.497486207122398
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.598591044136765
"Q8N9Z0_IDR_77_172",1
