"","GO0051656_establishment_of_organelle_localization"
"Q8N137_IDR_442_797",0.374263321568019
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.493632284604153
"Q8N196_IDR_235_739",0.506367715395847
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.491766086529913
"Q8N1C3_IDR_361_403",0.508233913470087
"Q8N1F8_IDR_334_534",0.563158560012154
"Q8N1F8_IDR_723_773",0.436841439987846
"Q8N1G0_IDR_1158_1198",0.206279247669692
"Q8N1G0_IDR_1_85",0.216064453087282
"Q8N1G0_IDR_608_672",0.192348363371607
"Q8N1G0_IDR_861_1155",0.186314571459472
"Q8N1G0_IDR_87_504",0.198993364411947
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.484940596244672
"Q8N228_IDR_1_90",0.522148835504123
"Q8N228_IDR_210_341",0.477851164495877
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.435619276394662
"Q8N2C3_IDR_165_214",0.564380723605339
"Q8N2C7_IDR_1300_1451",0.0995130152162885
"Q8N2C7_IDR_1507_1554",0.103376797895763
"Q8N2C7_IDR_1770_1837",0.101884823343682
"Q8N2C7_IDR_241_322",0.0874394386404692
"Q8N2C7_IDR_2428_2474",0.0970044674393992
"Q8N2C7_IDR_2755_2786",0.101041979611261
"Q8N2C7_IDR_2912_3214",0.104895103027866
"Q8N2C7_IDR_363_584",0.101863971656899
"Q8N2C7_IDR_693_781",0.0921257588363732
"Q8N2C7_IDR_963_1171",0.110854644331998
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.367389035229694
"Q8N302_IDR_522_621",0.325025740627369
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.48208327852482
"Q8N309_IDR_506_549",0.51791672147518
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.35342767449303
"Q8N344_IDR_348_473",0.306104125833207
"Q8N344_IDR_97_194",0.340468199673763
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.334257170084885
"Q8N365_IDR_198_243",0.353202629788656
"Q8N365_IDR_300_385",0.312540200126459
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.364624747271286
"Q8N392_IDR_19_78",0.282588699570814
"Q8N392_IDR_538_572",0.352786553157899
"Q8N393_IDR_63_241",0.50894936816335
"Q8N3C7_IDR_352_480",0.341180348325998
"Q8N3C7_IDR_556_618",0.312479938780411
"Q8N3D4_IDR_1081_1132",0.253299507742426
"Q8N3D4_IDR_1138_1370",0.238750846103437
"Q8N3D4_IDR_120_150",0.250143162027964
"Q8N3D4_IDR_161_1074",0.257806484126174
"Q8N3E9_IDR_1_55",0.45578451769161
"Q8N3E9_IDR_486_519",0.54421548230839
"Q8N3F8_IDR_111_159",0.329105058655875
"Q8N3F8_IDR_219_677",0.293100003667197
"Q8N3F8_IDR_821_863",0.377794937676928
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.522453530595368
"Q8N3J2_IDR_47_77",0.477546469404632
"Q8N3J3_IDR_1_444",0.465441711657962
"Q8N3J3_IDR_577_647",0.534558288342038
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.493170519254475
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.497110282659851
"Q8N3Z6_IDR_384_543",0.502889717340149
"Q8N412_IDR_1_162",0.484305513400757
"Q8N412_IDR_268_303",0.515694486599243
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.515450536234328
"Q8N441_IDR_403_446",0.484549463765672
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.490853520941212
"Q8N448_IDR_425_459",0.509146479058788
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.512039257786565
"Q8N4L4_IDR_63_309",0.487960742213435
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.500647135300991
"Q8N4N8_IDR_84_180",0.499352864699009
"Q8N4P6_IDR_1_53",0.492001414935447
"Q8N4P6_IDR_333_439",0.507998585064553
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.462938931363499
"Q8N4S9_IDR_368_436",0.537061068636501
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.333294567417331
"Q8N573_IDR_148_203",0.298835201870032
"Q8N573_IDR_1_67",0.288133924452178
"Q8N573_IDR_281_586",0.41303087367779
"Q8N587_IDR_1_45",0.506309159322583
"Q8N587_IDR_52_190",0.493690840677417
"Q8N594_IDR_169_234",0.539422665766845
"Q8N594_IDR_1_72",0.460577334233155
"Q8N5A5_IDR_270_367",0.3191277963635
"Q8N5A5_IDR_369_466",0.32633439418606
"Q8N5A5_IDR_64_126",0.35453780945044
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.534062535874927
"Q8N5C6_IDR_789_819",0.465937464125073
"Q8N5C7_IDR_1_33",0.482893439448078
"Q8N5C7_IDR_165_195",0.517106560551922
"Q8N5C8_IDR_48_533",0.471393112123763
"Q8N5C8_IDR_618_684",0.528606887876237
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.502794103320011
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.309544659158458
"Q8N5U6_IDR_406_501",0.338986643779626
"Q8N5U6_IDR_603_799",0.351468697061916
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.429496672264313
"Q8N5Y2_IDR_93_168",0.570503327735687
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.486005571443968
"Q8N612_IDR_835_915",0.513994428556032
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.499201290311926
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.48012449739739
"Q8N6P7_IDR_409_480",0.51987550260261
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.315820547245163
"Q8N6U8_IDR_350_455",0.335635507820799
"Q8N6U8_IDR_496_529",0.348543944934038
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.507830329017485
"Q8N7G0_IDR_264_328",0.335117998362655
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.484147086685437
"Q8N7P1_IDR_505_536",0.515852913314563
"Q8N7R1_IDR_1_139",0.492233392952239
"Q8N7R1_IDR_144_296",0.507766607047761
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.133915783830949
"Q8N7X0_IDR_1_41",0.129201624284444
"Q8N7X0_IDR_305_407",0.162418933146146
"Q8N7X0_IDR_524_627",0.134694632612625
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.476884222519383
"Q8N878_IDR_333_499",0.523115777480617
"Q8N883_IDR_552_585",0.492840415925029
"Q8N883_IDR_61_245",0.507159584074971
"Q8N895_IDR_1_308",0.314421908403765
"Q8N895_IDR_372_422",0.333390930183226
"Q8N895_IDR_480_718",0.35218716141301
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.466156138929858
"Q8N8E2_IDR_479_541",0.533843861070142
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.485555512776075
"Q8N8G2_IDR_20_76",0.514444487223926
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.499145450629739
"Q8N8R5_IDR_204_247",0.500854549370261
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.551284514676954
"Q8N8U3_IDR_397_427",0.448715485323046
"Q8N8V4_IDR_157_233",0.449721332554929
"Q8N8V4_IDR_237_343",0.550278667445071
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.505755768790746
"Q8N8Z6_IDR_416_715",0.494244231209253
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.400482864671622
"Q8N9B5_IDR_940_988",0.31560319747058
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.467417009176773
"Q8N9I0_IDR_88_138",0.532582990823227
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.49921806196871
"Q8N9K5_IDR_1_36",0.50078193803129
"Q8N9L1_IDR_1_63",0.483467346141074
"Q8N9L1_IDR_277_334",0.516532653858926
"Q8N9M1_IDR_107_422",0.525921123954715
"Q8N9M1_IDR_1_49",0.474078876045285
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.336404243069918
"Q8N9N5_IDR_1_47",0.343433280681532
"Q8N9N5_IDR_321_374",0.32016247624855
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.502848698556
"Q8N9R8_IDR_377_411",0.497151301444
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.494357286727728
"Q8N9Z0_IDR_77_172",1
