"","GO0090304_nucleic_acid_metabolic_process"
"Q8N137_IDR_442_797",0.360320947839087
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.528467313008547
"Q8N196_IDR_235_739",0.471532686991453
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.479500992302011
"Q8N1C3_IDR_361_403",0.520499007697989
"Q8N1F8_IDR_334_534",0.540088629825061
"Q8N1F8_IDR_723_773",0.459911370174939
"Q8N1G0_IDR_1158_1198",0.189001719324076
"Q8N1G0_IDR_1_85",0.169049622688015
"Q8N1G0_IDR_608_672",0.161803369469727
"Q8N1G0_IDR_861_1155",0.294663411758191
"Q8N1G0_IDR_87_504",0.185481876759991
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.475252938202739
"Q8N228_IDR_1_90",0.566246003457149
"Q8N228_IDR_210_341",0.433753996542851
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.478040039669409
"Q8N2C3_IDR_165_214",0.521959960330591
"Q8N2C7_IDR_1300_1451",0.0957755137043144
"Q8N2C7_IDR_1507_1554",0.111128935557057
"Q8N2C7_IDR_1770_1837",0.0974307512980692
"Q8N2C7_IDR_241_322",0.094970310490722
"Q8N2C7_IDR_2428_2474",0.103101364643694
"Q8N2C7_IDR_2755_2786",0.0974069417590722
"Q8N2C7_IDR_2912_3214",0.0976488563259246
"Q8N2C7_IDR_363_584",0.111925475372774
"Q8N2C7_IDR_693_781",0.0993715332720842
"Q8N2C7_IDR_963_1171",0.0912403175762887
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.414422422390142
"Q8N302_IDR_522_621",0.284633897363042
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.46408833460705
"Q8N309_IDR_506_549",0.53591166539295
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.313668788197506
"Q8N344_IDR_348_473",0.34528141005256
"Q8N344_IDR_97_194",0.341049801749934
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.31476179100807
"Q8N365_IDR_198_243",0.372724912917512
"Q8N365_IDR_300_385",0.312513296074418
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.413273267709879
"Q8N392_IDR_19_78",0.29695732353121
"Q8N392_IDR_538_572",0.289769408758912
"Q8N393_IDR_63_241",0.495738398180861
"Q8N3C7_IDR_352_480",0.35925379259973
"Q8N3C7_IDR_556_618",0.300293455579576
"Q8N3D4_IDR_1081_1132",0.234146407182077
"Q8N3D4_IDR_1138_1370",0.270107016097216
"Q8N3D4_IDR_120_150",0.227499019815298
"Q8N3D4_IDR_161_1074",0.26824755690541
"Q8N3E9_IDR_1_55",0.602717394200473
"Q8N3E9_IDR_486_519",0.397282605799527
"Q8N3F8_IDR_111_159",0.291388724844849
"Q8N3F8_IDR_219_677",0.370410861371947
"Q8N3F8_IDR_821_863",0.338200413783204
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.572283378726215
"Q8N3J2_IDR_47_77",0.427716621273785
"Q8N3J3_IDR_1_444",0.478547613611854
"Q8N3J3_IDR_577_647",0.521452386388146
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.407355655047238
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.4617869961657
"Q8N3Z6_IDR_384_543",0.5382130038343
"Q8N412_IDR_1_162",0.469363105036062
"Q8N412_IDR_268_303",0.530636894963938
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.476659059404918
"Q8N441_IDR_403_446",0.523340940595082
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.477087007947975
"Q8N448_IDR_425_459",0.522912992052025
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.460736691165978
"Q8N4L4_IDR_63_309",0.539263308834022
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.495317785943388
"Q8N4N8_IDR_84_180",0.504682214056612
"Q8N4P6_IDR_1_53",0.47835915188062
"Q8N4P6_IDR_333_439",0.52164084811938
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.442853501383396
"Q8N4S9_IDR_368_436",0.557146498616604
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.35081918771934
"Q8N573_IDR_148_203",0.326414387173071
"Q8N573_IDR_1_67",0.358264660928359
"Q8N573_IDR_281_586",0.31532095189857
"Q8N587_IDR_1_45",0.485581823265079
"Q8N587_IDR_52_190",0.514418176734921
"Q8N594_IDR_169_234",0.50983582090905
"Q8N594_IDR_1_72",0.49016417909095
"Q8N5A5_IDR_270_367",0.349507555689675
"Q8N5A5_IDR_369_466",0.322635350933298
"Q8N5A5_IDR_64_126",0.327857093377027
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.519752996466893
"Q8N5C6_IDR_789_819",0.480247003533107
"Q8N5C7_IDR_1_33",0.443040268952463
"Q8N5C7_IDR_165_195",0.556959731047537
"Q8N5C8_IDR_48_533",0.617335587089837
"Q8N5C8_IDR_618_684",0.382664412910163
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.497020981750258
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.314674281306447
"Q8N5U6_IDR_406_501",0.306326153787304
"Q8N5U6_IDR_603_799",0.378999564906249
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.469541692554413
"Q8N5Y2_IDR_93_168",0.530458307445587
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.524127357191776
"Q8N612_IDR_835_915",0.475872642808224
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.471676259556949
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.503452558229097
"Q8N6P7_IDR_409_480",0.496547441770903
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.333723419809494
"Q8N6U8_IDR_350_455",0.326457092211298
"Q8N6U8_IDR_496_529",0.339819487979208
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.520663212262743
"Q8N7G0_IDR_264_328",0.288012236599316
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.50847428639447
"Q8N7P1_IDR_505_536",0.49152571360553
"Q8N7R1_IDR_1_139",0.49469119105315
"Q8N7R1_IDR_144_296",0.50530880894685
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.140989618769363
"Q8N7X0_IDR_1_41",0.185500742820342
"Q8N7X0_IDR_305_407",0.129394215668188
"Q8N7X0_IDR_524_627",0.130207063242196
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.500390049230487
"Q8N878_IDR_333_499",0.499609950769513
"Q8N883_IDR_552_585",0.509763273729165
"Q8N883_IDR_61_245",0.490236726270835
"Q8N895_IDR_1_308",0.397524482282883
"Q8N895_IDR_372_422",0.26153087776745
"Q8N895_IDR_480_718",0.340944639949667
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.531195495482692
"Q8N8E2_IDR_479_541",0.468804504517308
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.530024882885037
"Q8N8G2_IDR_20_76",0.469975117114963
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.405423477595091
"Q8N8R5_IDR_204_247",0.594576522404909
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.503413819990376
"Q8N8U3_IDR_397_427",0.496586180009624
"Q8N8V4_IDR_157_233",0.494625294731087
"Q8N8V4_IDR_237_343",0.505374705268913
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.487537679724099
"Q8N8Z6_IDR_416_715",0.512462320275901
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.321544280626551
"Q8N9B5_IDR_940_988",0.34011883374673
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.460702228341008
"Q8N9I0_IDR_88_138",0.539297771658993
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.482526709162916
"Q8N9K5_IDR_1_36",0.517473290837084
"Q8N9L1_IDR_1_63",0.543133209655702
"Q8N9L1_IDR_277_334",0.456866790344298
"Q8N9M1_IDR_107_422",0.495491866778843
"Q8N9M1_IDR_1_49",0.504508133221157
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.312723850520494
"Q8N9N5_IDR_1_47",0.387791444157354
"Q8N9N5_IDR_321_374",0.299484705322152
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.507089847986721
"Q8N9R8_IDR_377_411",0.492910152013279
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.616175101728624
"Q8N9Z0_IDR_77_172",1
