"","GO0009891_positive_regulation_of_biosynthetic_process"
"Q8N137_IDR_442_797",0.334606261592776
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.371141745577798
"Q8N196_IDR_235_739",0.628858254422202
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.503393549645874
"Q8N1C3_IDR_361_403",0.496606450354126
"Q8N1F8_IDR_334_534",0.513056268957834
"Q8N1F8_IDR_723_773",0.486943731042166
"Q8N1G0_IDR_1158_1198",0.185136823171216
"Q8N1G0_IDR_1_85",0.185982805732363
"Q8N1G0_IDR_608_672",0.177499536192982
"Q8N1G0_IDR_861_1155",0.202856929344292
"Q8N1G0_IDR_87_504",0.248523905559147
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.527600314335564
"Q8N228_IDR_1_90",0.500257029109816
"Q8N228_IDR_210_341",0.499742970890184
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.499493525758606
"Q8N2C3_IDR_165_214",0.500506474241394
"Q8N2C7_IDR_1300_1451",0.0962650142640266
"Q8N2C7_IDR_1507_1554",0.107684835856542
"Q8N2C7_IDR_1770_1837",0.102586790996668
"Q8N2C7_IDR_241_322",0.106385745487542
"Q8N2C7_IDR_2428_2474",0.0997291120936031
"Q8N2C7_IDR_2755_2786",0.09806898009712
"Q8N2C7_IDR_2912_3214",0.0999472543736078
"Q8N2C7_IDR_363_584",0.100875783331652
"Q8N2C7_IDR_693_781",0.100026678456139
"Q8N2C7_IDR_963_1171",0.0884298050430998
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.336803894633058
"Q8N302_IDR_522_621",0.343676810285221
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.507181587462494
"Q8N309_IDR_506_549",0.492818412537506
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.330592806514318
"Q8N344_IDR_348_473",0.333140540102341
"Q8N344_IDR_97_194",0.33626665338334
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.333392674566786
"Q8N365_IDR_198_243",0.331886139540527
"Q8N365_IDR_300_385",0.334721185892687
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.331969181473548
"Q8N392_IDR_19_78",0.32856218781222
"Q8N392_IDR_538_572",0.339468630714232
"Q8N393_IDR_63_241",0.48277530786077
"Q8N3C7_IDR_352_480",0.343717965886399
"Q8N3C7_IDR_556_618",0.323606401292393
"Q8N3D4_IDR_1081_1132",0.282908373870963
"Q8N3D4_IDR_1138_1370",0.2271118770848
"Q8N3D4_IDR_120_150",0.252337480522077
"Q8N3D4_IDR_161_1074",0.237642268522159
"Q8N3E9_IDR_1_55",0.555568978010517
"Q8N3E9_IDR_486_519",0.444431021989483
"Q8N3F8_IDR_111_159",0.347367298688699
"Q8N3F8_IDR_219_677",0.326123527327958
"Q8N3F8_IDR_821_863",0.326509173983343
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.519534204023195
"Q8N3J2_IDR_47_77",0.480465795976805
"Q8N3J3_IDR_1_444",0.550693509985953
"Q8N3J3_IDR_577_647",0.449306490014047
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.510758881630724
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.541680249490004
"Q8N3Z6_IDR_384_543",0.458319750509996
"Q8N412_IDR_1_162",0.49922734678041
"Q8N412_IDR_268_303",0.50077265321959
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.502167708444418
"Q8N441_IDR_403_446",0.497832291555582
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.52397456508853
"Q8N448_IDR_425_459",0.47602543491147
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.528557619381968
"Q8N4L4_IDR_63_309",0.471442380618032
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.501481178064351
"Q8N4N8_IDR_84_180",0.49851882193565
"Q8N4P6_IDR_1_53",0.516382665648221
"Q8N4P6_IDR_333_439",0.483617334351779
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.47348550390557
"Q8N4S9_IDR_368_436",0.52651449609443
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.351401162636069
"Q8N573_IDR_148_203",0.30430350110662
"Q8N573_IDR_1_67",0.338215169418838
"Q8N573_IDR_281_586",0.357481329474542
"Q8N587_IDR_1_45",0.495944147519053
"Q8N587_IDR_52_190",0.504055852480947
"Q8N594_IDR_169_234",0.519435990408417
"Q8N594_IDR_1_72",0.480564009591584
"Q8N5A5_IDR_270_367",0.397194565311772
"Q8N5A5_IDR_369_466",0.296104466375796
"Q8N5A5_IDR_64_126",0.306700968312432
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.549937694343373
"Q8N5C6_IDR_789_819",0.450062305656627
"Q8N5C7_IDR_1_33",0.507543620308057
"Q8N5C7_IDR_165_195",0.492456379691943
"Q8N5C8_IDR_48_533",0.66990993753209
"Q8N5C8_IDR_618_684",0.33009006246791
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.486080841472723
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.303868185816007
"Q8N5U6_IDR_406_501",0.283335020600185
"Q8N5U6_IDR_603_799",0.412796793583808
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.492091494919658
"Q8N5Y2_IDR_93_168",0.507908505080342
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.536182045154083
"Q8N612_IDR_835_915",0.463817954845917
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.496567970021506
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.49667303110666
"Q8N6P7_IDR_409_480",0.50332696889334
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.333283774229368
"Q8N6U8_IDR_350_455",0.329976491008519
"Q8N6U8_IDR_496_529",0.336739734762113
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.566006025159692
"Q8N7G0_IDR_264_328",0.324850148229919
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.528986555799876
"Q8N7P1_IDR_505_536",0.471013444200125
"Q8N7R1_IDR_1_139",0.497245580767014
"Q8N7R1_IDR_144_296",0.502754419232986
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.146895858752504
"Q8N7X0_IDR_1_41",0.155990423797266
"Q8N7X0_IDR_305_407",0.126507790955132
"Q8N7X0_IDR_524_627",0.145349390924479
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.517700928960011
"Q8N878_IDR_333_499",0.482299071039989
"Q8N883_IDR_552_585",0.480602956571513
"Q8N883_IDR_61_245",0.519397043428487
"Q8N895_IDR_1_308",0.344137345767172
"Q8N895_IDR_372_422",0.278645876708073
"Q8N895_IDR_480_718",0.377216777524755
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.490986357855997
"Q8N8E2_IDR_479_541",0.509013642144003
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.480990798923664
"Q8N8G2_IDR_20_76",0.519009201076336
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.51707623655219
"Q8N8R5_IDR_204_247",0.48292376344781
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.469525864323118
"Q8N8U3_IDR_397_427",0.530474135676882
"Q8N8V4_IDR_157_233",0.499384169595267
"Q8N8V4_IDR_237_343",0.500615830404733
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.461405420507302
"Q8N8Z6_IDR_416_715",0.538594579492698
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.315777523518164
"Q8N9B5_IDR_940_988",0.348885474693637
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.505394247980162
"Q8N9I0_IDR_88_138",0.494605752019838
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.514438326534356
"Q8N9K5_IDR_1_36",0.485561673465644
"Q8N9L1_IDR_1_63",0.489129331284493
"Q8N9L1_IDR_277_334",0.510870668715507
"Q8N9M1_IDR_107_422",0.539084568498522
"Q8N9M1_IDR_1_49",0.460915431501477
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.309867170775152
"Q8N9N5_IDR_1_47",0.365695152715868
"Q8N9N5_IDR_321_374",0.32443767650898
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.511468386571185
"Q8N9R8_IDR_377_411",0.488531613428815
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.528387552333309
