"","GO0000976_transcription_cis_regulatory_region_binding"
"Q8N137_IDR_442_797",0.421608279320488
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.583158906688905
"Q8N196_IDR_235_739",0.416841093311095
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.501662173173464
"Q8N1C3_IDR_361_403",0.498337826826536
"Q8N1F8_IDR_334_534",0.404394246821155
"Q8N1F8_IDR_723_773",0.595605753178845
"Q8N1G0_IDR_1158_1198",0.145835201581157
"Q8N1G0_IDR_1_85",0.146460360888351
"Q8N1G0_IDR_608_672",0.131867039870835
"Q8N1G0_IDR_861_1155",0.441503621750526
"Q8N1G0_IDR_87_504",0.134333775909131
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.518972755802943
"Q8N228_IDR_1_90",0.486192964119787
"Q8N228_IDR_210_341",0.513807035880213
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.504820439151333
"Q8N2C3_IDR_165_214",0.495179560848667
"Q8N2C7_IDR_1300_1451",0.0845426862024239
"Q8N2C7_IDR_1507_1554",0.0932442681879221
"Q8N2C7_IDR_1770_1837",0.110490451541387
"Q8N2C7_IDR_241_322",0.110413384473629
"Q8N2C7_IDR_2428_2474",0.116692121109186
"Q8N2C7_IDR_2755_2786",0.104306593933862
"Q8N2C7_IDR_2912_3214",0.0895635995041394
"Q8N2C7_IDR_363_584",0.125174918781568
"Q8N2C7_IDR_693_781",0.0815110271713971
"Q8N2C7_IDR_963_1171",0.0840609490944857
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.286104916727505
"Q8N302_IDR_522_621",0.28911091047582
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.57058636181235
"Q8N309_IDR_506_549",0.42941363818765
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.330481889653881
"Q8N344_IDR_348_473",0.304602117426236
"Q8N344_IDR_97_194",0.364915992919883
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.26438347053413
"Q8N365_IDR_198_243",0.377206186278338
"Q8N365_IDR_300_385",0.358410343187532
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.308660029659164
"Q8N392_IDR_19_78",0.424918874857925
"Q8N392_IDR_538_572",0.266421095482911
"Q8N393_IDR_63_241",0.48264113546533
"Q8N3C7_IDR_352_480",0.327526472758258
"Q8N3C7_IDR_556_618",0.341555923485875
"Q8N3D4_IDR_1081_1132",0.29145126317572
"Q8N3D4_IDR_1138_1370",0.236530142465163
"Q8N3D4_IDR_120_150",0.273403347295996
"Q8N3D4_IDR_161_1074",0.19861524706312
"Q8N3E9_IDR_1_55",0.639459528556827
"Q8N3E9_IDR_486_519",0.360540471443173
"Q8N3F8_IDR_111_159",0.371961134335289
"Q8N3F8_IDR_219_677",0.274818277786353
"Q8N3F8_IDR_821_863",0.353220587878357
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.513007262263334
"Q8N3J2_IDR_47_77",0.486992737736666
"Q8N3J3_IDR_1_444",0.495020544842173
"Q8N3J3_IDR_577_647",0.504979455157827
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.402090899238776
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.503694423924184
"Q8N3Z6_IDR_384_543",0.496305576075816
"Q8N412_IDR_1_162",0.506284034834427
"Q8N412_IDR_268_303",0.493715965165573
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.468970016845324
"Q8N441_IDR_403_446",0.531029983154676
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.381124101837323
"Q8N448_IDR_425_459",0.618875898162677
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.339004769448121
"Q8N4L4_IDR_63_309",0.660995230551879
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.583570168416798
"Q8N4N8_IDR_84_180",0.416429831583202
"Q8N4P6_IDR_1_53",0.469515292664148
"Q8N4P6_IDR_333_439",0.530484707335852
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.447728474311466
"Q8N4S9_IDR_368_436",0.552271525688534
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.369433530061474
"Q8N573_IDR_148_203",0.404501558358126
"Q8N573_IDR_1_67",0.313220040349611
"Q8N573_IDR_281_586",0.282278401292263
"Q8N587_IDR_1_45",0.428005460460231
"Q8N587_IDR_52_190",0.571994539539769
"Q8N594_IDR_169_234",0.487243895409445
"Q8N594_IDR_1_72",0.512756104590555
"Q8N5A5_IDR_270_367",0.385338254226381
"Q8N5A5_IDR_369_466",0.263834241009456
"Q8N5A5_IDR_64_126",0.350827504764163
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.526075662538733
"Q8N5C6_IDR_789_819",0.473924337461267
"Q8N5C7_IDR_1_33",0.499215858045548
"Q8N5C7_IDR_165_195",0.500784141954452
"Q8N5C8_IDR_48_533",0.814404144170676
"Q8N5C8_IDR_618_684",0.185595855829324
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.527044361466982
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.309984729229306
"Q8N5U6_IDR_406_501",0.351127136922048
"Q8N5U6_IDR_603_799",0.338888133848645
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.48686080315914
"Q8N5Y2_IDR_93_168",0.51313919684086
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.510473236124203
"Q8N612_IDR_835_915",0.489526763875797
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.518165191662708
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.531269928225545
"Q8N6P7_IDR_409_480",0.468730071774455
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.308062146935893
"Q8N6U8_IDR_350_455",0.377702959621266
"Q8N6U8_IDR_496_529",0.314234893442842
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.543541242842268
"Q8N7G0_IDR_264_328",0.225700236134189
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.499255974528892
"Q8N7P1_IDR_505_536",0.500744025471108
"Q8N7R1_IDR_1_139",0.517035337674969
"Q8N7R1_IDR_144_296",0.482964662325031
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.145954547382437
"Q8N7X0_IDR_1_41",0.205039206259176
"Q8N7X0_IDR_305_407",0.114800984258734
"Q8N7X0_IDR_524_627",0.149594248658145
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.526180965587968
"Q8N878_IDR_333_499",0.473819034412032
"Q8N883_IDR_552_585",0.487980984960127
"Q8N883_IDR_61_245",0.512019015039873
"Q8N895_IDR_1_308",0.49683366463337
"Q8N895_IDR_372_422",0.202963899339484
"Q8N895_IDR_480_718",0.300202436027146
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.719102213928502
"Q8N8E2_IDR_479_541",0.280897786071498
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.632743180359893
"Q8N8G2_IDR_20_76",0.367256819640107
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.361568330248731
"Q8N8R5_IDR_204_247",0.638431669751269
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.48584719809084
"Q8N8U3_IDR_397_427",0.51415280190916
"Q8N8V4_IDR_157_233",0.503931191002383
"Q8N8V4_IDR_237_343",0.496068808997617
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.388513561275595
"Q8N8Z6_IDR_416_715",0.611486438724405
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.298411672031991
"Q8N9B5_IDR_940_988",0.396659935724297
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.534908814598114
"Q8N9I0_IDR_88_138",0.465091185401886
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.502573042436302
"Q8N9K5_IDR_1_36",0.497426957563698
"Q8N9L1_IDR_1_63",0.708076538277982
"Q8N9L1_IDR_277_334",0.291923461722018
"Q8N9M1_IDR_107_422",0.369608000804291
"Q8N9M1_IDR_1_49",0.630391999195709
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.334419449802821
"Q8N9N5_IDR_1_47",0.323268576590458
"Q8N9N5_IDR_321_374",0.342311973606721
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.49788470654838
"Q8N9R8_IDR_377_411",0.50211529345162
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.601877372129974
