"","GO0003682_chromatin_binding"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.426543385216916
"Q8N196_IDR_235_739",0.573456614783084
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.445775603184527
"Q8N1C3_IDR_361_403",0.554224396815473
"Q8N1F8_IDR_334_534",0.533189090989564
"Q8N1F8_IDR_723_773",0.466810909010436
"Q8N1G0_IDR_1158_1198",0.221072285949987
"Q8N1G0_IDR_1_85",0.168079441283619
"Q8N1G0_IDR_608_672",0.177646100953376
"Q8N1G0_IDR_861_1155",0.222330285867282
"Q8N1G0_IDR_87_504",0.210871885945737
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.498369310258236
"Q8N228_IDR_1_90",0.535832160231134
"Q8N228_IDR_210_341",0.464167839768866
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.472595099443254
"Q8N2C3_IDR_165_214",0.527404900556746
"Q8N2C7_IDR_1300_1451",0.0949224722870069
"Q8N2C7_IDR_1507_1554",0.110666527877323
"Q8N2C7_IDR_1770_1837",0.095372246685987
"Q8N2C7_IDR_241_322",0.0943653071882867
"Q8N2C7_IDR_2428_2474",0.0934765700755287
"Q8N2C7_IDR_2755_2786",0.0924812905395493
"Q8N2C7_IDR_2912_3214",0.126337696745556
"Q8N2C7_IDR_363_584",0.0922050992420938
"Q8N2C7_IDR_693_781",0.108440454282034
"Q8N2C7_IDR_963_1171",0.0917323350766341
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.487368281774875
"Q8N302_IDR_522_621",0.259500938281252
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.409934880468637
"Q8N309_IDR_506_549",0.590065119531363
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.308947299695591
"Q8N344_IDR_348_473",0.331229120561969
"Q8N344_IDR_97_194",0.35982357974244
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.324137551873755
"Q8N365_IDR_198_243",0.347289611456746
"Q8N365_IDR_300_385",0.3285728366695
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.393815685039221
"Q8N392_IDR_19_78",0.301316861811937
"Q8N392_IDR_538_572",0.304867453148842
"Q8N393_IDR_63_241",0.490302576120986
"Q8N3C7_IDR_352_480",0.347503382342692
"Q8N3C7_IDR_556_618",0.324149085793182
"Q8N3D4_IDR_1081_1132",0.215382190789709
"Q8N3D4_IDR_1138_1370",0.278354789001561
"Q8N3D4_IDR_120_150",0.218496169396553
"Q8N3D4_IDR_161_1074",0.287766850812178
"Q8N3E9_IDR_1_55",0.494386330801994
"Q8N3E9_IDR_486_519",0.505613669198006
"Q8N3F8_IDR_111_159",0.202740900975653
"Q8N3F8_IDR_219_677",0.581069012653502
"Q8N3F8_IDR_821_863",0.216190086370845
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.575501483084649
"Q8N3J2_IDR_47_77",0.424498516915351
"Q8N3J3_IDR_1_444",0.503990112684793
"Q8N3J3_IDR_577_647",0.496009887315207
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.483631224493353
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.485346421643885
"Q8N3Z6_IDR_384_543",0.514653578356114
"Q8N412_IDR_1_162",0.477258147374014
"Q8N412_IDR_268_303",0.522741852625986
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.489410159902139
"Q8N441_IDR_403_446",0.510589840097861
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.511167948042455
"Q8N448_IDR_425_459",0.488832051957545
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.509012547308773
"Q8N4L4_IDR_63_309",0.490987452691227
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.490590285714984
"Q8N4N8_IDR_84_180",0.509409714285016
"Q8N4P6_IDR_1_53",0.495319241535726
"Q8N4P6_IDR_333_439",0.504680758464274
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.473935561780089
"Q8N4S9_IDR_368_436",0.526064438219911
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.338425658963562
"Q8N573_IDR_148_203",0.336113996099712
"Q8N573_IDR_1_67",0.32243496287204
"Q8N573_IDR_281_586",0.341451041028248
"Q8N587_IDR_1_45",0.501816774803964
"Q8N587_IDR_52_190",0.498183225196036
"Q8N594_IDR_169_234",0.545228546063886
"Q8N594_IDR_1_72",0.454771453936114
"Q8N5A5_IDR_270_367",0.325750073291132
"Q8N5A5_IDR_369_466",0.335335389616253
"Q8N5A5_IDR_64_126",0.338914537092615
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.584400158319887
"Q8N5C6_IDR_789_819",0.415599841680113
"Q8N5C7_IDR_1_33",0.429910935294457
"Q8N5C7_IDR_165_195",0.570089064705543
"Q8N5C8_IDR_48_533",0.463899307271186
"Q8N5C8_IDR_618_684",0.536100692728814
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.491319841170196
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.309399022665846
"Q8N5U6_IDR_406_501",0.347176494598392
"Q8N5U6_IDR_603_799",0.343424482735762
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.386899955848961
"Q8N5Y2_IDR_93_168",0.613100044151039
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.52456813760549
"Q8N612_IDR_835_915",0.47543186239451
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.534818806050613
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.493755170699837
"Q8N6P7_IDR_409_480",0.506244829300163
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.340163656597909
"Q8N6U8_IDR_350_455",0.313721508408615
"Q8N6U8_IDR_496_529",0.346114834993475
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.512628526667253
"Q8N7G0_IDR_264_328",0.334704619264399
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.512670583585013
"Q8N7P1_IDR_505_536",0.487329416414987
"Q8N7R1_IDR_1_139",0.489406966451528
"Q8N7R1_IDR_144_296",0.510593033548472
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.151172696383065
"Q8N7X0_IDR_1_41",0.136620016431363
"Q8N7X0_IDR_305_407",0.136332612187636
"Q8N7X0_IDR_524_627",0.13321779955065
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.479527870113375
"Q8N878_IDR_333_499",0.520472129886625
"Q8N883_IDR_552_585",0.513874330464787
"Q8N883_IDR_61_245",0.486125669535213
"Q8N895_IDR_1_308",0.325565218783459
"Q8N895_IDR_372_422",0.333304992100667
"Q8N895_IDR_480_718",0.341129789115874
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.5118400055609
"Q8N8E2_IDR_479_541",0.488159994439101
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.473850272791383
"Q8N8G2_IDR_20_76",0.526149727208617
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.490833855913476
"Q8N8R5_IDR_204_247",0.509166144086524
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.51704803446804
"Q8N8U3_IDR_397_427",0.48295196553196
"Q8N8V4_IDR_157_233",0.48778044885925
"Q8N8V4_IDR_237_343",0.51221955114075
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.490217053125166
"Q8N8Z6_IDR_416_715",0.509782946874834
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.39114364681
"Q8N9B5_IDR_940_988",0.295429645262615
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.393194491582172
"Q8N9I0_IDR_88_138",0.606805508417828
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.49380312667404
"Q8N9K5_IDR_1_36",0.50619687332596
"Q8N9L1_IDR_1_63",0.492164299959674
"Q8N9L1_IDR_277_334",0.507835700040326
"Q8N9M1_IDR_107_422",0.612768759762927
"Q8N9M1_IDR_1_49",0.387231240237073
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.329846499902997
"Q8N9N5_IDR_1_47",0.354595723687412
"Q8N9N5_IDR_321_374",0.315557776409591
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.503138653417671
"Q8N9R8_IDR_377_411",0.496861346582329
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.54726434604724
"Q8N9Z0_IDR_77_172",1
