"","GO0006820_anion_transport"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.520468554713067
"Q8N196_IDR_235_739",0.479531445286933
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.521197954446647
"Q8N1C3_IDR_361_403",0.478802045553353
"Q8N1F8_IDR_334_534",0.494692154251264
"Q8N1F8_IDR_723_773",0.505307845748736
"Q8N1G0_IDR_1158_1198",0.177335050192162
"Q8N1G0_IDR_1_85",0.305592290604805
"Q8N1G0_IDR_608_672",0.183046651374989
"Q8N1G0_IDR_861_1155",0.173482569152179
"Q8N1G0_IDR_87_504",0.160543438675865
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.48046084207235
"Q8N228_IDR_1_90",0.53217407149618
"Q8N228_IDR_210_341",0.46782592850382
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.448732562425375
"Q8N2C3_IDR_165_214",0.551267437574625
"Q8N2C7_IDR_1300_1451",0.102087903598565
"Q8N2C7_IDR_1507_1554",0.104713429172724
"Q8N2C7_IDR_1770_1837",0.10068365014263
"Q8N2C7_IDR_241_322",0.0963509210812453
"Q8N2C7_IDR_2428_2474",0.109550002536278
"Q8N2C7_IDR_2755_2786",0.098372403728251
"Q8N2C7_IDR_2912_3214",0.096476570609589
"Q8N2C7_IDR_363_584",0.100199516714262
"Q8N2C7_IDR_693_781",0.0969508827322782
"Q8N2C7_IDR_963_1171",0.0946147196841775
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.323736227763012
"Q8N302_IDR_522_621",0.332192681965597
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.525163297350198
"Q8N309_IDR_506_549",0.474836702649802
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.338382054317261
"Q8N344_IDR_348_473",0.307089698626366
"Q8N344_IDR_97_194",0.354528247056373
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.335206945488003
"Q8N365_IDR_198_243",0.334582877737892
"Q8N365_IDR_300_385",0.330210176774104
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.383317783354499
"Q8N392_IDR_19_78",0.306066153545749
"Q8N392_IDR_538_572",0.310616063099752
"Q8N393_IDR_63_241",0.499248361470549
"Q8N3C7_IDR_352_480",0.320851749893907
"Q8N3C7_IDR_556_618",0.317156674801961
"Q8N3D4_IDR_1081_1132",0.26844427144869
"Q8N3D4_IDR_1138_1370",0.245635498991649
"Q8N3D4_IDR_120_150",0.258695495860128
"Q8N3D4_IDR_161_1074",0.227224733699533
"Q8N3E9_IDR_1_55",0.478950919752322
"Q8N3E9_IDR_486_519",0.521049080247678
"Q8N3F8_IDR_111_159",0.345414984455684
"Q8N3F8_IDR_219_677",0.308737514035687
"Q8N3F8_IDR_821_863",0.345847501508629
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.495273377931138
"Q8N3J2_IDR_47_77",0.504726622068862
"Q8N3J3_IDR_1_444",0.434079444393779
"Q8N3J3_IDR_577_647",0.56592055560622
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.530853348157874
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.564503047421471
"Q8N3Z6_IDR_384_543",0.43549695257853
"Q8N412_IDR_1_162",0.489546430944255
"Q8N412_IDR_268_303",0.510453569055745
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.508885320917089
"Q8N441_IDR_403_446",0.491114679082911
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.534058302366893
"Q8N448_IDR_425_459",0.465941697633107
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.533885438700651
"Q8N4L4_IDR_63_309",0.466114561299349
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.545586507250977
"Q8N4N8_IDR_84_180",0.454413492749023
"Q8N4P6_IDR_1_53",0.485362166706918
"Q8N4P6_IDR_333_439",0.514637833293082
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.492782035441299
"Q8N4S9_IDR_368_436",0.507217964558701
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.350239927506199
"Q8N573_IDR_148_203",0.314601210236988
"Q8N573_IDR_1_67",0.338497890208467
"Q8N573_IDR_281_586",0.346900899554545
"Q8N587_IDR_1_45",0.484146382599981
"Q8N587_IDR_52_190",0.515853617400019
"Q8N594_IDR_169_234",0.541516638764145
"Q8N594_IDR_1_72",0.458483361235855
"Q8N5A5_IDR_270_367",0.345410742594959
"Q8N5A5_IDR_369_466",0.314385998141224
"Q8N5A5_IDR_64_126",0.340203259263817
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.503611468208052
"Q8N5C6_IDR_789_819",0.496388531791948
"Q8N5C7_IDR_1_33",0.525629064814205
"Q8N5C7_IDR_165_195",0.474370935185795
"Q8N5C8_IDR_48_533",0.476723630838439
"Q8N5C8_IDR_618_684",0.523276369161561
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.506027919335688
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.307132567424339
"Q8N5U6_IDR_406_501",0.366002186227751
"Q8N5U6_IDR_603_799",0.326865246347909
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.497338800204348
"Q8N5Y2_IDR_93_168",0.502661199795651
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.494765197911534
"Q8N612_IDR_835_915",0.505234802088466
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.545902239198782
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.4658759253094
"Q8N6P7_IDR_409_480",0.5341240746906
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.330116448152446
"Q8N6U8_IDR_350_455",0.331487866834141
"Q8N6U8_IDR_496_529",0.338395685013413
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.478896701778003
"Q8N7G0_IDR_264_328",0.333470506591835
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.493969200593213
"Q8N7P1_IDR_505_536",0.506030799406787
"Q8N7R1_IDR_1_139",0.471144100035394
"Q8N7R1_IDR_144_296",0.528855899964606
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.13859687589712
"Q8N7X0_IDR_1_41",0.130463248251336
"Q8N7X0_IDR_305_407",0.135347023743854
"Q8N7X0_IDR_524_627",0.19497583468635
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.499672172937299
"Q8N878_IDR_333_499",0.500327827062701
"Q8N883_IDR_552_585",0.465811825151643
"Q8N883_IDR_61_245",0.534188174848357
"Q8N895_IDR_1_308",0.315165219874913
"Q8N895_IDR_372_422",0.330545886046324
"Q8N895_IDR_480_718",0.354288894078763
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.498896858767558
"Q8N8E2_IDR_479_541",0.501103141232442
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.46587324623454
"Q8N8G2_IDR_20_76",0.53412675376546
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.446482806247471
"Q8N8R5_IDR_204_247",0.553517193752529
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.49933217305569
"Q8N8U3_IDR_397_427",0.50066782694431
"Q8N8V4_IDR_157_233",0.46437002452834
"Q8N8V4_IDR_237_343",0.53562997547166
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.452192976625729
"Q8N8Z6_IDR_416_715",0.547807023374271
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.32014030524142
"Q8N9B5_IDR_940_988",0.368193138195678
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.511725805402882
"Q8N9I0_IDR_88_138",0.488274194597118
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.516297522480307
"Q8N9K5_IDR_1_36",0.483702477519693
"Q8N9L1_IDR_1_63",0.497949324041003
"Q8N9L1_IDR_277_334",0.502050675958997
"Q8N9M1_IDR_107_422",0.498095780580683
"Q8N9M1_IDR_1_49",0.501904219419317
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.340653975055086
"Q8N9N5_IDR_1_47",0.345285914561354
"Q8N9N5_IDR_321_374",0.31406011038356
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.482532304974442
"Q8N9R8_IDR_377_411",0.517467695025558
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.489900361394821
"Q8N9Z0_IDR_77_172",1
