"","GO0015085_calcium_ion_transmembrane_transporter_activity"
"Q8N137_IDR_442_797",0.328586439279458
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.52085474012592
"Q8N196_IDR_235_739",0.47914525987408
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.496938585059058
"Q8N1C3_IDR_361_403",0.503061414940942
"Q8N1F8_IDR_334_534",0.498157870778446
"Q8N1F8_IDR_723_773",0.501842129221554
"Q8N1G0_IDR_1158_1198",0.212739181458101
"Q8N1G0_IDR_1_85",0.204559995439545
"Q8N1G0_IDR_608_672",0.19351270218523
"Q8N1G0_IDR_861_1155",0.201435401431696
"Q8N1G0_IDR_87_504",0.187752719485428
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.514278057891518
"Q8N228_IDR_1_90",0.481064185651715
"Q8N228_IDR_210_341",0.518935814348285
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.486977217093798
"Q8N2C3_IDR_165_214",0.513022782906202
"Q8N2C7_IDR_1300_1451",0.102678438789946
"Q8N2C7_IDR_1507_1554",0.0945035698465939
"Q8N2C7_IDR_1770_1837",0.101419857192279
"Q8N2C7_IDR_241_322",0.0931049926148877
"Q8N2C7_IDR_2428_2474",0.0972886834995948
"Q8N2C7_IDR_2755_2786",0.0945064191387886
"Q8N2C7_IDR_2912_3214",0.105202047017775
"Q8N2C7_IDR_363_584",0.10244436161736
"Q8N2C7_IDR_693_781",0.0999269783948804
"Q8N2C7_IDR_963_1171",0.108924651887894
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.331096281113883
"Q8N302_IDR_522_621",0.351102393051384
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.516325118963923
"Q8N309_IDR_506_549",0.483674881036077
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.342146323246376
"Q8N344_IDR_348_473",0.334571411981032
"Q8N344_IDR_97_194",0.323282264772591
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.328919217085279
"Q8N365_IDR_198_243",0.342952232359258
"Q8N365_IDR_300_385",0.328128550555463
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.309297070983741
"Q8N392_IDR_19_78",0.364527434713971
"Q8N392_IDR_538_572",0.326175494302288
"Q8N393_IDR_63_241",0.499065432422522
"Q8N3C7_IDR_352_480",0.297432478145589
"Q8N3C7_IDR_556_618",0.388338197070325
"Q8N3D4_IDR_1081_1132",0.255964030145842
"Q8N3D4_IDR_1138_1370",0.257298321121486
"Q8N3D4_IDR_120_150",0.252150589370323
"Q8N3D4_IDR_161_1074",0.23458705936235
"Q8N3E9_IDR_1_55",0.510544048680834
"Q8N3E9_IDR_486_519",0.489455951319167
"Q8N3F8_IDR_111_159",0.336913510699712
"Q8N3F8_IDR_219_677",0.324992427187949
"Q8N3F8_IDR_821_863",0.338094062112339
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.50262167888266
"Q8N3J2_IDR_47_77",0.49737832111734
"Q8N3J3_IDR_1_444",0.481162795408688
"Q8N3J3_IDR_577_647",0.518837204591312
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.495311558531793
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.465372841129972
"Q8N3Z6_IDR_384_543",0.534627158870028
"Q8N412_IDR_1_162",0.504924240879464
"Q8N412_IDR_268_303",0.495075759120536
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.508906285768049
"Q8N441_IDR_403_446",0.491093714231951
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.465971959192001
"Q8N448_IDR_425_459",0.534028040807999
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.490481747519321
"Q8N4L4_IDR_63_309",0.509518252480679
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.518497297494051
"Q8N4N8_IDR_84_180",0.481502702505949
"Q8N4P6_IDR_1_53",0.519203310811493
"Q8N4P6_IDR_333_439",0.480796689188507
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.492747634191783
"Q8N4S9_IDR_368_436",0.507252365808217
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.31218769891364
"Q8N573_IDR_148_203",0.318467333264992
"Q8N573_IDR_1_67",0.300184356187642
"Q8N573_IDR_281_586",0.381348310547366
"Q8N587_IDR_1_45",0.50160846909929
"Q8N587_IDR_52_190",0.49839153090071
"Q8N594_IDR_169_234",0.495228262284731
"Q8N594_IDR_1_72",0.504771737715269
"Q8N5A5_IDR_270_367",0.342449737117473
"Q8N5A5_IDR_369_466",0.335336378105495
"Q8N5A5_IDR_64_126",0.322213884777032
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.492662169626932
"Q8N5C6_IDR_789_819",0.507337830373068
"Q8N5C7_IDR_1_33",0.491258607293048
"Q8N5C7_IDR_165_195",0.508741392706952
"Q8N5C8_IDR_48_533",0.494723136553801
"Q8N5C8_IDR_618_684",0.505276863446199
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.498281930742654
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.348717674688009
"Q8N5U6_IDR_406_501",0.325532848836085
"Q8N5U6_IDR_603_799",0.325749476475906
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.48059972878445
"Q8N5Y2_IDR_93_168",0.51940027121555
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.464557908358635
"Q8N612_IDR_835_915",0.535442091641365
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.495437074764359
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.500232085626936
"Q8N6P7_IDR_409_480",0.499767914373064
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.296586669528335
"Q8N6U8_IDR_350_455",0.414092191843073
"Q8N6U8_IDR_496_529",0.289321138628592
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.522187704480781
"Q8N7G0_IDR_264_328",0.331624887236475
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.49482958206737
"Q8N7P1_IDR_505_536",0.50517041793263
"Q8N7R1_IDR_1_139",0.494822130590075
"Q8N7R1_IDR_144_296",0.505177869409925
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.143056234692074
"Q8N7X0_IDR_1_41",0.149681652785922
"Q8N7X0_IDR_305_407",0.146057108343449
"Q8N7X0_IDR_524_627",0.137526518330083
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.457333931941308
"Q8N878_IDR_333_499",0.542666068058692
"Q8N883_IDR_552_585",0.522110202795147
"Q8N883_IDR_61_245",0.477889797204853
"Q8N895_IDR_1_308",0.312231602702362
"Q8N895_IDR_372_422",0.326949824825318
"Q8N895_IDR_480_718",0.36081857247232
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.556361600329109
"Q8N8E2_IDR_479_541",0.443638399670891
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.530252970519086
"Q8N8G2_IDR_20_76",0.469747029480913
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.4955021793454
"Q8N8R5_IDR_204_247",0.5044978206546
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.482555821173709
"Q8N8U3_IDR_397_427",0.517444178826291
"Q8N8V4_IDR_157_233",0.525897893179615
"Q8N8V4_IDR_237_343",0.474102106820385
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.51129383640347
"Q8N8Z6_IDR_416_715",0.48870616359653
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.374620108452716
"Q8N9B5_IDR_940_988",0.317662496799648
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.486761072718001
"Q8N9I0_IDR_88_138",0.513238927281999
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.51400382927003
"Q8N9K5_IDR_1_36",0.48599617072997
"Q8N9L1_IDR_1_63",0.488211434809315
"Q8N9L1_IDR_277_334",0.511788565190686
"Q8N9M1_IDR_107_422",0.482894432293183
"Q8N9M1_IDR_1_49",0.517105567706817
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.341353644910563
"Q8N9N5_IDR_1_47",0.324783272744824
"Q8N9N5_IDR_321_374",0.333863082344613
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.501683403610295
"Q8N9R8_IDR_377_411",0.498316596389705
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.496002461121659
