"","GO0043547_positive_regulation_of_GTPase_activity"
"Q8N137_IDR_442_797",0.332299821622855
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.502158022584818
"Q8N196_IDR_235_739",0.497841977415182
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.495002870079752
"Q8N1C3_IDR_361_403",0.504997129920248
"Q8N1F8_IDR_334_534",0.497318224498565
"Q8N1F8_IDR_723_773",0.502681775501435
"Q8N1G0_IDR_1158_1198",0.206230304714351
"Q8N1G0_IDR_1_85",0.201828316724728
"Q8N1G0_IDR_608_672",0.197836504088299
"Q8N1G0_IDR_861_1155",0.187882203051827
"Q8N1G0_IDR_87_504",0.206222671420796
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.573108732098031
"Q8N228_IDR_1_90",0.386491270364709
"Q8N228_IDR_210_341",0.613508729635291
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.532104888582678
"Q8N2C3_IDR_165_214",0.467895111417322
"Q8N2C7_IDR_1300_1451",0.0845254459646977
"Q8N2C7_IDR_1507_1554",0.0826171390015962
"Q8N2C7_IDR_1770_1837",0.0943730564859832
"Q8N2C7_IDR_241_322",0.104254239575925
"Q8N2C7_IDR_2428_2474",0.0832070323332713
"Q8N2C7_IDR_2755_2786",0.0866833274126385
"Q8N2C7_IDR_2912_3214",0.190432439551001
"Q8N2C7_IDR_363_584",0.0885169820284349
"Q8N2C7_IDR_693_781",0.0833812683033421
"Q8N2C7_IDR_963_1171",0.10200906934311
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.325734535839971
"Q8N302_IDR_522_621",0.332683086041995
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.531888163153972
"Q8N309_IDR_506_549",0.468111836846028
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.340665964272912
"Q8N344_IDR_348_473",0.329800189435952
"Q8N344_IDR_97_194",0.329533846291135
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.329762265303139
"Q8N365_IDR_198_243",0.323817942871202
"Q8N365_IDR_300_385",0.346419791825659
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.313428336900937
"Q8N392_IDR_19_78",0.362012699896591
"Q8N392_IDR_538_572",0.324558963202472
"Q8N393_IDR_63_241",0.50575153404455
"Q8N3C7_IDR_352_480",0.289549735396378
"Q8N3C7_IDR_556_618",0.454850592035666
"Q8N3D4_IDR_1081_1132",0.24128002151813
"Q8N3D4_IDR_1138_1370",0.280431347811212
"Q8N3D4_IDR_120_150",0.245082548803821
"Q8N3D4_IDR_161_1074",0.233206081866837
"Q8N3E9_IDR_1_55",0.507094606356513
"Q8N3E9_IDR_486_519",0.492905393643487
"Q8N3F8_IDR_111_159",0.309633272657019
"Q8N3F8_IDR_219_677",0.407793926905341
"Q8N3F8_IDR_821_863",0.28257280043764
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.489161048767431
"Q8N3J2_IDR_47_77",0.510838951232569
"Q8N3J3_IDR_1_444",0.574319574760171
"Q8N3J3_IDR_577_647",0.425680425239829
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.495351188785241
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.512161950384185
"Q8N3Z6_IDR_384_543",0.487838049615815
"Q8N412_IDR_1_162",0.495915282994787
"Q8N412_IDR_268_303",0.504084717005213
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.501943120262449
"Q8N441_IDR_403_446",0.498056879737551
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.495323215874479
"Q8N448_IDR_425_459",0.504676784125521
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.501461275063183
"Q8N4L4_IDR_63_309",0.498538724936817
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.504591821339633
"Q8N4N8_IDR_84_180",0.495408178660367
"Q8N4P6_IDR_1_53",0.505887096990822
"Q8N4P6_IDR_333_439",0.494112903009178
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.520297814416441
"Q8N4S9_IDR_368_436",0.479702185583559
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.311500241556268
"Q8N573_IDR_148_203",0.341991977622965
"Q8N573_IDR_1_67",0.320003730533091
"Q8N573_IDR_281_586",0.338004291843944
"Q8N587_IDR_1_45",0.503232904672697
"Q8N587_IDR_52_190",0.496767095327303
"Q8N594_IDR_169_234",0.488244362280326
"Q8N594_IDR_1_72",0.511755637719674
"Q8N5A5_IDR_270_367",0.320042704286561
"Q8N5A5_IDR_369_466",0.348683779782492
"Q8N5A5_IDR_64_126",0.331273515930947
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.51007006201012
"Q8N5C6_IDR_789_819",0.48992993798988
"Q8N5C7_IDR_1_33",0.50477868345586
"Q8N5C7_IDR_165_195",0.49522131654414
"Q8N5C8_IDR_48_533",0.511281934257331
"Q8N5C8_IDR_618_684",0.488718065742669
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.495271549576626
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.334505810180198
"Q8N5U6_IDR_406_501",0.344830993002996
"Q8N5U6_IDR_603_799",0.320663196816806
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.554411371034671
"Q8N5Y2_IDR_93_168",0.445588628965329
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.516833270283427
"Q8N612_IDR_835_915",0.483166729716573
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.527326751985517
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.491347275885297
"Q8N6P7_IDR_409_480",0.508652724114703
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.302509508836273
"Q8N6U8_IDR_350_455",0.423216835683831
"Q8N6U8_IDR_496_529",0.274273655479897
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.483601467034905
"Q8N7G0_IDR_264_328",0.343498492733797
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.49864826215183
"Q8N7P1_IDR_505_536",0.50135173784817
"Q8N7R1_IDR_1_139",0.506211881927763
"Q8N7R1_IDR_144_296",0.493788118072237
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.146064409815292
"Q8N7X0_IDR_1_41",0.152621205035016
"Q8N7X0_IDR_305_407",0.142443572156409
"Q8N7X0_IDR_524_627",0.141885201754939
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.466100638131568
"Q8N878_IDR_333_499",0.533899361868432
"Q8N883_IDR_552_585",0.499612769713204
"Q8N883_IDR_61_245",0.500387230286796
"Q8N895_IDR_1_308",0.319054460290197
"Q8N895_IDR_372_422",0.346536118510182
"Q8N895_IDR_480_718",0.334409421199621
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.51131759766698
"Q8N8E2_IDR_479_541",0.48868240233302
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.499027972516296
"Q8N8G2_IDR_20_76",0.500972027483704
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.506729831234406
"Q8N8R5_IDR_204_247",0.493270168765594
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.488852002495341
"Q8N8U3_IDR_397_427",0.511147997504659
"Q8N8V4_IDR_157_233",0.507527496043233
"Q8N8V4_IDR_237_343",0.492472503956767
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.481982432355145
"Q8N8Z6_IDR_416_715",0.518017567644855
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.430996024986706
"Q8N9B5_IDR_940_988",0.270641682410125
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.507365381164096
"Q8N9I0_IDR_88_138",0.492634618835903
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.516055797606801
"Q8N9K5_IDR_1_36",0.483944202393199
"Q8N9L1_IDR_1_63",0.494977855149446
"Q8N9L1_IDR_277_334",0.505022144850554
"Q8N9M1_IDR_107_422",0.507863069951114
"Q8N9M1_IDR_1_49",0.492136930048886
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.332221771643872
"Q8N9N5_IDR_1_47",0.307582484577592
"Q8N9N5_IDR_321_374",0.360195743778535
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.506974911459552
"Q8N9R8_IDR_377_411",0.493025088540448
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.524723828948324
