"","GO0032774_RNA_biosynthetic_process"
"Q8N137_IDR_442_797",0.415908535635431
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.550757539170984
"Q8N196_IDR_235_739",0.449242460829016
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.469241818990819
"Q8N1C3_IDR_361_403",0.530758181009181
"Q8N1F8_IDR_334_534",0.421028685441563
"Q8N1F8_IDR_723_773",0.578971314558437
"Q8N1G0_IDR_1158_1198",0.156358491246497
"Q8N1G0_IDR_1_85",0.160455176377778
"Q8N1G0_IDR_608_672",0.144310118179968
"Q8N1G0_IDR_861_1155",0.350743329620861
"Q8N1G0_IDR_87_504",0.188132884574896
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.50165904744501
"Q8N228_IDR_1_90",0.466906036533915
"Q8N228_IDR_210_341",0.533093963466085
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.510821336883312
"Q8N2C3_IDR_165_214",0.489178663116688
"Q8N2C7_IDR_1300_1451",0.0799636843134883
"Q8N2C7_IDR_1507_1554",0.0909737442003371
"Q8N2C7_IDR_1770_1837",0.103035556093413
"Q8N2C7_IDR_241_322",0.106445445046625
"Q8N2C7_IDR_2428_2474",0.11028119099531
"Q8N2C7_IDR_2755_2786",0.0995666800590266
"Q8N2C7_IDR_2912_3214",0.104177671527221
"Q8N2C7_IDR_363_584",0.120605679247395
"Q8N2C7_IDR_693_781",0.0999111462186588
"Q8N2C7_IDR_963_1171",0.0850392022985254
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.338349689712795
"Q8N302_IDR_522_621",0.302118430806114
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.520921979351034
"Q8N309_IDR_506_549",0.479078020648966
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.317267464434915
"Q8N344_IDR_348_473",0.316486011953336
"Q8N344_IDR_97_194",0.366246523611749
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.291642277660124
"Q8N365_IDR_198_243",0.363233075967572
"Q8N365_IDR_300_385",0.345124646372304
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.320762856794771
"Q8N392_IDR_19_78",0.394875898979466
"Q8N392_IDR_538_572",0.284361244225763
"Q8N393_IDR_63_241",0.507938400192028
"Q8N3C7_IDR_352_480",0.390597426965168
"Q8N3C7_IDR_556_618",0.337315861988991
"Q8N3D4_IDR_1081_1132",0.266369463702483
"Q8N3D4_IDR_1138_1370",0.235867904653661
"Q8N3D4_IDR_120_150",0.255376160792127
"Q8N3D4_IDR_161_1074",0.242386470851729
"Q8N3E9_IDR_1_55",0.619538315395499
"Q8N3E9_IDR_486_519",0.380461684604501
"Q8N3F8_IDR_111_159",0.344114793204009
"Q8N3F8_IDR_219_677",0.309690635971168
"Q8N3F8_IDR_821_863",0.346194570824824
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.528901617228972
"Q8N3J2_IDR_47_77",0.471098382771028
"Q8N3J3_IDR_1_444",0.529332832743737
"Q8N3J3_IDR_577_647",0.470667167256263
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.384294024443233
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.43445463327069
"Q8N3Z6_IDR_384_543",0.56554536672931
"Q8N412_IDR_1_162",0.469211062802884
"Q8N412_IDR_268_303",0.530788937197116
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.41208422195276
"Q8N441_IDR_403_446",0.58791577804724
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.395986863342813
"Q8N448_IDR_425_459",0.604013136657187
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.399873307079763
"Q8N4L4_IDR_63_309",0.600126692920237
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.547901099906167
"Q8N4N8_IDR_84_180",0.452098900093833
"Q8N4P6_IDR_1_53",0.431990134700303
"Q8N4P6_IDR_333_439",0.568009865299697
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.436189008003914
"Q8N4S9_IDR_368_436",0.563810991996086
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.334488735521272
"Q8N573_IDR_148_203",0.354874242295165
"Q8N573_IDR_1_67",0.310456808949469
"Q8N573_IDR_281_586",0.334668948755365
"Q8N587_IDR_1_45",0.470848647442309
"Q8N587_IDR_52_190",0.529151352557691
"Q8N594_IDR_169_234",0.483489388432617
"Q8N594_IDR_1_72",0.516510611567383
"Q8N5A5_IDR_270_367",0.385299402766496
"Q8N5A5_IDR_369_466",0.289994833712001
"Q8N5A5_IDR_64_126",0.324705763521503
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.54380368129075
"Q8N5C6_IDR_789_819",0.45619631870925
"Q8N5C7_IDR_1_33",0.489380206864977
"Q8N5C7_IDR_165_195",0.510619793135023
"Q8N5C8_IDR_48_533",0.754932872023111
"Q8N5C8_IDR_618_684",0.245067127976889
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.512064984476155
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.358525175002998
"Q8N5U6_IDR_406_501",0.308709751216184
"Q8N5U6_IDR_603_799",0.332765073780818
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.453628974865226
"Q8N5Y2_IDR_93_168",0.546371025134774
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.485506927546628
"Q8N612_IDR_835_915",0.514493072453372
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.502564115153948
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.511742466536049
"Q8N6P7_IDR_409_480",0.488257533463951
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.316008265927771
"Q8N6U8_IDR_350_455",0.376068766234264
"Q8N6U8_IDR_496_529",0.307922967837965
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.555778275416592
"Q8N7G0_IDR_264_328",0.235467509985637
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.497097460352088
"Q8N7P1_IDR_505_536",0.502902539647912
"Q8N7R1_IDR_1_139",0.501676457003112
"Q8N7R1_IDR_144_296",0.498323542996888
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.143039042763068
"Q8N7X0_IDR_1_41",0.206529880303066
"Q8N7X0_IDR_305_407",0.128312482866729
"Q8N7X0_IDR_524_627",0.133963491021684
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.500406103633513
"Q8N878_IDR_333_499",0.499593896366486
"Q8N883_IDR_552_585",0.507716657458733
"Q8N883_IDR_61_245",0.492283342541267
"Q8N895_IDR_1_308",0.424675171918102
"Q8N895_IDR_372_422",0.237749862719264
"Q8N895_IDR_480_718",0.337574965362634
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.632572058314772
"Q8N8E2_IDR_479_541",0.367427941685228
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.591970717678613
"Q8N8G2_IDR_20_76",0.408029282321387
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.389909189956597
"Q8N8R5_IDR_204_247",0.610090810043403
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.477057105758601
"Q8N8U3_IDR_397_427",0.522942894241399
"Q8N8V4_IDR_157_233",0.545054905072522
"Q8N8V4_IDR_237_343",0.454945094927478
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.453173131199281
"Q8N8Z6_IDR_416_715",0.546826868800719
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.31839992142899
"Q8N9B5_IDR_940_988",0.346960067470306
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.515361012658744
"Q8N9I0_IDR_88_138",0.484638987341256
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.485840321939682
"Q8N9K5_IDR_1_36",0.514159678060318
"Q8N9L1_IDR_1_63",0.652293151610765
"Q8N9L1_IDR_277_334",0.347706848389235
"Q8N9M1_IDR_107_422",0.402760345449705
"Q8N9M1_IDR_1_49",0.597239654550295
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.330109988259223
"Q8N9N5_IDR_1_47",0.317687524255385
"Q8N9N5_IDR_321_374",0.352202487485392
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.508681304999788
"Q8N9R8_IDR_377_411",0.491318695000212
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.59410943086517
"Q8N9Z0_IDR_77_172",1
