"","GO0008283_cell_population_proliferation"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.492015464435
"Q8N196_IDR_235_739",0.507984535565
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.51920175361363
"Q8N1C3_IDR_361_403",0.48079824638637
"Q8N1F8_IDR_334_534",0.497466060635093
"Q8N1F8_IDR_723_773",0.502533939364907
"Q8N1G0_IDR_1158_1198",0.198939890601705
"Q8N1G0_IDR_1_85",0.208393509162403
"Q8N1G0_IDR_608_672",0.207453029545322
"Q8N1G0_IDR_861_1155",0.194280460620958
"Q8N1G0_IDR_87_504",0.190933110069612
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.528728063571102
"Q8N228_IDR_1_90",0.509032362571183
"Q8N228_IDR_210_341",0.490967637428817
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.515556806943661
"Q8N2C3_IDR_165_214",0.484443193056339
"Q8N2C7_IDR_1300_1451",0.100300855689491
"Q8N2C7_IDR_1507_1554",0.0969989867710497
"Q8N2C7_IDR_1770_1837",0.0980666053185757
"Q8N2C7_IDR_241_322",0.0985716287166701
"Q8N2C7_IDR_2428_2474",0.10226185506531
"Q8N2C7_IDR_2755_2786",0.100294233572513
"Q8N2C7_IDR_2912_3214",0.0955442029806842
"Q8N2C7_IDR_363_584",0.0995983010182031
"Q8N2C7_IDR_693_781",0.0926150920685281
"Q8N2C7_IDR_963_1171",0.115748238798974
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.318807036885365
"Q8N302_IDR_522_621",0.331597491298246
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.518176706808442
"Q8N309_IDR_506_549",0.481823293191558
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.338748360633954
"Q8N344_IDR_348_473",0.3394013476934
"Q8N344_IDR_97_194",0.321850291672647
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.332587058699053
"Q8N365_IDR_198_243",0.340165043562121
"Q8N365_IDR_300_385",0.327247897738826
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.331358696261413
"Q8N392_IDR_19_78",0.342447383744202
"Q8N392_IDR_538_572",0.326193919994385
"Q8N393_IDR_63_241",0.499356670785947
"Q8N3C7_IDR_352_480",0.315224113907943
"Q8N3C7_IDR_556_618",0.340115097802806
"Q8N3D4_IDR_1081_1132",0.261633433405545
"Q8N3D4_IDR_1138_1370",0.24601041385613
"Q8N3D4_IDR_120_150",0.261485451242305
"Q8N3D4_IDR_161_1074",0.23087070149602
"Q8N3E9_IDR_1_55",0.51319995188188
"Q8N3E9_IDR_486_519",0.48680004811812
"Q8N3F8_IDR_111_159",0.342735659747867
"Q8N3F8_IDR_219_677",0.314642874626603
"Q8N3F8_IDR_821_863",0.34262146562553
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.494004392472203
"Q8N3J2_IDR_47_77",0.505995607527797
"Q8N3J3_IDR_1_444",0.49669298221873
"Q8N3J3_IDR_577_647",0.50330701778127
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.499275630918055
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.508352516952202
"Q8N3Z6_IDR_384_543",0.491647483047798
"Q8N412_IDR_1_162",0.509953035638462
"Q8N412_IDR_268_303",0.490046964361538
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.525643167382586
"Q8N441_IDR_403_446",0.474356832617414
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.48975039104118
"Q8N448_IDR_425_459",0.51024960895882
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.503716531725351
"Q8N4L4_IDR_63_309",0.496283468274649
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.467383607606391
"Q8N4N8_IDR_84_180",0.532616392393609
"Q8N4P6_IDR_1_53",0.509386108775278
"Q8N4P6_IDR_333_439",0.490613891224722
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.501557729253393
"Q8N4S9_IDR_368_436",0.498442270746607
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.339290217056501
"Q8N573_IDR_148_203",0.33635142473533
"Q8N573_IDR_1_67",0.341957393779458
"Q8N573_IDR_281_586",0.321691181485212
"Q8N587_IDR_1_45",0.493788930219819
"Q8N587_IDR_52_190",0.506211069780181
"Q8N594_IDR_169_234",0.494500332763896
"Q8N594_IDR_1_72",0.505499667236104
"Q8N5A5_IDR_270_367",0.333164788758864
"Q8N5A5_IDR_369_466",0.353161163726821
"Q8N5A5_IDR_64_126",0.313674047514315
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.490523546015789
"Q8N5C6_IDR_789_819",0.509476453984211
"Q8N5C7_IDR_1_33",0.510003968985861
"Q8N5C7_IDR_165_195",0.489996031014139
"Q8N5C8_IDR_48_533",0.510431238063818
"Q8N5C8_IDR_618_684",0.489568761936182
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.531477695888378
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.320261315662886
"Q8N5U6_IDR_406_501",0.329004736771437
"Q8N5U6_IDR_603_799",0.350733947565676
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.513446200294974
"Q8N5Y2_IDR_93_168",0.486553799705026
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.497099012087817
"Q8N612_IDR_835_915",0.502900987912183
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.48091682692366
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.487213619285524
"Q8N6P7_IDR_409_480",0.512786380714476
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.321775317628796
"Q8N6U8_IDR_350_455",0.347081073791059
"Q8N6U8_IDR_496_529",0.331143608580145
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.490395096812217
"Q8N7G0_IDR_264_328",0.336557448617422
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.506394251829133
"Q8N7P1_IDR_505_536",0.493605748170867
"Q8N7R1_IDR_1_139",0.504525975122094
"Q8N7R1_IDR_144_296",0.495474024877906
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.144769379492236
"Q8N7X0_IDR_1_41",0.141365256816884
"Q8N7X0_IDR_305_407",0.138480550049477
"Q8N7X0_IDR_524_627",0.150496541317726
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.507754787971519
"Q8N878_IDR_333_499",0.492245212028481
"Q8N883_IDR_552_585",0.495260309924958
"Q8N883_IDR_61_245",0.504739690075042
"Q8N895_IDR_1_308",0.365912317864147
"Q8N895_IDR_372_422",0.316431113220392
"Q8N895_IDR_480_718",0.317656568915462
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.529745050796331
"Q8N8E2_IDR_479_541",0.470254949203669
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.510933297643961
"Q8N8G2_IDR_20_76",0.489066702356039
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.519350879769209
"Q8N8R5_IDR_204_247",0.480649120230791
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.511009545556903
"Q8N8U3_IDR_397_427",0.488990454443097
"Q8N8V4_IDR_157_233",0.494651973740027
"Q8N8V4_IDR_237_343",0.505348026259973
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.522247377188112
"Q8N8Z6_IDR_416_715",0.477752622811888
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.336364280005841
"Q8N9B5_IDR_940_988",0.340994722398654
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.506779429708978
"Q8N9I0_IDR_88_138",0.493220570291022
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.505608086452648
"Q8N9K5_IDR_1_36",0.494391913547353
"Q8N9L1_IDR_1_63",0.504860240648738
"Q8N9L1_IDR_277_334",0.495139759351262
"Q8N9M1_IDR_107_422",0.45713652880065
"Q8N9M1_IDR_1_49",0.54286347119935
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.338134196954728
"Q8N9N5_IDR_1_47",0.329799996454812
"Q8N9N5_IDR_321_374",0.332065806590459
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.505403007750292
"Q8N9R8_IDR_377_411",0.494596992249708
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.487647861353731
"Q8N9Z0_IDR_77_172",1
