"","GO0042277_peptide_binding"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.427982046857875
"Q8N196_IDR_235_739",0.572017953142125
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.510677022103149
"Q8N1C3_IDR_361_403",0.489322977896851
"Q8N1F8_IDR_334_534",0.475976686372863
"Q8N1F8_IDR_723_773",0.524023313627137
"Q8N1G0_IDR_1158_1198",0.180907189510625
"Q8N1G0_IDR_1_85",0.190540123749624
"Q8N1G0_IDR_608_672",0.188114939743015
"Q8N1G0_IDR_861_1155",0.164374792761776
"Q8N1G0_IDR_87_504",0.276062954234959
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.496935078907768
"Q8N228_IDR_1_90",0.451553055470108
"Q8N228_IDR_210_341",0.548446944529892
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.511461627827086
"Q8N2C3_IDR_165_214",0.488538372172914
"Q8N2C7_IDR_1300_1451",0.0971965926714336
"Q8N2C7_IDR_1507_1554",0.0940953501254708
"Q8N2C7_IDR_1770_1837",0.117808485194812
"Q8N2C7_IDR_241_322",0.101039880268759
"Q8N2C7_IDR_2428_2474",0.10765384474117
"Q8N2C7_IDR_2755_2786",0.0999744136236357
"Q8N2C7_IDR_2912_3214",0.0960979810240885
"Q8N2C7_IDR_363_584",0.0958969607442609
"Q8N2C7_IDR_693_781",0.0973479151190853
"Q8N2C7_IDR_963_1171",0.0928885764872846
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.311777194944029
"Q8N302_IDR_522_621",0.324201135115161
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.501996082286179
"Q8N309_IDR_506_549",0.498003917713821
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.331263863019907
"Q8N344_IDR_348_473",0.331680788784162
"Q8N344_IDR_97_194",0.337055348195931
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.32679929426095
"Q8N365_IDR_198_243",0.323674052926853
"Q8N365_IDR_300_385",0.349526652812197
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.307267634623913
"Q8N392_IDR_19_78",0.343843474999298
"Q8N392_IDR_538_572",0.348888890376789
"Q8N393_IDR_63_241",0.495165628473708
"Q8N3C7_IDR_352_480",0.348932156906677
"Q8N3C7_IDR_556_618",0.358745296255789
"Q8N3D4_IDR_1081_1132",0.244954096200733
"Q8N3D4_IDR_1138_1370",0.240596410220954
"Q8N3D4_IDR_120_150",0.253546088255106
"Q8N3D4_IDR_161_1074",0.260903405323207
"Q8N3E9_IDR_1_55",0.480147704207388
"Q8N3E9_IDR_486_519",0.519852295792612
"Q8N3F8_IDR_111_159",0.34954142267299
"Q8N3F8_IDR_219_677",0.317196052814291
"Q8N3F8_IDR_821_863",0.333262524512718
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.472620152553737
"Q8N3J2_IDR_47_77",0.527379847446263
"Q8N3J3_IDR_1_444",0.510003267348255
"Q8N3J3_IDR_577_647",0.489996732651745
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.72123588203497
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.506876432858476
"Q8N3Z6_IDR_384_543",0.493123567141524
"Q8N412_IDR_1_162",0.535963612932352
"Q8N412_IDR_268_303",0.464036387067648
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.499401779653648
"Q8N441_IDR_403_446",0.500598220346352
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.548241170787266
"Q8N448_IDR_425_459",0.451758829212734
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.506255160539292
"Q8N4L4_IDR_63_309",0.493744839460708
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.477843949955334
"Q8N4N8_IDR_84_180",0.522156050044666
"Q8N4P6_IDR_1_53",0.486292048761738
"Q8N4P6_IDR_333_439",0.513707951238262
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.520399511157414
"Q8N4S9_IDR_368_436",0.479600488842586
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.332077810648987
"Q8N573_IDR_148_203",0.294047542672634
"Q8N573_IDR_1_67",0.380079026323421
"Q8N573_IDR_281_586",0.325873431003946
"Q8N587_IDR_1_45",0.499357465978179
"Q8N587_IDR_52_190",0.500642534021821
"Q8N594_IDR_169_234",0.490945839625266
"Q8N594_IDR_1_72",0.509054160374734
"Q8N5A5_IDR_270_367",0.334596934739418
"Q8N5A5_IDR_369_466",0.314383239158476
"Q8N5A5_IDR_64_126",0.351019826102106
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.504043989011671
"Q8N5C6_IDR_789_819",0.495956010988329
"Q8N5C7_IDR_1_33",0.534988516156803
"Q8N5C7_IDR_165_195",0.465011483843197
"Q8N5C8_IDR_48_533",0.469744554632233
"Q8N5C8_IDR_618_684",0.530255445367767
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.490847041954225
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.342302125520993
"Q8N5U6_IDR_406_501",0.339122887345814
"Q8N5U6_IDR_603_799",0.318574987133193
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.500416215983434
"Q8N5Y2_IDR_93_168",0.499583784016566
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.494757900108417
"Q8N612_IDR_835_915",0.505242099891583
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.507886733905332
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.484280521388653
"Q8N6P7_IDR_409_480",0.515719478611347
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.380537835481228
"Q8N6U8_IDR_350_455",0.324311782568427
"Q8N6U8_IDR_496_529",0.295150381950345
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.494188342500753
"Q8N7G0_IDR_264_328",0.338154601418233
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.367629156398013
"Q8N7P1_IDR_505_536",0.632370843601987
"Q8N7R1_IDR_1_139",0.496741500049614
"Q8N7R1_IDR_144_296",0.503258499950386
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.148124577157951
"Q8N7X0_IDR_1_41",0.134733207160492
"Q8N7X0_IDR_305_407",0.137489495225856
"Q8N7X0_IDR_524_627",0.166137804756534
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.516905039134821
"Q8N878_IDR_333_499",0.483094960865179
"Q8N883_IDR_552_585",0.492579954617197
"Q8N883_IDR_61_245",0.507420045382803
"Q8N895_IDR_1_308",0.313285263022954
"Q8N895_IDR_372_422",0.332471148708307
"Q8N895_IDR_480_718",0.354243588268739
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.485333031631314
"Q8N8E2_IDR_479_541",0.514666968368686
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.517175893468993
"Q8N8G2_IDR_20_76",0.482824106531007
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.47197347680464
"Q8N8R5_IDR_204_247",0.52802652319536
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.468123787931034
"Q8N8U3_IDR_397_427",0.531876212068966
"Q8N8V4_IDR_157_233",0.539733413473927
"Q8N8V4_IDR_237_343",0.460266586526073
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.493445876934663
"Q8N8Z6_IDR_416_715",0.506554123065337
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.311149377279381
"Q8N9B5_IDR_940_988",0.342323348607435
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.610391983885597
"Q8N9I0_IDR_88_138",0.389608016114403
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.488634220631309
"Q8N9K5_IDR_1_36",0.511365779368691
"Q8N9L1_IDR_1_63",0.491007145006287
"Q8N9L1_IDR_277_334",0.508992854993713
"Q8N9M1_IDR_107_422",0.484629359689915
"Q8N9M1_IDR_1_49",0.515370640310085
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.341317594822351
"Q8N9N5_IDR_1_47",0.312671959886701
"Q8N9N5_IDR_321_374",0.346010445290948
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.502689114598382
"Q8N9R8_IDR_377_411",0.497310885401618
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.483943860855614
"Q8N9Z0_IDR_77_172",1
