"","GO0034470_ncRNA_processing"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.540860051779696
"Q8N196_IDR_235_739",0.459139948220304
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.479643214346072
"Q8N1C3_IDR_361_403",0.520356785653928
"Q8N1F8_IDR_334_534",0.56368943759738
"Q8N1F8_IDR_723_773",0.43631056240262
"Q8N1G0_IDR_1158_1198",0.205595790921998
"Q8N1G0_IDR_1_85",0.184282348470548
"Q8N1G0_IDR_608_672",0.168373957990728
"Q8N1G0_IDR_861_1155",0.273653864682559
"Q8N1G0_IDR_87_504",0.168094037934167
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.497220311503853
"Q8N228_IDR_1_90",0.52107968532668
"Q8N228_IDR_210_341",0.47892031467332
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.458040646895813
"Q8N2C3_IDR_165_214",0.541959353104187
"Q8N2C7_IDR_1300_1451",0.0998506988808353
"Q8N2C7_IDR_1507_1554",0.12167434876718
"Q8N2C7_IDR_1770_1837",0.0946981568789961
"Q8N2C7_IDR_241_322",0.0886991718626418
"Q8N2C7_IDR_2428_2474",0.0943014353676328
"Q8N2C7_IDR_2755_2786",0.0961147953495542
"Q8N2C7_IDR_2912_3214",0.0921106093238686
"Q8N2C7_IDR_363_584",0.0995075301751825
"Q8N2C7_IDR_693_781",0.106569175492318
"Q8N2C7_IDR_963_1171",0.106474077901791
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.428353726392041
"Q8N302_IDR_522_621",0.30365473029051
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.395030352067344
"Q8N309_IDR_506_549",0.604969647932656
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.333938534649358
"Q8N344_IDR_348_473",0.330623257038588
"Q8N344_IDR_97_194",0.335438208312054
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.334153933785888
"Q8N365_IDR_198_243",0.34534346198037
"Q8N365_IDR_300_385",0.320502604233742
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.369545148659579
"Q8N392_IDR_19_78",0.281298841722771
"Q8N392_IDR_538_572",0.34915600961765
"Q8N393_IDR_63_241",0.489496235266494
"Q8N3C7_IDR_352_480",0.316564432640868
"Q8N3C7_IDR_556_618",0.319057376097895
"Q8N3D4_IDR_1081_1132",0.235294637307279
"Q8N3D4_IDR_1138_1370",0.242325893478216
"Q8N3D4_IDR_120_150",0.22465418225219
"Q8N3D4_IDR_161_1074",0.297725286962315
"Q8N3E9_IDR_1_55",0.422476616950586
"Q8N3E9_IDR_486_519",0.577523383049414
"Q8N3F8_IDR_111_159",0.299538966149127
"Q8N3F8_IDR_219_677",0.287754501331766
"Q8N3F8_IDR_821_863",0.412706532519107
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.580501027704228
"Q8N3J2_IDR_47_77",0.419498972295773
"Q8N3J3_IDR_1_444",0.47569658563844
"Q8N3J3_IDR_577_647",0.52430341436156
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.501078103127478
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.384516794333035
"Q8N3Z6_IDR_384_543",0.615483205666965
"Q8N412_IDR_1_162",0.483340176022102
"Q8N412_IDR_268_303",0.516659823977898
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.502983443615887
"Q8N441_IDR_403_446",0.497016556384113
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.515954816692693
"Q8N448_IDR_425_459",0.484045183307307
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.481422043290111
"Q8N4L4_IDR_63_309",0.518577956709889
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.495614314248817
"Q8N4N8_IDR_84_180",0.504385685751183
"Q8N4P6_IDR_1_53",0.494061204239517
"Q8N4P6_IDR_333_439",0.505938795760483
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.45965852730147
"Q8N4S9_IDR_368_436",0.54034147269853
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.324630083344158
"Q8N573_IDR_148_203",0.298106691031609
"Q8N573_IDR_1_67",0.315103829264008
"Q8N573_IDR_281_586",0.386789479704384
"Q8N587_IDR_1_45",0.494889127301924
"Q8N587_IDR_52_190",0.505110872698076
"Q8N594_IDR_169_234",0.561046493802836
"Q8N594_IDR_1_72",0.438953506197164
"Q8N5A5_IDR_270_367",0.305960858232695
"Q8N5A5_IDR_369_466",0.362101105816274
"Q8N5A5_IDR_64_126",0.331938035951031
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.611935257286587
"Q8N5C6_IDR_789_819",0.388064742713413
"Q8N5C7_IDR_1_33",0.426684856997489
"Q8N5C7_IDR_165_195",0.573315143002511
"Q8N5C8_IDR_48_533",0.441858223516898
"Q8N5C8_IDR_618_684",0.558141776483103
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.500360588982423
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.347851337415682
"Q8N5U6_IDR_406_501",0.30934688642105
"Q8N5U6_IDR_603_799",0.342801776163267
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.39010879025574
"Q8N5Y2_IDR_93_168",0.609891209744259
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.50263014050366
"Q8N612_IDR_835_915",0.49736985949634
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.50337628166537
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.479498241197779
"Q8N6P7_IDR_409_480",0.520501758802221
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.321715856190422
"Q8N6U8_IDR_350_455",0.321810924110637
"Q8N6U8_IDR_496_529",0.356473219698941
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.505961450388739
"Q8N7G0_IDR_264_328",0.343544972547995
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.496488202114564
"Q8N7P1_IDR_505_536",0.503511797885436
"Q8N7R1_IDR_1_139",0.486111333630919
"Q8N7R1_IDR_144_296",0.513888666369081
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.128481516542542
"Q8N7X0_IDR_1_41",0.120768796442489
"Q8N7X0_IDR_305_407",0.172135986020587
"Q8N7X0_IDR_524_627",0.123016771437049
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.478788148714378
"Q8N878_IDR_333_499",0.521211851285622
"Q8N883_IDR_552_585",0.500410295742198
"Q8N883_IDR_61_245",0.499589704257802
"Q8N895_IDR_1_308",0.319085528034008
"Q8N895_IDR_372_422",0.330686778400929
"Q8N895_IDR_480_718",0.350227693565063
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.479370605875972
"Q8N8E2_IDR_479_541",0.520629394124028
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.474729824955361
"Q8N8G2_IDR_20_76",0.525270175044639
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.493002701565699
"Q8N8R5_IDR_204_247",0.506997298434301
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.511861826250221
"Q8N8U3_IDR_397_427",0.488138173749779
"Q8N8V4_IDR_157_233",0.404475686612233
"Q8N8V4_IDR_237_343",0.595524313387767
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.496264910157319
"Q8N8Z6_IDR_416_715",0.503735089842681
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.355288350843848
"Q8N9B5_IDR_940_988",0.33492338684968
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.338964655758752
"Q8N9I0_IDR_88_138",0.661035344241249
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.505799673900525
"Q8N9K5_IDR_1_36",0.494200326099475
"Q8N9L1_IDR_1_63",0.486970398944668
"Q8N9L1_IDR_277_334",0.513029601055331
"Q8N9M1_IDR_107_422",0.540147330693472
"Q8N9M1_IDR_1_49",0.459852669306528
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.313878442411442
"Q8N9N5_IDR_1_47",0.383205100236775
"Q8N9N5_IDR_321_374",0.302916457351783
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.495493174575037
"Q8N9R8_IDR_377_411",0.504506825424963
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.507901602502193
"Q8N9Z0_IDR_77_172",1
