"","GO0000398_mRNA_splicing._via_spliceosome"
"Q8N137_IDR_442_797",0.32182304200415
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.539727745124641
"Q8N196_IDR_235_739",0.460272254875359
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.483539757738324
"Q8N1C3_IDR_361_403",0.516460242261676
"Q8N1F8_IDR_334_534",0.473937712393755
"Q8N1F8_IDR_723_773",0.526062287606245
"Q8N1G0_IDR_1158_1198",0.204449295244811
"Q8N1G0_IDR_1_85",0.186687858626496
"Q8N1G0_IDR_608_672",0.178840283053753
"Q8N1G0_IDR_861_1155",0.252487935730776
"Q8N1G0_IDR_87_504",0.177534627344165
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.471690737907672
"Q8N228_IDR_1_90",0.480789430905452
"Q8N228_IDR_210_341",0.519210569094548
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.511952916593483
"Q8N2C3_IDR_165_214",0.488047083406517
"Q8N2C7_IDR_1300_1451",0.0999201593103374
"Q8N2C7_IDR_1507_1554",0.102930324695942
"Q8N2C7_IDR_1770_1837",0.0998746827249209
"Q8N2C7_IDR_241_322",0.0951902547873606
"Q8N2C7_IDR_2428_2474",0.0992078657072379
"Q8N2C7_IDR_2755_2786",0.100436625771599
"Q8N2C7_IDR_2912_3214",0.0909397719945865
"Q8N2C7_IDR_363_584",0.105133259828868
"Q8N2C7_IDR_693_781",0.110496563343635
"Q8N2C7_IDR_963_1171",0.095870491835512
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.376670710527508
"Q8N302_IDR_522_621",0.305658897219513
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.411692243469285
"Q8N309_IDR_506_549",0.588307756530716
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.323539723435866
"Q8N344_IDR_348_473",0.344323423978845
"Q8N344_IDR_97_194",0.33213685258529
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.3571862194474
"Q8N365_IDR_198_243",0.331415108771407
"Q8N365_IDR_300_385",0.311398671781193
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.309774162539721
"Q8N392_IDR_19_78",0.338810732561122
"Q8N392_IDR_538_572",0.351415104899156
"Q8N393_IDR_63_241",0.488510336754461
"Q8N3C7_IDR_352_480",0.346868274920534
"Q8N3C7_IDR_556_618",0.335718291449371
"Q8N3D4_IDR_1081_1132",0.254886156491745
"Q8N3D4_IDR_1138_1370",0.244949194369858
"Q8N3D4_IDR_120_150",0.249242401600232
"Q8N3D4_IDR_161_1074",0.250922247538165
"Q8N3E9_IDR_1_55",0.478586819986622
"Q8N3E9_IDR_486_519",0.521413180013378
"Q8N3F8_IDR_111_159",0.329060684193002
"Q8N3F8_IDR_219_677",0.341249601262719
"Q8N3F8_IDR_821_863",0.329689714544279
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.515805543260898
"Q8N3J2_IDR_47_77",0.484194456739102
"Q8N3J3_IDR_1_444",0.491470321082272
"Q8N3J3_IDR_577_647",0.508529678917727
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.481769233442504
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.349439100655471
"Q8N3Z6_IDR_384_543",0.650560899344529
"Q8N412_IDR_1_162",0.523545180939108
"Q8N412_IDR_268_303",0.476454819060892
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.458737384126807
"Q8N441_IDR_403_446",0.541262615873193
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.496168112146686
"Q8N448_IDR_425_459",0.503831887853314
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.444767457251048
"Q8N4L4_IDR_63_309",0.555232542748952
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.484540963610339
"Q8N4N8_IDR_84_180",0.515459036389661
"Q8N4P6_IDR_1_53",0.496324051769696
"Q8N4P6_IDR_333_439",0.503675948230304
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.518799874499942
"Q8N4S9_IDR_368_436",0.481200125500058
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.294060569634752
"Q8N573_IDR_148_203",0.339032483847768
"Q8N573_IDR_1_67",0.339939933652802
"Q8N573_IDR_281_586",0.32102758249943
"Q8N587_IDR_1_45",0.503854296900409
"Q8N587_IDR_52_190",0.496145703099591
"Q8N594_IDR_169_234",0.490588894480579
"Q8N594_IDR_1_72",0.509411105519421
"Q8N5A5_IDR_270_367",0.326022122662359
"Q8N5A5_IDR_369_466",0.347372135611259
"Q8N5A5_IDR_64_126",0.326605741726382
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.504343667990161
"Q8N5C6_IDR_789_819",0.495656332009839
"Q8N5C7_IDR_1_33",0.471879825551831
"Q8N5C7_IDR_165_195",0.528120174448169
"Q8N5C8_IDR_48_533",0.523749382070416
"Q8N5C8_IDR_618_684",0.476250617929584
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.500832372928057
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.439844223630654
"Q8N5U6_IDR_406_501",0.269468406695227
"Q8N5U6_IDR_603_799",0.290687369674118
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.477127244361689
"Q8N5Y2_IDR_93_168",0.522872755638311
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.503726452316955
"Q8N612_IDR_835_915",0.496273547683045
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.379213309094387
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.505346332520203
"Q8N6P7_IDR_409_480",0.494653667479797
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.339784546001026
"Q8N6U8_IDR_350_455",0.308635976964887
"Q8N6U8_IDR_496_529",0.351579477034086
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.528683324003338
"Q8N7G0_IDR_264_328",0.330202274591107
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.473614016073053
"Q8N7P1_IDR_505_536",0.526385983926947
"Q8N7R1_IDR_1_139",0.500528875044362
"Q8N7R1_IDR_144_296",0.499471124955638
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.134626077319528
"Q8N7X0_IDR_1_41",0.146030137983516
"Q8N7X0_IDR_305_407",0.150400824587609
"Q8N7X0_IDR_524_627",0.129335981430203
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.508548763128467
"Q8N878_IDR_333_499",0.491451236871533
"Q8N883_IDR_552_585",0.501517635498468
"Q8N883_IDR_61_245",0.498482364501532
"Q8N895_IDR_1_308",0.324638373202896
"Q8N895_IDR_372_422",0.336018010197724
"Q8N895_IDR_480_718",0.33934361659938
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.452102060573119
"Q8N8E2_IDR_479_541",0.547897939426881
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.481297095669851
"Q8N8G2_IDR_20_76",0.518702904330149
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.485024933703357
"Q8N8R5_IDR_204_247",0.514975066296643
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.478359227581163
"Q8N8U3_IDR_397_427",0.521640772418837
"Q8N8V4_IDR_157_233",0.498201023431773
"Q8N8V4_IDR_237_343",0.501798976568227
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.501818386385976
"Q8N8Z6_IDR_416_715",0.498181613614024
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.290600681497636
"Q8N9B5_IDR_940_988",0.328380323904628
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.446012436414436
"Q8N9I0_IDR_88_138",0.553987563585564
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.495517967667236
"Q8N9K5_IDR_1_36",0.504482032332764
"Q8N9L1_IDR_1_63",0.472489440189485
"Q8N9L1_IDR_277_334",0.527510559810515
"Q8N9M1_IDR_107_422",0.520119275823868
"Q8N9M1_IDR_1_49",0.479880724176132
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.320632960874559
"Q8N9N5_IDR_1_47",0.34784351249202
"Q8N9N5_IDR_321_374",0.331523526633421
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.482292851509442
"Q8N9R8_IDR_377_411",0.517707148490558
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.492259020391026
"Q8N9Z0_IDR_77_172",1
