"","GO0015630_microtubule_cytoskeleton"
"Q8N137_IDR_442_797",0.36492223415311
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.528099333842855
"Q8N196_IDR_235_739",0.471900666157145
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.469036975380578
"Q8N1C3_IDR_361_403",0.530963024619422
"Q8N1F8_IDR_334_534",0.518853838025407
"Q8N1F8_IDR_723_773",0.481146161974593
"Q8N1G0_IDR_1158_1198",0.18525372514875
"Q8N1G0_IDR_1_85",0.211586069037809
"Q8N1G0_IDR_608_672",0.20155672242838
"Q8N1G0_IDR_861_1155",0.211936373996999
"Q8N1G0_IDR_87_504",0.189667109388062
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.447035208073109
"Q8N228_IDR_1_90",0.53803924577184
"Q8N228_IDR_210_341",0.461960754228161
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.438528907489704
"Q8N2C3_IDR_165_214",0.561471092510296
"Q8N2C7_IDR_1300_1451",0.0901111890086174
"Q8N2C7_IDR_1507_1554",0.10468543843839
"Q8N2C7_IDR_1770_1837",0.105828409394268
"Q8N2C7_IDR_241_322",0.084510052574132
"Q8N2C7_IDR_2428_2474",0.0859759952186618
"Q8N2C7_IDR_2755_2786",0.0972609361435281
"Q8N2C7_IDR_2912_3214",0.142109111492141
"Q8N2C7_IDR_363_584",0.114049561495749
"Q8N2C7_IDR_693_781",0.0697098297278524
"Q8N2C7_IDR_963_1171",0.105759476506662
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.381664696583176
"Q8N302_IDR_522_621",0.335883782589893
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.459283885008913
"Q8N309_IDR_506_549",0.540716114991087
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.36157126394993
"Q8N344_IDR_348_473",0.302410227457838
"Q8N344_IDR_97_194",0.336018508592232
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.297612331445412
"Q8N365_IDR_198_243",0.369969242811654
"Q8N365_IDR_300_385",0.332418425742934
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.344792043219262
"Q8N392_IDR_19_78",0.272936936830772
"Q8N392_IDR_538_572",0.382271019949965
"Q8N393_IDR_63_241",0.490992233799174
"Q8N3C7_IDR_352_480",0.360802927629386
"Q8N3C7_IDR_556_618",0.29375303775666
"Q8N3D4_IDR_1081_1132",0.255292749892684
"Q8N3D4_IDR_1138_1370",0.246176768424679
"Q8N3D4_IDR_120_150",0.280961997983519
"Q8N3D4_IDR_161_1074",0.217568483699117
"Q8N3E9_IDR_1_55",0.477196822620217
"Q8N3E9_IDR_486_519",0.522803177379783
"Q8N3F8_IDR_111_159",0.330193373784435
"Q8N3F8_IDR_219_677",0.306381850112844
"Q8N3F8_IDR_821_863",0.363424776102722
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.546623119442904
"Q8N3J2_IDR_47_77",0.453376880557096
"Q8N3J3_IDR_1_444",0.529723248913762
"Q8N3J3_IDR_577_647",0.470276751086238
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.708945353533672
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.415172633560681
"Q8N3Z6_IDR_384_543",0.584827366439319
"Q8N412_IDR_1_162",0.467673866922527
"Q8N412_IDR_268_303",0.532326133077473
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.50166052297951
"Q8N441_IDR_403_446",0.49833947702049
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.487889312529352
"Q8N448_IDR_425_459",0.512110687470648
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.434046193198572
"Q8N4L4_IDR_63_309",0.565953806801428
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.489564371303126
"Q8N4N8_IDR_84_180",0.510435628696874
"Q8N4P6_IDR_1_53",0.494519102504888
"Q8N4P6_IDR_333_439",0.505480897495112
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.399348164190662
"Q8N4S9_IDR_368_436",0.600651835809338
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.361493941133574
"Q8N573_IDR_148_203",0.292827382744582
"Q8N573_IDR_1_67",0.277490145184589
"Q8N573_IDR_281_586",0.429682472070829
"Q8N587_IDR_1_45",0.478744265509239
"Q8N587_IDR_52_190",0.521255734490761
"Q8N594_IDR_169_234",0.552262661612735
"Q8N594_IDR_1_72",0.447737338387265
"Q8N5A5_IDR_270_367",0.296528269111757
"Q8N5A5_IDR_369_466",0.370635343714129
"Q8N5A5_IDR_64_126",0.332836387174114
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.590492711647386
"Q8N5C6_IDR_789_819",0.409507288352614
"Q8N5C7_IDR_1_33",0.514615654044071
"Q8N5C7_IDR_165_195",0.485384345955929
"Q8N5C8_IDR_48_533",0.478499277308616
"Q8N5C8_IDR_618_684",0.521500722691384
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.561966146532586
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.288428498869169
"Q8N5U6_IDR_406_501",0.348530265258699
"Q8N5U6_IDR_603_799",0.363041235872132
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.426318541807373
"Q8N5Y2_IDR_93_168",0.573681458192627
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.468799447901538
"Q8N612_IDR_835_915",0.531200552098462
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.464444431961436
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.518437424397557
"Q8N6P7_IDR_409_480",0.481562575602443
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.346519606740786
"Q8N6U8_IDR_350_455",0.300220484413475
"Q8N6U8_IDR_496_529",0.353259908845739
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.526033195089801
"Q8N7G0_IDR_264_328",0.333765398454767
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.453691443593376
"Q8N7P1_IDR_505_536",0.546308556406624
"Q8N7R1_IDR_1_139",0.482541748274899
"Q8N7R1_IDR_144_296",0.517458251725101
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.137896188313657
"Q8N7X0_IDR_1_41",0.13560775979009
"Q8N7X0_IDR_305_407",0.157169829481769
"Q8N7X0_IDR_524_627",0.128785524762423
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.518517213590066
"Q8N878_IDR_333_499",0.481482786409934
"Q8N883_IDR_552_585",0.466387507704185
"Q8N883_IDR_61_245",0.533612492295815
"Q8N895_IDR_1_308",0.287777668805646
"Q8N895_IDR_372_422",0.317130183896574
"Q8N895_IDR_480_718",0.39509214729778
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.500864158472455
"Q8N8E2_IDR_479_541",0.499135841527545
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.440782978592337
"Q8N8G2_IDR_20_76",0.559217021407663
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.45306134266156
"Q8N8R5_IDR_204_247",0.54693865733844
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.573714603072104
"Q8N8U3_IDR_397_427",0.426285396927896
"Q8N8V4_IDR_157_233",0.501665454349782
"Q8N8V4_IDR_237_343",0.498334545650218
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.469836408173923
"Q8N8Z6_IDR_416_715",0.530163591826077
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.548217562367768
"Q8N9B5_IDR_940_988",0.226358291500556
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.503110689027949
"Q8N9I0_IDR_88_138",0.496889310972052
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.527603538100305
"Q8N9K5_IDR_1_36",0.472396461899695
"Q8N9L1_IDR_1_63",0.458480694713254
"Q8N9L1_IDR_277_334",0.541519305286746
"Q8N9M1_IDR_107_422",0.564911980346864
"Q8N9M1_IDR_1_49",0.435088019653136
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.328981563072245
"Q8N9N5_IDR_1_47",0.340347601379866
"Q8N9N5_IDR_321_374",0.330670835547889
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.509535382603579
"Q8N9R8_IDR_377_411",0.490464617396421
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.496335356748342
"Q8N9Z0_IDR_77_172",1
