"","GO0140513_nuclear_protein_containing_complex"
"Q8N137_IDR_442_797",0.346528864088726
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.484307907416313
"Q8N196_IDR_235_739",0.515692092583687
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.440881660159454
"Q8N1C3_IDR_361_403",0.559118339840546
"Q8N1F8_IDR_334_534",0.561396214751491
"Q8N1F8_IDR_723_773",0.438603785248509
"Q8N1G0_IDR_1158_1198",0.238175277429573
"Q8N1G0_IDR_1_85",0.1934864310633
"Q8N1G0_IDR_608_672",0.180902095022711
"Q8N1G0_IDR_861_1155",0.183695240924699
"Q8N1G0_IDR_87_504",0.203740955559717
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.442103880892549
"Q8N228_IDR_1_90",0.567351701580115
"Q8N228_IDR_210_341",0.432648298419885
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.45820910055466
"Q8N2C3_IDR_165_214",0.54179089944534
"Q8N2C7_IDR_1300_1451",0.0941289008378463
"Q8N2C7_IDR_1507_1554",0.107820584815765
"Q8N2C7_IDR_1770_1837",0.0949394893414408
"Q8N2C7_IDR_241_322",0.0870764564892162
"Q8N2C7_IDR_2428_2474",0.0958919943679794
"Q8N2C7_IDR_2755_2786",0.0964667332434715
"Q8N2C7_IDR_2912_3214",0.108687107342118
"Q8N2C7_IDR_363_584",0.1081057166608
"Q8N2C7_IDR_693_781",0.116776920105211
"Q8N2C7_IDR_963_1171",0.0901060967961515
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.449462548564656
"Q8N302_IDR_522_621",0.262280239201813
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.415389902252926
"Q8N309_IDR_506_549",0.584610097747074
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.314291341088331
"Q8N344_IDR_348_473",0.356129704406187
"Q8N344_IDR_97_194",0.329578954505483
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.328354827610315
"Q8N365_IDR_198_243",0.382655466726839
"Q8N365_IDR_300_385",0.288989705662846
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.442454428311164
"Q8N392_IDR_19_78",0.260067213747157
"Q8N392_IDR_538_572",0.29747835794168
"Q8N393_IDR_63_241",0.517680486471608
"Q8N3C7_IDR_352_480",0.384760214488283
"Q8N3C7_IDR_556_618",0.301321584907622
"Q8N3D4_IDR_1081_1132",0.220023215667935
"Q8N3D4_IDR_1138_1370",0.271326761336783
"Q8N3D4_IDR_120_150",0.210591897426744
"Q8N3D4_IDR_161_1074",0.298058125568538
"Q8N3E9_IDR_1_55",0.487695535932282
"Q8N3E9_IDR_486_519",0.512304464067718
"Q8N3F8_IDR_111_159",0.264090493427121
"Q8N3F8_IDR_219_677",0.43600069639985
"Q8N3F8_IDR_821_863",0.29990881017303
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.563661629022049
"Q8N3J2_IDR_47_77",0.436338370977951
"Q8N3J3_IDR_1_444",0.483915901814149
"Q8N3J3_IDR_577_647",0.516084098185851
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.438951527891988
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.446278869398445
"Q8N3Z6_IDR_384_543",0.553721130601555
"Q8N412_IDR_1_162",0.521958366307245
"Q8N412_IDR_268_303",0.478041633692754
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.498026664185287
"Q8N441_IDR_403_446",0.501973335814713
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.490766229137607
"Q8N448_IDR_425_459",0.509233770862393
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.510617852872072
"Q8N4L4_IDR_63_309",0.489382147127928
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.467752248026021
"Q8N4N8_IDR_84_180",0.532247751973979
"Q8N4P6_IDR_1_53",0.472562976236063
"Q8N4P6_IDR_333_439",0.527437023763937
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.464934211957074
"Q8N4S9_IDR_368_436",0.535065788042926
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.315908613958549
"Q8N573_IDR_148_203",0.312672879886213
"Q8N573_IDR_1_67",0.347661137329566
"Q8N573_IDR_281_586",0.339665982784221
"Q8N587_IDR_1_45",0.526992406551859
"Q8N587_IDR_52_190",0.473007593448141
"Q8N594_IDR_169_234",0.543152660076871
"Q8N594_IDR_1_72",0.456847339923129
"Q8N5A5_IDR_270_367",0.326618463160928
"Q8N5A5_IDR_369_466",0.325980069616064
"Q8N5A5_IDR_64_126",0.347401467223008
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.502585852730501
"Q8N5C6_IDR_789_819",0.497414147269499
"Q8N5C7_IDR_1_33",0.440384222319882
"Q8N5C7_IDR_165_195",0.559615777680118
"Q8N5C8_IDR_48_533",0.561914696146374
"Q8N5C8_IDR_618_684",0.438085303853626
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.471221556066777
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.332602978752404
"Q8N5U6_IDR_406_501",0.304070257584231
"Q8N5U6_IDR_603_799",0.363326763663365
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.456449143516675
"Q8N5Y2_IDR_93_168",0.543550856483325
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.542623678530053
"Q8N612_IDR_835_915",0.457376321469947
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.470332729586268
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.513096739439615
"Q8N6P7_IDR_409_480",0.486903260560385
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.33471927648906
"Q8N6U8_IDR_350_455",0.32164068781524
"Q8N6U8_IDR_496_529",0.3436400356957
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.532019691994143
"Q8N7G0_IDR_264_328",0.3220504566458
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.467480700173319
"Q8N7P1_IDR_505_536",0.532519299826681
"Q8N7R1_IDR_1_139",0.485581496795177
"Q8N7R1_IDR_144_296",0.514418503204823
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.143138228973889
"Q8N7X0_IDR_1_41",0.138180004059559
"Q8N7X0_IDR_305_407",0.14430942987498
"Q8N7X0_IDR_524_627",0.134377785945073
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.502601450747044
"Q8N878_IDR_333_499",0.497398549252956
"Q8N883_IDR_552_585",0.520957542900135
"Q8N883_IDR_61_245",0.479042457099865
"Q8N895_IDR_1_308",0.346263447875574
"Q8N895_IDR_372_422",0.332698780543577
"Q8N895_IDR_480_718",0.32103777158085
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.410893928547221
"Q8N8E2_IDR_479_541",0.589106071452779
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.518900637173862
"Q8N8G2_IDR_20_76",0.481099362826138
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.484736749519747
"Q8N8R5_IDR_204_247",0.515263250480253
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.503128290416778
"Q8N8U3_IDR_397_427",0.496871709583222
"Q8N8V4_IDR_157_233",0.502831025624892
"Q8N8V4_IDR_237_343",0.497168974375108
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.492650038918503
"Q8N8Z6_IDR_416_715",0.507349961081497
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.321742406580457
"Q8N9B5_IDR_940_988",0.332469337300308
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.468086536418737
"Q8N9I0_IDR_88_138",0.531913463581263
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.471168603927203
"Q8N9K5_IDR_1_36",0.528831396072797
"Q8N9L1_IDR_1_63",0.512722289137909
"Q8N9L1_IDR_277_334",0.487277710862091
"Q8N9M1_IDR_107_422",0.582703186262305
"Q8N9M1_IDR_1_49",0.417296813737695
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.298571991011041
"Q8N9N5_IDR_1_47",0.385579997095442
"Q8N9N5_IDR_321_374",0.315848011893518
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.487625739672341
"Q8N9R8_IDR_377_411",0.51237426032766
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.559825621945843
"Q8N9Z0_IDR_77_172",1
