"","GO0140694_non_membrane_bounded_organelle_assembly"
"Q8N137_IDR_442_797",0.464322104064215
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.511905057976683
"Q8N196_IDR_235_739",0.488094942023317
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.49171039186242
"Q8N1C3_IDR_361_403",0.50828960813758
"Q8N1F8_IDR_334_534",0.499734390358574
"Q8N1F8_IDR_723_773",0.500265609641426
"Q8N1G0_IDR_1158_1198",0.198081368440018
"Q8N1G0_IDR_1_85",0.219397524986116
"Q8N1G0_IDR_608_672",0.207925596548995
"Q8N1G0_IDR_861_1155",0.188318176016513
"Q8N1G0_IDR_87_504",0.186277334008357
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.489575828088323
"Q8N228_IDR_1_90",0.514259510332007
"Q8N228_IDR_210_341",0.485740489667992
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.482337772114539
"Q8N2C3_IDR_165_214",0.517662227885461
"Q8N2C7_IDR_1300_1451",0.0942262849578633
"Q8N2C7_IDR_1507_1554",0.0987937686816586
"Q8N2C7_IDR_1770_1837",0.0998906872271729
"Q8N2C7_IDR_241_322",0.10024094346485
"Q8N2C7_IDR_2428_2474",0.105982755129018
"Q8N2C7_IDR_2755_2786",0.0993611834434514
"Q8N2C7_IDR_2912_3214",0.108138053517195
"Q8N2C7_IDR_363_584",0.101402353536571
"Q8N2C7_IDR_693_781",0.0960580424377311
"Q8N2C7_IDR_963_1171",0.0959059276044888
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.323401804580172
"Q8N302_IDR_522_621",0.334093897100777
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.490463543947661
"Q8N309_IDR_506_549",0.509536456052339
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.340619146291354
"Q8N344_IDR_348_473",0.324531375411013
"Q8N344_IDR_97_194",0.334849478297633
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.328777882695775
"Q8N365_IDR_198_243",0.351387989924025
"Q8N365_IDR_300_385",0.3198341273802
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.376264852353411
"Q8N392_IDR_19_78",0.302575096942812
"Q8N392_IDR_538_572",0.321160050703777
"Q8N393_IDR_63_241",0.536873986050244
"Q8N3C7_IDR_352_480",0.310663942147177
"Q8N3C7_IDR_556_618",0.306556601261856
"Q8N3D4_IDR_1081_1132",0.226287203250847
"Q8N3D4_IDR_1138_1370",0.241965030760345
"Q8N3D4_IDR_120_150",0.237658738002515
"Q8N3D4_IDR_161_1074",0.294089027986292
"Q8N3E9_IDR_1_55",0.490322168553567
"Q8N3E9_IDR_486_519",0.509677831446433
"Q8N3F8_IDR_111_159",0.34053925119409
"Q8N3F8_IDR_219_677",0.314180675860293
"Q8N3F8_IDR_821_863",0.345280072945618
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.516828871770869
"Q8N3J2_IDR_47_77",0.483171128229131
"Q8N3J3_IDR_1_444",0.437469131502878
"Q8N3J3_IDR_577_647",0.562530868497123
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.516891941140548
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.477762140739307
"Q8N3Z6_IDR_384_543",0.522237859260693
"Q8N412_IDR_1_162",0.476850361662938
"Q8N412_IDR_268_303",0.523149638337063
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.507938253144469
"Q8N441_IDR_403_446",0.492061746855531
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.486869789554007
"Q8N448_IDR_425_459",0.513130210445993
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.504506436386313
"Q8N4L4_IDR_63_309",0.495493563613687
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.495109717998438
"Q8N4N8_IDR_84_180",0.504890282001562
"Q8N4P6_IDR_1_53",0.475875360608929
"Q8N4P6_IDR_333_439",0.524124639391071
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.469603509837608
"Q8N4S9_IDR_368_436",0.530396490162392
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.325423337883806
"Q8N573_IDR_148_203",0.258965977084289
"Q8N573_IDR_1_67",0.275870021026853
"Q8N573_IDR_281_586",0.465164001888858
"Q8N587_IDR_1_45",0.493779417443109
"Q8N587_IDR_52_190",0.506220582556891
"Q8N594_IDR_169_234",0.514968707627517
"Q8N594_IDR_1_72",0.485031292372483
"Q8N5A5_IDR_270_367",0.318430343856671
"Q8N5A5_IDR_369_466",0.354698443587547
"Q8N5A5_IDR_64_126",0.326871212555783
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.489816304262571
"Q8N5C6_IDR_789_819",0.510183695737429
"Q8N5C7_IDR_1_33",0.515813254614782
"Q8N5C7_IDR_165_195",0.484186745385218
"Q8N5C8_IDR_48_533",0.51377869225263
"Q8N5C8_IDR_618_684",0.48622130774737
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.464585188368829
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.328729846386453
"Q8N5U6_IDR_406_501",0.337771721979448
"Q8N5U6_IDR_603_799",0.3334984316341
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.489875163269569
"Q8N5Y2_IDR_93_168",0.510124836730431
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.484057424617633
"Q8N612_IDR_835_915",0.515942575382367
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.519327944899481
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.506020075567475
"Q8N6P7_IDR_409_480",0.493979924432525
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.324366453539927
"Q8N6U8_IDR_350_455",0.322484195803183
"Q8N6U8_IDR_496_529",0.353149350656889
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.521734885771933
"Q8N7G0_IDR_264_328",0.324270977161534
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.49496700754176
"Q8N7P1_IDR_505_536",0.50503299245824
"Q8N7R1_IDR_1_139",0.496544135350487
"Q8N7R1_IDR_144_296",0.503455864649513
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.141031631484311
"Q8N7X0_IDR_1_41",0.135073468856025
"Q8N7X0_IDR_305_407",0.137235459396112
"Q8N7X0_IDR_524_627",0.172867790321235
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.477070712073846
"Q8N878_IDR_333_499",0.522929287926154
"Q8N883_IDR_552_585",0.495486515910622
"Q8N883_IDR_61_245",0.504513484089378
"Q8N895_IDR_1_308",0.320685473786021
"Q8N895_IDR_372_422",0.34540336327854
"Q8N895_IDR_480_718",0.333911162935439
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.470915062389025
"Q8N8E2_IDR_479_541",0.529084937610975
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.497622296807477
"Q8N8G2_IDR_20_76",0.502377703192523
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.498069306245831
"Q8N8R5_IDR_204_247",0.501930693754169
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.546704145752906
"Q8N8U3_IDR_397_427",0.453295854247094
"Q8N8V4_IDR_157_233",0.496840768558607
"Q8N8V4_IDR_237_343",0.503159231441393
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.496715557718925
"Q8N8Z6_IDR_416_715",0.503284442281075
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.349548595309775
"Q8N9B5_IDR_940_988",0.335354435716908
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.492416150715408
"Q8N9I0_IDR_88_138",0.507583849284592
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.496362692219106
"Q8N9K5_IDR_1_36",0.503637307780894
"Q8N9L1_IDR_1_63",0.506219178139309
"Q8N9L1_IDR_277_334",0.493780821860691
"Q8N9M1_IDR_107_422",0.504922868133837
"Q8N9M1_IDR_1_49",0.495077131866163
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.328843262172223
"Q8N9N5_IDR_1_47",0.335063617530111
"Q8N9N5_IDR_321_374",0.336093120297667
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.5009222712191
"Q8N9R8_IDR_377_411",0.4990777287809
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.490822203832765
