"","GO0003779_actin_binding"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.527813916495651
"Q8N196_IDR_235_739",0.472186083504349
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.510797110751763
"Q8N1C3_IDR_361_403",0.489202889248237
"Q8N1F8_IDR_334_534",0.527129678990199
"Q8N1F8_IDR_723_773",0.472870321009801
"Q8N1G0_IDR_1158_1198",0.193620614489889
"Q8N1G0_IDR_1_85",0.213972992580738
"Q8N1G0_IDR_608_672",0.198195078746749
"Q8N1G0_IDR_861_1155",0.18184567334849
"Q8N1G0_IDR_87_504",0.212365640834135
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.501405711440411
"Q8N228_IDR_1_90",0.495855403753879
"Q8N228_IDR_210_341",0.504144596246121
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.482912492957177
"Q8N2C3_IDR_165_214",0.517087507042823
"Q8N2C7_IDR_1300_1451",0.0928807489236177
"Q8N2C7_IDR_1507_1554",0.100966242345157
"Q8N2C7_IDR_1770_1837",0.113725291390905
"Q8N2C7_IDR_241_322",0.0950532124287344
"Q8N2C7_IDR_2428_2474",0.0979117126202786
"Q8N2C7_IDR_2755_2786",0.0989280476983099
"Q8N2C7_IDR_2912_3214",0.0977426566843581
"Q8N2C7_IDR_363_584",0.10291937494552
"Q8N2C7_IDR_693_781",0.0992260374769556
"Q8N2C7_IDR_963_1171",0.100646675486164
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.332408281473088
"Q8N302_IDR_522_621",0.351430809885839
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.507457294226634
"Q8N309_IDR_506_549",0.492542705773366
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.338088221387415
"Q8N344_IDR_348_473",0.332105798331802
"Q8N344_IDR_97_194",0.329805980280783
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.308021230188716
"Q8N365_IDR_198_243",0.336718175578913
"Q8N365_IDR_300_385",0.355260594232371
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.304611279185575
"Q8N392_IDR_19_78",0.327901126397585
"Q8N392_IDR_538_572",0.367487594416839
"Q8N393_IDR_63_241",0.495526443761082
"Q8N3C7_IDR_352_480",0.347581120873419
"Q8N3C7_IDR_556_618",0.326281930990824
"Q8N3D4_IDR_1081_1132",0.246968112024977
"Q8N3D4_IDR_1138_1370",0.266403579279716
"Q8N3D4_IDR_120_150",0.249186543902193
"Q8N3D4_IDR_161_1074",0.237441764793114
"Q8N3E9_IDR_1_55",0.482223754967818
"Q8N3E9_IDR_486_519",0.517776245032182
"Q8N3F8_IDR_111_159",0.29269709834042
"Q8N3F8_IDR_219_677",0.452222785322976
"Q8N3F8_IDR_821_863",0.255080116336605
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.494408247718991
"Q8N3J2_IDR_47_77",0.505591752281009
"Q8N3J3_IDR_1_444",0.504199971928461
"Q8N3J3_IDR_577_647",0.495800028071539
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.492967808158291
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.496189856240198
"Q8N3Z6_IDR_384_543",0.503810143759802
"Q8N412_IDR_1_162",0.503222190804037
"Q8N412_IDR_268_303",0.496777809195963
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.497274573533148
"Q8N441_IDR_403_446",0.502725426466851
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.534800394697597
"Q8N448_IDR_425_459",0.465199605302403
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.475876569842731
"Q8N4L4_IDR_63_309",0.524123430157269
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.511150055771952
"Q8N4N8_IDR_84_180",0.488849944228048
"Q8N4P6_IDR_1_53",0.508068692800645
"Q8N4P6_IDR_333_439",0.491931307199355
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.52762425534938
"Q8N4S9_IDR_368_436",0.47237574465062
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.344007807573623
"Q8N573_IDR_148_203",0.335209185021492
"Q8N573_IDR_1_67",0.343879290043913
"Q8N573_IDR_281_586",0.320911524934595
"Q8N587_IDR_1_45",0.506785995756375
"Q8N587_IDR_52_190",0.493214004243625
"Q8N594_IDR_169_234",0.512614363454175
"Q8N594_IDR_1_72",0.487385636545825
"Q8N5A5_IDR_270_367",0.329159684642405
"Q8N5A5_IDR_369_466",0.324761561972935
"Q8N5A5_IDR_64_126",0.346078753384661
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.526545996944189
"Q8N5C6_IDR_789_819",0.473454003055811
"Q8N5C7_IDR_1_33",0.4954288226415
"Q8N5C7_IDR_165_195",0.5045711773585
"Q8N5C8_IDR_48_533",0.530991282407287
"Q8N5C8_IDR_618_684",0.469008717592713
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.482970058146757
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.328948793461893
"Q8N5U6_IDR_406_501",0.33128242220302
"Q8N5U6_IDR_603_799",0.339768784335087
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.518044101919123
"Q8N5Y2_IDR_93_168",0.481955898080877
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.522652060757203
"Q8N612_IDR_835_915",0.477347939242797
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.499056319210563
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.534815474066582
"Q8N6P7_IDR_409_480",0.465184525933418
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.338993191075733
"Q8N6U8_IDR_350_455",0.31914211595111
"Q8N6U8_IDR_496_529",0.341864692973157
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.509717391794686
"Q8N7G0_IDR_264_328",0.346393088820496
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.48606166036
"Q8N7P1_IDR_505_536",0.51393833964
"Q8N7R1_IDR_1_139",0.50348080740697
"Q8N7R1_IDR_144_296",0.49651919259303
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.14814377894662
"Q8N7X0_IDR_1_41",0.144594189580608
"Q8N7X0_IDR_305_407",0.138288716623421
"Q8N7X0_IDR_524_627",0.134136781137085
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.505102976809575
"Q8N878_IDR_333_499",0.494897023190425
"Q8N883_IDR_552_585",0.508634990937999
"Q8N883_IDR_61_245",0.491365009062001
"Q8N895_IDR_1_308",0.338973073346386
"Q8N895_IDR_372_422",0.323958042155094
"Q8N895_IDR_480_718",0.337068884498519
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.489314702489999
"Q8N8E2_IDR_479_541",0.510685297510001
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.478498391032734
"Q8N8G2_IDR_20_76",0.521501608967266
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.512714040474077
"Q8N8R5_IDR_204_247",0.487285959525923
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.500330875385354
"Q8N8U3_IDR_397_427",0.499669124614646
"Q8N8V4_IDR_157_233",0.479709767694822
"Q8N8V4_IDR_237_343",0.520290232305178
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.468872305834187
"Q8N8Z6_IDR_416_715",0.531127694165813
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.522071309931882
"Q8N9B5_IDR_940_988",0.229863970606131
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.497298325936654
"Q8N9I0_IDR_88_138",0.502701674063346
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.488711235241013
"Q8N9K5_IDR_1_36",0.511288764758987
"Q8N9L1_IDR_1_63",0.470845497759707
"Q8N9L1_IDR_277_334",0.529154502240293
"Q8N9M1_IDR_107_422",0.524938655501077
"Q8N9M1_IDR_1_49",0.475061344498923
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.329423723101438
"Q8N9N5_IDR_1_47",0.3455201142659
"Q8N9N5_IDR_321_374",0.325056162632662
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.49509876010827
"Q8N9R8_IDR_377_411",0.50490123989173
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.48944575113443
"Q8N9Z0_IDR_77_172",1
