"","GO0006366_transcription_by_RNA_polymerase_II"
"Q8N137_IDR_442_797",0.41686092407533
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.52723028217934
"Q8N196_IDR_235_739",0.47276971782066
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.472495755387688
"Q8N1C3_IDR_361_403",0.527504244612312
"Q8N1F8_IDR_334_534",0.424423400981372
"Q8N1F8_IDR_723_773",0.575576599018628
"Q8N1G0_IDR_1158_1198",0.149016685177964
"Q8N1G0_IDR_1_85",0.15860691228871
"Q8N1G0_IDR_608_672",0.146462691724694
"Q8N1G0_IDR_861_1155",0.34308600210196
"Q8N1G0_IDR_87_504",0.202827708706672
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.505378027181856
"Q8N228_IDR_1_90",0.475312868770847
"Q8N228_IDR_210_341",0.524687131229153
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.520917082015911
"Q8N2C3_IDR_165_214",0.479082917984089
"Q8N2C7_IDR_1300_1451",0.0775921107845564
"Q8N2C7_IDR_1507_1554",0.0917274317435537
"Q8N2C7_IDR_1770_1837",0.10293314099591
"Q8N2C7_IDR_241_322",0.111420119279526
"Q8N2C7_IDR_2428_2474",0.111963819785864
"Q8N2C7_IDR_2755_2786",0.100965085031621
"Q8N2C7_IDR_2912_3214",0.101248740100724
"Q8N2C7_IDR_363_584",0.119133242788832
"Q8N2C7_IDR_693_781",0.102029970127925
"Q8N2C7_IDR_963_1171",0.0809863393614868
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.34440570660553
"Q8N302_IDR_522_621",0.291630352873433
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.523181415639123
"Q8N309_IDR_506_549",0.476818584360877
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.312395112311206
"Q8N344_IDR_348_473",0.323437479943501
"Q8N344_IDR_97_194",0.364167407745293
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.292723714866049
"Q8N365_IDR_198_243",0.355943212649809
"Q8N365_IDR_300_385",0.351333072484142
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.323954894874084
"Q8N392_IDR_19_78",0.396714754624951
"Q8N392_IDR_538_572",0.279330350500965
"Q8N393_IDR_63_241",0.504550524717312
"Q8N3C7_IDR_352_480",0.38449608890895
"Q8N3C7_IDR_556_618",0.334456403385249
"Q8N3D4_IDR_1081_1132",0.269934366555601
"Q8N3D4_IDR_1138_1370",0.228165446681924
"Q8N3D4_IDR_120_150",0.252411254232997
"Q8N3D4_IDR_161_1074",0.249488932529478
"Q8N3E9_IDR_1_55",0.631108525291873
"Q8N3E9_IDR_486_519",0.368891474708127
"Q8N3F8_IDR_111_159",0.347951684032527
"Q8N3F8_IDR_219_677",0.319658382966069
"Q8N3F8_IDR_821_863",0.332389933001405
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.52366366285654
"Q8N3J2_IDR_47_77",0.47633633714346
"Q8N3J3_IDR_1_444",0.538547173038842
"Q8N3J3_IDR_577_647",0.461452826961158
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.366581899945256
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.467326581690906
"Q8N3Z6_IDR_384_543",0.532673418309094
"Q8N412_IDR_1_162",0.460833659909545
"Q8N412_IDR_268_303",0.539166340090455
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.409092064393762
"Q8N441_IDR_403_446",0.590907935606238
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.397343095476598
"Q8N448_IDR_425_459",0.602656904523402
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.399627860822129
"Q8N4L4_IDR_63_309",0.600372139177871
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.546954228838762
"Q8N4N8_IDR_84_180",0.453045771161238
"Q8N4P6_IDR_1_53",0.4260658723564
"Q8N4P6_IDR_333_439",0.5739341276436
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.440694775401156
"Q8N4S9_IDR_368_436",0.559305224598844
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.351084800484531
"Q8N573_IDR_148_203",0.36999002633214
"Q8N573_IDR_1_67",0.315847558468112
"Q8N573_IDR_281_586",0.314162415199748
"Q8N587_IDR_1_45",0.470807253265704
"Q8N587_IDR_52_190",0.529192746734296
"Q8N594_IDR_169_234",0.480050522568484
"Q8N594_IDR_1_72",0.519949477431516
"Q8N5A5_IDR_270_367",0.387360025169624
"Q8N5A5_IDR_369_466",0.279489150737686
"Q8N5A5_IDR_64_126",0.33315082409269
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.55930626757212
"Q8N5C6_IDR_789_819",0.44069373242788
"Q8N5C7_IDR_1_33",0.493163176950505
"Q8N5C7_IDR_165_195",0.506836823049495
"Q8N5C8_IDR_48_533",0.788158513345977
"Q8N5C8_IDR_618_684",0.211841486654023
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.504692838828461
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.347267782593397
"Q8N5U6_IDR_406_501",0.309613445851387
"Q8N5U6_IDR_603_799",0.343118771555216
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.457591339261881
"Q8N5Y2_IDR_93_168",0.542408660738119
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.504499541447512
"Q8N612_IDR_835_915",0.495500458552488
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.524662915518568
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.516401584468715
"Q8N6P7_IDR_409_480",0.483598415531285
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.320536259851561
"Q8N6U8_IDR_350_455",0.367313430891178
"Q8N6U8_IDR_496_529",0.31215030925726
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.537080885931759
"Q8N7G0_IDR_264_328",0.220832723117624
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.500388410327902
"Q8N7P1_IDR_505_536",0.499611589672098
"Q8N7R1_IDR_1_139",0.502581621605325
"Q8N7R1_IDR_144_296",0.497418378394675
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.142691856459043
"Q8N7X0_IDR_1_41",0.210266089173186
"Q8N7X0_IDR_305_407",0.124318125770724
"Q8N7X0_IDR_524_627",0.134812173429812
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.517026479099477
"Q8N878_IDR_333_499",0.482973520900523
"Q8N883_IDR_552_585",0.506526316969097
"Q8N883_IDR_61_245",0.493473683030903
"Q8N895_IDR_1_308",0.438746213368876
"Q8N895_IDR_372_422",0.229866749065527
"Q8N895_IDR_480_718",0.331387037565597
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.641011621419022
"Q8N8E2_IDR_479_541",0.358988378580978
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.608718378633298
"Q8N8G2_IDR_20_76",0.391281621366702
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.39298262414961
"Q8N8R5_IDR_204_247",0.60701737585039
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.480991100648876
"Q8N8U3_IDR_397_427",0.519008899351124
"Q8N8V4_IDR_157_233",0.538135854975693
"Q8N8V4_IDR_237_343",0.461864145024307
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.446072917431061
"Q8N8Z6_IDR_416_715",0.553927082568939
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.299480195397807
"Q8N9B5_IDR_940_988",0.348449430683522
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.523960737797613
"Q8N9I0_IDR_88_138",0.476039262202387
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.476887617672539
"Q8N9K5_IDR_1_36",0.523112382327461
"Q8N9L1_IDR_1_63",0.669274537673876
"Q8N9L1_IDR_277_334",0.330725462326124
"Q8N9M1_IDR_107_422",0.40284741068235
"Q8N9M1_IDR_1_49",0.59715258931765
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.329592858156967
"Q8N9N5_IDR_1_47",0.319471068329965
"Q8N9N5_IDR_321_374",0.350936073513068
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.505857613236704
"Q8N9R8_IDR_377_411",0.494142386763296
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.607712911421058
"Q8N9Z0_IDR_77_172",1
