"","GO0007017_microtubule_based_process"
"Q8N137_IDR_442_797",0.377795349616443
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.498991545155346
"Q8N196_IDR_235_739",0.501008454844654
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.500119985554189
"Q8N1C3_IDR_361_403",0.499880014445811
"Q8N1F8_IDR_334_534",0.551441947795305
"Q8N1F8_IDR_723_773",0.448558052204695
"Q8N1G0_IDR_1158_1198",0.191185925509874
"Q8N1G0_IDR_1_85",0.233014610740491
"Q8N1G0_IDR_608_672",0.203910510252245
"Q8N1G0_IDR_861_1155",0.181150275168773
"Q8N1G0_IDR_87_504",0.190738678328617
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.452835986591358
"Q8N228_IDR_1_90",0.546441940211499
"Q8N228_IDR_210_341",0.453558059788501
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.411928199131342
"Q8N2C3_IDR_165_214",0.588071800868659
"Q8N2C7_IDR_1300_1451",0.0957011420325656
"Q8N2C7_IDR_1507_1554",0.100325300353596
"Q8N2C7_IDR_1770_1837",0.107800896454189
"Q8N2C7_IDR_241_322",0.0845687404845619
"Q8N2C7_IDR_2428_2474",0.0955196415724578
"Q8N2C7_IDR_2755_2786",0.100022658649171
"Q8N2C7_IDR_2912_3214",0.126267533132302
"Q8N2C7_IDR_363_584",0.112467284107927
"Q8N2C7_IDR_693_781",0.0751426494458218
"Q8N2C7_IDR_963_1171",0.102184153767409
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.397265088662537
"Q8N302_IDR_522_621",0.301693553241585
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.508221191898456
"Q8N309_IDR_506_549",0.491778808101544
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.355785099055867
"Q8N344_IDR_348_473",0.276531444097085
"Q8N344_IDR_97_194",0.367683456847048
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.319827712749599
"Q8N365_IDR_198_243",0.369798421032054
"Q8N365_IDR_300_385",0.310373866218348
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.411941166198698
"Q8N392_IDR_19_78",0.255460679735053
"Q8N392_IDR_538_572",0.332598154066249
"Q8N393_IDR_63_241",0.520522736240492
"Q8N3C7_IDR_352_480",0.327944727301689
"Q8N3C7_IDR_556_618",0.271005846777074
"Q8N3D4_IDR_1081_1132",0.249170509295603
"Q8N3D4_IDR_1138_1370",0.226533106570822
"Q8N3D4_IDR_120_150",0.263229115177402
"Q8N3D4_IDR_161_1074",0.261067268956173
"Q8N3E9_IDR_1_55",0.443123931508401
"Q8N3E9_IDR_486_519",0.556876068491599
"Q8N3F8_IDR_111_159",0.354846411244864
"Q8N3F8_IDR_219_677",0.290532989555053
"Q8N3F8_IDR_821_863",0.354620599200083
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.51789414089929
"Q8N3J2_IDR_47_77",0.48210585910071
"Q8N3J3_IDR_1_444",0.471030544918604
"Q8N3J3_IDR_577_647",0.528969455081396
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.660989184188154
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.530375713781995
"Q8N3Z6_IDR_384_543",0.469624286218005
"Q8N412_IDR_1_162",0.457383284082342
"Q8N412_IDR_268_303",0.542616715917658
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.519057503265324
"Q8N441_IDR_403_446",0.480942496734676
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.483803433174053
"Q8N448_IDR_425_459",0.516196566825947
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.493079920712015
"Q8N4L4_IDR_63_309",0.506920079287985
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.499606783804992
"Q8N4N8_IDR_84_180",0.500393216195008
"Q8N4P6_IDR_1_53",0.491200803035275
"Q8N4P6_IDR_333_439",0.508799196964725
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.402555739522849
"Q8N4S9_IDR_368_436",0.597444260477151
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.361447199171612
"Q8N573_IDR_148_203",0.251297466283986
"Q8N573_IDR_1_67",0.229675864247184
"Q8N573_IDR_281_586",0.519026669468831
"Q8N587_IDR_1_45",0.506991394516116
"Q8N587_IDR_52_190",0.493008605483884
"Q8N594_IDR_169_234",0.54482947284656
"Q8N594_IDR_1_72",0.45517052715344
"Q8N5A5_IDR_270_367",0.304712955644263
"Q8N5A5_IDR_369_466",0.328922215712919
"Q8N5A5_IDR_64_126",0.366364828642819
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.561955314987618
"Q8N5C6_IDR_789_819",0.438044685012382
"Q8N5C7_IDR_1_33",0.523452941730696
"Q8N5C7_IDR_165_195",0.476547058269304
"Q8N5C8_IDR_48_533",0.487061926128705
"Q8N5C8_IDR_618_684",0.512938073871295
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.523383304523639
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.272893217800472
"Q8N5U6_IDR_406_501",0.380151585449983
"Q8N5U6_IDR_603_799",0.346955196749545
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.409691649850634
"Q8N5Y2_IDR_93_168",0.590308350149366
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.471205211838669
"Q8N612_IDR_835_915",0.528794788161331
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.511329310812598
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.504451274436874
"Q8N6P7_IDR_409_480",0.495548725563126
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.324172568398446
"Q8N6U8_IDR_350_455",0.317822730205217
"Q8N6U8_IDR_496_529",0.358004701396336
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.513762932518331
"Q8N7G0_IDR_264_328",0.328133463964221
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.473355863699194
"Q8N7P1_IDR_505_536",0.526644136300806
"Q8N7R1_IDR_1_139",0.484032321106017
"Q8N7R1_IDR_144_296",0.515967678893983
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.139433065135468
"Q8N7X0_IDR_1_41",0.127893827629936
"Q8N7X0_IDR_305_407",0.146515740380155
"Q8N7X0_IDR_524_627",0.159379099088196
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.481629428006451
"Q8N878_IDR_333_499",0.518370571993549
"Q8N883_IDR_552_585",0.474292194515702
"Q8N883_IDR_61_245",0.525707805484298
"Q8N895_IDR_1_308",0.292367084864772
"Q8N895_IDR_372_422",0.335911926703048
"Q8N895_IDR_480_718",0.37172098843218
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.466715088087198
"Q8N8E2_IDR_479_541",0.533284911912802
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.470623652372051
"Q8N8G2_IDR_20_76",0.529376347627949
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.476041553794464
"Q8N8R5_IDR_204_247",0.523958446205536
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.618374180838716
"Q8N8U3_IDR_397_427",0.381625819161284
"Q8N8V4_IDR_157_233",0.456217642648898
"Q8N8V4_IDR_237_343",0.543782357351102
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.493676922141065
"Q8N8Z6_IDR_416_715",0.506323077858935
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.457174356230576
"Q8N9B5_IDR_940_988",0.299298659690157
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.50543241681323
"Q8N9I0_IDR_88_138",0.49456758318677
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.50824562532073
"Q8N9K5_IDR_1_36",0.491754374679271
"Q8N9L1_IDR_1_63",0.468553676637918
"Q8N9L1_IDR_277_334",0.531446323362082
"Q8N9M1_IDR_107_422",0.526126528813688
"Q8N9M1_IDR_1_49",0.473873471186312
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.336939591538882
"Q8N9N5_IDR_1_47",0.340851660701731
"Q8N9N5_IDR_321_374",0.322208747759387
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.521288897632317
"Q8N9R8_IDR_377_411",0.478711102367683
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.486139122451123
"Q8N9Z0_IDR_77_172",1
