"","GO0005525_GTP_binding"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.520274599572477
"Q8N196_IDR_235_739",0.479725400427523
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.482074352843132
"Q8N1C3_IDR_361_403",0.517925647156868
"Q8N1F8_IDR_334_534",0.533059846432233
"Q8N1F8_IDR_723_773",0.466940153567767
"Q8N1G0_IDR_1158_1198",0.205486373661925
"Q8N1G0_IDR_1_85",0.199306840722805
"Q8N1G0_IDR_608_672",0.197403715047711
"Q8N1G0_IDR_861_1155",0.198325708957503
"Q8N1G0_IDR_87_504",0.199477361610055
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.513663128187158
"Q8N228_IDR_1_90",0.43885231930025
"Q8N228_IDR_210_341",0.56114768069975
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.519679679347335
"Q8N2C3_IDR_165_214",0.480320320652665
"Q8N2C7_IDR_1300_1451",0.092030217700395
"Q8N2C7_IDR_1507_1554",0.0860181617855221
"Q8N2C7_IDR_1770_1837",0.0950382230735655
"Q8N2C7_IDR_241_322",0.0923625191274079
"Q8N2C7_IDR_2428_2474",0.0831739525482698
"Q8N2C7_IDR_2755_2786",0.0874989539054486
"Q8N2C7_IDR_2912_3214",0.162453028742884
"Q8N2C7_IDR_363_584",0.0916171176721535
"Q8N2C7_IDR_693_781",0.0834870726787117
"Q8N2C7_IDR_963_1171",0.126320752765642
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.33999122203183
"Q8N302_IDR_522_621",0.333257241256414
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.512765137005054
"Q8N309_IDR_506_549",0.487234862994946
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.331270636492041
"Q8N344_IDR_348_473",0.342761525513137
"Q8N344_IDR_97_194",0.325967837994822
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.326713869361815
"Q8N365_IDR_198_243",0.342244128489258
"Q8N365_IDR_300_385",0.331042002148927
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.305880968097318
"Q8N392_IDR_19_78",0.365468657364851
"Q8N392_IDR_538_572",0.328650374537831
"Q8N393_IDR_63_241",0.498867931525274
"Q8N3C7_IDR_352_480",0.321235720994923
"Q8N3C7_IDR_556_618",0.450560259039341
"Q8N3D4_IDR_1081_1132",0.228189545260135
"Q8N3D4_IDR_1138_1370",0.324007745218121
"Q8N3D4_IDR_120_150",0.230940010321754
"Q8N3D4_IDR_161_1074",0.21686269919999
"Q8N3E9_IDR_1_55",0.501068894589287
"Q8N3E9_IDR_486_519",0.498931105410713
"Q8N3F8_IDR_111_159",0.299635510181355
"Q8N3F8_IDR_219_677",0.41587040729483
"Q8N3F8_IDR_821_863",0.284494082523815
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.497815915105385
"Q8N3J2_IDR_47_77",0.502184084894616
"Q8N3J3_IDR_1_444",0.517319901997234
"Q8N3J3_IDR_577_647",0.482680098002766
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.609629554789376
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.504967342078417
"Q8N3Z6_IDR_384_543",0.495032657921583
"Q8N412_IDR_1_162",0.49327611574298
"Q8N412_IDR_268_303",0.50672388425702
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.502147045042461
"Q8N441_IDR_403_446",0.497852954957539
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.49072409990966
"Q8N448_IDR_425_459",0.50927590009034
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.479736433295107
"Q8N4L4_IDR_63_309",0.520263566704893
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.504060330860706
"Q8N4N8_IDR_84_180",0.495939669139294
"Q8N4P6_IDR_1_53",0.501608034106209
"Q8N4P6_IDR_333_439",0.49839196589379
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.537952011006969
"Q8N4S9_IDR_368_436",0.462047988993031
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.343942550798433
"Q8N573_IDR_148_203",0.332643523608044
"Q8N573_IDR_1_67",0.320539688705335
"Q8N573_IDR_281_586",0.34681678768662
"Q8N587_IDR_1_45",0.50524004863973
"Q8N587_IDR_52_190",0.49475995136027
"Q8N594_IDR_169_234",0.496827674840315
"Q8N594_IDR_1_72",0.503172325159685
"Q8N5A5_IDR_270_367",0.313298725084403
"Q8N5A5_IDR_369_466",0.370502128340593
"Q8N5A5_IDR_64_126",0.316199146575004
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.509218366651697
"Q8N5C6_IDR_789_819",0.490781633348303
"Q8N5C7_IDR_1_33",0.491993244968578
"Q8N5C7_IDR_165_195",0.508006755031422
"Q8N5C8_IDR_48_533",0.487266940389537
"Q8N5C8_IDR_618_684",0.512733059610463
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.464608992495821
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.336674735657879
"Q8N5U6_IDR_406_501",0.338565280283655
"Q8N5U6_IDR_603_799",0.324759984058466
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.523030121263836
"Q8N5Y2_IDR_93_168",0.476969878736164
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.48343028378491
"Q8N612_IDR_835_915",0.51656971621509
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.519969963554964
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.508735551806895
"Q8N6P7_IDR_409_480",0.491264448193105
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.325781002921856
"Q8N6U8_IDR_350_455",0.383428693842578
"Q8N6U8_IDR_496_529",0.290790303235565
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.495658518708582
"Q8N7G0_IDR_264_328",0.331913900483915
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.489425993685665
"Q8N7P1_IDR_505_536",0.510574006314335
"Q8N7R1_IDR_1_139",0.50336755766691
"Q8N7R1_IDR_144_296",0.49663244233309
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.149177574329693
"Q8N7X0_IDR_1_41",0.153438854415048
"Q8N7X0_IDR_305_407",0.145793195391997
"Q8N7X0_IDR_524_627",0.138243680934494
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.479670069778877
"Q8N878_IDR_333_499",0.520329930221124
"Q8N883_IDR_552_585",0.502786776757738
"Q8N883_IDR_61_245",0.497213223242262
"Q8N895_IDR_1_308",0.323569370674884
"Q8N895_IDR_372_422",0.345536307952483
"Q8N895_IDR_480_718",0.330894321372633
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.519069381576645
"Q8N8E2_IDR_479_541",0.480930618423355
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.486598804633351
"Q8N8G2_IDR_20_76",0.513401195366649
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.500694825608302
"Q8N8R5_IDR_204_247",0.499305174391698
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.4824881616281
"Q8N8U3_IDR_397_427",0.5175118383719
"Q8N8V4_IDR_157_233",0.515013360897629
"Q8N8V4_IDR_237_343",0.484986639102371
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.494944697475755
"Q8N8Z6_IDR_416_715",0.505055302524245
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.548122388723015
"Q8N9B5_IDR_940_988",0.219977340132285
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.501701242929041
"Q8N9I0_IDR_88_138",0.498298757070959
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.501706418741519
"Q8N9K5_IDR_1_36",0.498293581258481
"Q8N9L1_IDR_1_63",0.487444621876502
"Q8N9L1_IDR_277_334",0.512555378123498
"Q8N9M1_IDR_107_422",0.517826814226462
"Q8N9M1_IDR_1_49",0.482173185773538
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.330398427306037
"Q8N9N5_IDR_1_47",0.315018282283843
"Q8N9N5_IDR_321_374",0.35458329041012
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.497381297952974
"Q8N9R8_IDR_377_411",0.502618702047026
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.496456211315537
"Q8N9Z0_IDR_77_172",1
