"","GO0140640_catalytic_activity._acting_on_a_nucleic_acid"
"Q8N137_IDR_442_797",0.339330396436617
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.560441745650667
"Q8N196_IDR_235_739",0.439558254349333
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.471890332187106
"Q8N1C3_IDR_361_403",0.528109667812894
"Q8N1F8_IDR_334_534",0.570059899775437
"Q8N1F8_IDR_723_773",0.429940100224563
"Q8N1G0_IDR_1158_1198",0.222470986642813
"Q8N1G0_IDR_1_85",0.184236006842364
"Q8N1G0_IDR_608_672",0.171541059723522
"Q8N1G0_IDR_861_1155",0.24835006749238
"Q8N1G0_IDR_87_504",0.173401879298921
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.49410727968683
"Q8N228_IDR_1_90",0.497189487904662
"Q8N228_IDR_210_341",0.502810512095338
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.49274396740052
"Q8N2C3_IDR_165_214",0.50725603259948
"Q8N2C7_IDR_1300_1451",0.089277374554869
"Q8N2C7_IDR_1507_1554",0.117531572815446
"Q8N2C7_IDR_1770_1837",0.0971490025431593
"Q8N2C7_IDR_241_322",0.0912751708121403
"Q8N2C7_IDR_2428_2474",0.093343163212499
"Q8N2C7_IDR_2755_2786",0.0969013910278312
"Q8N2C7_IDR_2912_3214",0.100363290220771
"Q8N2C7_IDR_363_584",0.10091317793322
"Q8N2C7_IDR_693_781",0.105681438976381
"Q8N2C7_IDR_963_1171",0.107564417903683
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.439144656369038
"Q8N302_IDR_522_621",0.28333792786201
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.42753830397197
"Q8N309_IDR_506_549",0.57246169602803
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.32687859017914
"Q8N344_IDR_348_473",0.335947744434179
"Q8N344_IDR_97_194",0.337173665386681
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.333713982787276
"Q8N365_IDR_198_243",0.357107549202439
"Q8N365_IDR_300_385",0.309178468010285
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.390622310834508
"Q8N392_IDR_19_78",0.297211759126788
"Q8N392_IDR_538_572",0.312165930038704
"Q8N393_IDR_63_241",0.482175543473008
"Q8N3C7_IDR_352_480",0.329780571834685
"Q8N3C7_IDR_556_618",0.333040201590923
"Q8N3D4_IDR_1081_1132",0.228519229553945
"Q8N3D4_IDR_1138_1370",0.296127181602797
"Q8N3D4_IDR_120_150",0.230674012245521
"Q8N3D4_IDR_161_1074",0.244679576597738
"Q8N3E9_IDR_1_55",0.473351938955036
"Q8N3E9_IDR_486_519",0.526648061044964
"Q8N3F8_IDR_111_159",0.29930018474517
"Q8N3F8_IDR_219_677",0.332322471620061
"Q8N3F8_IDR_821_863",0.368377343634769
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.579321902666587
"Q8N3J2_IDR_47_77",0.420678097333413
"Q8N3J3_IDR_1_444",0.486478312748965
"Q8N3J3_IDR_577_647",0.513521687251035
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.48378645539512
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.396159499428889
"Q8N3Z6_IDR_384_543",0.603840500571111
"Q8N412_IDR_1_162",0.470354978196304
"Q8N412_IDR_268_303",0.529645021803696
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.485502046692462
"Q8N441_IDR_403_446",0.514497953307537
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.502668559480382
"Q8N448_IDR_425_459",0.497331440519618
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.489943456400641
"Q8N4L4_IDR_63_309",0.510056543599359
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.490348576051021
"Q8N4N8_IDR_84_180",0.50965142394898
"Q8N4P6_IDR_1_53",0.488392369989347
"Q8N4P6_IDR_333_439",0.511607630010653
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.495491395196423
"Q8N4S9_IDR_368_436",0.504508604803577
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.323433506884302
"Q8N573_IDR_148_203",0.305642224745392
"Q8N573_IDR_1_67",0.33641619187813
"Q8N573_IDR_281_586",0.357941583376478
"Q8N587_IDR_1_45",0.497258285476993
"Q8N587_IDR_52_190",0.502741714523007
"Q8N594_IDR_169_234",0.53155746094268
"Q8N594_IDR_1_72",0.46844253905732
"Q8N5A5_IDR_270_367",0.302839853845123
"Q8N5A5_IDR_369_466",0.367267949983691
"Q8N5A5_IDR_64_126",0.329892196171186
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.568070471263281
"Q8N5C6_IDR_789_819",0.431929528736719
"Q8N5C7_IDR_1_33",0.446712920802985
"Q8N5C7_IDR_165_195",0.553287079197015
"Q8N5C8_IDR_48_533",0.444251806405661
"Q8N5C8_IDR_618_684",0.555748193594339
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.506688041634398
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.347361840476885
"Q8N5U6_IDR_406_501",0.296781380498028
"Q8N5U6_IDR_603_799",0.355856779025087
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.45224816313912
"Q8N5Y2_IDR_93_168",0.54775183686088
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.516529908837802
"Q8N612_IDR_835_915",0.483470091162198
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.497851848651642
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.476320670112683
"Q8N6P7_IDR_409_480",0.523679329887317
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.333195307345825
"Q8N6U8_IDR_350_455",0.332585812160806
"Q8N6U8_IDR_496_529",0.334218880493369
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.505705863441729
"Q8N7G0_IDR_264_328",0.348080710477186
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.470619357889702
"Q8N7P1_IDR_505_536",0.529380642110298
"Q8N7R1_IDR_1_139",0.481912180557774
"Q8N7R1_IDR_144_296",0.518087819442226
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.135594835190563
"Q8N7X0_IDR_1_41",0.132176272916197
"Q8N7X0_IDR_305_407",0.171467653523193
"Q8N7X0_IDR_524_627",0.118598742667529
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.485593498950268
"Q8N878_IDR_333_499",0.514406501049732
"Q8N883_IDR_552_585",0.499840822116152
"Q8N883_IDR_61_245",0.500159177883848
"Q8N895_IDR_1_308",0.315573140535033
"Q8N895_IDR_372_422",0.336169398192152
"Q8N895_IDR_480_718",0.348257461272815
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.507397761797833
"Q8N8E2_IDR_479_541",0.492602238202167
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.467739743834184
"Q8N8G2_IDR_20_76",0.532260256165817
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.47577083487837
"Q8N8R5_IDR_204_247",0.52422916512163
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.496032697205005
"Q8N8U3_IDR_397_427",0.503967302794995
"Q8N8V4_IDR_157_233",0.482977204370658
"Q8N8V4_IDR_237_343",0.517022795629342
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.505204111397992
"Q8N8Z6_IDR_416_715",0.494795888602008
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.39272003253645
"Q8N9B5_IDR_940_988",0.301478339256721
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.398164484718439
"Q8N9I0_IDR_88_138",0.601835515281561
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.504007396600333
"Q8N9K5_IDR_1_36",0.495992603399667
"Q8N9L1_IDR_1_63",0.489389995902151
"Q8N9L1_IDR_277_334",0.510610004097849
"Q8N9M1_IDR_107_422",0.549090279173807
"Q8N9M1_IDR_1_49",0.450909720826193
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.319808921478416
"Q8N9N5_IDR_1_47",0.356178533672742
"Q8N9N5_IDR_321_374",0.324012544848842
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.48507640161865
"Q8N9R8_IDR_377_411",0.51492359838135
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.531713288699348
