"","GO0019219_regulation_of_nucleobase_containing_compound_metabolic_process"
"Q8N137_IDR_442_797",0.408373579673721
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.529388941921985
"Q8N196_IDR_235_739",0.470611058078015
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.459556844436113
"Q8N1C3_IDR_361_403",0.540443155563887
"Q8N1F8_IDR_334_534",0.412445566746208
"Q8N1F8_IDR_723_773",0.587554433253792
"Q8N1G0_IDR_1158_1198",0.162358262874164
"Q8N1G0_IDR_1_85",0.163104518168616
"Q8N1G0_IDR_608_672",0.148605931623211
"Q8N1G0_IDR_861_1155",0.34609254853509
"Q8N1G0_IDR_87_504",0.17983873879892
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.494890140036306
"Q8N228_IDR_1_90",0.460377750439816
"Q8N228_IDR_210_341",0.539622249560184
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.515732469048278
"Q8N2C3_IDR_165_214",0.484267530951722
"Q8N2C7_IDR_1300_1451",0.0816546299197423
"Q8N2C7_IDR_1507_1554",0.0913971390678774
"Q8N2C7_IDR_1770_1837",0.100027439264916
"Q8N2C7_IDR_241_322",0.105979151877585
"Q8N2C7_IDR_2428_2474",0.108903977205143
"Q8N2C7_IDR_2755_2786",0.0983861498008783
"Q8N2C7_IDR_2912_3214",0.104408596322534
"Q8N2C7_IDR_363_584",0.120266700305685
"Q8N2C7_IDR_693_781",0.103890341070027
"Q8N2C7_IDR_963_1171",0.0850858751656123
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.33966355191448
"Q8N302_IDR_522_621",0.307830513600247
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.507098676121899
"Q8N309_IDR_506_549",0.492901323878102
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.314204846024556
"Q8N344_IDR_348_473",0.318874603677002
"Q8N344_IDR_97_194",0.366920550298442
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.298942680475068
"Q8N365_IDR_198_243",0.36054634441306
"Q8N365_IDR_300_385",0.340510975111873
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.319182429270879
"Q8N392_IDR_19_78",0.397231289556759
"Q8N392_IDR_538_572",0.283586281172362
"Q8N393_IDR_63_241",0.511767937958991
"Q8N3C7_IDR_352_480",0.406694894602465
"Q8N3C7_IDR_556_618",0.336180185737166
"Q8N3D4_IDR_1081_1132",0.271064832798768
"Q8N3D4_IDR_1138_1370",0.235128715338596
"Q8N3D4_IDR_120_150",0.261966314828456
"Q8N3D4_IDR_161_1074",0.231840137034181
"Q8N3E9_IDR_1_55",0.619176898160516
"Q8N3E9_IDR_486_519",0.380823101839484
"Q8N3F8_IDR_111_159",0.340357659874781
"Q8N3F8_IDR_219_677",0.309505481700945
"Q8N3F8_IDR_821_863",0.350136858424274
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.530693774975141
"Q8N3J2_IDR_47_77",0.469306225024859
"Q8N3J3_IDR_1_444",0.532260166067439
"Q8N3J3_IDR_577_647",0.467739833932561
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.40691781550353
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.4224351957135
"Q8N3Z6_IDR_384_543",0.5775648042865
"Q8N412_IDR_1_162",0.469225531433038
"Q8N412_IDR_268_303",0.530774468566962
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.398733490105385
"Q8N441_IDR_403_446",0.601266509894615
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.408046604707017
"Q8N448_IDR_425_459",0.591953395292983
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.428329799500858
"Q8N4L4_IDR_63_309",0.571670200499142
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.542726711719278
"Q8N4N8_IDR_84_180",0.457273288280723
"Q8N4P6_IDR_1_53",0.44226742584556
"Q8N4P6_IDR_333_439",0.55773257415444
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.452038786919438
"Q8N4S9_IDR_368_436",0.547961213080562
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.316383255408529
"Q8N573_IDR_148_203",0.330492074587641
"Q8N573_IDR_1_67",0.323122371167342
"Q8N573_IDR_281_586",0.346385554245017
"Q8N587_IDR_1_45",0.470786840668452
"Q8N587_IDR_52_190",0.529213159331548
"Q8N594_IDR_169_234",0.486096394384276
"Q8N594_IDR_1_72",0.513903605615724
"Q8N5A5_IDR_270_367",0.38911946012645
"Q8N5A5_IDR_369_466",0.303020164743419
"Q8N5A5_IDR_64_126",0.307860375130132
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.521435400841869
"Q8N5C6_IDR_789_819",0.478564599158131
"Q8N5C7_IDR_1_33",0.4944457420669
"Q8N5C7_IDR_165_195",0.5055542579331
"Q8N5C8_IDR_48_533",0.755110961112096
"Q8N5C8_IDR_618_684",0.244889038887905
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.511724713282423
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.364539313252452
"Q8N5U6_IDR_406_501",0.302609825793944
"Q8N5U6_IDR_603_799",0.332850860953604
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.469101508756077
"Q8N5Y2_IDR_93_168",0.530898491243923
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.488136573064852
"Q8N612_IDR_835_915",0.511863426935148
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.483553558866593
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.507825223500467
"Q8N6P7_IDR_409_480",0.492174776499533
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.325026797590845
"Q8N6U8_IDR_350_455",0.367334902746533
"Q8N6U8_IDR_496_529",0.307638299662622
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.55538474941984
"Q8N7G0_IDR_264_328",0.23762606240633
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.492675363512539
"Q8N7P1_IDR_505_536",0.507324636487461
"Q8N7R1_IDR_1_139",0.498171587572047
"Q8N7R1_IDR_144_296",0.501828412427952
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.142746844482199
"Q8N7X0_IDR_1_41",0.209575131953693
"Q8N7X0_IDR_305_407",0.127800093914164
"Q8N7X0_IDR_524_627",0.132745370582223
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.500656992158603
"Q8N878_IDR_333_499",0.499343007841397
"Q8N883_IDR_552_585",0.502468045863697
"Q8N883_IDR_61_245",0.497531954136303
"Q8N895_IDR_1_308",0.410087553337705
"Q8N895_IDR_372_422",0.234614012062213
"Q8N895_IDR_480_718",0.355298434600083
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.64209974792166
"Q8N8E2_IDR_479_541",0.35790025207834
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.589377054027172
"Q8N8G2_IDR_20_76",0.410622945972828
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.382558633483512
"Q8N8R5_IDR_204_247",0.617441366516488
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.458668293665953
"Q8N8U3_IDR_397_427",0.541331706334047
"Q8N8V4_IDR_157_233",0.559745715845189
"Q8N8V4_IDR_237_343",0.440254284154811
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.445678255339926
"Q8N8Z6_IDR_416_715",0.554321744660074
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.310786946596356
"Q8N9B5_IDR_940_988",0.352562021910609
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.509269145228281
"Q8N9I0_IDR_88_138",0.490730854771719
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.490535093375457
"Q8N9K5_IDR_1_36",0.509464906624543
"Q8N9L1_IDR_1_63",0.646346694918276
"Q8N9L1_IDR_277_334",0.353653305081724
"Q8N9M1_IDR_107_422",0.41034330145846
"Q8N9M1_IDR_1_49",0.589656698541539
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.326346611928824
"Q8N9N5_IDR_1_47",0.317927249145088
"Q8N9N5_IDR_321_374",0.355726138926089
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.503462171383219
"Q8N9R8_IDR_377_411",0.496537828616781
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.579118225168111
