"","GO0031981_nuclear_lumen"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.547528846748164
"Q8N196_IDR_235_739",0.452471153251836
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.38962738910588
"Q8N1C3_IDR_361_403",0.61037261089412
"Q8N1F8_IDR_334_534",0.608369820021062
"Q8N1F8_IDR_723_773",0.391630179978938
"Q8N1G0_IDR_1158_1198",0.2724769130496
"Q8N1G0_IDR_1_85",0.168359592550466
"Q8N1G0_IDR_608_672",0.159341758415614
"Q8N1G0_IDR_861_1155",0.240253668396134
"Q8N1G0_IDR_87_504",0.159568067588186
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.464967435236864
"Q8N228_IDR_1_90",0.545232718864432
"Q8N228_IDR_210_341",0.454767281135568
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.455430552067761
"Q8N2C3_IDR_165_214",0.544569447932239
"Q8N2C7_IDR_1300_1451",0.0954639481572178
"Q8N2C7_IDR_1507_1554",0.115351164672896
"Q8N2C7_IDR_1770_1837",0.0898385729390888
"Q8N2C7_IDR_241_322",0.0807600108228148
"Q8N2C7_IDR_2428_2474",0.0855077469612583
"Q8N2C7_IDR_2755_2786",0.086233172113992
"Q8N2C7_IDR_2912_3214",0.127397742916112
"Q8N2C7_IDR_363_584",0.108006016058371
"Q8N2C7_IDR_693_781",0.106701626475785
"Q8N2C7_IDR_963_1171",0.104739998882465
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.571300019114696
"Q8N302_IDR_522_621",0.207683222454423
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.330672546718173
"Q8N309_IDR_506_549",0.669327453281827
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.311987750515602
"Q8N344_IDR_348_473",0.366352876835619
"Q8N344_IDR_97_194",0.321659372648779
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.307299335061015
"Q8N365_IDR_198_243",0.414965903516616
"Q8N365_IDR_300_385",0.27773476142237
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.429349859339708
"Q8N392_IDR_19_78",0.266664242213584
"Q8N392_IDR_538_572",0.303985898446708
"Q8N393_IDR_63_241",0.508365781257337
"Q8N3C7_IDR_352_480",0.369519580734526
"Q8N3C7_IDR_556_618",0.330297761380505
"Q8N3D4_IDR_1081_1132",0.221952517873791
"Q8N3D4_IDR_1138_1370",0.314637412736521
"Q8N3D4_IDR_120_150",0.213951545253653
"Q8N3D4_IDR_161_1074",0.249458524136035
"Q8N3E9_IDR_1_55",0.474993545199075
"Q8N3E9_IDR_486_519",0.525006454800925
"Q8N3F8_IDR_111_159",0.216234207943715
"Q8N3F8_IDR_219_677",0.471945231752704
"Q8N3F8_IDR_821_863",0.311820560303581
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.635928817346335
"Q8N3J2_IDR_47_77",0.364071182653665
"Q8N3J3_IDR_1_444",0.484797866144135
"Q8N3J3_IDR_577_647",0.515202133855865
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.47013146625705
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.354806291482604
"Q8N3Z6_IDR_384_543",0.645193708517396
"Q8N412_IDR_1_162",0.475974036084234
"Q8N412_IDR_268_303",0.524025963915765
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.48048207959638
"Q8N441_IDR_403_446",0.51951792040362
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.486085405490499
"Q8N448_IDR_425_459",0.513914594509501
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.486817427137446
"Q8N4L4_IDR_63_309",0.513182572862554
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.463831862288586
"Q8N4N8_IDR_84_180",0.536168137711414
"Q8N4P6_IDR_1_53",0.475698082417489
"Q8N4P6_IDR_333_439",0.524301917582511
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.466918956225438
"Q8N4S9_IDR_368_436",0.533081043774562
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.304670176701707
"Q8N573_IDR_148_203",0.296920341225773
"Q8N573_IDR_1_67",0.366573473609324
"Q8N573_IDR_281_586",0.336506185164903
"Q8N587_IDR_1_45",0.510406245795337
"Q8N587_IDR_52_190",0.489593754204663
"Q8N594_IDR_169_234",0.535689883480296
"Q8N594_IDR_1_72",0.464310116519704
"Q8N5A5_IDR_270_367",0.286803882126688
"Q8N5A5_IDR_369_466",0.399902648632199
"Q8N5A5_IDR_64_126",0.313293469241113
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.563700522775113
"Q8N5C6_IDR_789_819",0.436299477224887
"Q8N5C7_IDR_1_33",0.377494035500039
"Q8N5C7_IDR_165_195",0.622505964499961
"Q8N5C8_IDR_48_533",0.492820629786823
"Q8N5C8_IDR_618_684",0.507179370213177
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.495343817653396
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.346888640193376
"Q8N5U6_IDR_406_501",0.277285546530116
"Q8N5U6_IDR_603_799",0.375825813276508
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.442214953219878
"Q8N5Y2_IDR_93_168",0.557785046780122
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.554473965426456
"Q8N612_IDR_835_915",0.445526034573544
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.479500146230683
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.498796727441141
"Q8N6P7_IDR_409_480",0.501203272558859
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.329422589956478
"Q8N6U8_IDR_350_455",0.327262543354613
"Q8N6U8_IDR_496_529",0.343314866688908
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.52905220167738
"Q8N7G0_IDR_264_328",0.338098982157974
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.45718059277214
"Q8N7P1_IDR_505_536",0.54281940722786
"Q8N7R1_IDR_1_139",0.483231912974478
"Q8N7R1_IDR_144_296",0.516768087025522
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.145199241486469
"Q8N7X0_IDR_1_41",0.130844615259778
"Q8N7X0_IDR_305_407",0.16619438869367
"Q8N7X0_IDR_524_627",0.118773481776669
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.480661069974654
"Q8N878_IDR_333_499",0.519338930025346
"Q8N883_IDR_552_585",0.515200788021861
"Q8N883_IDR_61_245",0.48479921197814
"Q8N895_IDR_1_308",0.347069451431616
"Q8N895_IDR_372_422",0.328311926900333
"Q8N895_IDR_480_718",0.32461862166805
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.425404668317486
"Q8N8E2_IDR_479_541",0.574595331682514
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.483761116197184
"Q8N8G2_IDR_20_76",0.516238883802816
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.475480785529703
"Q8N8R5_IDR_204_247",0.524519214470297
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.502640704843493
"Q8N8U3_IDR_397_427",0.497359295156507
"Q8N8V4_IDR_157_233",0.495239568885523
"Q8N8V4_IDR_237_343",0.504760431114477
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.487659985925918
"Q8N8Z6_IDR_416_715",0.512340014074082
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.407763035727623
"Q8N9B5_IDR_940_988",0.291834383614105
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.352660918210313
"Q8N9I0_IDR_88_138",0.647339081789687
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.499924422148212
"Q8N9K5_IDR_1_36",0.500075577851788
"Q8N9L1_IDR_1_63",0.509526637618493
"Q8N9L1_IDR_277_334",0.490473362381507
"Q8N9M1_IDR_107_422",0.587512579968788
"Q8N9M1_IDR_1_49",0.412487420031212
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.285796423174482
"Q8N9N5_IDR_1_47",0.418782493842843
"Q8N9N5_IDR_321_374",0.295421082982676
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.480527040620351
"Q8N9R8_IDR_377_411",0.519472959379649
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.593832399959849
"Q8N9Z0_IDR_77_172",1
