"","GO0031326_regulation_of_cellular_biosynthetic_process"
"Q8N137_IDR_442_797",0.409330408937939
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.511930588945798
"Q8N196_IDR_235_739",0.488069411054202
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.460278301491098
"Q8N1C3_IDR_361_403",0.539721698508902
"Q8N1F8_IDR_334_534",0.41546667208095
"Q8N1F8_IDR_723_773",0.58453332791905
"Q8N1G0_IDR_1158_1198",0.163007152049338
"Q8N1G0_IDR_1_85",0.155643620078125
"Q8N1G0_IDR_608_672",0.143511061578097
"Q8N1G0_IDR_861_1155",0.344150793631827
"Q8N1G0_IDR_87_504",0.193687372662613
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.497473652440888
"Q8N228_IDR_1_90",0.451172181926606
"Q8N228_IDR_210_341",0.548827818073394
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.502779140404904
"Q8N2C3_IDR_165_214",0.497220859595096
"Q8N2C7_IDR_1300_1451",0.081428959915672
"Q8N2C7_IDR_1507_1554",0.0917690119772269
"Q8N2C7_IDR_1770_1837",0.0993670818382831
"Q8N2C7_IDR_241_322",0.107933586614454
"Q8N2C7_IDR_2428_2474",0.109331063196217
"Q8N2C7_IDR_2755_2786",0.099385941724925
"Q8N2C7_IDR_2912_3214",0.104970597318103
"Q8N2C7_IDR_363_584",0.118652075833213
"Q8N2C7_IDR_693_781",0.103428853057239
"Q8N2C7_IDR_963_1171",0.0837328285246675
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.341543066728851
"Q8N302_IDR_522_621",0.303496084226354
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.5086645611073
"Q8N309_IDR_506_549",0.491335438892701
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.319732183885615
"Q8N344_IDR_348_473",0.304264448496848
"Q8N344_IDR_97_194",0.376003367617537
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.293947252920045
"Q8N365_IDR_198_243",0.359653753052602
"Q8N365_IDR_300_385",0.346398994027353
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.331709908478698
"Q8N392_IDR_19_78",0.381760143099495
"Q8N392_IDR_538_572",0.286529948421807
"Q8N393_IDR_63_241",0.511581303895583
"Q8N3C7_IDR_352_480",0.406813395672957
"Q8N3C7_IDR_556_618",0.330365844993114
"Q8N3D4_IDR_1081_1132",0.26941970067876
"Q8N3D4_IDR_1138_1370",0.237144801095727
"Q8N3D4_IDR_120_150",0.26022707941753
"Q8N3D4_IDR_161_1074",0.233208418807983
"Q8N3E9_IDR_1_55",0.617163697307998
"Q8N3E9_IDR_486_519",0.382836302692001
"Q8N3F8_IDR_111_159",0.342440576507146
"Q8N3F8_IDR_219_677",0.313685658611972
"Q8N3F8_IDR_821_863",0.343873764880882
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.529477099611227
"Q8N3J2_IDR_47_77",0.470522900388773
"Q8N3J3_IDR_1_444",0.53447180972506
"Q8N3J3_IDR_577_647",0.46552819027494
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.404775431503267
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.437998627406551
"Q8N3Z6_IDR_384_543",0.562001372593449
"Q8N412_IDR_1_162",0.466249437236201
"Q8N412_IDR_268_303",0.5337505627638
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.416584503480538
"Q8N441_IDR_403_446",0.583415496519462
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.405453190570657
"Q8N448_IDR_425_459",0.594546809429343
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.421091030581545
"Q8N4L4_IDR_63_309",0.578908969418455
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.539933963266373
"Q8N4N8_IDR_84_180",0.460066036733627
"Q8N4P6_IDR_1_53",0.438441126665086
"Q8N4P6_IDR_333_439",0.561558873334914
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.456201200999757
"Q8N4S9_IDR_368_436",0.543798799000243
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.324759030680791
"Q8N573_IDR_148_203",0.346019290451677
"Q8N573_IDR_1_67",0.316019300416079
"Q8N573_IDR_281_586",0.337961409132244
"Q8N587_IDR_1_45",0.470017710189017
"Q8N587_IDR_52_190",0.529982289810983
"Q8N594_IDR_169_234",0.487439391227257
"Q8N594_IDR_1_72",0.512560608772743
"Q8N5A5_IDR_270_367",0.392908011667157
"Q8N5A5_IDR_369_466",0.293012007699991
"Q8N5A5_IDR_64_126",0.314079980632852
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.526133395921359
"Q8N5C6_IDR_789_819",0.473866604078641
"Q8N5C7_IDR_1_33",0.494074919068417
"Q8N5C7_IDR_165_195",0.505925080931583
"Q8N5C8_IDR_48_533",0.749451688463741
"Q8N5C8_IDR_618_684",0.250548311536259
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.511522140561537
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.361583046382316
"Q8N5U6_IDR_406_501",0.301940162540767
"Q8N5U6_IDR_603_799",0.336476791076917
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.466242405175466
"Q8N5Y2_IDR_93_168",0.533757594824534
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.501803889430594
"Q8N612_IDR_835_915",0.498196110569407
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.476772058302275
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.507194978883947
"Q8N6P7_IDR_409_480",0.492805021116053
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.32833897235242
"Q8N6U8_IDR_350_455",0.35994613752986
"Q8N6U8_IDR_496_529",0.31171489011772
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.568291208550925
"Q8N7G0_IDR_264_328",0.237850364523942
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.496551733217024
"Q8N7P1_IDR_505_536",0.503448266782976
"Q8N7R1_IDR_1_139",0.499248722712219
"Q8N7R1_IDR_144_296",0.500751277287781
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.144023394682123
"Q8N7X0_IDR_1_41",0.21075302815626
"Q8N7X0_IDR_305_407",0.127084759028942
"Q8N7X0_IDR_524_627",0.133844892040012
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.509450780030647
"Q8N878_IDR_333_499",0.490549219969352
"Q8N883_IDR_552_585",0.499614246599181
"Q8N883_IDR_61_245",0.500385753400819
"Q8N895_IDR_1_308",0.409047181538894
"Q8N895_IDR_372_422",0.242206455169629
"Q8N895_IDR_480_718",0.348746363291477
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.63916143604129
"Q8N8E2_IDR_479_541",0.36083856395871
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.585637352003954
"Q8N8G2_IDR_20_76",0.414362647996046
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.375075039982381
"Q8N8R5_IDR_204_247",0.624924960017619
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.462865569562091
"Q8N8U3_IDR_397_427",0.537134430437909
"Q8N8V4_IDR_157_233",0.552677463399242
"Q8N8V4_IDR_237_343",0.447322536600758
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.450374678147943
"Q8N8Z6_IDR_416_715",0.549625321852057
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.300050979551192
"Q8N9B5_IDR_940_988",0.358460563233563
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.51200831518731
"Q8N9I0_IDR_88_138",0.48799168481269
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.488771510399891
"Q8N9K5_IDR_1_36",0.511228489600109
"Q8N9L1_IDR_1_63",0.654915859304865
"Q8N9L1_IDR_277_334",0.345084140695136
"Q8N9M1_IDR_107_422",0.408596675802531
"Q8N9M1_IDR_1_49",0.591403324197469
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.32527659304432
"Q8N9N5_IDR_1_47",0.318568370244799
"Q8N9N5_IDR_321_374",0.356155036710882
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.502548574504634
"Q8N9R8_IDR_377_411",0.497451425495366
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.598329321906543
