"","GO0140097_catalytic_activity._acting_on_DNA"
"Q8N137_IDR_442_797",0.330507734518489
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.509087533811992
"Q8N196_IDR_235_739",0.490912466188008
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.470940508232627
"Q8N1C3_IDR_361_403",0.529059491767373
"Q8N1F8_IDR_334_534",0.535171758177166
"Q8N1F8_IDR_723_773",0.464828241822834
"Q8N1G0_IDR_1158_1198",0.212333755301736
"Q8N1G0_IDR_1_85",0.193969161699907
"Q8N1G0_IDR_608_672",0.18389541799334
"Q8N1G0_IDR_861_1155",0.229834010157203
"Q8N1G0_IDR_87_504",0.179967654847814
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.49413513948751
"Q8N228_IDR_1_90",0.527792579971028
"Q8N228_IDR_210_341",0.472207420028972
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.484931209348265
"Q8N2C3_IDR_165_214",0.515068790651735
"Q8N2C7_IDR_1300_1451",0.100398852404423
"Q8N2C7_IDR_1507_1554",0.108473509263573
"Q8N2C7_IDR_1770_1837",0.0949689633255607
"Q8N2C7_IDR_241_322",0.0950765873574243
"Q8N2C7_IDR_2428_2474",0.0949102303968077
"Q8N2C7_IDR_2755_2786",0.0954639241809306
"Q8N2C7_IDR_2912_3214",0.10399567834537
"Q8N2C7_IDR_363_584",0.101207912899681
"Q8N2C7_IDR_693_781",0.10085094878844
"Q8N2C7_IDR_963_1171",0.10465339303779
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.486732738941021
"Q8N302_IDR_522_621",0.251810629332341
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.43898282442843
"Q8N309_IDR_506_549",0.56101717557157
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.32140338880295
"Q8N344_IDR_348_473",0.324500713544506
"Q8N344_IDR_97_194",0.354095897652545
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.317883766201007
"Q8N365_IDR_198_243",0.368941579934635
"Q8N365_IDR_300_385",0.313174653864358
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.424376686227691
"Q8N392_IDR_19_78",0.288818151453501
"Q8N392_IDR_538_572",0.286805162318808
"Q8N393_IDR_63_241",0.493296064046507
"Q8N3C7_IDR_352_480",0.338117194092574
"Q8N3C7_IDR_556_618",0.32928589113479
"Q8N3D4_IDR_1081_1132",0.242003531349636
"Q8N3D4_IDR_1138_1370",0.269800064820672
"Q8N3D4_IDR_120_150",0.244084423468923
"Q8N3D4_IDR_161_1074",0.244111980360769
"Q8N3E9_IDR_1_55",0.500649786747964
"Q8N3E9_IDR_486_519",0.499350213252036
"Q8N3F8_IDR_111_159",0.282062148981326
"Q8N3F8_IDR_219_677",0.366063593475606
"Q8N3F8_IDR_821_863",0.351874257543069
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.572981958251652
"Q8N3J2_IDR_47_77",0.427018041748348
"Q8N3J3_IDR_1_444",0.48707273138716
"Q8N3J3_IDR_577_647",0.51292726861284
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.49570251613395
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.469886349851748
"Q8N3Z6_IDR_384_543",0.530113650148252
"Q8N412_IDR_1_162",0.479350542216444
"Q8N412_IDR_268_303",0.520649457783556
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.496017310151922
"Q8N441_IDR_403_446",0.503982689848078
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.499296423088446
"Q8N448_IDR_425_459",0.500703576911554
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.504986377633696
"Q8N4L4_IDR_63_309",0.495013622366304
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.495234778496169
"Q8N4N8_IDR_84_180",0.504765221503831
"Q8N4P6_IDR_1_53",0.492597125481775
"Q8N4P6_IDR_333_439",0.507402874518225
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.488986599374773
"Q8N4S9_IDR_368_436",0.511013400625227
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.338493480570091
"Q8N573_IDR_148_203",0.317304105338378
"Q8N573_IDR_1_67",0.356857078280282
"Q8N573_IDR_281_586",0.32583881638134
"Q8N587_IDR_1_45",0.498126256491738
"Q8N587_IDR_52_190",0.501873743508262
"Q8N594_IDR_169_234",0.518745946355403
"Q8N594_IDR_1_72",0.481254053644597
"Q8N5A5_IDR_270_367",0.319632824034645
"Q8N5A5_IDR_369_466",0.360290256368514
"Q8N5A5_IDR_64_126",0.320076919596841
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.550975161382477
"Q8N5C6_IDR_789_819",0.449024838617523
"Q8N5C7_IDR_1_33",0.447629510592936
"Q8N5C7_IDR_165_195",0.552370489407064
"Q8N5C8_IDR_48_533",0.479997247501329
"Q8N5C8_IDR_618_684",0.520002752498671
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.503996306892345
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.314905607877616
"Q8N5U6_IDR_406_501",0.33295725896304
"Q8N5U6_IDR_603_799",0.352137133159344
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.454985763280645
"Q8N5Y2_IDR_93_168",0.545014236719355
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.508917153868176
"Q8N612_IDR_835_915",0.491082846131824
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.515132920219663
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.493871907050544
"Q8N6P7_IDR_409_480",0.506128092949456
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.335224505009515
"Q8N6U8_IDR_350_455",0.33185049812381
"Q8N6U8_IDR_496_529",0.332924996866675
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.499501856039225
"Q8N7G0_IDR_264_328",0.339517406419119
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.495138291937649
"Q8N7P1_IDR_505_536",0.504861708062351
"Q8N7R1_IDR_1_139",0.484957585012903
"Q8N7R1_IDR_144_296",0.515042414987097
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.149487760335372
"Q8N7X0_IDR_1_41",0.135112506992732
"Q8N7X0_IDR_305_407",0.151977529341791
"Q8N7X0_IDR_524_627",0.137646760074451
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.49794610789109
"Q8N878_IDR_333_499",0.50205389210891
"Q8N883_IDR_552_585",0.496830712395421
"Q8N883_IDR_61_245",0.503169287604579
"Q8N895_IDR_1_308",0.341780705548977
"Q8N895_IDR_372_422",0.327381900256469
"Q8N895_IDR_480_718",0.330837394194554
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.503344869857643
"Q8N8E2_IDR_479_541",0.496655130142357
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.484432023204381
"Q8N8G2_IDR_20_76",0.515567976795619
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.486074300582368
"Q8N8R5_IDR_204_247",0.513925699417632
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.505287411164708
"Q8N8U3_IDR_397_427",0.494712588835292
"Q8N8V4_IDR_157_233",0.496832081319937
"Q8N8V4_IDR_237_343",0.503167918680063
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.48589640044273
"Q8N8Z6_IDR_416_715",0.51410359955727
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.370742626060343
"Q8N9B5_IDR_940_988",0.320730032923268
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.42069087955713
"Q8N9I0_IDR_88_138",0.57930912044287
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.503843191591927
"Q8N9K5_IDR_1_36",0.496156808408073
"Q8N9L1_IDR_1_63",0.5001532553485
"Q8N9L1_IDR_277_334",0.4998467446515
"Q8N9M1_IDR_107_422",0.534910957527131
"Q8N9M1_IDR_1_49",0.465089042472869
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.313361308186881
"Q8N9N5_IDR_1_47",0.37554631211612
"Q8N9N5_IDR_321_374",0.311092379696999
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.502990950300575
"Q8N9R8_IDR_377_411",0.497009049699425
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.533798646937321
"Q8N9Z0_IDR_77_172",1
