"","GO0016071_mRNA_metabolic_process"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.559046016129595
"Q8N196_IDR_235_739",0.440953983870405
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.486776565695906
"Q8N1C3_IDR_361_403",0.513223434304094
"Q8N1F8_IDR_334_534",0.457314244410144
"Q8N1F8_IDR_723_773",0.542685755589856
"Q8N1G0_IDR_1158_1198",0.214087387072545
"Q8N1G0_IDR_1_85",0.191909276808661
"Q8N1G0_IDR_608_672",0.171728706024532
"Q8N1G0_IDR_861_1155",0.243075756013065
"Q8N1G0_IDR_87_504",0.179198874081198
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.478198141874911
"Q8N228_IDR_1_90",0.455219882517849
"Q8N228_IDR_210_341",0.54478011748215
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.533579503738603
"Q8N2C3_IDR_165_214",0.466420496261397
"Q8N2C7_IDR_1300_1451",0.0959746671198498
"Q8N2C7_IDR_1507_1554",0.100134532382419
"Q8N2C7_IDR_1770_1837",0.0970570496309201
"Q8N2C7_IDR_241_322",0.0935029378689924
"Q8N2C7_IDR_2428_2474",0.0972630893141419
"Q8N2C7_IDR_2755_2786",0.0955091828223798
"Q8N2C7_IDR_2912_3214",0.0869402778393715
"Q8N2C7_IDR_363_584",0.105888257756272
"Q8N2C7_IDR_693_781",0.138824210252385
"Q8N2C7_IDR_963_1171",0.0889057950132695
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.393319394905154
"Q8N302_IDR_522_621",0.30078649548143
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.389483776900892
"Q8N309_IDR_506_549",0.610516223099108
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.318271075953926
"Q8N344_IDR_348_473",0.336741762837104
"Q8N344_IDR_97_194",0.344987161208969
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.368696055207663
"Q8N365_IDR_198_243",0.327080205592666
"Q8N365_IDR_300_385",0.304223739199671
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.30088503799208
"Q8N392_IDR_19_78",0.350128580412657
"Q8N392_IDR_538_572",0.348986381595264
"Q8N393_IDR_63_241",0.492353044329626
"Q8N3C7_IDR_352_480",0.367807309914209
"Q8N3C7_IDR_556_618",0.336139241551638
"Q8N3D4_IDR_1081_1132",0.258587634081823
"Q8N3D4_IDR_1138_1370",0.23251773872807
"Q8N3D4_IDR_120_150",0.246029117351841
"Q8N3D4_IDR_161_1074",0.262865509838265
"Q8N3E9_IDR_1_55",0.47371384135575
"Q8N3E9_IDR_486_519",0.52628615864425
"Q8N3F8_IDR_111_159",0.314539643369501
"Q8N3F8_IDR_219_677",0.36489679407964
"Q8N3F8_IDR_821_863",0.320563562550859
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.503842286286142
"Q8N3J2_IDR_47_77",0.496157713713858
"Q8N3J3_IDR_1_444",0.485616833451807
"Q8N3J3_IDR_577_647",0.514383166548193
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.475296442080931
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.39793293582722
"Q8N3Z6_IDR_384_543",0.60206706417278
"Q8N412_IDR_1_162",0.5059727243777
"Q8N412_IDR_268_303",0.4940272756223
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.446787569133037
"Q8N441_IDR_403_446",0.553212430866963
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.498991564680901
"Q8N448_IDR_425_459",0.501008435319099
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.47544168221022
"Q8N4L4_IDR_63_309",0.52455831778978
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.490707874324207
"Q8N4N8_IDR_84_180",0.509292125675793
"Q8N4P6_IDR_1_53",0.484509431726837
"Q8N4P6_IDR_333_439",0.515490568273163
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.525923189350896
"Q8N4S9_IDR_368_436",0.474076810649104
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.279912480487094
"Q8N573_IDR_148_203",0.345531925022629
"Q8N573_IDR_1_67",0.32241369315447
"Q8N573_IDR_281_586",0.332054381822901
"Q8N587_IDR_1_45",0.513714521727862
"Q8N587_IDR_52_190",0.486285478272138
"Q8N594_IDR_169_234",0.497017480272092
"Q8N594_IDR_1_72",0.502982519727908
"Q8N5A5_IDR_270_367",0.331923071599201
"Q8N5A5_IDR_369_466",0.339571106415575
"Q8N5A5_IDR_64_126",0.328505821985225
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.52002115230514
"Q8N5C6_IDR_789_819",0.47997884769486
"Q8N5C7_IDR_1_33",0.477925741138255
"Q8N5C7_IDR_165_195",0.522074258861745
"Q8N5C8_IDR_48_533",0.516001932287538
"Q8N5C8_IDR_618_684",0.483998067712462
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.492022520488872
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.445667161594828
"Q8N5U6_IDR_406_501",0.254341715988551
"Q8N5U6_IDR_603_799",0.299991122416621
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.446796395632322
"Q8N5Y2_IDR_93_168",0.553203604367678
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.53248448290766
"Q8N612_IDR_835_915",0.46751551709234
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.44665999273268
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.501137777393603
"Q8N6P7_IDR_409_480",0.498862222606397
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.351032375284189
"Q8N6U8_IDR_350_455",0.302159763654688
"Q8N6U8_IDR_496_529",0.346807861061122
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.538219940629757
"Q8N7G0_IDR_264_328",0.319652534766072
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.460413965754593
"Q8N7P1_IDR_505_536",0.539586034245407
"Q8N7R1_IDR_1_139",0.485986653506982
"Q8N7R1_IDR_144_296",0.514013346493019
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.13327612359294
"Q8N7X0_IDR_1_41",0.141267237182324
"Q8N7X0_IDR_305_407",0.170847100779885
"Q8N7X0_IDR_524_627",0.120191013346426
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.49385741655733
"Q8N878_IDR_333_499",0.50614258344267
"Q8N883_IDR_552_585",0.51208572875893
"Q8N883_IDR_61_245",0.48791427124107
"Q8N895_IDR_1_308",0.320851701230275
"Q8N895_IDR_372_422",0.334243984049541
"Q8N895_IDR_480_718",0.344904314720184
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.437167364572137
"Q8N8E2_IDR_479_541",0.562832635427863
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.506225852693123
"Q8N8G2_IDR_20_76",0.493774147306877
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.482429652122579
"Q8N8R5_IDR_204_247",0.517570347877421
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.474765272387452
"Q8N8U3_IDR_397_427",0.525234727612548
"Q8N8V4_IDR_157_233",0.506718734219523
"Q8N8V4_IDR_237_343",0.493281265780477
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.513367425911836
"Q8N8Z6_IDR_416_715",0.486632574088164
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.2679185552591
"Q8N9B5_IDR_940_988",0.339445885661963
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.421837087164132
"Q8N9I0_IDR_88_138",0.578162912835868
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.498223397994699
"Q8N9K5_IDR_1_36",0.501776602005301
"Q8N9L1_IDR_1_63",0.472208307396524
"Q8N9L1_IDR_277_334",0.527791692603476
"Q8N9M1_IDR_107_422",0.530900017445364
"Q8N9M1_IDR_1_49",0.469099982554636
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.31907621041096
"Q8N9N5_IDR_1_47",0.354923475137538
"Q8N9N5_IDR_321_374",0.326000314451502
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.498925065005746
"Q8N9R8_IDR_377_411",0.501074934994254
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.498244851189176
"Q8N9Z0_IDR_77_172",1
