"","GO0045944_positive_regulation_of_transcription_by_RNA_polymerase_II"
"Q8N137_IDR_442_797",0.327096249269133
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.397456887738651
"Q8N196_IDR_235_739",0.602543112261349
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.499402687652845
"Q8N1C3_IDR_361_403",0.500597312347155
"Q8N1F8_IDR_334_534",0.509562321324628
"Q8N1F8_IDR_723_773",0.490437678675372
"Q8N1G0_IDR_1158_1198",0.193715814806317
"Q8N1G0_IDR_1_85",0.19947724752843
"Q8N1G0_IDR_608_672",0.183047230815857
"Q8N1G0_IDR_861_1155",0.200312639858565
"Q8N1G0_IDR_87_504",0.223447066990832
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.5360668694556
"Q8N228_IDR_1_90",0.511205128648687
"Q8N228_IDR_210_341",0.488794871351313
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.517613956729957
"Q8N2C3_IDR_165_214",0.482386043270043
"Q8N2C7_IDR_1300_1451",0.0971774656670102
"Q8N2C7_IDR_1507_1554",0.108117543031301
"Q8N2C7_IDR_1770_1837",0.104901578248375
"Q8N2C7_IDR_241_322",0.106544977200945
"Q8N2C7_IDR_2428_2474",0.0989167691872047
"Q8N2C7_IDR_2755_2786",0.0969867517009126
"Q8N2C7_IDR_2912_3214",0.100296819099592
"Q8N2C7_IDR_363_584",0.103232282270669
"Q8N2C7_IDR_693_781",0.0935708291217203
"Q8N2C7_IDR_963_1171",0.090254984472271
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.338757228202355
"Q8N302_IDR_522_621",0.341332590212608
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.505485417789985
"Q8N309_IDR_506_549",0.494514582210015
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.326617056997412
"Q8N344_IDR_348_473",0.344198108402402
"Q8N344_IDR_97_194",0.329184834600186
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.328184737221838
"Q8N365_IDR_198_243",0.337050930004017
"Q8N365_IDR_300_385",0.334764332774144
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.318116830412322
"Q8N392_IDR_19_78",0.347973830624845
"Q8N392_IDR_538_572",0.333909338962833
"Q8N393_IDR_63_241",0.483830194231734
"Q8N3C7_IDR_352_480",0.335338710902901
"Q8N3C7_IDR_556_618",0.333313661710436
"Q8N3D4_IDR_1081_1132",0.279610617414073
"Q8N3D4_IDR_1138_1370",0.233217296546212
"Q8N3D4_IDR_120_150",0.252567149868694
"Q8N3D4_IDR_161_1074",0.234604936171021
"Q8N3E9_IDR_1_55",0.532568322118005
"Q8N3E9_IDR_486_519",0.467431677881995
"Q8N3F8_IDR_111_159",0.339923391947322
"Q8N3F8_IDR_219_677",0.335344916628028
"Q8N3F8_IDR_821_863",0.32473169142465
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.51696720386266
"Q8N3J2_IDR_47_77",0.48303279613734
"Q8N3J3_IDR_1_444",0.566213618542569
"Q8N3J3_IDR_577_647",0.433786381457431
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.506824656158664
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.529118084728443
"Q8N3Z6_IDR_384_543",0.470881915271557
"Q8N412_IDR_1_162",0.499516742283043
"Q8N412_IDR_268_303",0.500483257716957
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.495151586883609
"Q8N441_IDR_403_446",0.504848413116391
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.520488840745397
"Q8N448_IDR_425_459",0.479511159254602
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.519005636024208
"Q8N4L4_IDR_63_309",0.480994363975792
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.4999294094141
"Q8N4N8_IDR_84_180",0.5000705905859
"Q8N4P6_IDR_1_53",0.515264704901981
"Q8N4P6_IDR_333_439",0.484735295098019
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.470633553361518
"Q8N4S9_IDR_368_436",0.529366446638482
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.346412445575045
"Q8N573_IDR_148_203",0.316297607754906
"Q8N573_IDR_1_67",0.343072702967441
"Q8N573_IDR_281_586",0.340629689277653
"Q8N587_IDR_1_45",0.49884719925624
"Q8N587_IDR_52_190",0.50115280074376
"Q8N594_IDR_169_234",0.50702041810248
"Q8N594_IDR_1_72",0.49297958189752
"Q8N5A5_IDR_270_367",0.374082303699015
"Q8N5A5_IDR_369_466",0.312700966145675
"Q8N5A5_IDR_64_126",0.31321673015531
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.561524551899781
"Q8N5C6_IDR_789_819",0.438475448100219
"Q8N5C7_IDR_1_33",0.502181634005466
"Q8N5C7_IDR_165_195",0.497818365994534
"Q8N5C8_IDR_48_533",0.739839093028581
"Q8N5C8_IDR_618_684",0.260160906971419
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.484338721698548
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.296104768624167
"Q8N5U6_IDR_406_501",0.288785171248898
"Q8N5U6_IDR_603_799",0.415110060126935
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.502936027722575
"Q8N5Y2_IDR_93_168",0.497063972277425
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.521434397200973
"Q8N612_IDR_835_915",0.478565602799027
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.513691511120153
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.496635117705074
"Q8N6P7_IDR_409_480",0.503364882294925
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.326172734399872
"Q8N6U8_IDR_350_455",0.340812984529486
"Q8N6U8_IDR_496_529",0.333014281070642
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.51146716277252
"Q8N7G0_IDR_264_328",0.332171840445005
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.514577870254443
"Q8N7P1_IDR_505_536",0.485422129745557
"Q8N7R1_IDR_1_139",0.50020335855209
"Q8N7R1_IDR_144_296",0.49979664144791
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.145726406876252
"Q8N7X0_IDR_1_41",0.147452195547839
"Q8N7X0_IDR_305_407",0.130457132229153
"Q8N7X0_IDR_524_627",0.143109098480869
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.512335816864369
"Q8N878_IDR_333_499",0.487664183135631
"Q8N883_IDR_552_585",0.49090490403639
"Q8N883_IDR_61_245",0.50909509596361
"Q8N895_IDR_1_308",0.344991841194327
"Q8N895_IDR_372_422",0.279085514605602
"Q8N895_IDR_480_718",0.375922644200071
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.481077526587701
"Q8N8E2_IDR_479_541",0.518922473412299
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.490098474374535
"Q8N8G2_IDR_20_76",0.509901525625465
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.52675431951733
"Q8N8R5_IDR_204_247",0.47324568048267
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.470417700017951
"Q8N8U3_IDR_397_427",0.529582299982049
"Q8N8V4_IDR_157_233",0.509876400431511
"Q8N8V4_IDR_237_343",0.490123599568489
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.453086513003742
"Q8N8Z6_IDR_416_715",0.546913486996258
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.32467213793381
"Q8N9B5_IDR_940_988",0.340630884152766
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.498533977227017
"Q8N9I0_IDR_88_138",0.501466022772983
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.509307269372274
"Q8N9K5_IDR_1_36",0.490692730627726
"Q8N9L1_IDR_1_63",0.490470318676188
"Q8N9L1_IDR_277_334",0.509529681323812
"Q8N9M1_IDR_107_422",0.515843198542417
"Q8N9M1_IDR_1_49",0.484156801457583
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.311089452355267
"Q8N9N5_IDR_1_47",0.361902622164378
"Q8N9N5_IDR_321_374",0.327007925480355
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.511393160643798
"Q8N9R8_IDR_377_411",0.488606839356202
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.509300714399299
