"","GO0008380_RNA_splicing"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.542420830901633
"Q8N196_IDR_235_739",0.457579169098367
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.484116902792589
"Q8N1C3_IDR_361_403",0.515883097207411
"Q8N1F8_IDR_334_534",0.482096534314989
"Q8N1F8_IDR_723_773",0.517903465685011
"Q8N1G0_IDR_1158_1198",0.205348660566057
"Q8N1G0_IDR_1_85",0.183848747647277
"Q8N1G0_IDR_608_672",0.176384865849646
"Q8N1G0_IDR_861_1155",0.25573297498399
"Q8N1G0_IDR_87_504",0.17868475095303
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.474663614776299
"Q8N228_IDR_1_90",0.474158973609052
"Q8N228_IDR_210_341",0.525841026390948
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.512954178517882
"Q8N2C3_IDR_165_214",0.487045821482118
"Q8N2C7_IDR_1300_1451",0.0990510870636928
"Q8N2C7_IDR_1507_1554",0.1027633675317
"Q8N2C7_IDR_1770_1837",0.0985055841960562
"Q8N2C7_IDR_241_322",0.0936694256514998
"Q8N2C7_IDR_2428_2474",0.0975865340564202
"Q8N2C7_IDR_2755_2786",0.0980892815142851
"Q8N2C7_IDR_2912_3214",0.0902904289566434
"Q8N2C7_IDR_363_584",0.105341302134098
"Q8N2C7_IDR_693_781",0.119914271522592
"Q8N2C7_IDR_963_1171",0.0947887173730118
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.396602630485007
"Q8N302_IDR_522_621",0.291005644375575
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.402794832015011
"Q8N309_IDR_506_549",0.597205167984989
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.323892717615482
"Q8N344_IDR_348_473",0.341098059259099
"Q8N344_IDR_97_194",0.335009223125419
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.368739342690185
"Q8N365_IDR_198_243",0.32654688691883
"Q8N365_IDR_300_385",0.304713770390985
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.310830073416994
"Q8N392_IDR_19_78",0.340336705468756
"Q8N392_IDR_538_572",0.34883322111425
"Q8N393_IDR_63_241",0.493097992562765
"Q8N3C7_IDR_352_480",0.346973024418204
"Q8N3C7_IDR_556_618",0.341863215184164
"Q8N3D4_IDR_1081_1132",0.25044099412206
"Q8N3D4_IDR_1138_1370",0.246261380796213
"Q8N3D4_IDR_120_150",0.247028441548126
"Q8N3D4_IDR_161_1074",0.256269183533601
"Q8N3E9_IDR_1_55",0.470613386535332
"Q8N3E9_IDR_486_519",0.529386613464668
"Q8N3F8_IDR_111_159",0.330427350337738
"Q8N3F8_IDR_219_677",0.334448929085001
"Q8N3F8_IDR_821_863",0.335123720577261
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.517105863162061
"Q8N3J2_IDR_47_77",0.482894136837939
"Q8N3J3_IDR_1_444",0.488027946895352
"Q8N3J3_IDR_577_647",0.511972053104648
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.484959336770257
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.360826271821939
"Q8N3Z6_IDR_384_543",0.639173728178061
"Q8N412_IDR_1_162",0.527116836181604
"Q8N412_IDR_268_303",0.472883163818396
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.4592195443802
"Q8N441_IDR_403_446",0.5407804556198
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.497800099898477
"Q8N448_IDR_425_459",0.502199900101523
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.442097614895624
"Q8N4L4_IDR_63_309",0.557902385104376
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.480971575502527
"Q8N4N8_IDR_84_180",0.519028424497473
"Q8N4P6_IDR_1_53",0.493694557060627
"Q8N4P6_IDR_333_439",0.506305442939373
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.519850770407944
"Q8N4S9_IDR_368_436",0.480149229592056
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.286312755273142
"Q8N573_IDR_148_203",0.335943614426313
"Q8N573_IDR_1_67",0.338862107496592
"Q8N573_IDR_281_586",0.325194278077096
"Q8N587_IDR_1_45",0.502233078862183
"Q8N587_IDR_52_190",0.497766921137817
"Q8N594_IDR_169_234",0.496020333094345
"Q8N594_IDR_1_72",0.503979666905655
"Q8N5A5_IDR_270_367",0.331098049435206
"Q8N5A5_IDR_369_466",0.338812832230034
"Q8N5A5_IDR_64_126",0.330089118334761
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.513756807223851
"Q8N5C6_IDR_789_819",0.486243192776149
"Q8N5C7_IDR_1_33",0.47173278505861
"Q8N5C7_IDR_165_195",0.52826721494139
"Q8N5C8_IDR_48_533",0.524026173265688
"Q8N5C8_IDR_618_684",0.475973826734312
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.494938994259499
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.454543843369044
"Q8N5U6_IDR_406_501",0.259911869576882
"Q8N5U6_IDR_603_799",0.285544287054074
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.461470907211444
"Q8N5Y2_IDR_93_168",0.538529092788556
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.502186420019686
"Q8N612_IDR_835_915",0.497813579980314
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.380175547461829
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.503760198701665
"Q8N6P7_IDR_409_480",0.496239801298335
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.3409930189994
"Q8N6U8_IDR_350_455",0.304122394065998
"Q8N6U8_IDR_496_529",0.354884586934602
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.527628607832322
"Q8N7G0_IDR_264_328",0.328392799290216
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.467014680631437
"Q8N7P1_IDR_505_536",0.532985319368564
"Q8N7R1_IDR_1_139",0.496062565039871
"Q8N7R1_IDR_144_296",0.503937434960129
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.134091981283154
"Q8N7X0_IDR_1_41",0.144982636844882
"Q8N7X0_IDR_305_407",0.152753337033436
"Q8N7X0_IDR_524_627",0.126468700025581
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.49993011446446
"Q8N878_IDR_333_499",0.50006988553554
"Q8N883_IDR_552_585",0.497178356972412
"Q8N883_IDR_61_245",0.502821643027588
"Q8N895_IDR_1_308",0.320135405930253
"Q8N895_IDR_372_422",0.336454707209746
"Q8N895_IDR_480_718",0.343409886860001
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.442365475024002
"Q8N8E2_IDR_479_541",0.557634524975998
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.487145995027708
"Q8N8G2_IDR_20_76",0.512854004972292
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.472518227727821
"Q8N8R5_IDR_204_247",0.527481772272179
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.47537450404886
"Q8N8U3_IDR_397_427",0.52462549595114
"Q8N8V4_IDR_157_233",0.49953121580812
"Q8N8V4_IDR_237_343",0.50046878419188
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.499723907741366
"Q8N8Z6_IDR_416_715",0.500276092258634
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.280573995294394
"Q8N9B5_IDR_940_988",0.333141984539044
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.443374307779649
"Q8N9I0_IDR_88_138",0.556625692220351
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.494930062337824
"Q8N9K5_IDR_1_36",0.505069937662176
"Q8N9L1_IDR_1_63",0.473949376515438
"Q8N9L1_IDR_277_334",0.526050623484562
"Q8N9M1_IDR_107_422",0.512659964188686
"Q8N9M1_IDR_1_49",0.487340035811314
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.31616909102256
"Q8N9N5_IDR_1_47",0.346659739962604
"Q8N9N5_IDR_321_374",0.337171169014835
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.479951394117422
"Q8N9R8_IDR_377_411",0.520048605882578
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.494463018191879
"Q8N9Z0_IDR_77_172",1
