"","GO0030545_signaling_receptor_regulator_activity"
"Q8N137_IDR_442_797",0.340045342065933
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.402872638980362
"Q8N196_IDR_235_739",0.597127361019638
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.53354358262775
"Q8N1C3_IDR_361_403",0.46645641737225
"Q8N1F8_IDR_334_534",0.496548792096101
"Q8N1F8_IDR_723_773",0.503451207903899
"Q8N1G0_IDR_1158_1198",0.205723668270595
"Q8N1G0_IDR_1_85",0.194343359191958
"Q8N1G0_IDR_608_672",0.219279587285349
"Q8N1G0_IDR_861_1155",0.187423601803546
"Q8N1G0_IDR_87_504",0.193229783448552
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.616019259138039
"Q8N228_IDR_1_90",0.549853653916805
"Q8N228_IDR_210_341",0.450146346083195
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.48948255652624
"Q8N2C3_IDR_165_214",0.51051744347376
"Q8N2C7_IDR_1300_1451",0.110084733327358
"Q8N2C7_IDR_1507_1554",0.100125244238764
"Q8N2C7_IDR_1770_1837",0.0965505083994689
"Q8N2C7_IDR_241_322",0.0953506399414999
"Q8N2C7_IDR_2428_2474",0.104465686033351
"Q8N2C7_IDR_2755_2786",0.10380647610539
"Q8N2C7_IDR_2912_3214",0.0972960506492661
"Q8N2C7_IDR_363_584",0.0992797073506255
"Q8N2C7_IDR_693_781",0.090209857856505
"Q8N2C7_IDR_963_1171",0.102831096097772
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.306945737629862
"Q8N302_IDR_522_621",0.350399797533975
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.488726169099023
"Q8N309_IDR_506_549",0.511273830900977
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.333246021417791
"Q8N344_IDR_348_473",0.345351063373941
"Q8N344_IDR_97_194",0.321402915208268
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.311277324421399
"Q8N365_IDR_198_243",0.344182906655239
"Q8N365_IDR_300_385",0.344539768923362
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.329843168364897
"Q8N392_IDR_19_78",0.323746735969894
"Q8N392_IDR_538_572",0.346410095665209
"Q8N393_IDR_63_241",0.489764224154758
"Q8N3C7_IDR_352_480",0.297294881199903
"Q8N3C7_IDR_556_618",0.316493478110434
"Q8N3D4_IDR_1081_1132",0.259383893058189
"Q8N3D4_IDR_1138_1370",0.243240728990275
"Q8N3D4_IDR_120_150",0.27485151164946
"Q8N3D4_IDR_161_1074",0.222523866302076
"Q8N3E9_IDR_1_55",0.536370752054687
"Q8N3E9_IDR_486_519",0.463629247945313
"Q8N3F8_IDR_111_159",0.332737785734617
"Q8N3F8_IDR_219_677",0.301918291079611
"Q8N3F8_IDR_821_863",0.365343923185772
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.494747545595302
"Q8N3J2_IDR_47_77",0.505252454404698
"Q8N3J3_IDR_1_444",0.453340527909903
"Q8N3J3_IDR_577_647",0.546659472090097
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.539405645167675
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.486118427527636
"Q8N3Z6_IDR_384_543",0.513881572472364
"Q8N412_IDR_1_162",0.473183164378658
"Q8N412_IDR_268_303",0.526816835621342
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.554073623767748
"Q8N441_IDR_403_446",0.445926376232252
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.466428857377162
"Q8N448_IDR_425_459",0.533571142622837
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.516494687790969
"Q8N4L4_IDR_63_309",0.483505312209031
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.453290665651029
"Q8N4N8_IDR_84_180",0.546709334348971
"Q8N4P6_IDR_1_53",0.502638549474247
"Q8N4P6_IDR_333_439",0.497361450525753
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.48175795988126
"Q8N4S9_IDR_368_436",0.51824204011874
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.338334430074239
"Q8N573_IDR_148_203",0.350342377055545
"Q8N573_IDR_1_67",0.342136919153642
"Q8N573_IDR_281_586",0.307520703790813
"Q8N587_IDR_1_45",0.487834575027604
"Q8N587_IDR_52_190",0.512165424972396
"Q8N594_IDR_169_234",0.482796769520213
"Q8N594_IDR_1_72",0.517203230479787
"Q8N5A5_IDR_270_367",0.332734233450868
"Q8N5A5_IDR_369_466",0.375895011434064
"Q8N5A5_IDR_64_126",0.291370755115068
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.468746066255301
"Q8N5C6_IDR_789_819",0.531253933744699
"Q8N5C7_IDR_1_33",0.497664337107061
"Q8N5C7_IDR_165_195",0.502335662892939
"Q8N5C8_IDR_48_533",0.497482799513178
"Q8N5C8_IDR_618_684",0.502517200486822
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.518134416682258
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.323913803082985
"Q8N5U6_IDR_406_501",0.328504767276459
"Q8N5U6_IDR_603_799",0.347581429640556
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.530973967798786
"Q8N5Y2_IDR_93_168",0.469026032201214
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.459741573744533
"Q8N612_IDR_835_915",0.540258426255467
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.502651228856993
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.491076208466968
"Q8N6P7_IDR_409_480",0.508923791533032
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.325365945003336
"Q8N6U8_IDR_350_455",0.338196648811632
"Q8N6U8_IDR_496_529",0.336437406185032
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.488904605435591
"Q8N7G0_IDR_264_328",0.334937823770765
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.513292914368903
"Q8N7P1_IDR_505_536",0.486707085631097
"Q8N7R1_IDR_1_139",0.547422388637506
"Q8N7R1_IDR_144_296",0.452577611362494
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.139851342505325
"Q8N7X0_IDR_1_41",0.144148126063279
"Q8N7X0_IDR_305_407",0.137333253811014
"Q8N7X0_IDR_524_627",0.156618036492567
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.517542767146838
"Q8N878_IDR_333_499",0.482457232853162
"Q8N883_IDR_552_585",0.51195455451612
"Q8N883_IDR_61_245",0.48804544548388
"Q8N895_IDR_1_308",0.362253430971563
"Q8N895_IDR_372_422",0.32559579813057
"Q8N895_IDR_480_718",0.312150770897867
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.54006880727294
"Q8N8E2_IDR_479_541",0.45993119272706
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.49357912989084
"Q8N8G2_IDR_20_76",0.50642087010916
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.578406486889405
"Q8N8R5_IDR_204_247",0.421593513110595
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.528270523865438
"Q8N8U3_IDR_397_427",0.471729476134562
"Q8N8V4_IDR_157_233",0.53985465565102
"Q8N8V4_IDR_237_343",0.46014534434898
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.560224079067184
"Q8N8Z6_IDR_416_715",0.439775920932816
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.340449552377289
"Q8N9B5_IDR_940_988",0.323382068571132
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.50812218057579
"Q8N9I0_IDR_88_138",0.49187781942421
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.508116571606999
"Q8N9K5_IDR_1_36",0.491883428393001
"Q8N9L1_IDR_1_63",0.507615702241507
"Q8N9L1_IDR_277_334",0.492384297758494
"Q8N9M1_IDR_107_422",0.462738726442574
"Q8N9M1_IDR_1_49",0.537261273557426
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.346355457049416
"Q8N9N5_IDR_1_47",0.322930083505263
"Q8N9N5_IDR_321_374",0.330714459445321
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.491860434354136
"Q8N9R8_IDR_377_411",0.508139565645864
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.487602855065814
"Q8N9Z0_IDR_77_172",1
