"","GO0042127_regulation_of_cell_population_proliferation"
"Q8N137_IDR_442_797",0.344915775448475
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.491531389432735
"Q8N196_IDR_235_739",0.508468610567264
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.516489846049081
"Q8N1C3_IDR_361_403",0.483510153950919
"Q8N1F8_IDR_334_534",0.492169306795188
"Q8N1F8_IDR_723_773",0.507830693204812
"Q8N1G0_IDR_1158_1198",0.201780775928354
"Q8N1G0_IDR_1_85",0.206528489985087
"Q8N1G0_IDR_608_672",0.209026500882267
"Q8N1G0_IDR_861_1155",0.195082640269798
"Q8N1G0_IDR_87_504",0.187581592934493
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.527644329199804
"Q8N228_IDR_1_90",0.505098222133674
"Q8N228_IDR_210_341",0.494901777866326
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.50691906031293
"Q8N2C3_IDR_165_214",0.49308093968707
"Q8N2C7_IDR_1300_1451",0.104420147210474
"Q8N2C7_IDR_1507_1554",0.0967891794976632
"Q8N2C7_IDR_1770_1837",0.0971534284525623
"Q8N2C7_IDR_241_322",0.097803191377834
"Q8N2C7_IDR_2428_2474",0.102553874215922
"Q8N2C7_IDR_2755_2786",0.101252780016821
"Q8N2C7_IDR_2912_3214",0.0945046149638901
"Q8N2C7_IDR_363_584",0.10157409108948
"Q8N2C7_IDR_693_781",0.0904617272095405
"Q8N2C7_IDR_963_1171",0.113486965965813
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.308047261898204
"Q8N302_IDR_522_621",0.33522062844033
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.525677551720274
"Q8N309_IDR_506_549",0.474322448279726
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.341386276893874
"Q8N344_IDR_348_473",0.341172309931094
"Q8N344_IDR_97_194",0.317441413175032
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.3276220488622
"Q8N365_IDR_198_243",0.345006452277891
"Q8N365_IDR_300_385",0.327371498859909
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.330095522286204
"Q8N392_IDR_19_78",0.351171140225096
"Q8N392_IDR_538_572",0.3187333374887
"Q8N393_IDR_63_241",0.503552671866684
"Q8N3C7_IDR_352_480",0.310464052468493
"Q8N3C7_IDR_556_618",0.341251728342078
"Q8N3D4_IDR_1081_1132",0.264608103867861
"Q8N3D4_IDR_1138_1370",0.245970802276777
"Q8N3D4_IDR_120_150",0.262636394807942
"Q8N3D4_IDR_161_1074",0.22678469904742
"Q8N3E9_IDR_1_55",0.517679222019328
"Q8N3E9_IDR_486_519",0.482320777980672
"Q8N3F8_IDR_111_159",0.348602886193254
"Q8N3F8_IDR_219_677",0.31362017329571
"Q8N3F8_IDR_821_863",0.337776940511036
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.49344530963049
"Q8N3J2_IDR_47_77",0.50655469036951
"Q8N3J3_IDR_1_444",0.476937453211316
"Q8N3J3_IDR_577_647",0.523062546788684
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.508310320375069
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.521187652929956
"Q8N3Z6_IDR_384_543",0.478812347070044
"Q8N412_IDR_1_162",0.522662381807884
"Q8N412_IDR_268_303",0.477337618192116
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.526841504185778
"Q8N441_IDR_403_446",0.473158495814222
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.488947744242904
"Q8N448_IDR_425_459",0.511052255757096
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.505044406434744
"Q8N4L4_IDR_63_309",0.494955593565256
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.470067291811853
"Q8N4N8_IDR_84_180",0.529932708188147
"Q8N4P6_IDR_1_53",0.508922689518994
"Q8N4P6_IDR_333_439",0.491077310481006
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.504969910848983
"Q8N4S9_IDR_368_436",0.495030089151017
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.335434048182087
"Q8N573_IDR_148_203",0.335347895174208
"Q8N573_IDR_1_67",0.349575570684905
"Q8N573_IDR_281_586",0.315076534140886
"Q8N587_IDR_1_45",0.486685848997962
"Q8N587_IDR_52_190",0.513314151002038
"Q8N594_IDR_169_234",0.499133603452764
"Q8N594_IDR_1_72",0.500866396547236
"Q8N5A5_IDR_270_367",0.341928773607458
"Q8N5A5_IDR_369_466",0.344069418193479
"Q8N5A5_IDR_64_126",0.314001808199063
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.490027008213336
"Q8N5C6_IDR_789_819",0.509972991786664
"Q8N5C7_IDR_1_33",0.511188609305783
"Q8N5C7_IDR_165_195",0.488811390694217
"Q8N5C8_IDR_48_533",0.515508226307662
"Q8N5C8_IDR_618_684",0.484491773692338
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.523554632412708
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.315763817211208
"Q8N5U6_IDR_406_501",0.340632313008744
"Q8N5U6_IDR_603_799",0.343603869780048
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.516196648630039
"Q8N5Y2_IDR_93_168",0.483803351369961
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.503909015991444
"Q8N612_IDR_835_915",0.496090984008556
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.478300497234999
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.489768743811283
"Q8N6P7_IDR_409_480",0.510231256188717
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.315500534108137
"Q8N6U8_IDR_350_455",0.355652581721084
"Q8N6U8_IDR_496_529",0.328846884170779
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.484931384196513
"Q8N7G0_IDR_264_328",0.329397303374591
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.50393133562162
"Q8N7P1_IDR_505_536",0.49606866437838
"Q8N7R1_IDR_1_139",0.512557502115146
"Q8N7R1_IDR_144_296",0.487442497884854
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.145404462290988
"Q8N7X0_IDR_1_41",0.141655052815602
"Q8N7X0_IDR_305_407",0.136722100592892
"Q8N7X0_IDR_524_627",0.155220435177954
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.503227114568333
"Q8N878_IDR_333_499",0.496772885431667
"Q8N883_IDR_552_585",0.493533145871524
"Q8N883_IDR_61_245",0.506466854128476
"Q8N895_IDR_1_308",0.362731675590529
"Q8N895_IDR_372_422",0.319454621296815
"Q8N895_IDR_480_718",0.317813703112655
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.55109376109757
"Q8N8E2_IDR_479_541",0.44890623890243
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.513672870450262
"Q8N8G2_IDR_20_76",0.486327129549738
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.514728420801573
"Q8N8R5_IDR_204_247",0.485271579198427
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.504572512102541
"Q8N8U3_IDR_397_427",0.495427487897459
"Q8N8V4_IDR_157_233",0.505565005945051
"Q8N8V4_IDR_237_343",0.494434994054949
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.500619841106966
"Q8N8Z6_IDR_416_715",0.499380158893034
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.333401638964223
"Q8N9B5_IDR_940_988",0.348394084116735
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.512952488986542
"Q8N9I0_IDR_88_138",0.487047511013458
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.510001858995481
"Q8N9K5_IDR_1_36",0.489998141004519
"Q8N9L1_IDR_1_63",0.515297296502029
"Q8N9L1_IDR_277_334",0.484702703497971
"Q8N9M1_IDR_107_422",0.462209256997222
"Q8N9M1_IDR_1_49",0.537790743002778
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.340634978610913
"Q8N9N5_IDR_1_47",0.330779469392988
"Q8N9N5_IDR_321_374",0.328585551996099
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.49811985144875
"Q8N9R8_IDR_377_411",0.50188014855125
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.48516249848121
"Q8N9Z0_IDR_77_172",1
