"","GO0060089_molecular_transducer_activity"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.414494025140645
"Q8N196_IDR_235_739",0.585505974859355
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.551832744028723
"Q8N1C3_IDR_361_403",0.448167255971277
"Q8N1F8_IDR_334_534",0.453305970403164
"Q8N1F8_IDR_723_773",0.546694029596836
"Q8N1G0_IDR_1158_1198",0.197315962269883
"Q8N1G0_IDR_1_85",0.201475038577785
"Q8N1G0_IDR_608_672",0.229364644477453
"Q8N1G0_IDR_861_1155",0.15468325895321
"Q8N1G0_IDR_87_504",0.217161095721668
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.562130313996412
"Q8N228_IDR_1_90",0.502729004096354
"Q8N228_IDR_210_341",0.497270995903646
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.512118321408215
"Q8N2C3_IDR_165_214",0.487881678591785
"Q8N2C7_IDR_1300_1451",0.110674119054416
"Q8N2C7_IDR_1507_1554",0.0929763498550928
"Q8N2C7_IDR_1770_1837",0.100571083391676
"Q8N2C7_IDR_241_322",0.108509528112884
"Q8N2C7_IDR_2428_2474",0.108184328488776
"Q8N2C7_IDR_2755_2786",0.101416348582642
"Q8N2C7_IDR_2912_3214",0.0952969846056767
"Q8N2C7_IDR_363_584",0.102867938839608
"Q8N2C7_IDR_693_781",0.082447479715997
"Q8N2C7_IDR_963_1171",0.0970558393532306
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.276007345651528
"Q8N302_IDR_522_621",0.338026325091015
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.543735519762767
"Q8N309_IDR_506_549",0.456264480237233
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.334019203849765
"Q8N344_IDR_348_473",0.348707786337035
"Q8N344_IDR_97_194",0.3172730098132
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.27953968264288
"Q8N365_IDR_198_243",0.344302282067248
"Q8N365_IDR_300_385",0.376158035289872
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.331545904117079
"Q8N392_IDR_19_78",0.349438159882944
"Q8N392_IDR_538_572",0.319015935999977
"Q8N393_IDR_63_241",0.499647144200477
"Q8N3C7_IDR_352_480",0.325443941829842
"Q8N3C7_IDR_556_618",0.355334021105233
"Q8N3D4_IDR_1081_1132",0.262914393153501
"Q8N3D4_IDR_1138_1370",0.256550199158641
"Q8N3D4_IDR_120_150",0.271767453427034
"Q8N3D4_IDR_161_1074",0.208767954260824
"Q8N3E9_IDR_1_55",0.555267863735201
"Q8N3E9_IDR_486_519",0.444732136264799
"Q8N3F8_IDR_111_159",0.361738124317591
"Q8N3F8_IDR_219_677",0.302617699022387
"Q8N3F8_IDR_821_863",0.335644176660021
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.466848149419686
"Q8N3J2_IDR_47_77",0.533151850580314
"Q8N3J3_IDR_1_444",0.498257990013549
"Q8N3J3_IDR_577_647",0.501742009986451
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.621033228290309
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.539425233332598
"Q8N3Z6_IDR_384_543",0.460574766667402
"Q8N412_IDR_1_162",0.528686492333683
"Q8N412_IDR_268_303",0.471313507666317
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.541193143908548
"Q8N441_IDR_403_446",0.458806856091452
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.514074333768339
"Q8N448_IDR_425_459",0.485925666231661
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.520261515003455
"Q8N4L4_IDR_63_309",0.479738484996546
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.444570193956038
"Q8N4N8_IDR_84_180",0.555429806043962
"Q8N4P6_IDR_1_53",0.504298982043562
"Q8N4P6_IDR_333_439",0.495701017956438
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.500232724704074
"Q8N4S9_IDR_368_436",0.499767275295926
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.36351663884787
"Q8N573_IDR_148_203",0.314210047213401
"Q8N573_IDR_1_67",0.390377526921656
"Q8N573_IDR_281_586",0.295412425864943
"Q8N587_IDR_1_45",0.490388907324795
"Q8N587_IDR_52_190",0.509611092675205
"Q8N594_IDR_169_234",0.491631026172255
"Q8N594_IDR_1_72",0.508368973827745
"Q8N5A5_IDR_270_367",0.35794613486286
"Q8N5A5_IDR_369_466",0.351472742439428
"Q8N5A5_IDR_64_126",0.290581122697712
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.450575860893919
"Q8N5C6_IDR_789_819",0.549424139106081
"Q8N5C7_IDR_1_33",0.532073747609012
"Q8N5C7_IDR_165_195",0.467926252390988
"Q8N5C8_IDR_48_533",0.522466986121811
"Q8N5C8_IDR_618_684",0.477533013878189
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.502155486379668
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.300617622409431
"Q8N5U6_IDR_406_501",0.348974615965956
"Q8N5U6_IDR_603_799",0.350407761624613
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.548391235731864
"Q8N5Y2_IDR_93_168",0.451608764268136
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.49056681113252
"Q8N612_IDR_835_915",0.50943318886748
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.503472960542
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.491159998437484
"Q8N6P7_IDR_409_480",0.508840001562516
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.344863849830796
"Q8N6U8_IDR_350_455",0.364845845933214
"Q8N6U8_IDR_496_529",0.290290304235989
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.459721573562949
"Q8N7G0_IDR_264_328",0.331571889280885
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.483656831189702
"Q8N7P1_IDR_505_536",0.516343168810298
"Q8N7R1_IDR_1_139",0.525170146300177
"Q8N7R1_IDR_144_296",0.474829853699823
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.154408243166953
"Q8N7X0_IDR_1_41",0.139308490141421
"Q8N7X0_IDR_305_407",0.116901869907659
"Q8N7X0_IDR_524_627",0.200801913805275
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.542169134530443
"Q8N878_IDR_333_499",0.457830865469557
"Q8N883_IDR_552_585",0.499787948370942
"Q8N883_IDR_61_245",0.500212051629058
"Q8N895_IDR_1_308",0.37230262306092
"Q8N895_IDR_372_422",0.316916686537977
"Q8N895_IDR_480_718",0.310780690401103
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.550485513160224
"Q8N8E2_IDR_479_541",0.449514486839776
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.539223990989697
"Q8N8G2_IDR_20_76",0.460776009010303
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.537572545107504
"Q8N8R5_IDR_204_247",0.462427454892496
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.463543762935674
"Q8N8U3_IDR_397_427",0.536456237064326
"Q8N8V4_IDR_157_233",0.578616615379111
"Q8N8V4_IDR_237_343",0.421383384620889
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.463956654593473
"Q8N8Z6_IDR_416_715",0.536043345406527
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.312540358767338
"Q8N9B5_IDR_940_988",0.355363343154086
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.615541702051365
"Q8N9I0_IDR_88_138",0.384458297948635
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.492374433229465
"Q8N9K5_IDR_1_36",0.507625566770535
"Q8N9L1_IDR_1_63",0.528261429500059
"Q8N9L1_IDR_277_334",0.471738570499941
"Q8N9M1_IDR_107_422",0.446852225590353
"Q8N9M1_IDR_1_49",0.553147774409647
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.34612240908577
"Q8N9N5_IDR_1_47",0.320566239574611
"Q8N9N5_IDR_321_374",0.333311351339619
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.509436406527776
"Q8N9R8_IDR_377_411",0.490563593472224
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.488893716211101
"Q8N9Z0_IDR_77_172",1
