"","GO0045892_negative_regulation_of_transcription._DNA_templated"
"Q8N137_IDR_442_797",0.355520424808446
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.481327679378945
"Q8N196_IDR_235_739",0.518672320621055
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.487518880032376
"Q8N1C3_IDR_361_403",0.512481119967624
"Q8N1F8_IDR_334_534",0.474383859847896
"Q8N1F8_IDR_723_773",0.525616140152105
"Q8N1G0_IDR_1158_1198",0.166992603432075
"Q8N1G0_IDR_1_85",0.178779973385068
"Q8N1G0_IDR_608_672",0.168284659082234
"Q8N1G0_IDR_861_1155",0.256977485435443
"Q8N1G0_IDR_87_504",0.22896527866518
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.488407466602762
"Q8N228_IDR_1_90",0.465539335373479
"Q8N228_IDR_210_341",0.534460664626521
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.528043122813285
"Q8N2C3_IDR_165_214",0.471956877186715
"Q8N2C7_IDR_1300_1451",0.090213047682528
"Q8N2C7_IDR_1507_1554",0.0933377648312206
"Q8N2C7_IDR_1770_1837",0.103926614805277
"Q8N2C7_IDR_241_322",0.106471933310927
"Q8N2C7_IDR_2428_2474",0.0984330774132566
"Q8N2C7_IDR_2755_2786",0.0959186655954681
"Q8N2C7_IDR_2912_3214",0.120128597347598
"Q8N2C7_IDR_363_584",0.100837464011333
"Q8N2C7_IDR_693_781",0.096356877535259
"Q8N2C7_IDR_963_1171",0.0943759574671331
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.349940393623937
"Q8N302_IDR_522_621",0.29975295378999
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.50907084745787
"Q8N309_IDR_506_549",0.49092915254213
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.329688765609707
"Q8N344_IDR_348_473",0.317444238002543
"Q8N344_IDR_97_194",0.35286699638775
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.372872295520487
"Q8N365_IDR_198_243",0.312096336578322
"Q8N365_IDR_300_385",0.315031367901191
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.3377194615348
"Q8N392_IDR_19_78",0.362405883925977
"Q8N392_IDR_538_572",0.299874654539223
"Q8N393_IDR_63_241",0.537525363477587
"Q8N3C7_IDR_352_480",0.377242043302485
"Q8N3C7_IDR_556_618",0.322276642883593
"Q8N3D4_IDR_1081_1132",0.239490456825592
"Q8N3D4_IDR_1138_1370",0.231982081480598
"Q8N3D4_IDR_120_150",0.240041454632967
"Q8N3D4_IDR_161_1074",0.288486007060843
"Q8N3E9_IDR_1_55",0.443777618904613
"Q8N3E9_IDR_486_519",0.556222381095387
"Q8N3F8_IDR_111_159",0.323380777419367
"Q8N3F8_IDR_219_677",0.35951773645915
"Q8N3F8_IDR_821_863",0.317101486121483
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.508418490654674
"Q8N3J2_IDR_47_77",0.491581509345325
"Q8N3J3_IDR_1_444",0.495503244329182
"Q8N3J3_IDR_577_647",0.504496755670818
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.450278478557072
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.476637911501208
"Q8N3Z6_IDR_384_543",0.523362088498792
"Q8N412_IDR_1_162",0.48119618400233
"Q8N412_IDR_268_303",0.51880381599767
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.409237930764468
"Q8N441_IDR_403_446",0.590762069235532
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.45933391553807
"Q8N448_IDR_425_459",0.54066608446193
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.484487274969086
"Q8N4L4_IDR_63_309",0.515512725030914
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.557061442881546
"Q8N4N8_IDR_84_180",0.442938557118454
"Q8N4P6_IDR_1_53",0.476294163638989
"Q8N4P6_IDR_333_439",0.523705836361011
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.50733754918168
"Q8N4S9_IDR_368_436",0.49266245081832
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.312362999617579
"Q8N573_IDR_148_203",0.313541104897064
"Q8N573_IDR_1_67",0.37044122640495
"Q8N573_IDR_281_586",0.316017668697986
"Q8N587_IDR_1_45",0.490493530020819
"Q8N587_IDR_52_190",0.509506469979181
"Q8N594_IDR_169_234",0.481050900327314
"Q8N594_IDR_1_72",0.518949099672686
"Q8N5A5_IDR_270_367",0.355154003443418
"Q8N5A5_IDR_369_466",0.306392915843817
"Q8N5A5_IDR_64_126",0.338453080712764
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.534920442685971
"Q8N5C6_IDR_789_819",0.465079557314029
"Q8N5C7_IDR_1_33",0.503720516856131
"Q8N5C7_IDR_165_195",0.496279483143869
"Q8N5C8_IDR_48_533",0.575375871338345
"Q8N5C8_IDR_618_684",0.424624128661655
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.498551132288711
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.354912219707324
"Q8N5U6_IDR_406_501",0.324916716525527
"Q8N5U6_IDR_603_799",0.320171063767149
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.474081342759409
"Q8N5Y2_IDR_93_168",0.525918657240591
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.521226390341084
"Q8N612_IDR_835_915",0.478773609658917
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.488162442162544
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.520303025777232
"Q8N6P7_IDR_409_480",0.479696974222768
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.335838132156767
"Q8N6U8_IDR_350_455",0.348499674726847
"Q8N6U8_IDR_496_529",0.315662193116386
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.571832783195592
"Q8N7G0_IDR_264_328",0.319033503434872
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.522622531926661
"Q8N7P1_IDR_505_536",0.477377468073339
"Q8N7R1_IDR_1_139",0.488335230738749
"Q8N7R1_IDR_144_296",0.511664769261251
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.155364978016836
"Q8N7X0_IDR_1_41",0.136541268686422
"Q8N7X0_IDR_305_407",0.135476780094491
"Q8N7X0_IDR_524_627",0.155247249564131
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.501330346180658
"Q8N878_IDR_333_499",0.498669653819342
"Q8N883_IDR_552_585",0.501542785726416
"Q8N883_IDR_61_245",0.498457214273584
"Q8N895_IDR_1_308",0.351331629948467
"Q8N895_IDR_372_422",0.297247409837137
"Q8N895_IDR_480_718",0.351420960214396
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.535946594137
"Q8N8E2_IDR_479_541",0.464053405863
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.540534279321541
"Q8N8G2_IDR_20_76",0.459465720678459
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.510085518831867
"Q8N8R5_IDR_204_247",0.489914481168133
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.498728069105248
"Q8N8U3_IDR_397_427",0.501271930894752
"Q8N8V4_IDR_157_233",0.478552306546746
"Q8N8V4_IDR_237_343",0.521447693453254
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.487331923181641
"Q8N8Z6_IDR_416_715",0.512668076818359
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.355924916089979
"Q8N9B5_IDR_940_988",0.320546853775662
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.500688797210004
"Q8N9I0_IDR_88_138",0.499311202789996
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.490184770513193
"Q8N9K5_IDR_1_36",0.509815229486807
"Q8N9L1_IDR_1_63",0.536477003912175
"Q8N9L1_IDR_277_334",0.463522996087825
"Q8N9M1_IDR_107_422",0.501913666882477
"Q8N9M1_IDR_1_49",0.498086333117523
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.331019477609015
"Q8N9N5_IDR_1_47",0.328091204972012
"Q8N9N5_IDR_321_374",0.340889317418973
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.503515997398922
"Q8N9R8_IDR_377_411",0.496484002601078
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.502130941062615
