"","GO2000112_regulation_of_cellular_macromolecule_biosynthetic_process"
"Q8N137_IDR_442_797",0.410431888738618
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.513532442206743
"Q8N196_IDR_235_739",0.486467557793257
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.460660297695767
"Q8N1C3_IDR_361_403",0.539339702304233
"Q8N1F8_IDR_334_534",0.414967945968983
"Q8N1F8_IDR_723_773",0.585032054031017
"Q8N1G0_IDR_1158_1198",0.161611621894244
"Q8N1G0_IDR_1_85",0.155221499864276
"Q8N1G0_IDR_608_672",0.142770921506559
"Q8N1G0_IDR_861_1155",0.345967585042022
"Q8N1G0_IDR_87_504",0.194428371692898
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.497584781852211
"Q8N228_IDR_1_90",0.449774559532012
"Q8N228_IDR_210_341",0.550225440467988
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.503043250437528
"Q8N2C3_IDR_165_214",0.496956749562472
"Q8N2C7_IDR_1300_1451",0.0811311365745889
"Q8N2C7_IDR_1507_1554",0.0915025327457555
"Q8N2C7_IDR_1770_1837",0.0994854975870428
"Q8N2C7_IDR_241_322",0.108138194131905
"Q8N2C7_IDR_2428_2474",0.109523756677662
"Q8N2C7_IDR_2755_2786",0.0993431818226847
"Q8N2C7_IDR_2912_3214",0.105001647895376
"Q8N2C7_IDR_363_584",0.118798469641242
"Q8N2C7_IDR_693_781",0.103404165194207
"Q8N2C7_IDR_963_1171",0.0836714177295367
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.341732315207245
"Q8N302_IDR_522_621",0.302368377125615
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.510198117699374
"Q8N309_IDR_506_549",0.489801882300626
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.31912682810211
"Q8N344_IDR_348_473",0.304401693312257
"Q8N344_IDR_97_194",0.376471478585633
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.294067948644177
"Q8N365_IDR_198_243",0.359241272091218
"Q8N365_IDR_300_385",0.346690779264605
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.331596605616075
"Q8N392_IDR_19_78",0.382942736411354
"Q8N392_IDR_538_572",0.285460657972571
"Q8N393_IDR_63_241",0.51186841182633
"Q8N3C7_IDR_352_480",0.408015622648122
"Q8N3C7_IDR_556_618",0.329973762055607
"Q8N3D4_IDR_1081_1132",0.26921817311221
"Q8N3D4_IDR_1138_1370",0.236869474077738
"Q8N3D4_IDR_120_150",0.259729356428285
"Q8N3D4_IDR_161_1074",0.234182996381767
"Q8N3E9_IDR_1_55",0.616879565755752
"Q8N3E9_IDR_486_519",0.383120434244248
"Q8N3F8_IDR_111_159",0.342919432056651
"Q8N3F8_IDR_219_677",0.313782257826419
"Q8N3F8_IDR_821_863",0.34329831011693
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.529567037076395
"Q8N3J2_IDR_47_77",0.470432962923605
"Q8N3J3_IDR_1_444",0.534601975851371
"Q8N3J3_IDR_577_647",0.465398024148629
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.401853795312893
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.438170975829009
"Q8N3Z6_IDR_384_543",0.561829024170991
"Q8N412_IDR_1_162",0.46619788447301
"Q8N412_IDR_268_303",0.53380211552699
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.413850219255338
"Q8N441_IDR_403_446",0.586149780744662
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.403675958494857
"Q8N448_IDR_425_459",0.596324041505143
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.419187691019606
"Q8N4L4_IDR_63_309",0.580812308980394
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.541031618015353
"Q8N4N8_IDR_84_180",0.458968381984647
"Q8N4P6_IDR_1_53",0.437437129616712
"Q8N4P6_IDR_333_439",0.562562870383288
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.455705289996503
"Q8N4S9_IDR_368_436",0.544294710003497
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.325297619842811
"Q8N573_IDR_148_203",0.346862342654076
"Q8N573_IDR_1_67",0.315537294908454
"Q8N573_IDR_281_586",0.33760036243747
"Q8N587_IDR_1_45",0.469746754593887
"Q8N587_IDR_52_190",0.530253245406113
"Q8N594_IDR_169_234",0.487147713970754
"Q8N594_IDR_1_72",0.512852286029246
"Q8N5A5_IDR_270_367",0.394756412616035
"Q8N5A5_IDR_369_466",0.291338492016232
"Q8N5A5_IDR_64_126",0.313905095367732
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.527488015142935
"Q8N5C6_IDR_789_819",0.472511984857065
"Q8N5C7_IDR_1_33",0.493890213896048
"Q8N5C7_IDR_165_195",0.506109786103952
"Q8N5C8_IDR_48_533",0.751747444453648
"Q8N5C8_IDR_618_684",0.248252555546352
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.511628898812688
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.362129535165174
"Q8N5U6_IDR_406_501",0.302247547449587
"Q8N5U6_IDR_603_799",0.335622917385239
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.464025670100754
"Q8N5Y2_IDR_93_168",0.535974329899246
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.502425716551402
"Q8N612_IDR_835_915",0.497574283448598
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.476711978445273
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.507999011464018
"Q8N6P7_IDR_409_480",0.492000988535982
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.327866510746908
"Q8N6U8_IDR_350_455",0.361192730466674
"Q8N6U8_IDR_496_529",0.310940758786418
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.569937091627178
"Q8N7G0_IDR_264_328",0.236301811874717
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.497884422907502
"Q8N7P1_IDR_505_536",0.502115577092498
"Q8N7R1_IDR_1_139",0.499268390159732
"Q8N7R1_IDR_144_296",0.500731609840268
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.144216727246175
"Q8N7X0_IDR_1_41",0.21130162991963
"Q8N7X0_IDR_305_407",0.126839716199614
"Q8N7X0_IDR_524_627",0.13406076846269
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.508913072672683
"Q8N878_IDR_333_499",0.491086927327317
"Q8N883_IDR_552_585",0.499490023259027
"Q8N883_IDR_61_245",0.500509976740973
"Q8N895_IDR_1_308",0.411403032543473
"Q8N895_IDR_372_422",0.24108913076045
"Q8N895_IDR_480_718",0.347507836696077
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.641038754546122
"Q8N8E2_IDR_479_541",0.358961245453878
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.587094888364855
"Q8N8G2_IDR_20_76",0.412905111635145
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.374700341664628
"Q8N8R5_IDR_204_247",0.625299658335372
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.463175567802465
"Q8N8U3_IDR_397_427",0.536824432197535
"Q8N8V4_IDR_157_233",0.55224299989975
"Q8N8V4_IDR_237_343",0.44775700010025
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.449981203499695
"Q8N8Z6_IDR_416_715",0.550018796500305
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.300567080403666
"Q8N9B5_IDR_940_988",0.358178717068622
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.512785001903852
"Q8N9I0_IDR_88_138",0.487214998096148
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.488490656824297
"Q8N9K5_IDR_1_36",0.511509343175703
"Q8N9L1_IDR_1_63",0.657278598641002
"Q8N9L1_IDR_277_334",0.342721401358998
"Q8N9M1_IDR_107_422",0.407979361953982
"Q8N9M1_IDR_1_49",0.592020638046018
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.325576988374201
"Q8N9N5_IDR_1_47",0.318446368757352
"Q8N9N5_IDR_321_374",0.355976642868448
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.502908512350102
"Q8N9R8_IDR_377_411",0.497091487649898
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.59991513415747
