"","GO0003729_mRNA_binding"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.534419950784437
"Q8N196_IDR_235_739",0.465580049215563
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.487714196286858
"Q8N1C3_IDR_361_403",0.512285803713142
"Q8N1F8_IDR_334_534",0.474277248211392
"Q8N1F8_IDR_723_773",0.525722751788608
"Q8N1G0_IDR_1158_1198",0.193491352135159
"Q8N1G0_IDR_1_85",0.185652472710448
"Q8N1G0_IDR_608_672",0.180966827892063
"Q8N1G0_IDR_861_1155",0.249331628294335
"Q8N1G0_IDR_87_504",0.190557718967996
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.483038165009696
"Q8N228_IDR_1_90",0.483202237256378
"Q8N228_IDR_210_341",0.516797762743622
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.529207931692647
"Q8N2C3_IDR_165_214",0.470792068307352
"Q8N2C7_IDR_1300_1451",0.0882757461148996
"Q8N2C7_IDR_1507_1554",0.0958232967903792
"Q8N2C7_IDR_1770_1837",0.0919891205922236
"Q8N2C7_IDR_241_322",0.10156059433593
"Q8N2C7_IDR_2428_2474",0.0925386115119583
"Q8N2C7_IDR_2755_2786",0.0945229453480313
"Q8N2C7_IDR_2912_3214",0.0891423471986717
"Q8N2C7_IDR_363_584",0.105895088120896
"Q8N2C7_IDR_693_781",0.151206441221677
"Q8N2C7_IDR_963_1171",0.0890458087653336
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.342670752631795
"Q8N302_IDR_522_621",0.326424699071618
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.44202732802922
"Q8N309_IDR_506_549",0.55797267197078
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.326364624811177
"Q8N344_IDR_348_473",0.340982528565461
"Q8N344_IDR_97_194",0.332652846623362
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.341107458779345
"Q8N365_IDR_198_243",0.330355080302868
"Q8N365_IDR_300_385",0.328537460917787
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.328139256791461
"Q8N392_IDR_19_78",0.325524913870164
"Q8N392_IDR_538_572",0.346335829338374
"Q8N393_IDR_63_241",0.504587367617
"Q8N3C7_IDR_352_480",0.365672739142976
"Q8N3C7_IDR_556_618",0.32925494241789
"Q8N3D4_IDR_1081_1132",0.239859467994026
"Q8N3D4_IDR_1138_1370",0.23915970716385
"Q8N3D4_IDR_120_150",0.235124823405242
"Q8N3D4_IDR_161_1074",0.285856001436882
"Q8N3E9_IDR_1_55",0.518654888517195
"Q8N3E9_IDR_486_519",0.481345111482805
"Q8N3F8_IDR_111_159",0.311997944884201
"Q8N3F8_IDR_219_677",0.369534061597975
"Q8N3F8_IDR_821_863",0.318467993517824
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.494043562484871
"Q8N3J2_IDR_47_77",0.505956437515129
"Q8N3J3_IDR_1_444",0.513319733729831
"Q8N3J3_IDR_577_647",0.486680266270169
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.476828905717372
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.416377070847468
"Q8N3Z6_IDR_384_543",0.583622929152532
"Q8N412_IDR_1_162",0.522614165296994
"Q8N412_IDR_268_303",0.477385834703006
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.471693316012803
"Q8N441_IDR_403_446",0.528306683987197
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.50191164673741
"Q8N448_IDR_425_459",0.49808835326259
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.46189351280971
"Q8N4L4_IDR_63_309",0.53810648719029
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.489738853589227
"Q8N4N8_IDR_84_180",0.510261146410773
"Q8N4P6_IDR_1_53",0.476804959732902
"Q8N4P6_IDR_333_439",0.523195040267098
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.515120214883503
"Q8N4S9_IDR_368_436",0.484879785116497
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.278457801484494
"Q8N573_IDR_148_203",0.330386803771093
"Q8N573_IDR_1_67",0.344480679158635
"Q8N573_IDR_281_586",0.325132517070273
"Q8N587_IDR_1_45",0.506077949734602
"Q8N587_IDR_52_190",0.493922050265398
"Q8N594_IDR_169_234",0.500908666567577
"Q8N594_IDR_1_72",0.499091333432423
"Q8N5A5_IDR_270_367",0.336555623757059
"Q8N5A5_IDR_369_466",0.353027439102203
"Q8N5A5_IDR_64_126",0.310416937140737
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.48477441380261
"Q8N5C6_IDR_789_819",0.515225586197391
"Q8N5C7_IDR_1_33",0.493198438695663
"Q8N5C7_IDR_165_195",0.506801561304337
"Q8N5C8_IDR_48_533",0.532972017573497
"Q8N5C8_IDR_618_684",0.467027982426503
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.479456661297059
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.522283557555249
"Q8N5U6_IDR_406_501",0.233106411164921
"Q8N5U6_IDR_603_799",0.24461003127983
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.53322590449834
"Q8N5Y2_IDR_93_168",0.46677409550166
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.510630711064525
"Q8N612_IDR_835_915",0.489369288935475
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.466254239964703
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.513751172225578
"Q8N6P7_IDR_409_480",0.486248827774422
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.345489208007945
"Q8N6U8_IDR_350_455",0.315094901094513
"Q8N6U8_IDR_496_529",0.339415890897542
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.531833499388134
"Q8N7G0_IDR_264_328",0.321930671677601
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.480169205677604
"Q8N7P1_IDR_505_536",0.519830794322396
"Q8N7R1_IDR_1_139",0.498962304486866
"Q8N7R1_IDR_144_296",0.501037695513134
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.137324647895507
"Q8N7X0_IDR_1_41",0.143090975432527
"Q8N7X0_IDR_305_407",0.151864763584287
"Q8N7X0_IDR_524_627",0.131036862676905
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.512374869986209
"Q8N878_IDR_333_499",0.487625130013791
"Q8N883_IDR_552_585",0.509709702245558
"Q8N883_IDR_61_245",0.490290297754442
"Q8N895_IDR_1_308",0.336381768116206
"Q8N895_IDR_372_422",0.337256264637925
"Q8N895_IDR_480_718",0.326361967245869
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.480828086806628
"Q8N8E2_IDR_479_541",0.519171913193372
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.519024242523674
"Q8N8G2_IDR_20_76",0.480975757476326
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.507265968025463
"Q8N8R5_IDR_204_247",0.492734031974537
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.474302763929862
"Q8N8U3_IDR_397_427",0.525697236070138
"Q8N8V4_IDR_157_233",0.522413037261158
"Q8N8V4_IDR_237_343",0.477586962738842
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.494316142747071
"Q8N8Z6_IDR_416_715",0.505683857252929
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.27790479853772
"Q8N9B5_IDR_940_988",0.309731368292654
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.499883187528408
"Q8N9I0_IDR_88_138",0.500116812471592
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.491793294928941
"Q8N9K5_IDR_1_36",0.508206705071059
"Q8N9L1_IDR_1_63",0.486662579378746
"Q8N9L1_IDR_277_334",0.513337420621254
"Q8N9M1_IDR_107_422",0.578972285034409
"Q8N9M1_IDR_1_49",0.421027714965591
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.320424109961774
"Q8N9N5_IDR_1_47",0.335404825748875
"Q8N9N5_IDR_321_374",0.344171064289351
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.4953713380439
"Q8N9R8_IDR_377_411",0.5046286619561
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.519893924495826
"Q8N9Z0_IDR_77_172",1
