"","GO0097659_nucleic_acid_templated_transcription"
"Q8N137_IDR_442_797",0.417548376801836
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.553225913018569
"Q8N196_IDR_235_739",0.446774086981431
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.469316182727742
"Q8N1C3_IDR_361_403",0.530683817272258
"Q8N1F8_IDR_334_534",0.419757126265677
"Q8N1F8_IDR_723_773",0.580242873734323
"Q8N1G0_IDR_1158_1198",0.156202283023711
"Q8N1G0_IDR_1_85",0.160502898551267
"Q8N1G0_IDR_608_672",0.144162171210733
"Q8N1G0_IDR_861_1155",0.352214840614801
"Q8N1G0_IDR_87_504",0.186917806599488
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.502222246812434
"Q8N228_IDR_1_90",0.46592742160696
"Q8N228_IDR_210_341",0.53407257839304
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.511366596949456
"Q8N2C3_IDR_165_214",0.488633403050544
"Q8N2C7_IDR_1300_1451",0.0797401221681264
"Q8N2C7_IDR_1507_1554",0.0903692653619434
"Q8N2C7_IDR_1770_1837",0.103243236370836
"Q8N2C7_IDR_241_322",0.106508599543257
"Q8N2C7_IDR_2428_2474",0.110298560936151
"Q8N2C7_IDR_2755_2786",0.0993636762872925
"Q8N2C7_IDR_2912_3214",0.104702291556904
"Q8N2C7_IDR_363_584",0.120801841314015
"Q8N2C7_IDR_693_781",0.0996879068759647
"Q8N2C7_IDR_963_1171",0.085284499585511
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.337340868650033
"Q8N302_IDR_522_621",0.30133315513255
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.524020061657279
"Q8N309_IDR_506_549",0.475979938342721
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.317185559183964
"Q8N344_IDR_348_473",0.316488265418483
"Q8N344_IDR_97_194",0.366326175397553
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.290935674146934
"Q8N365_IDR_198_243",0.363721681837139
"Q8N365_IDR_300_385",0.345342644015927
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.319524633804552
"Q8N392_IDR_19_78",0.397785101933291
"Q8N392_IDR_538_572",0.282690264262157
"Q8N393_IDR_63_241",0.508837704195439
"Q8N3C7_IDR_352_480",0.389494816993029
"Q8N3C7_IDR_556_618",0.339121916067659
"Q8N3D4_IDR_1081_1132",0.265919219330334
"Q8N3D4_IDR_1138_1370",0.236532210006407
"Q8N3D4_IDR_120_150",0.254986539899959
"Q8N3D4_IDR_161_1074",0.2425620307633
"Q8N3E9_IDR_1_55",0.619952879135909
"Q8N3E9_IDR_486_519",0.380047120864091
"Q8N3F8_IDR_111_159",0.344563919493753
"Q8N3F8_IDR_219_677",0.309769396884908
"Q8N3F8_IDR_821_863",0.345666683621339
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.5283999390499
"Q8N3J2_IDR_47_77",0.4716000609501
"Q8N3J3_IDR_1_444",0.529256049854175
"Q8N3J3_IDR_577_647",0.470743950145825
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.382561263466012
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.434427308844798
"Q8N3Z6_IDR_384_543",0.565572691155203
"Q8N412_IDR_1_162",0.470042537719358
"Q8N412_IDR_268_303",0.529957462280642
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.41133773214175
"Q8N441_IDR_403_446",0.58866226785825
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.394536470738344
"Q8N448_IDR_425_459",0.605463529261656
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.398945643598783
"Q8N4L4_IDR_63_309",0.601054356401216
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.549472450616225
"Q8N4N8_IDR_84_180",0.450527549383775
"Q8N4P6_IDR_1_53",0.432509746560691
"Q8N4P6_IDR_333_439",0.567490253439309
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.436218920671905
"Q8N4S9_IDR_368_436",0.563781079328095
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.334410875036786
"Q8N573_IDR_148_203",0.354922619891681
"Q8N573_IDR_1_67",0.309706612502436
"Q8N573_IDR_281_586",0.335370767605883
"Q8N587_IDR_1_45",0.470974056615394
"Q8N587_IDR_52_190",0.529025943384606
"Q8N594_IDR_169_234",0.482731293580216
"Q8N594_IDR_1_72",0.517268706419784
"Q8N5A5_IDR_270_367",0.384652675703898
"Q8N5A5_IDR_369_466",0.289436015007494
"Q8N5A5_IDR_64_126",0.325911309288608
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.542858402747111
"Q8N5C6_IDR_789_819",0.457141597252889
"Q8N5C7_IDR_1_33",0.489431988554679
"Q8N5C7_IDR_165_195",0.510568011445321
"Q8N5C8_IDR_48_533",0.757372013921945
"Q8N5C8_IDR_618_684",0.242627986078055
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.512532795088849
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.358369749014744
"Q8N5U6_IDR_406_501",0.31083586531766
"Q8N5U6_IDR_603_799",0.330794385667595
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.453687933378402
"Q8N5Y2_IDR_93_168",0.546312066621598
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.484780398931864
"Q8N612_IDR_835_915",0.515219601068136
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.504774393141246
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.512262278066604
"Q8N6P7_IDR_409_480",0.487737721933396
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.314622002361316
"Q8N6U8_IDR_350_455",0.379086786650852
"Q8N6U8_IDR_496_529",0.306291210987832
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.556124514133569
"Q8N7G0_IDR_264_328",0.234440444456036
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.497744658238071
"Q8N7P1_IDR_505_536",0.502255341761929
"Q8N7R1_IDR_1_139",0.501848222235015
"Q8N7R1_IDR_144_296",0.498151777764985
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.143174938632436
"Q8N7X0_IDR_1_41",0.207249423213491
"Q8N7X0_IDR_305_407",0.127923691507849
"Q8N7X0_IDR_524_627",0.134541053604471
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.498709732240404
"Q8N878_IDR_333_499",0.501290267759596
"Q8N883_IDR_552_585",0.508142476781034
"Q8N883_IDR_61_245",0.491857523218966
"Q8N895_IDR_1_308",0.425932269391895
"Q8N895_IDR_372_422",0.237042840484181
"Q8N895_IDR_480_718",0.337024890123924
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.635319642483901
"Q8N8E2_IDR_479_541",0.364680357516099
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.593884136104631
"Q8N8G2_IDR_20_76",0.406115863895369
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.388944314345225
"Q8N8R5_IDR_204_247",0.611055685654774
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.477788411119057
"Q8N8U3_IDR_397_427",0.522211588880943
"Q8N8V4_IDR_157_233",0.544693888898062
"Q8N8V4_IDR_237_343",0.455306111101938
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.452948305593759
"Q8N8Z6_IDR_416_715",0.54705169440624
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.320523933459389
"Q8N9B5_IDR_940_988",0.34653021264293
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.516301974922269
"Q8N9I0_IDR_88_138",0.483698025077731
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.485964107939538
"Q8N9K5_IDR_1_36",0.514035892060462
"Q8N9L1_IDR_1_63",0.654492475129066
"Q8N9L1_IDR_277_334",0.345507524870934
"Q8N9M1_IDR_107_422",0.400699414735754
"Q8N9M1_IDR_1_49",0.599300585264246
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.330502718914667
"Q8N9N5_IDR_1_47",0.316924275687452
"Q8N9N5_IDR_321_374",0.352573005397881
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.508887354566295
"Q8N9R8_IDR_377_411",0.491112645433705
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.594069820855024
"Q8N9Z0_IDR_77_172",1
