"","GO0006357_regulation_of_transcription_by_RNA_polymerase_II"
"Q8N137_IDR_442_797",0.42155998645536
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.5297068242959
"Q8N196_IDR_235_739",0.470293175704101
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.471038381137356
"Q8N1C3_IDR_361_403",0.528961618862644
"Q8N1F8_IDR_334_534",0.416530908898018
"Q8N1F8_IDR_723_773",0.583469091101982
"Q8N1G0_IDR_1158_1198",0.151631759533153
"Q8N1G0_IDR_1_85",0.159258390333449
"Q8N1G0_IDR_608_672",0.144857030784661
"Q8N1G0_IDR_861_1155",0.349437699991193
"Q8N1G0_IDR_87_504",0.194815119357546
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.505573726362042
"Q8N228_IDR_1_90",0.473435092220601
"Q8N228_IDR_210_341",0.526564907779399
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.51952648979806
"Q8N2C3_IDR_165_214",0.48047351020194
"Q8N2C7_IDR_1300_1451",0.0773712872956989
"Q8N2C7_IDR_1507_1554",0.0909728382861394
"Q8N2C7_IDR_1770_1837",0.103850533260498
"Q8N2C7_IDR_241_322",0.110582066682952
"Q8N2C7_IDR_2428_2474",0.112794880234095
"Q8N2C7_IDR_2755_2786",0.100924196255588
"Q8N2C7_IDR_2912_3214",0.100906758840883
"Q8N2C7_IDR_363_584",0.121223367681232
"Q8N2C7_IDR_693_781",0.101063991215386
"Q8N2C7_IDR_963_1171",0.0803100802475276
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.340663306425621
"Q8N302_IDR_522_621",0.292705810762329
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.527800981039559
"Q8N309_IDR_506_549",0.472199018960441
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.313793365306606
"Q8N344_IDR_348_473",0.318205358348388
"Q8N344_IDR_97_194",0.368001276345006
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.286344250816538
"Q8N365_IDR_198_243",0.360707731423992
"Q8N365_IDR_300_385",0.35294801775947
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.319707583033607
"Q8N392_IDR_19_78",0.403320379904446
"Q8N392_IDR_538_572",0.276972037061947
"Q8N393_IDR_63_241",0.504846937404597
"Q8N3C7_IDR_352_480",0.384619269971206
"Q8N3C7_IDR_556_618",0.335284282547934
"Q8N3D4_IDR_1081_1132",0.272871326943694
"Q8N3D4_IDR_1138_1370",0.228654984470845
"Q8N3D4_IDR_120_150",0.254197611492336
"Q8N3D4_IDR_161_1074",0.244276077093125
"Q8N3E9_IDR_1_55",0.627480030311694
"Q8N3E9_IDR_486_519",0.372519969688306
"Q8N3F8_IDR_111_159",0.348056899725236
"Q8N3F8_IDR_219_677",0.31963822783994
"Q8N3F8_IDR_821_863",0.332304872434823
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.522666841111379
"Q8N3J2_IDR_47_77",0.477333158888621
"Q8N3J3_IDR_1_444",0.538862267400994
"Q8N3J3_IDR_577_647",0.461137732599006
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.365312886983612
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.458184201469939
"Q8N3Z6_IDR_384_543",0.541815798530061
"Q8N412_IDR_1_162",0.462477817036888
"Q8N412_IDR_268_303",0.537522182963112
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.408652195286452
"Q8N441_IDR_403_446",0.591347804713548
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.391368629604913
"Q8N448_IDR_425_459",0.608631370395087
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.398195318932585
"Q8N4L4_IDR_63_309",0.601804681067415
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.552031523456577
"Q8N4N8_IDR_84_180",0.447968476543423
"Q8N4P6_IDR_1_53",0.430833794332449
"Q8N4P6_IDR_333_439",0.569166205667551
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.438093127804996
"Q8N4S9_IDR_368_436",0.561906872195004
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.347062059781962
"Q8N573_IDR_148_203",0.372843493799287
"Q8N573_IDR_1_67",0.313527614671455
"Q8N573_IDR_281_586",0.313628891529258
"Q8N587_IDR_1_45",0.470967106429618
"Q8N587_IDR_52_190",0.529032893570382
"Q8N594_IDR_169_234",0.479247937940797
"Q8N594_IDR_1_72",0.520752062059203
"Q8N5A5_IDR_270_367",0.387872343282112
"Q8N5A5_IDR_369_466",0.27687537167352
"Q8N5A5_IDR_64_126",0.335252285044368
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.549372452182048
"Q8N5C6_IDR_789_819",0.450627547817952
"Q8N5C7_IDR_1_33",0.4940180492998
"Q8N5C7_IDR_165_195",0.5059819507002
"Q8N5C8_IDR_48_533",0.7964169623067
"Q8N5C8_IDR_618_684",0.2035830376933
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.505537934406092
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.34545344388036
"Q8N5U6_IDR_406_501",0.31423589962996
"Q8N5U6_IDR_603_799",0.340310656489681
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.463108311922232
"Q8N5Y2_IDR_93_168",0.536891688077768
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.505524636866542
"Q8N612_IDR_835_915",0.494475363133458
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.521381565857435
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.517864828982651
"Q8N6P7_IDR_409_480",0.482135171017349
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.31741773768488
"Q8N6U8_IDR_350_455",0.373051947477327
"Q8N6U8_IDR_496_529",0.309530314837793
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.54587524868449
"Q8N7G0_IDR_264_328",0.221700169746651
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.498428073095137
"Q8N7P1_IDR_505_536",0.501571926904863
"Q8N7R1_IDR_1_139",0.502948824170973
"Q8N7R1_IDR_144_296",0.497051175829027
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.14295262209473
"Q8N7X0_IDR_1_41",0.209148153609479
"Q8N7X0_IDR_305_407",0.123102089097254
"Q8N7X0_IDR_524_627",0.13601581136426
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.514452246549091
"Q8N878_IDR_333_499",0.485547753450909
"Q8N883_IDR_552_585",0.509765932919301
"Q8N883_IDR_61_245",0.490234067080699
"Q8N895_IDR_1_308",0.445019565294701
"Q8N895_IDR_372_422",0.226848896662532
"Q8N895_IDR_480_718",0.328131538042767
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.652234559774283
"Q8N8E2_IDR_479_541",0.347765440225717
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.615780500134712
"Q8N8G2_IDR_20_76",0.384219499865288
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.395449410064258
"Q8N8R5_IDR_204_247",0.604550589935742
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.478466400344429
"Q8N8U3_IDR_397_427",0.521533599655571
"Q8N8V4_IDR_157_233",0.53786592039937
"Q8N8V4_IDR_237_343",0.46213407960063
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.448318206551067
"Q8N8Z6_IDR_416_715",0.551681793448933
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.298993538362167
"Q8N9B5_IDR_940_988",0.352481939295247
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.525098280682054
"Q8N9I0_IDR_88_138",0.474901719317946
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.475747205196467
"Q8N9K5_IDR_1_36",0.524252794803533
"Q8N9L1_IDR_1_63",0.678670455185924
"Q8N9L1_IDR_277_334",0.321329544814076
"Q8N9M1_IDR_107_422",0.396335048845038
"Q8N9M1_IDR_1_49",0.603664951154962
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.329977092768278
"Q8N9N5_IDR_1_47",0.318153718685521
"Q8N9N5_IDR_321_374",0.351869188546201
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.505851116263403
"Q8N9R8_IDR_377_411",0.494148883736597
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.602171229661113
