"","GO0000981_DNA_binding_transcription_factor_activity._RNA_polymerase_II_specific"
"Q8N137_IDR_1_200",0.309927469878854
"Q8N137_IDR_442_797",0.415218763777157
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.544765800826354
"Q8N196_IDR_235_739",0.455234199173646
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.512479364257292
"Q8N1C3_IDR_361_403",0.487520635742708
"Q8N1F8_IDR_334_534",0.411081794370569
"Q8N1F8_IDR_723_773",0.588918205629431
"Q8N1G0_IDR_1158_1198",0.154313750590441
"Q8N1G0_IDR_1_85",0.152622771341386
"Q8N1G0_IDR_608_672",0.144451782624087
"Q8N1G0_IDR_861_1155",0.397612055328117
"Q8N1G0_IDR_87_504",0.150999640115969
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.529929449512334
"Q8N228_IDR_1_90",0.474843830787944
"Q8N228_IDR_210_341",0.525156169212056
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.522243545104784
"Q8N2C3_IDR_165_214",0.477756454895216
"Q8N2C7_IDR_1300_1451",0.0847021955505343
"Q8N2C7_IDR_1507_1554",0.0907497213932006
"Q8N2C7_IDR_1770_1837",0.110116504856154
"Q8N2C7_IDR_241_322",0.115020812645197
"Q8N2C7_IDR_2428_2474",0.113782279027177
"Q8N2C7_IDR_2755_2786",0.104628614912373
"Q8N2C7_IDR_2912_3214",0.0912760588160906
"Q8N2C7_IDR_363_584",0.120758017254841
"Q8N2C7_IDR_693_781",0.0843769005283818
"Q8N2C7_IDR_963_1171",0.0845888950160512
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.276079561778179
"Q8N302_IDR_522_621",0.272830385102788
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.573249936790305
"Q8N309_IDR_506_549",0.426750063209695
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.329268404945346
"Q8N344_IDR_348_473",0.312218044577844
"Q8N344_IDR_97_194",0.35851355047681
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.279960133787873
"Q8N365_IDR_198_243",0.369377808291032
"Q8N365_IDR_300_385",0.350662057921095
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.30879947614409
"Q8N392_IDR_19_78",0.425398774547188
"Q8N392_IDR_538_572",0.265801749308722
"Q8N393_IDR_63_241",0.497268753325931
"Q8N3C7_IDR_352_480",0.331621816333767
"Q8N3C7_IDR_556_618",0.35270075427661
"Q8N3D4_IDR_1081_1132",0.284926296524448
"Q8N3D4_IDR_1138_1370",0.238950328451489
"Q8N3D4_IDR_120_150",0.270822280390423
"Q8N3D4_IDR_161_1074",0.205301094633641
"Q8N3E9_IDR_1_55",0.623741079247844
"Q8N3E9_IDR_486_519",0.376258920752156
"Q8N3F8_IDR_111_159",0.375245620104294
"Q8N3F8_IDR_219_677",0.283538667280656
"Q8N3F8_IDR_821_863",0.34121571261505
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.496091634659695
"Q8N3J2_IDR_47_77",0.503908365340305
"Q8N3J3_IDR_1_444",0.50630533917755
"Q8N3J3_IDR_577_647",0.49369466082245
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.409508937079196
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.542264104286184
"Q8N3Z6_IDR_384_543",0.457735895713816
"Q8N412_IDR_1_162",0.518636849011154
"Q8N412_IDR_268_303",0.481363150988846
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.481364746421549
"Q8N441_IDR_403_446",0.518635253578451
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.405109184925246
"Q8N448_IDR_425_459",0.594890815074754
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.372488380561208
"Q8N4L4_IDR_63_309",0.627511619438792
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.571048983424799
"Q8N4N8_IDR_84_180",0.428951016575201
"Q8N4P6_IDR_1_53",0.478640802786932
"Q8N4P6_IDR_333_439",0.521359197213068
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.483609711708597
"Q8N4S9_IDR_368_436",0.516390288291403
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.367817640906858
"Q8N573_IDR_148_203",0.396650764532286
"Q8N573_IDR_1_67",0.327604015059589
"Q8N573_IDR_281_586",0.275745220408124
"Q8N587_IDR_1_45",0.434707337932964
"Q8N587_IDR_52_190",0.565292662067037
"Q8N594_IDR_169_234",0.479489806282186
"Q8N594_IDR_1_72",0.520510193717813
"Q8N5A5_IDR_270_367",0.389645070767573
"Q8N5A5_IDR_369_466",0.262488091633653
"Q8N5A5_IDR_64_126",0.347866837598773
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.514171170429105
"Q8N5C6_IDR_789_819",0.485828829570895
"Q8N5C7_IDR_1_33",0.511617393122371
"Q8N5C7_IDR_165_195",0.488382606877629
"Q8N5C8_IDR_48_533",0.820820668647974
"Q8N5C8_IDR_618_684",0.179179331352026
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.523109721492445
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.316817400589506
"Q8N5U6_IDR_406_501",0.347200943113393
"Q8N5U6_IDR_603_799",0.335981656297101
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.517523636742839
"Q8N5Y2_IDR_93_168",0.482476363257161
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.524078075126236
"Q8N612_IDR_835_915",0.475921924873763
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.53038200439815
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.535627569557488
"Q8N6P7_IDR_409_480",0.464372430442512
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.308633346462711
"Q8N6U8_IDR_350_455",0.386499133532026
"Q8N6U8_IDR_496_529",0.304867520005263
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.520854465073824
"Q8N7G0_IDR_264_328",0.235635626449825
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.50230666256773
"Q8N7P1_IDR_505_536",0.49769333743227
"Q8N7R1_IDR_1_139",0.524852099538109
"Q8N7R1_IDR_144_296",0.475147900461891
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.148931214556101
"Q8N7X0_IDR_1_41",0.196648382215551
"Q8N7X0_IDR_305_407",0.113381208005521
"Q8N7X0_IDR_524_627",0.156613099182755
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.537255751908924
"Q8N878_IDR_333_499",0.462744248091076
"Q8N883_IDR_552_585",0.48275843719637
"Q8N883_IDR_61_245",0.51724156280363
"Q8N895_IDR_1_308",0.494777535410211
"Q8N895_IDR_372_422",0.207101363005264
"Q8N895_IDR_480_718",0.298121101584525
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.683883223779266
"Q8N8E2_IDR_479_541",0.316116776220734
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.656378946845931
"Q8N8G2_IDR_20_76",0.343621053154069
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.380322693878343
"Q8N8R5_IDR_204_247",0.619677306121657
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.482606861644887
"Q8N8U3_IDR_397_427",0.517393138355113
"Q8N8V4_IDR_157_233",0.508145894214067
"Q8N8V4_IDR_237_343",0.491854105785933
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.387418889380908
"Q8N8Z6_IDR_416_715",0.612581110619092
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.291785294894355
"Q8N9B5_IDR_940_988",0.39319745753811
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.545773265370556
"Q8N9I0_IDR_88_138",0.454226734629444
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.505991770495158
"Q8N9K5_IDR_1_36",0.494008229504842
"Q8N9L1_IDR_1_63",0.701186478715218
"Q8N9L1_IDR_277_334",0.298813521284782
"Q8N9M1_IDR_107_422",0.369808627455834
"Q8N9M1_IDR_1_49",0.630191372544166
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.329812112278442
"Q8N9N5_IDR_1_47",0.317422170114742
"Q8N9N5_IDR_321_374",0.352765717606816
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.498191984514155
"Q8N9R8_IDR_377_411",0.501808015485845
"Q8N9S9_IDR_384_431",1
