"","GO0007018_microtubule_based_movement"
"Q8N137_IDR_442_797",0.397721476386814
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.514765465951677
"Q8N196_IDR_235_739",0.485234534048323
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.49503630119264
"Q8N1C3_IDR_361_403",0.50496369880736
"Q8N1F8_IDR_334_534",0.574216621530408
"Q8N1F8_IDR_723_773",0.425783378469592
"Q8N1G0_IDR_1158_1198",0.200862573339243
"Q8N1G0_IDR_1_85",0.216782519126324
"Q8N1G0_IDR_608_672",0.192942497565295
"Q8N1G0_IDR_861_1155",0.197208954593156
"Q8N1G0_IDR_87_504",0.192203455375982
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.486630947654142
"Q8N228_IDR_1_90",0.515791458993024
"Q8N228_IDR_210_341",0.484208541006976
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.45339403122313
"Q8N2C3_IDR_165_214",0.54660596877687
"Q8N2C7_IDR_1300_1451",0.107774374766749
"Q8N2C7_IDR_1507_1554",0.0981695185065894
"Q8N2C7_IDR_1770_1837",0.101128054688362
"Q8N2C7_IDR_241_322",0.0884869449599934
"Q8N2C7_IDR_2428_2474",0.095246477331585
"Q8N2C7_IDR_2755_2786",0.0974730608967491
"Q8N2C7_IDR_2912_3214",0.107278494335746
"Q8N2C7_IDR_363_584",0.102133700549852
"Q8N2C7_IDR_693_781",0.0909050369112396
"Q8N2C7_IDR_963_1171",0.111404337053134
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.386590456102558
"Q8N302_IDR_522_621",0.302416133015865
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.536121648651235
"Q8N309_IDR_506_549",0.463878351348765
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.355269017242042
"Q8N344_IDR_348_473",0.297680221727719
"Q8N344_IDR_97_194",0.347050761030239
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.349900038753137
"Q8N365_IDR_198_243",0.341701127371401
"Q8N365_IDR_300_385",0.308398833875461
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.376281086219569
"Q8N392_IDR_19_78",0.289721878408545
"Q8N392_IDR_538_572",0.333997035371886
"Q8N393_IDR_63_241",0.521241778338197
"Q8N3C7_IDR_352_480",0.331814074134574
"Q8N3C7_IDR_556_618",0.335110728024934
"Q8N3D4_IDR_1081_1132",0.252911141298817
"Q8N3D4_IDR_1138_1370",0.235777675844707
"Q8N3D4_IDR_120_150",0.247526701537694
"Q8N3D4_IDR_161_1074",0.263784481318782
"Q8N3E9_IDR_1_55",0.442249645443842
"Q8N3E9_IDR_486_519",0.557750354556158
"Q8N3F8_IDR_111_159",0.344270912834381
"Q8N3F8_IDR_219_677",0.296223241475687
"Q8N3F8_IDR_821_863",0.359505845689932
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.516528198343232
"Q8N3J2_IDR_47_77",0.483471801656768
"Q8N3J3_IDR_1_444",0.470350331646363
"Q8N3J3_IDR_577_647",0.529649668353637
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.524117325910156
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.531705399278196
"Q8N3Z6_IDR_384_543",0.468294600721804
"Q8N412_IDR_1_162",0.477670889322884
"Q8N412_IDR_268_303",0.522329110677116
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.521329907037927
"Q8N441_IDR_403_446",0.478670092962073
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.494203371596342
"Q8N448_IDR_425_459",0.505796628403658
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.496190670480095
"Q8N4L4_IDR_63_309",0.503809329519905
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.502593451865446
"Q8N4N8_IDR_84_180",0.497406548134554
"Q8N4P6_IDR_1_53",0.515305593639513
"Q8N4P6_IDR_333_439",0.484694406360487
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.462664302937962
"Q8N4S9_IDR_368_436",0.537335697062038
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.327665648522298
"Q8N573_IDR_148_203",0.285727644074238
"Q8N573_IDR_1_67",0.279092876049245
"Q8N573_IDR_281_586",0.435179479876517
"Q8N587_IDR_1_45",0.497391940735229
"Q8N587_IDR_52_190",0.502608059264771
"Q8N594_IDR_169_234",0.523717570988236
"Q8N594_IDR_1_72",0.476282429011764
"Q8N5A5_IDR_270_367",0.329606230805161
"Q8N5A5_IDR_369_466",0.319048539501706
"Q8N5A5_IDR_64_126",0.351345229693133
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.537719551177439
"Q8N5C6_IDR_789_819",0.462280448822561
"Q8N5C7_IDR_1_33",0.506175717174729
"Q8N5C7_IDR_165_195",0.493824282825271
"Q8N5C8_IDR_48_533",0.482697340127688
"Q8N5C8_IDR_618_684",0.517302659872312
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.503776229061195
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.313461531850482
"Q8N5U6_IDR_406_501",0.357847694877947
"Q8N5U6_IDR_603_799",0.328690773271571
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.435896718444083
"Q8N5Y2_IDR_93_168",0.564103281555917
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.483627898777661
"Q8N612_IDR_835_915",0.516372101222339
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.51270188021436
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.483919002875544
"Q8N6P7_IDR_409_480",0.516080997124456
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.318321956557246
"Q8N6U8_IDR_350_455",0.341248283487393
"Q8N6U8_IDR_496_529",0.340429759955361
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.505845561532191
"Q8N7G0_IDR_264_328",0.330592808064293
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.494306596381858
"Q8N7P1_IDR_505_536",0.505693403618142
"Q8N7R1_IDR_1_139",0.490851817185871
"Q8N7R1_IDR_144_296",0.509148182814129
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.13734649742914
"Q8N7X0_IDR_1_41",0.131656780885236
"Q8N7X0_IDR_305_407",0.154400305754252
"Q8N7X0_IDR_524_627",0.144819242442703
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.479877147019676
"Q8N878_IDR_333_499",0.520122852980324
"Q8N883_IDR_552_585",0.47272879045762
"Q8N883_IDR_61_245",0.52727120954238
"Q8N895_IDR_1_308",0.301733766813246
"Q8N895_IDR_372_422",0.32972227019904
"Q8N895_IDR_480_718",0.368543962987714
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.475426194041902
"Q8N8E2_IDR_479_541",0.524573805958098
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.47531140682112
"Q8N8G2_IDR_20_76",0.52468859317888
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.489861523554362
"Q8N8R5_IDR_204_247",0.510138476445638
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.550672832425947
"Q8N8U3_IDR_397_427",0.449327167574053
"Q8N8V4_IDR_157_233",0.425436939597165
"Q8N8V4_IDR_237_343",0.574563060402835
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.498446879882689
"Q8N8Z6_IDR_416_715",0.501553120117311
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.382313721377643
"Q8N9B5_IDR_940_988",0.330673099964197
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.484357708226583
"Q8N9I0_IDR_88_138",0.515642291773417
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.507304058113828
"Q8N9K5_IDR_1_36",0.492695941886172
"Q8N9L1_IDR_1_63",0.483672214187321
"Q8N9L1_IDR_277_334",0.516327785812679
"Q8N9M1_IDR_107_422",0.489411716411908
"Q8N9M1_IDR_1_49",0.510588283588092
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.326095915690899
"Q8N9N5_IDR_1_47",0.34513276072967
"Q8N9N5_IDR_321_374",0.32877132357943
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.506828353621885
"Q8N9R8_IDR_377_411",0.493171646378115
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.495980125665703
"Q8N9Z0_IDR_77_172",1
