"","GO0010562_positive_regulation_of_phosphorus_metabolic_process"
"Q8N137_IDR_442_797",0.338763447980443
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.490090779539005
"Q8N196_IDR_235_739",0.509909220460995
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.521216002696376
"Q8N1C3_IDR_361_403",0.478783997303624
"Q8N1F8_IDR_334_534",0.483546709246794
"Q8N1F8_IDR_723_773",0.516453290753206
"Q8N1G0_IDR_1158_1198",0.204971350776053
"Q8N1G0_IDR_1_85",0.201788716197628
"Q8N1G0_IDR_608_672",0.203616402241927
"Q8N1G0_IDR_861_1155",0.202862760650914
"Q8N1G0_IDR_87_504",0.186760770133478
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.512156976058204
"Q8N228_IDR_1_90",0.492050642866729
"Q8N228_IDR_210_341",0.507949357133271
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.515540160977438
"Q8N2C3_IDR_165_214",0.484459839022562
"Q8N2C7_IDR_1300_1451",0.1041117403984
"Q8N2C7_IDR_1507_1554",0.0972148300772597
"Q8N2C7_IDR_1770_1837",0.100509257966208
"Q8N2C7_IDR_241_322",0.100391518598893
"Q8N2C7_IDR_2428_2474",0.103660935483648
"Q8N2C7_IDR_2755_2786",0.0998711360224478
"Q8N2C7_IDR_2912_3214",0.0985189547323655
"Q8N2C7_IDR_363_584",0.0985177293860736
"Q8N2C7_IDR_693_781",0.0941465601798826
"Q8N2C7_IDR_963_1171",0.103057337154822
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.320808465258011
"Q8N302_IDR_522_621",0.333047026006231
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.529725631501643
"Q8N309_IDR_506_549",0.470274368498357
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.327378025283239
"Q8N344_IDR_348_473",0.353088062018055
"Q8N344_IDR_97_194",0.319533912698706
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.33360152564875
"Q8N365_IDR_198_243",0.327089113632132
"Q8N365_IDR_300_385",0.339309360719118
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.318063325354458
"Q8N392_IDR_19_78",0.360389879638655
"Q8N392_IDR_538_572",0.321546795006887
"Q8N393_IDR_63_241",0.485691300455595
"Q8N3C7_IDR_352_480",0.313760349015053
"Q8N3C7_IDR_556_618",0.339275602281412
"Q8N3D4_IDR_1081_1132",0.25334224581674
"Q8N3D4_IDR_1138_1370",0.263651039682851
"Q8N3D4_IDR_120_150",0.247742653042668
"Q8N3D4_IDR_161_1074",0.235264061457741
"Q8N3E9_IDR_1_55",0.494421869678916
"Q8N3E9_IDR_486_519",0.505578130321084
"Q8N3F8_IDR_111_159",0.342702419484697
"Q8N3F8_IDR_219_677",0.337105133592948
"Q8N3F8_IDR_821_863",0.320192446922355
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.485854220557062
"Q8N3J2_IDR_47_77",0.514145779442938
"Q8N3J3_IDR_1_444",0.48107417497262
"Q8N3J3_IDR_577_647",0.51892582502738
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.570457490754724
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.513016255582978
"Q8N3Z6_IDR_384_543",0.486983744417022
"Q8N412_IDR_1_162",0.502869946447943
"Q8N412_IDR_268_303",0.497130053552057
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.51314089333233
"Q8N441_IDR_403_446",0.48685910666767
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.539037581324397
"Q8N448_IDR_425_459",0.460962418675603
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.536553377205761
"Q8N4L4_IDR_63_309",0.463446622794239
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.487476406991372
"Q8N4N8_IDR_84_180",0.512523593008628
"Q8N4P6_IDR_1_53",0.516450985815799
"Q8N4P6_IDR_333_439",0.483549014184201
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.49605771320566
"Q8N4S9_IDR_368_436",0.50394228679434
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.330521627610472
"Q8N573_IDR_148_203",0.3088158373178
"Q8N573_IDR_1_67",0.349570662720696
"Q8N573_IDR_281_586",0.341613499961505
"Q8N587_IDR_1_45",0.505187011327225
"Q8N587_IDR_52_190",0.494812988672775
"Q8N594_IDR_169_234",0.48942192552804
"Q8N594_IDR_1_72",0.51057807447196
"Q8N5A5_IDR_270_367",0.321570241149582
"Q8N5A5_IDR_369_466",0.332267280477628
"Q8N5A5_IDR_64_126",0.34616247837279
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.482292505247972
"Q8N5C6_IDR_789_819",0.517707494752028
"Q8N5C7_IDR_1_33",0.508765904873052
"Q8N5C7_IDR_165_195",0.491234095126948
"Q8N5C8_IDR_48_533",0.574913742181255
"Q8N5C8_IDR_618_684",0.425086257818745
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.501846595891316
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.317611777598857
"Q8N5U6_IDR_406_501",0.35612176560903
"Q8N5U6_IDR_603_799",0.326266456792113
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.517897457463511
"Q8N5Y2_IDR_93_168",0.482102542536489
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.519462238584744
"Q8N612_IDR_835_915",0.480537761415256
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.491608635637468
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.518749804006494
"Q8N6P7_IDR_409_480",0.481250195993506
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.329703849527268
"Q8N6U8_IDR_350_455",0.329580387139971
"Q8N6U8_IDR_496_529",0.340715763332761
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.491093676213374
"Q8N7G0_IDR_264_328",0.344968463969163
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.508779450033948
"Q8N7P1_IDR_505_536",0.491220549966052
"Q8N7R1_IDR_1_139",0.522162269349253
"Q8N7R1_IDR_144_296",0.477837730650747
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.142555237878281
"Q8N7X0_IDR_1_41",0.145246793843993
"Q8N7X0_IDR_305_407",0.135225540265157
"Q8N7X0_IDR_524_627",0.157496412631031
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.4949647048433
"Q8N878_IDR_333_499",0.5050352951567
"Q8N883_IDR_552_585",0.499656023231258
"Q8N883_IDR_61_245",0.500343976768742
"Q8N895_IDR_1_308",0.387870046610226
"Q8N895_IDR_372_422",0.288114381471042
"Q8N895_IDR_480_718",0.324015571918732
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.49761855192414
"Q8N8E2_IDR_479_541",0.50238144807586
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.4846889601991
"Q8N8G2_IDR_20_76",0.5153110398009
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.527578265039079
"Q8N8R5_IDR_204_247",0.472421734960921
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.493320050369362
"Q8N8U3_IDR_397_427",0.506679949630638
"Q8N8V4_IDR_157_233",0.486174203825017
"Q8N8V4_IDR_237_343",0.513825796174983
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.5359974604149
"Q8N8Z6_IDR_416_715",0.4640025395851
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.318448972815246
"Q8N9B5_IDR_940_988",0.343849085656481
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.512853136467032
"Q8N9I0_IDR_88_138",0.487146863532968
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.499394571586144
"Q8N9K5_IDR_1_36",0.500605428413856
"Q8N9L1_IDR_1_63",0.472910548509163
"Q8N9L1_IDR_277_334",0.527089451490837
"Q8N9M1_IDR_107_422",0.475346986550206
"Q8N9M1_IDR_1_49",0.524653013449794
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.33530551370012
"Q8N9N5_IDR_1_47",0.335160995198831
"Q8N9N5_IDR_321_374",0.329533491101049
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.503258040382834
"Q8N9R8_IDR_377_411",0.496741959617166
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.460193953487786
