"","GO0030695_GTPase_regulator_activity"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.504045396264521
"Q8N196_IDR_235_739",0.495954603735479
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.487672867408447
"Q8N1C3_IDR_361_403",0.512327132591553
"Q8N1F8_IDR_334_534",0.480019825415451
"Q8N1F8_IDR_723_773",0.519980174584549
"Q8N1G0_IDR_1158_1198",0.198042017197688
"Q8N1G0_IDR_1_85",0.206001847368377
"Q8N1G0_IDR_608_672",0.198174485242528
"Q8N1G0_IDR_861_1155",0.186753104534218
"Q8N1G0_IDR_87_504",0.21102854565719
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.522663348995235
"Q8N228_IDR_1_90",0.355871678241786
"Q8N228_IDR_210_341",0.644128321758214
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.522440029539603
"Q8N2C3_IDR_165_214",0.477559970460397
"Q8N2C7_IDR_1300_1451",0.0910238313043409
"Q8N2C7_IDR_1507_1554",0.0793463698602686
"Q8N2C7_IDR_1770_1837",0.100002923786997
"Q8N2C7_IDR_241_322",0.10366503075344
"Q8N2C7_IDR_2428_2474",0.0820572566194227
"Q8N2C7_IDR_2755_2786",0.0871349639986388
"Q8N2C7_IDR_2912_3214",0.153081530628139
"Q8N2C7_IDR_363_584",0.0901696345383429
"Q8N2C7_IDR_693_781",0.0885004934407045
"Q8N2C7_IDR_963_1171",0.125017965069706
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.324913496376263
"Q8N302_IDR_522_621",0.333810343570782
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.539902475498745
"Q8N309_IDR_506_549",0.460097524501255
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.337594929344502
"Q8N344_IDR_348_473",0.327939075568482
"Q8N344_IDR_97_194",0.334465995087015
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.34853013614823
"Q8N365_IDR_198_243",0.315973899163048
"Q8N365_IDR_300_385",0.335495964688722
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.27998943994722
"Q8N392_IDR_19_78",0.407582877372322
"Q8N392_IDR_538_572",0.312427682680458
"Q8N393_IDR_63_241",0.5077045370881
"Q8N3C7_IDR_352_480",0.331680733985807
"Q8N3C7_IDR_556_618",0.490031734575515
"Q8N3D4_IDR_1081_1132",0.242892394259754
"Q8N3D4_IDR_1138_1370",0.286554197096377
"Q8N3D4_IDR_120_150",0.250690483042039
"Q8N3D4_IDR_161_1074",0.21986292560183
"Q8N3E9_IDR_1_55",0.506522923669131
"Q8N3E9_IDR_486_519",0.493477076330869
"Q8N3F8_IDR_111_159",0.334300866168602
"Q8N3F8_IDR_219_677",0.376614348071104
"Q8N3F8_IDR_821_863",0.289084785760295
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.471477236232189
"Q8N3J2_IDR_47_77",0.528522763767811
"Q8N3J3_IDR_1_444",0.521356049198779
"Q8N3J3_IDR_577_647",0.478643950801221
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.646195479984159
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.523277993675099
"Q8N3Z6_IDR_384_543",0.476722006324901
"Q8N412_IDR_1_162",0.495128242788554
"Q8N412_IDR_268_303",0.504871757211446
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.493531141424762
"Q8N441_IDR_403_446",0.506468858575238
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.482381155639586
"Q8N448_IDR_425_459",0.517618844360414
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.502558977900273
"Q8N4L4_IDR_63_309",0.497441022099727
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.509073125938177
"Q8N4N8_IDR_84_180",0.490926874061823
"Q8N4P6_IDR_1_53",0.498310338061678
"Q8N4P6_IDR_333_439",0.501689661938322
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.583513740884924
"Q8N4S9_IDR_368_436",0.416486259115076
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.320416883897004
"Q8N573_IDR_148_203",0.350097199939023
"Q8N573_IDR_1_67",0.298339225701603
"Q8N573_IDR_281_586",0.351563574359374
"Q8N587_IDR_1_45",0.509684947151882
"Q8N587_IDR_52_190",0.490315052848118
"Q8N594_IDR_169_234",0.487572320090783
"Q8N594_IDR_1_72",0.512427679909217
"Q8N5A5_IDR_270_367",0.320240662398484
"Q8N5A5_IDR_369_466",0.355241516675219
"Q8N5A5_IDR_64_126",0.324517820926297
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.500194288163163
"Q8N5C6_IDR_789_819",0.499805711836837
"Q8N5C7_IDR_1_33",0.515722198206457
"Q8N5C7_IDR_165_195",0.484277801793543
"Q8N5C8_IDR_48_533",0.507372708596029
"Q8N5C8_IDR_618_684",0.492627291403971
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.513306312762321
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.339192521958323
"Q8N5U6_IDR_406_501",0.347924209423137
"Q8N5U6_IDR_603_799",0.31288326861854
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.530776497095074
"Q8N5Y2_IDR_93_168",0.469223502904926
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.490032654301383
"Q8N612_IDR_835_915",0.509967345698617
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.542432240684816
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.506112424287903
"Q8N6P7_IDR_409_480",0.493887575712097
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.334812545107583
"Q8N6U8_IDR_350_455",0.421149628384281
"Q8N6U8_IDR_496_529",0.244037826508136
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.487667550670998
"Q8N7G0_IDR_264_328",0.318737198978327
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.487595348316203
"Q8N7P1_IDR_505_536",0.512404651683797
"Q8N7R1_IDR_1_139",0.498558176352189
"Q8N7R1_IDR_144_296",0.501441823647811
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.151465118153587
"Q8N7X0_IDR_1_41",0.167369690670416
"Q8N7X0_IDR_305_407",0.148073286331659
"Q8N7X0_IDR_524_627",0.13647889225217
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.451733237340249
"Q8N878_IDR_333_499",0.548266762659751
"Q8N883_IDR_552_585",0.495018937834837
"Q8N883_IDR_61_245",0.504981062165163
"Q8N895_IDR_1_308",0.313361697460096
"Q8N895_IDR_372_422",0.349170102770249
"Q8N895_IDR_480_718",0.337468199769655
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.555683384617749
"Q8N8E2_IDR_479_541",0.444316615382251
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.510470320621211
"Q8N8G2_IDR_20_76",0.489529679378789
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.504399333106584
"Q8N8R5_IDR_204_247",0.495600666893416
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.46991211961313
"Q8N8U3_IDR_397_427",0.53008788038687
"Q8N8V4_IDR_157_233",0.534175710056036
"Q8N8V4_IDR_237_343",0.465824289943964
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.498016791791612
"Q8N8Z6_IDR_416_715",0.501983208208388
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.541202632668619
"Q8N9B5_IDR_940_988",0.2212657003314
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.517655211224012
"Q8N9I0_IDR_88_138",0.482344788775988
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.50682739574492
"Q8N9K5_IDR_1_36",0.49317260425508
"Q8N9L1_IDR_1_63",0.481013393479041
"Q8N9L1_IDR_277_334",0.518986606520959
"Q8N9M1_IDR_107_422",0.510244105845339
"Q8N9M1_IDR_1_49",0.489755894154661
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.333761999404294
"Q8N9N5_IDR_1_47",0.290346929778987
"Q8N9N5_IDR_321_374",0.375891070816718
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.507118922067039
"Q8N9R8_IDR_377_411",0.492881077932961
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.487385133728444
"Q8N9Z0_IDR_77_172",1
