"","GO0061630_ubiquitin_protein_ligase_activity"
"Q8N137_IDR_442_797",0.346515906045627
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.443429773570546
"Q8N196_IDR_235_739",0.556570226429454
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.49970895307397
"Q8N1C3_IDR_361_403",0.50029104692603
"Q8N1F8_IDR_334_534",0.506319363823498
"Q8N1F8_IDR_723_773",0.493680636176502
"Q8N1G0_IDR_1158_1198",0.206269381213217
"Q8N1G0_IDR_1_85",0.195407454067992
"Q8N1G0_IDR_608_672",0.204735417763623
"Q8N1G0_IDR_861_1155",0.192719656157973
"Q8N1G0_IDR_87_504",0.200868090797196
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.4909952065914
"Q8N228_IDR_1_90",0.451556336120302
"Q8N228_IDR_210_341",0.548443663879698
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.516686025854104
"Q8N2C3_IDR_165_214",0.483313974145896
"Q8N2C7_IDR_1300_1451",0.100281608052601
"Q8N2C7_IDR_1507_1554",0.0941802056291219
"Q8N2C7_IDR_1770_1837",0.102530879797794
"Q8N2C7_IDR_241_322",0.103892309551508
"Q8N2C7_IDR_2428_2474",0.0998096597713911
"Q8N2C7_IDR_2755_2786",0.0990438362779395
"Q8N2C7_IDR_2912_3214",0.110836571784925
"Q8N2C7_IDR_363_584",0.0988464004006214
"Q8N2C7_IDR_693_781",0.0940310029682443
"Q8N2C7_IDR_963_1171",0.0965475257658534
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.321302774092608
"Q8N302_IDR_522_621",0.334246414995828
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.542577223576048
"Q8N309_IDR_506_549",0.457422776423952
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.328945198722161
"Q8N344_IDR_348_473",0.359854419819303
"Q8N344_IDR_97_194",0.311200381458536
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.344451377424756
"Q8N365_IDR_198_243",0.314003834015449
"Q8N365_IDR_300_385",0.341544788559795
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.326352623229913
"Q8N392_IDR_19_78",0.358394266995962
"Q8N392_IDR_538_572",0.315253109774125
"Q8N393_IDR_63_241",0.504809198398721
"Q8N3C7_IDR_352_480",0.307559390810429
"Q8N3C7_IDR_556_618",0.342274325459228
"Q8N3D4_IDR_1081_1132",0.233497191951267
"Q8N3D4_IDR_1138_1370",0.267551859775809
"Q8N3D4_IDR_120_150",0.22605524021386
"Q8N3D4_IDR_161_1074",0.272895708059064
"Q8N3E9_IDR_1_55",0.490355032669109
"Q8N3E9_IDR_486_519",0.509644967330891
"Q8N3F8_IDR_111_159",0.35483681535439
"Q8N3F8_IDR_219_677",0.340435538853295
"Q8N3F8_IDR_821_863",0.304727645792315
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.488379063387726
"Q8N3J2_IDR_47_77",0.511620936612274
"Q8N3J3_IDR_1_444",0.538723154921923
"Q8N3J3_IDR_577_647",0.461276845078077
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.467659921465767
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.513710358829893
"Q8N3Z6_IDR_384_543",0.486289641170107
"Q8N412_IDR_1_162",0.503892519825529
"Q8N412_IDR_268_303",0.496107480174471
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.49762474364578
"Q8N441_IDR_403_446",0.50237525635422
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.509368494616763
"Q8N448_IDR_425_459",0.490631505383237
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.49535060039454
"Q8N4L4_IDR_63_309",0.50464939960546
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.495344840542212
"Q8N4N8_IDR_84_180",0.504655159457788
"Q8N4P6_IDR_1_53",0.51731385577304
"Q8N4P6_IDR_333_439",0.48268614422696
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.511363959075046
"Q8N4S9_IDR_368_436",0.488636040924954
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.327757644360585
"Q8N573_IDR_148_203",0.346537215078248
"Q8N573_IDR_1_67",0.334860066214748
"Q8N573_IDR_281_586",0.318602718707004
"Q8N587_IDR_1_45",0.514876092407999
"Q8N587_IDR_52_190",0.485123907592001
"Q8N594_IDR_169_234",0.471834252658122
"Q8N594_IDR_1_72",0.528165747341878
"Q8N5A5_IDR_270_367",0.326788393256404
"Q8N5A5_IDR_369_466",0.319319736947714
"Q8N5A5_IDR_64_126",0.353891869795882
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.495958383550639
"Q8N5C6_IDR_789_819",0.504041616449361
"Q8N5C7_IDR_1_33",0.499708064172049
"Q8N5C7_IDR_165_195",0.500291935827951
"Q8N5C8_IDR_48_533",0.56422982676358
"Q8N5C8_IDR_618_684",0.43577017323642
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.478539292716312
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.326155953604604
"Q8N5U6_IDR_406_501",0.351518017203918
"Q8N5U6_IDR_603_799",0.322326029191477
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.540074564500158
"Q8N5Y2_IDR_93_168",0.459925435499842
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.576671539657984
"Q8N612_IDR_835_915",0.423328460342016
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.458332293203793
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.498720867666028
"Q8N6P7_IDR_409_480",0.501279132333972
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.315300335305854
"Q8N6U8_IDR_350_455",0.356134510811002
"Q8N6U8_IDR_496_529",0.328565153883144
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.50275483883373
"Q8N7G0_IDR_264_328",0.326540355604548
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.511289085552185
"Q8N7P1_IDR_505_536",0.488710914447815
"Q8N7R1_IDR_1_139",0.532636574799792
"Q8N7R1_IDR_144_296",0.467363425200208
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.141097615440546
"Q8N7X0_IDR_1_41",0.144956687498311
"Q8N7X0_IDR_305_407",0.139198301485302
"Q8N7X0_IDR_524_627",0.148458337187616
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.469798784257485
"Q8N878_IDR_333_499",0.530201215742515
"Q8N883_IDR_552_585",0.510017640065018
"Q8N883_IDR_61_245",0.489982359934982
"Q8N895_IDR_1_308",0.329214348106647
"Q8N895_IDR_372_422",0.342085219946516
"Q8N895_IDR_480_718",0.328700431946837
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.537898305376805
"Q8N8E2_IDR_479_541",0.462101694623195
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.533471654721919
"Q8N8G2_IDR_20_76",0.466528345278081
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.5417162427654
"Q8N8R5_IDR_204_247",0.4582837572346
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.488148352634616
"Q8N8U3_IDR_397_427",0.511851647365384
"Q8N8V4_IDR_157_233",0.476595900729142
"Q8N8V4_IDR_237_343",0.523404099270858
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.524745734515996
"Q8N8Z6_IDR_416_715",0.475254265484004
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.309958202468359
"Q8N9B5_IDR_940_988",0.324268028682611
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.513823840780849
"Q8N9I0_IDR_88_138",0.486176159219151
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.488684523290324
"Q8N9K5_IDR_1_36",0.511315476709676
"Q8N9L1_IDR_1_63",0.519068924284912
"Q8N9L1_IDR_277_334",0.480931075715088
"Q8N9M1_IDR_107_422",0.488581256672916
"Q8N9M1_IDR_1_49",0.511418743327084
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.33371991294093
"Q8N9N5_IDR_1_47",0.334061879405112
"Q8N9N5_IDR_321_374",0.332218207653957
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.497743916474248
"Q8N9R8_IDR_377_411",0.502256083525752
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.487444859967914
