"","GO0003690_double_stranded_DNA_binding"
"Q8N137_IDR_442_797",0.401332674860934
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.574978166629423
"Q8N196_IDR_235_739",0.425021833370577
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.480835728490937
"Q8N1C3_IDR_361_403",0.519164271509063
"Q8N1F8_IDR_334_534",0.420330481247263
"Q8N1F8_IDR_723_773",0.579669518752737
"Q8N1G0_IDR_1158_1198",0.150367623260139
"Q8N1G0_IDR_1_85",0.144903763945537
"Q8N1G0_IDR_608_672",0.133669462787534
"Q8N1G0_IDR_861_1155",0.42334865765843
"Q8N1G0_IDR_87_504",0.147710492348359
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.514361903146468
"Q8N228_IDR_1_90",0.485956596955847
"Q8N228_IDR_210_341",0.514043403044154
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.50680577142666
"Q8N2C3_IDR_165_214",0.49319422857334
"Q8N2C7_IDR_1300_1451",0.0836370918127182
"Q8N2C7_IDR_1507_1554",0.100402634711141
"Q8N2C7_IDR_1770_1837",0.107093614546963
"Q8N2C7_IDR_241_322",0.108876536422082
"Q8N2C7_IDR_2428_2474",0.114185403368615
"Q8N2C7_IDR_2755_2786",0.104680609435942
"Q8N2C7_IDR_2912_3214",0.0897839442361949
"Q8N2C7_IDR_363_584",0.121199164793329
"Q8N2C7_IDR_693_781",0.0867553512000331
"Q8N2C7_IDR_963_1171",0.0833856494729823
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.319563022958928
"Q8N302_IDR_522_621",0.302154763060381
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.512709069882815
"Q8N309_IDR_506_549",0.487290930117185
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.329454399704205
"Q8N344_IDR_348_473",0.30868248185553
"Q8N344_IDR_97_194",0.361863118440265
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.263662202523975
"Q8N365_IDR_198_243",0.376712954356244
"Q8N365_IDR_300_385",0.359624843119781
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.311315473470603
"Q8N392_IDR_19_78",0.395499784225087
"Q8N392_IDR_538_572",0.293184742304309
"Q8N393_IDR_63_241",0.463854428006952
"Q8N3C7_IDR_352_480",0.348356203330465
"Q8N3C7_IDR_556_618",0.322598066736294
"Q8N3D4_IDR_1081_1132",0.286114809143744
"Q8N3D4_IDR_1138_1370",0.23815662913477
"Q8N3D4_IDR_120_150",0.275507170320899
"Q8N3D4_IDR_161_1074",0.200221391400587
"Q8N3E9_IDR_1_55",0.643867706083223
"Q8N3E9_IDR_486_519",0.356132293916777
"Q8N3F8_IDR_111_159",0.346652390884821
"Q8N3F8_IDR_219_677",0.287316428931423
"Q8N3F8_IDR_821_863",0.366031180183756
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.532810632396253
"Q8N3J2_IDR_47_77",0.467189367603747
"Q8N3J3_IDR_1_444",0.512320913500848
"Q8N3J3_IDR_577_647",0.487679086499152
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.419924527348983
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.463611160509077
"Q8N3Z6_IDR_384_543",0.536388839490923
"Q8N412_IDR_1_162",0.487135649381001
"Q8N412_IDR_268_303",0.512864350618999
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.458296708770161
"Q8N441_IDR_403_446",0.541703291229839
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.37791752574658
"Q8N448_IDR_425_459",0.62208247425342
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.330709740309977
"Q8N4L4_IDR_63_309",0.669290259690023
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.558333499544377
"Q8N4N8_IDR_84_180",0.441666500455623
"Q8N4P6_IDR_1_53",0.445471686768579
"Q8N4P6_IDR_333_439",0.554528313231421
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.433096774450839
"Q8N4S9_IDR_368_436",0.566903225549161
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.347986103469796
"Q8N573_IDR_148_203",0.413718269370297
"Q8N573_IDR_1_67",0.303302969544623
"Q8N573_IDR_281_586",0.282978761085081
"Q8N587_IDR_1_45",0.433426885602585
"Q8N587_IDR_52_190",0.566573114397416
"Q8N594_IDR_169_234",0.487994355151416
"Q8N594_IDR_1_72",0.512005644848584
"Q8N5A5_IDR_270_367",0.376993099295591
"Q8N5A5_IDR_369_466",0.285118826518935
"Q8N5A5_IDR_64_126",0.337888074185474
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.545164064822121
"Q8N5C6_IDR_789_819",0.454835935177879
"Q8N5C7_IDR_1_33",0.484952663760713
"Q8N5C7_IDR_165_195",0.515047336239287
"Q8N5C8_IDR_48_533",0.787122711755403
"Q8N5C8_IDR_618_684",0.212877288244597
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.519779678235323
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.329049797185345
"Q8N5U6_IDR_406_501",0.314938600958821
"Q8N5U6_IDR_603_799",0.356011601855835
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.481663549208215
"Q8N5Y2_IDR_93_168",0.518336450791785
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.501736263985565
"Q8N612_IDR_835_915",0.498263736014435
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.497933004259563
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.527202013474243
"Q8N6P7_IDR_409_480",0.472797986525757
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.324333826376994
"Q8N6U8_IDR_350_455",0.341203666750357
"Q8N6U8_IDR_496_529",0.334462506872649
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.543627044526667
"Q8N7G0_IDR_264_328",0.23754654390575
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.485302373357496
"Q8N7P1_IDR_505_536",0.514697626642504
"Q8N7R1_IDR_1_139",0.519824571379086
"Q8N7R1_IDR_144_296",0.480175428620914
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.140064975844451
"Q8N7X0_IDR_1_41",0.203433628586779
"Q8N7X0_IDR_305_407",0.126264250972653
"Q8N7X0_IDR_524_627",0.130556630419524
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.528383471005218
"Q8N878_IDR_333_499",0.471616528994782
"Q8N883_IDR_552_585",0.486167910169347
"Q8N883_IDR_61_245",0.513832089830652
"Q8N895_IDR_1_308",0.462619320453594
"Q8N895_IDR_372_422",0.222338556145301
"Q8N895_IDR_480_718",0.315042123401104
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.694298475068907
"Q8N8E2_IDR_479_541",0.305701524931093
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.603612955488359
"Q8N8G2_IDR_20_76",0.396387044511641
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.37027763722219
"Q8N8R5_IDR_204_247",0.62972236277781
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.477634327213653
"Q8N8U3_IDR_397_427",0.522365672786347
"Q8N8V4_IDR_157_233",0.515660433653493
"Q8N8V4_IDR_237_343",0.484339566346507
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.397042644228201
"Q8N8Z6_IDR_416_715",0.602957355771799
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.291979562706172
"Q8N9B5_IDR_940_988",0.372140882137339
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.499654247461026
"Q8N9I0_IDR_88_138",0.500345752538974
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.491645343597299
"Q8N9K5_IDR_1_36",0.508354656402701
"Q8N9L1_IDR_1_63",0.676875754418129
"Q8N9L1_IDR_277_334",0.323124245581871
"Q8N9M1_IDR_107_422",0.390408319646286
"Q8N9M1_IDR_1_49",0.609591680353714
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.32804719592399
"Q8N9N5_IDR_1_47",0.323957473270048
"Q8N9N5_IDR_321_374",0.347995330805962
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.495257652661928
"Q8N9R8_IDR_377_411",0.504742347338072
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.624458936206172
"Q8N9Z0_IDR_77_172",1
