"","GO0035639_purine_ribonucleoside_triphosphate_binding"
"Q8N137_IDR_442_797",0.316226561552344
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.524753124408796
"Q8N196_IDR_235_739",0.475246875591204
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.479493303430786
"Q8N1C3_IDR_361_403",0.520506696569214
"Q8N1F8_IDR_334_534",0.543999279143682
"Q8N1F8_IDR_723_773",0.456000720856318
"Q8N1G0_IDR_1158_1198",0.207069669495547
"Q8N1G0_IDR_1_85",0.200084129819296
"Q8N1G0_IDR_608_672",0.19769012195972
"Q8N1G0_IDR_861_1155",0.197970074905567
"Q8N1G0_IDR_87_504",0.19718600381987
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.520690668944558
"Q8N228_IDR_1_90",0.445330610042998
"Q8N228_IDR_210_341",0.554669389957003
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.514419211147995
"Q8N2C3_IDR_165_214",0.485580788852005
"Q8N2C7_IDR_1300_1451",0.0937874044786938
"Q8N2C7_IDR_1507_1554",0.0857788476876082
"Q8N2C7_IDR_1770_1837",0.0943259401922433
"Q8N2C7_IDR_241_322",0.0908904184213458
"Q8N2C7_IDR_2428_2474",0.0826892312982432
"Q8N2C7_IDR_2755_2786",0.0874109155743031
"Q8N2C7_IDR_2912_3214",0.161189607450106
"Q8N2C7_IDR_363_584",0.0920431324175635
"Q8N2C7_IDR_693_781",0.0830813107544751
"Q8N2C7_IDR_963_1171",0.128803191725418
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.340791723223918
"Q8N302_IDR_522_621",0.33530860424084
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.511617882187617
"Q8N309_IDR_506_549",0.488382117812383
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.330442259495161
"Q8N344_IDR_348_473",0.343878550290106
"Q8N344_IDR_97_194",0.325679190214733
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.322285032146728
"Q8N365_IDR_198_243",0.34416539144383
"Q8N365_IDR_300_385",0.333549576409442
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.305939294465148
"Q8N392_IDR_19_78",0.360323503987617
"Q8N392_IDR_538_572",0.333737201547235
"Q8N393_IDR_63_241",0.498636184110008
"Q8N3C7_IDR_352_480",0.321066918715567
"Q8N3C7_IDR_556_618",0.430942036685841
"Q8N3D4_IDR_1081_1132",0.227388209828623
"Q8N3D4_IDR_1138_1370",0.329137149670158
"Q8N3D4_IDR_120_150",0.229222868770995
"Q8N3D4_IDR_161_1074",0.214251771730224
"Q8N3E9_IDR_1_55",0.497861912720701
"Q8N3E9_IDR_486_519",0.502138087279299
"Q8N3F8_IDR_111_159",0.313984323737313
"Q8N3F8_IDR_219_677",0.384454807949984
"Q8N3F8_IDR_821_863",0.301560868312703
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.499979639641706
"Q8N3J2_IDR_47_77",0.500020360358294
"Q8N3J3_IDR_1_444",0.521158905111911
"Q8N3J3_IDR_577_647",0.478841094888089
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.60174148323707
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.503328462549675
"Q8N3Z6_IDR_384_543",0.496671537450325
"Q8N412_IDR_1_162",0.492890539192811
"Q8N412_IDR_268_303",0.507109460807189
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.503465198367902
"Q8N441_IDR_403_446",0.496534801632098
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.493165643362782
"Q8N448_IDR_425_459",0.506834356637218
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.472374900685737
"Q8N4L4_IDR_63_309",0.527625099314263
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.508012014791958
"Q8N4N8_IDR_84_180",0.491987985208042
"Q8N4P6_IDR_1_53",0.502353479279285
"Q8N4P6_IDR_333_439",0.497646520720715
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.528988895723745
"Q8N4S9_IDR_368_436",0.471011104276255
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.342659584184038
"Q8N573_IDR_148_203",0.328571188496227
"Q8N573_IDR_1_67",0.323377862077536
"Q8N573_IDR_281_586",0.348050949426237
"Q8N587_IDR_1_45",0.506012105278186
"Q8N587_IDR_52_190",0.493987894721814
"Q8N594_IDR_169_234",0.496675386504625
"Q8N594_IDR_1_72",0.503324613495375
"Q8N5A5_IDR_270_367",0.310736201672649
"Q8N5A5_IDR_369_466",0.373947159923422
"Q8N5A5_IDR_64_126",0.315316638403929
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.513648002934573
"Q8N5C6_IDR_789_819",0.486351997065427
"Q8N5C7_IDR_1_33",0.487526852269336
"Q8N5C7_IDR_165_195",0.512473147730664
"Q8N5C8_IDR_48_533",0.480693971451104
"Q8N5C8_IDR_618_684",0.519306028548896
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.470540716233266
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.338281339081014
"Q8N5U6_IDR_406_501",0.340483446221674
"Q8N5U6_IDR_603_799",0.321235214697313
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.516856449627835
"Q8N5Y2_IDR_93_168",0.483143550372165
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.475769046271153
"Q8N612_IDR_835_915",0.524230953728847
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.525274950029618
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.50752498735322
"Q8N6P7_IDR_409_480",0.49247501264678
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.323262202333302
"Q8N6U8_IDR_350_455",0.373772380965196
"Q8N6U8_IDR_496_529",0.302965416701503
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.496103610690764
"Q8N7G0_IDR_264_328",0.33367983951902
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.489643049862879
"Q8N7P1_IDR_505_536",0.510356950137121
"Q8N7R1_IDR_1_139",0.504669329977068
"Q8N7R1_IDR_144_296",0.495330670022932
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.150320352911174
"Q8N7X0_IDR_1_41",0.150159303529963
"Q8N7X0_IDR_305_407",0.14710217193791
"Q8N7X0_IDR_524_627",0.139051747048014
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.487428301947131
"Q8N878_IDR_333_499",0.512571698052869
"Q8N883_IDR_552_585",0.502177880958714
"Q8N883_IDR_61_245",0.497822119041286
"Q8N895_IDR_1_308",0.32136871780809
"Q8N895_IDR_372_422",0.348158780790883
"Q8N895_IDR_480_718",0.330472501401027
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.519476813176608
"Q8N8E2_IDR_479_541",0.480523186823392
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.48255877109736
"Q8N8G2_IDR_20_76",0.51744122890264
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.502244755728518
"Q8N8R5_IDR_204_247",0.497755244271482
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.484157190705129
"Q8N8U3_IDR_397_427",0.515842809294871
"Q8N8V4_IDR_157_233",0.509972872196228
"Q8N8V4_IDR_237_343",0.490027127803772
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.486372299332364
"Q8N8Z6_IDR_416_715",0.513627700667636
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.527434084356518
"Q8N9B5_IDR_940_988",0.234816818703786
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.499269226439687
"Q8N9I0_IDR_88_138",0.500730773560312
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.50380088736163
"Q8N9K5_IDR_1_36",0.49619911263837
"Q8N9L1_IDR_1_63",0.488856682094146
"Q8N9L1_IDR_277_334",0.511143317905854
"Q8N9M1_IDR_107_422",0.514819796386566
"Q8N9M1_IDR_1_49",0.485180203613434
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.329362415806933
"Q8N9N5_IDR_1_47",0.315971950331483
"Q8N9N5_IDR_321_374",0.354665633861584
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.495687445849118
"Q8N9R8_IDR_377_411",0.504312554150882
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.494223234900379
