"","GO0032553_ribonucleotide_binding"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.535732232015756
"Q8N196_IDR_235_739",0.464267767984244
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.481441050513788
"Q8N1C3_IDR_361_403",0.518558949486212
"Q8N1F8_IDR_334_534",0.545707386479013
"Q8N1F8_IDR_723_773",0.454292613520987
"Q8N1G0_IDR_1158_1198",0.206655121737238
"Q8N1G0_IDR_1_85",0.198804808668966
"Q8N1G0_IDR_608_672",0.195566154835048
"Q8N1G0_IDR_861_1155",0.197563953111297
"Q8N1G0_IDR_87_504",0.201409961647451
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.521665763842932
"Q8N228_IDR_1_90",0.442083275153645
"Q8N228_IDR_210_341",0.557916724846355
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.519912785803788
"Q8N2C3_IDR_165_214",0.480087214196212
"Q8N2C7_IDR_1300_1451",0.0934113030954016
"Q8N2C7_IDR_1507_1554",0.0856207245135944
"Q8N2C7_IDR_1770_1837",0.0941135749708689
"Q8N2C7_IDR_241_322",0.0921372534917356
"Q8N2C7_IDR_2428_2474",0.0835153084497358
"Q8N2C7_IDR_2755_2786",0.0886857860885472
"Q8N2C7_IDR_2912_3214",0.161794050192362
"Q8N2C7_IDR_363_584",0.0914970221961274
"Q8N2C7_IDR_693_781",0.0828017761925169
"Q8N2C7_IDR_963_1171",0.12642320080911
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.344269266722203
"Q8N302_IDR_522_621",0.333212851586521
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.517216874449185
"Q8N309_IDR_506_549",0.482783125550815
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.330411633262161
"Q8N344_IDR_348_473",0.343094458172273
"Q8N344_IDR_97_194",0.326493908565565
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.326396445107947
"Q8N365_IDR_198_243",0.33982597847973
"Q8N365_IDR_300_385",0.333777576412322
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.302607527283074
"Q8N392_IDR_19_78",0.365993166447079
"Q8N392_IDR_538_572",0.331399306269847
"Q8N393_IDR_63_241",0.496191388986228
"Q8N3C7_IDR_352_480",0.311656423757
"Q8N3C7_IDR_556_618",0.422921970542548
"Q8N3D4_IDR_1081_1132",0.230419730611461
"Q8N3D4_IDR_1138_1370",0.321886585262378
"Q8N3D4_IDR_120_150",0.232678776624774
"Q8N3D4_IDR_161_1074",0.215014907501388
"Q8N3E9_IDR_1_55",0.497426722185937
"Q8N3E9_IDR_486_519",0.502573277814063
"Q8N3F8_IDR_111_159",0.324384725619958
"Q8N3F8_IDR_219_677",0.367736177192395
"Q8N3F8_IDR_821_863",0.307879097187647
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.492834606023956
"Q8N3J2_IDR_47_77",0.507165393976044
"Q8N3J3_IDR_1_444",0.52156086532896
"Q8N3J3_IDR_577_647",0.47843913467104
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.557035941939187
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.508695530881795
"Q8N3Z6_IDR_384_543",0.491304469118205
"Q8N412_IDR_1_162",0.492241551405465
"Q8N412_IDR_268_303",0.507758448594535
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.505464505078889
"Q8N441_IDR_403_446",0.494535494921111
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.492403940628456
"Q8N448_IDR_425_459",0.507596059371544
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.470011431170005
"Q8N4L4_IDR_63_309",0.529988568829995
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.513091675894171
"Q8N4N8_IDR_84_180",0.486908324105829
"Q8N4P6_IDR_1_53",0.505373294955676
"Q8N4P6_IDR_333_439",0.494626705044324
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.541851887121962
"Q8N4S9_IDR_368_436",0.458148112878038
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.335754517216256
"Q8N573_IDR_148_203",0.320198003557027
"Q8N573_IDR_1_67",0.30847116472168
"Q8N573_IDR_281_586",0.371330831721293
"Q8N587_IDR_1_45",0.50845845327769
"Q8N587_IDR_52_190",0.49154154672231
"Q8N594_IDR_169_234",0.497940875895383
"Q8N594_IDR_1_72",0.502059124104617
"Q8N5A5_IDR_270_367",0.30768059067896
"Q8N5A5_IDR_369_466",0.379174426868504
"Q8N5A5_IDR_64_126",0.313144982452536
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.514604000910803
"Q8N5C6_IDR_789_819",0.485395999089197
"Q8N5C7_IDR_1_33",0.48775204469933
"Q8N5C7_IDR_165_195",0.51224795530067
"Q8N5C8_IDR_48_533",0.479829972225831
"Q8N5C8_IDR_618_684",0.520170027774169
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.498330343768525
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.339940902884144
"Q8N5U6_IDR_406_501",0.343982153756984
"Q8N5U6_IDR_603_799",0.316076943358873
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.504868030859897
"Q8N5Y2_IDR_93_168",0.495131969140104
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.470265881957236
"Q8N612_IDR_835_915",0.529734118042764
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.523689794892724
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.505606462582268
"Q8N6P7_IDR_409_480",0.494393537417732
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.315121326680112
"Q8N6U8_IDR_350_455",0.370204508399829
"Q8N6U8_IDR_496_529",0.314674164920058
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.498852049028747
"Q8N7G0_IDR_264_328",0.335135402917965
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.486524854791103
"Q8N7P1_IDR_505_536",0.513475145208897
"Q8N7R1_IDR_1_139",0.504531817766936
"Q8N7R1_IDR_144_296",0.495468182233063
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.146914655234854
"Q8N7X0_IDR_1_41",0.149650739018785
"Q8N7X0_IDR_305_407",0.150469654163899
"Q8N7X0_IDR_524_627",0.139778315036358
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.486570767570472
"Q8N878_IDR_333_499",0.513429232429528
"Q8N883_IDR_552_585",0.502913312218039
"Q8N883_IDR_61_245",0.497086687781961
"Q8N895_IDR_1_308",0.314058604235112
"Q8N895_IDR_372_422",0.351882110919206
"Q8N895_IDR_480_718",0.334059284845683
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.524843019416399
"Q8N8E2_IDR_479_541",0.475156980583601
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.477342934050709
"Q8N8G2_IDR_20_76",0.522657065949291
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.502866609731786
"Q8N8R5_IDR_204_247",0.497133390268214
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.480979521540246
"Q8N8U3_IDR_397_427",0.519020478459754
"Q8N8V4_IDR_157_233",0.510654052252153
"Q8N8V4_IDR_237_343",0.489345947747847
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.486848597330954
"Q8N8Z6_IDR_416_715",0.513151402669046
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.473818889350083
"Q8N9B5_IDR_940_988",0.265541564815172
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.499529293449964
"Q8N9I0_IDR_88_138",0.500470706550036
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.505330163496356
"Q8N9K5_IDR_1_36",0.494669836503644
"Q8N9L1_IDR_1_63",0.48554954930707
"Q8N9L1_IDR_277_334",0.51445045069293
"Q8N9M1_IDR_107_422",0.506699845734657
"Q8N9M1_IDR_1_49",0.493300154265343
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.330419658337655
"Q8N9N5_IDR_1_47",0.309035092336558
"Q8N9N5_IDR_321_374",0.360545249325787
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.494872936426088
"Q8N9R8_IDR_377_411",0.505127063573912
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.49604299299633
"Q8N9Z0_IDR_77_172",1
