"","GO0006355_regulation_of_transcription._DNA_templated"
"Q8N137_IDR_442_797",0.421852282322283
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.556359979512531
"Q8N196_IDR_235_739",0.443640020487469
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.466332749027402
"Q8N1C3_IDR_361_403",0.533667250972597
"Q8N1F8_IDR_334_534",0.409102053889047
"Q8N1F8_IDR_723_773",0.590897946110952
"Q8N1G0_IDR_1158_1198",0.157183558431805
"Q8N1G0_IDR_1_85",0.159062854010753
"Q8N1G0_IDR_608_672",0.141030007700037
"Q8N1G0_IDR_861_1155",0.362342193960931
"Q8N1G0_IDR_87_504",0.180381385896474
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.500798326616257
"Q8N228_IDR_1_90",0.456289058171026
"Q8N228_IDR_210_341",0.543710941828974
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.510401589733923
"Q8N2C3_IDR_165_214",0.489598410266077
"Q8N2C7_IDR_1300_1451",0.0792641436834143
"Q8N2C7_IDR_1507_1554",0.088648344701105
"Q8N2C7_IDR_1770_1837",0.103673657258295
"Q8N2C7_IDR_241_322",0.106270959857125
"Q8N2C7_IDR_2428_2474",0.110724230520061
"Q8N2C7_IDR_2755_2786",0.0986619203864764
"Q8N2C7_IDR_2912_3214",0.105193982188038
"Q8N2C7_IDR_363_584",0.122959601489541
"Q8N2C7_IDR_693_781",0.0998503730804467
"Q8N2C7_IDR_963_1171",0.0847527868354984
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.334094365216017
"Q8N302_IDR_522_621",0.300177279800265
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.530923031039836
"Q8N309_IDR_506_549",0.469076968960164
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.318073416419495
"Q8N344_IDR_348_473",0.309912997421489
"Q8N344_IDR_97_194",0.372013586159016
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.286578408765224
"Q8N365_IDR_198_243",0.367057117076867
"Q8N365_IDR_300_385",0.34636447415791
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.314254635570563
"Q8N392_IDR_19_78",0.408226505016199
"Q8N392_IDR_538_572",0.277518859413238
"Q8N393_IDR_63_241",0.510444673341915
"Q8N3C7_IDR_352_480",0.392881910337716
"Q8N3C7_IDR_556_618",0.343186904003274
"Q8N3D4_IDR_1081_1132",0.269046998760807
"Q8N3D4_IDR_1138_1370",0.236046796904284
"Q8N3D4_IDR_120_150",0.256527226111366
"Q8N3D4_IDR_161_1074",0.238378978223542
"Q8N3E9_IDR_1_55",0.617536685315412
"Q8N3E9_IDR_486_519",0.382463314684588
"Q8N3F8_IDR_111_159",0.346709268698606
"Q8N3F8_IDR_219_677",0.306927590497694
"Q8N3F8_IDR_821_863",0.3463631408037
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.527349633652284
"Q8N3J2_IDR_47_77",0.472650366347716
"Q8N3J3_IDR_1_444",0.527926176517703
"Q8N3J3_IDR_577_647",0.472073823482297
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.381598789739561
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.426987949105994
"Q8N3Z6_IDR_384_543",0.573012050894006
"Q8N412_IDR_1_162",0.47157992197779
"Q8N412_IDR_268_303",0.52842007802221
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.40605589390899
"Q8N441_IDR_403_446",0.593944106091009
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.387827114254245
"Q8N448_IDR_425_459",0.612172885745755
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.402130994524372
"Q8N4L4_IDR_63_309",0.597869005475628
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.556263063770785
"Q8N4N8_IDR_84_180",0.443736936229215
"Q8N4P6_IDR_1_53",0.435284307328666
"Q8N4P6_IDR_333_439",0.564715692671334
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.436301725291821
"Q8N4S9_IDR_368_436",0.563698274708179
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.329556075766088
"Q8N573_IDR_148_203",0.35271014384584
"Q8N573_IDR_1_67",0.308203611916113
"Q8N573_IDR_281_586",0.339086244238047
"Q8N587_IDR_1_45",0.470986957854386
"Q8N587_IDR_52_190",0.529013042145614
"Q8N594_IDR_169_234",0.48128694789296
"Q8N594_IDR_1_72",0.51871305210704
"Q8N5A5_IDR_270_367",0.389859783704091
"Q8N5A5_IDR_369_466",0.285643900778511
"Q8N5A5_IDR_64_126",0.324496315517398
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.532643641134971
"Q8N5C6_IDR_789_819",0.467356358865029
"Q8N5C7_IDR_1_33",0.491082474376797
"Q8N5C7_IDR_165_195",0.508917525623203
"Q8N5C8_IDR_48_533",0.769691212525353
"Q8N5C8_IDR_618_684",0.230308787474647
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.514066633575948
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.361675145960556
"Q8N5U6_IDR_406_501",0.314682901054504
"Q8N5U6_IDR_603_799",0.32364195298494
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.454955997350266
"Q8N5Y2_IDR_93_168",0.545044002649734
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.485226234429596
"Q8N612_IDR_835_915",0.514773765570404
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.50176262048438
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.514984860535635
"Q8N6P7_IDR_409_480",0.485015139464365
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.311507236404099
"Q8N6U8_IDR_350_455",0.388895555994252
"Q8N6U8_IDR_496_529",0.299597207601649
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.569283953952551
"Q8N7G0_IDR_264_328",0.231859087819641
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.497082397978051
"Q8N7P1_IDR_505_536",0.502917602021949
"Q8N7R1_IDR_1_139",0.500402469772856
"Q8N7R1_IDR_144_296",0.499597530227144
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.144352463948046
"Q8N7X0_IDR_1_41",0.209144909614371
"Q8N7X0_IDR_305_407",0.126466883686361
"Q8N7X0_IDR_524_627",0.136362144106923
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.494323600477329
"Q8N878_IDR_333_499",0.505676399522672
"Q8N883_IDR_552_585",0.51074529691547
"Q8N883_IDR_61_245",0.48925470308453
"Q8N895_IDR_1_308",0.433817996078683
"Q8N895_IDR_372_422",0.230727202602386
"Q8N895_IDR_480_718",0.335454801318931
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.652061171887843
"Q8N8E2_IDR_479_541",0.347938828112157
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.600896367712209
"Q8N8G2_IDR_20_76",0.399103632287791
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.385244479183081
"Q8N8R5_IDR_204_247",0.614755520816919
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.47259250224913
"Q8N8U3_IDR_397_427",0.52740749775087
"Q8N8V4_IDR_157_233",0.549956418444263
"Q8N8V4_IDR_237_343",0.450043581555737
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.455220497852472
"Q8N8Z6_IDR_416_715",0.544779502147528
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.321318501360673
"Q8N9B5_IDR_940_988",0.351263748999657
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.519208527828766
"Q8N9I0_IDR_88_138",0.480791472171234
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.486018595249098
"Q8N9K5_IDR_1_36",0.513981404750902
"Q8N9L1_IDR_1_63",0.666513234751374
"Q8N9L1_IDR_277_334",0.333486765248626
"Q8N9M1_IDR_107_422",0.393521309653323
"Q8N9M1_IDR_1_49",0.606478690346677
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.331381174956366
"Q8N9N5_IDR_1_47",0.31507457145275
"Q8N9N5_IDR_321_374",0.353544253590883
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.508290326345644
"Q8N9R8_IDR_377_411",0.491709673654356
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.589352538958927
"Q8N9Z0_IDR_77_172",1
