"","GO0005694_chromosome"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.536233414444189
"Q8N196_IDR_235_739",0.463766585555811
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.460109856015283
"Q8N1C3_IDR_361_403",0.539890143984717
"Q8N1F8_IDR_334_534",0.587229565097594
"Q8N1F8_IDR_723_773",0.412770434902406
"Q8N1G0_IDR_1158_1198",0.208982761587654
"Q8N1G0_IDR_1_85",0.190835554471262
"Q8N1G0_IDR_608_672",0.167253170777116
"Q8N1G0_IDR_861_1155",0.248064082553605
"Q8N1G0_IDR_87_504",0.184864430610363
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.473035447976924
"Q8N228_IDR_1_90",0.530895287417923
"Q8N228_IDR_210_341",0.469104712582077
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.465174228375465
"Q8N2C3_IDR_165_214",0.534825771624535
"Q8N2C7_IDR_1300_1451",0.104668427116403
"Q8N2C7_IDR_1507_1554",0.124342772707787
"Q8N2C7_IDR_1770_1837",0.0915809093214277
"Q8N2C7_IDR_241_322",0.088880952809254
"Q8N2C7_IDR_2428_2474",0.0904430622015352
"Q8N2C7_IDR_2755_2786",0.0948275089808868
"Q8N2C7_IDR_2912_3214",0.100454491168022
"Q8N2C7_IDR_363_584",0.100023018796057
"Q8N2C7_IDR_693_781",0.100284261230753
"Q8N2C7_IDR_963_1171",0.104494595667872
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.484313370151774
"Q8N302_IDR_522_621",0.268272847045198
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.411320830767395
"Q8N309_IDR_506_549",0.588679169232605
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.326295831110551
"Q8N344_IDR_348_473",0.33004276255379
"Q8N344_IDR_97_194",0.343661406335659
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.343495167299167
"Q8N365_IDR_198_243",0.345821065263812
"Q8N365_IDR_300_385",0.310683767437021
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.421544835965274
"Q8N392_IDR_19_78",0.267664246206898
"Q8N392_IDR_538_572",0.310790917827828
"Q8N393_IDR_63_241",0.490591077598369
"Q8N3C7_IDR_352_480",0.330698656013314
"Q8N3C7_IDR_556_618",0.323109023724596
"Q8N3D4_IDR_1081_1132",0.233127440368058
"Q8N3D4_IDR_1138_1370",0.269363160409575
"Q8N3D4_IDR_120_150",0.225893908004976
"Q8N3D4_IDR_161_1074",0.271615491217391
"Q8N3E9_IDR_1_55",0.453353700664522
"Q8N3E9_IDR_486_519",0.546646299335478
"Q8N3F8_IDR_111_159",0.282130912103052
"Q8N3F8_IDR_219_677",0.358805291018843
"Q8N3F8_IDR_821_863",0.359063796878105
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.58747275183984
"Q8N3J2_IDR_47_77",0.412527248160159
"Q8N3J3_IDR_1_444",0.472618325939238
"Q8N3J3_IDR_577_647",0.527381674060762
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.512690756002185
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.483786608065349
"Q8N3Z6_IDR_384_543",0.516213391934651
"Q8N412_IDR_1_162",0.464163348079171
"Q8N412_IDR_268_303",0.535836651920829
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.498850879624382
"Q8N441_IDR_403_446",0.501149120375618
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.517468945176101
"Q8N448_IDR_425_459",0.482531054823899
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.505467423793769
"Q8N4L4_IDR_63_309",0.494532576206231
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.467809157912772
"Q8N4N8_IDR_84_180",0.532190842087228
"Q8N4P6_IDR_1_53",0.482925693320708
"Q8N4P6_IDR_333_439",0.517074306679292
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.461630431806301
"Q8N4S9_IDR_368_436",0.538369568193699
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.337435935111845
"Q8N573_IDR_148_203",0.299538863664553
"Q8N573_IDR_1_67",0.33112586834828
"Q8N573_IDR_281_586",0.369335267987168
"Q8N587_IDR_1_45",0.507849811683644
"Q8N587_IDR_52_190",0.492150188316356
"Q8N594_IDR_169_234",0.542379496589934
"Q8N594_IDR_1_72",0.457620503410066
"Q8N5A5_IDR_270_367",0.28832035576143
"Q8N5A5_IDR_369_466",0.386714708346572
"Q8N5A5_IDR_64_126",0.324964935891998
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.616018451342909
"Q8N5C6_IDR_789_819",0.383981548657091
"Q8N5C7_IDR_1_33",0.427325990160461
"Q8N5C7_IDR_165_195",0.572674009839539
"Q8N5C8_IDR_48_533",0.440086522097374
"Q8N5C8_IDR_618_684",0.559913477902626
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.497172193998293
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.329659352817541
"Q8N5U6_IDR_406_501",0.31515719501132
"Q8N5U6_IDR_603_799",0.355183452171138
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.422029569454499
"Q8N5Y2_IDR_93_168",0.577970430545501
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.520474126953122
"Q8N612_IDR_835_915",0.479525873046878
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.516434850144962
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.473824407313974
"Q8N6P7_IDR_409_480",0.526175592686026
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.328646200359874
"Q8N6U8_IDR_350_455",0.322410114296667
"Q8N6U8_IDR_496_529",0.348943685343459
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.505174071503424
"Q8N7G0_IDR_264_328",0.343621008225023
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.496312774612798
"Q8N7P1_IDR_505_536",0.503687225387202
"Q8N7R1_IDR_1_139",0.471577445902834
"Q8N7R1_IDR_144_296",0.528422554097166
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.136827893810861
"Q8N7X0_IDR_1_41",0.12832862356292
"Q8N7X0_IDR_305_407",0.165830713203615
"Q8N7X0_IDR_524_627",0.124680470420192
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.478162720251285
"Q8N878_IDR_333_499",0.521837279748715
"Q8N883_IDR_552_585",0.49793958959523
"Q8N883_IDR_61_245",0.50206041040477
"Q8N895_IDR_1_308",0.317733023470614
"Q8N895_IDR_372_422",0.335482588633742
"Q8N895_IDR_480_718",0.346784387895645
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.494827624110257
"Q8N8E2_IDR_479_541",0.505172375889744
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.456170768908164
"Q8N8G2_IDR_20_76",0.543829231091836
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.481654853707973
"Q8N8R5_IDR_204_247",0.518345146292028
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.509895620626143
"Q8N8U3_IDR_397_427",0.490104379373857
"Q8N8V4_IDR_157_233",0.466924425601691
"Q8N8V4_IDR_237_343",0.533075574398309
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.498997251304685
"Q8N8Z6_IDR_416_715",0.501002748695315
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.374636601609889
"Q8N9B5_IDR_940_988",0.304593967383935
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.388482533124845
"Q8N9I0_IDR_88_138",0.611517466875155
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.490528759644998
"Q8N9K5_IDR_1_36",0.509471240355002
"Q8N9L1_IDR_1_63",0.475067396683146
"Q8N9L1_IDR_277_334",0.524932603316854
"Q8N9M1_IDR_107_422",0.623859562761806
"Q8N9M1_IDR_1_49",0.376140437238194
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.309277044136904
"Q8N9N5_IDR_1_47",0.395045676546562
"Q8N9N5_IDR_321_374",0.295677279316534
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.500657099952789
"Q8N9R8_IDR_377_411",0.499342900047211
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.540740182004715
"Q8N9Z0_IDR_77_172",1
