"","GO0008509_anion_transmembrane_transporter_activity"
"Q8N137_IDR_442_797",0.335922912801097
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.512796670582261
"Q8N196_IDR_235_739",0.487203329417739
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.539907441029744
"Q8N1C3_IDR_361_403",0.460092558970256
"Q8N1F8_IDR_334_534",0.488086237928313
"Q8N1F8_IDR_723_773",0.511913762071687
"Q8N1G0_IDR_1158_1198",0.192153363372751
"Q8N1G0_IDR_1_85",0.248141460810153
"Q8N1G0_IDR_608_672",0.207135738773003
"Q8N1G0_IDR_861_1155",0.180517303340727
"Q8N1G0_IDR_87_504",0.172052133703367
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.491072222250867
"Q8N228_IDR_1_90",0.517632124626475
"Q8N228_IDR_210_341",0.482367875373525
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.437682084107098
"Q8N2C3_IDR_165_214",0.562317915892902
"Q8N2C7_IDR_1300_1451",0.103426350291074
"Q8N2C7_IDR_1507_1554",0.101150041536042
"Q8N2C7_IDR_1770_1837",0.103671254744968
"Q8N2C7_IDR_241_322",0.0999809701022997
"Q8N2C7_IDR_2428_2474",0.114743392262349
"Q8N2C7_IDR_2755_2786",0.0985063198713893
"Q8N2C7_IDR_2912_3214",0.0922632107625202
"Q8N2C7_IDR_363_584",0.0976392066407074
"Q8N2C7_IDR_693_781",0.0948658897744861
"Q8N2C7_IDR_963_1171",0.0937533640141649
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.307754397805997
"Q8N302_IDR_522_621",0.346093849863912
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.529594130460815
"Q8N309_IDR_506_549",0.470405869539185
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.341651205688684
"Q8N344_IDR_348_473",0.314119533089339
"Q8N344_IDR_97_194",0.344229261221976
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.333813138121893
"Q8N365_IDR_198_243",0.335566687526572
"Q8N365_IDR_300_385",0.330620174351535
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.388641734721501
"Q8N392_IDR_19_78",0.322984811579815
"Q8N392_IDR_538_572",0.288373453698684
"Q8N393_IDR_63_241",0.511419267801411
"Q8N3C7_IDR_352_480",0.310857692676945
"Q8N3C7_IDR_556_618",0.313797613966896
"Q8N3D4_IDR_1081_1132",0.265958385797439
"Q8N3D4_IDR_1138_1370",0.2621704897051
"Q8N3D4_IDR_120_150",0.25278229670483
"Q8N3D4_IDR_161_1074",0.219088827792631
"Q8N3E9_IDR_1_55",0.479757102789919
"Q8N3E9_IDR_486_519",0.520242897210081
"Q8N3F8_IDR_111_159",0.351804153453472
"Q8N3F8_IDR_219_677",0.31036869531479
"Q8N3F8_IDR_821_863",0.337827151231737
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.487536787644345
"Q8N3J2_IDR_47_77",0.512463212355655
"Q8N3J3_IDR_1_444",0.397653757436736
"Q8N3J3_IDR_577_647",0.602346242563265
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.547144086497061
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.586761624647638
"Q8N3Z6_IDR_384_543",0.413238375352362
"Q8N412_IDR_1_162",0.480834311585862
"Q8N412_IDR_268_303",0.519165688414138
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.511746033758969
"Q8N441_IDR_403_446",0.488253966241031
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.540142758423645
"Q8N448_IDR_425_459",0.459857241576355
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.529200073453977
"Q8N4L4_IDR_63_309",0.470799926546023
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.536323558451026
"Q8N4N8_IDR_84_180",0.463676441548974
"Q8N4P6_IDR_1_53",0.506972095813156
"Q8N4P6_IDR_333_439",0.493027904186844
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.513480100506124
"Q8N4S9_IDR_368_436",0.486519899493875
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.337215297791247
"Q8N573_IDR_148_203",0.317795782288647
"Q8N573_IDR_1_67",0.337107425024669
"Q8N573_IDR_281_586",0.345096792686683
"Q8N587_IDR_1_45",0.485959499335164
"Q8N587_IDR_52_190",0.514040500664836
"Q8N594_IDR_169_234",0.542176891550566
"Q8N594_IDR_1_72",0.457823108449434
"Q8N5A5_IDR_270_367",0.354841957085092
"Q8N5A5_IDR_369_466",0.311159891649729
"Q8N5A5_IDR_64_126",0.333998151265179
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.501864302176366
"Q8N5C6_IDR_789_819",0.498135697823634
"Q8N5C7_IDR_1_33",0.528804066392367
"Q8N5C7_IDR_165_195",0.471195933607633
"Q8N5C8_IDR_48_533",0.483921673670693
"Q8N5C8_IDR_618_684",0.516078326329307
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.504629690080588
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.31859191840539
"Q8N5U6_IDR_406_501",0.349776964459379
"Q8N5U6_IDR_603_799",0.331631117135232
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.484656194664683
"Q8N5Y2_IDR_93_168",0.515343805335317
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.505492840307394
"Q8N612_IDR_835_915",0.494507159692606
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.537955871257835
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.469327176107784
"Q8N6P7_IDR_409_480",0.530672823892216
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.330510593188309
"Q8N6U8_IDR_350_455",0.338245236577641
"Q8N6U8_IDR_496_529",0.33124417023405
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.490828039175876
"Q8N7G0_IDR_264_328",0.325241994338478
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.506394664606537
"Q8N7P1_IDR_505_536",0.493605335393463
"Q8N7R1_IDR_1_139",0.472008623615947
"Q8N7R1_IDR_144_296",0.527991376384053
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.141341103866173
"Q8N7X0_IDR_1_41",0.136579441836266
"Q8N7X0_IDR_305_407",0.1348595466915
"Q8N7X0_IDR_524_627",0.17769909994177
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.503049021309144
"Q8N878_IDR_333_499",0.496950978690856
"Q8N883_IDR_552_585",0.483068311804847
"Q8N883_IDR_61_245",0.516931688195153
"Q8N895_IDR_1_308",0.319304669755039
"Q8N895_IDR_372_422",0.33972351623848
"Q8N895_IDR_480_718",0.340971814006481
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.508970043608249
"Q8N8E2_IDR_479_541",0.491029956391751
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.483583162271152
"Q8N8G2_IDR_20_76",0.516416837728848
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.455228067836403
"Q8N8R5_IDR_204_247",0.544771932163597
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.478405893350996
"Q8N8U3_IDR_397_427",0.521594106649004
"Q8N8V4_IDR_157_233",0.469275495121018
"Q8N8V4_IDR_237_343",0.530724504878982
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.442749856119478
"Q8N8Z6_IDR_416_715",0.557250143880522
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.319419470454431
"Q8N9B5_IDR_940_988",0.368720589898849
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.519785058546173
"Q8N9I0_IDR_88_138",0.480214941453827
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.518953673592386
"Q8N9K5_IDR_1_36",0.481046326407614
"Q8N9L1_IDR_1_63",0.498108267905533
"Q8N9L1_IDR_277_334",0.501891732094467
"Q8N9M1_IDR_107_422",0.492644392137848
"Q8N9M1_IDR_1_49",0.507355607862152
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.348199350114538
"Q8N9N5_IDR_1_47",0.359675624673469
"Q8N9N5_IDR_321_374",0.292125025211993
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.494443809196886
"Q8N9R8_IDR_377_411",0.505556190803114
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.478662657057072
"Q8N9Z0_IDR_77_172",1
