"","GO0003723_RNA_binding"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.623109734340678
"Q8N196_IDR_235_739",0.376890265659322
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.460407051755885
"Q8N1C3_IDR_361_403",0.539592948244115
"Q8N1F8_IDR_334_534",0.463488473802094
"Q8N1F8_IDR_723_773",0.536511526197906
"Q8N1G0_IDR_1158_1198",0.217974373378966
"Q8N1G0_IDR_1_85",0.159526000208559
"Q8N1G0_IDR_608_672",0.139944469231709
"Q8N1G0_IDR_861_1155",0.341557385523966
"Q8N1G0_IDR_87_504",0.1409977716568
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.462945471376334
"Q8N228_IDR_1_90",0.467683638634634
"Q8N228_IDR_210_341",0.532316361365366
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.574703659745719
"Q8N2C3_IDR_165_214",0.425296340254281
"Q8N2C7_IDR_1300_1451",0.0827077909292558
"Q8N2C7_IDR_1507_1554",0.100621449050584
"Q8N2C7_IDR_1770_1837",0.0912343764170528
"Q8N2C7_IDR_241_322",0.101865459021033
"Q8N2C7_IDR_2428_2474",0.0874611295927832
"Q8N2C7_IDR_2755_2786",0.0906303409184508
"Q8N2C7_IDR_2912_3214",0.0796570835657763
"Q8N2C7_IDR_363_584",0.126566512888461
"Q8N2C7_IDR_693_781",0.153965258146053
"Q8N2C7_IDR_963_1171",0.0852905994705499
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.426007671906568
"Q8N302_IDR_522_621",0.27638348658929
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.350416530855681
"Q8N309_IDR_506_549",0.649583469144319
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.31321892879735
"Q8N344_IDR_348_473",0.340843257467732
"Q8N344_IDR_97_194",0.345937813734918
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.360820916879041
"Q8N365_IDR_198_243",0.332495904012753
"Q8N365_IDR_300_385",0.306683179108206
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.305427451611599
"Q8N392_IDR_19_78",0.321559154236752
"Q8N392_IDR_538_572",0.373013394151649
"Q8N393_IDR_63_241",0.4925120026327
"Q8N3C7_IDR_352_480",0.352686318395775
"Q8N3C7_IDR_556_618",0.350176756965558
"Q8N3D4_IDR_1081_1132",0.241553968650924
"Q8N3D4_IDR_1138_1370",0.235418413035111
"Q8N3D4_IDR_120_150",0.230277577930726
"Q8N3D4_IDR_161_1074",0.292750040383238
"Q8N3E9_IDR_1_55",0.4474792131246
"Q8N3E9_IDR_486_519",0.5525207868754
"Q8N3F8_IDR_111_159",0.295893416566269
"Q8N3F8_IDR_219_677",0.36237332203637
"Q8N3F8_IDR_821_863",0.341733261397361
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.538861291770395
"Q8N3J2_IDR_47_77",0.461138708229605
"Q8N3J3_IDR_1_444",0.489416156809191
"Q8N3J3_IDR_577_647",0.510583843190809
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.449710637685937
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.341453999429558
"Q8N3Z6_IDR_384_543",0.658546000570442
"Q8N412_IDR_1_162",0.501095005025806
"Q8N412_IDR_268_303",0.498904994974194
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.428128183467879
"Q8N441_IDR_403_446",0.571871816532121
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.50611190774345
"Q8N448_IDR_425_459",0.49388809225655
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.399517497199915
"Q8N4L4_IDR_63_309",0.600482502800085
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.489007391755235
"Q8N4N8_IDR_84_180",0.510992608244765
"Q8N4P6_IDR_1_53",0.475606733182884
"Q8N4P6_IDR_333_439",0.524393266817116
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.525703628922697
"Q8N4S9_IDR_368_436",0.474296371077303
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.237358476842285
"Q8N573_IDR_148_203",0.308000735684131
"Q8N573_IDR_1_67",0.347012737437675
"Q8N573_IDR_281_586",0.344986526878194
"Q8N587_IDR_1_45",0.509304888184552
"Q8N587_IDR_52_190",0.490695111815448
"Q8N594_IDR_169_234",0.47331396688014
"Q8N594_IDR_1_72",0.52668603311986
"Q8N5A5_IDR_270_367",0.281523688676593
"Q8N5A5_IDR_369_466",0.443479073721118
"Q8N5A5_IDR_64_126",0.274997237602289
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.553968639530124
"Q8N5C6_IDR_789_819",0.446031360469876
"Q8N5C7_IDR_1_33",0.445907790581863
"Q8N5C7_IDR_165_195",0.554092209418137
"Q8N5C8_IDR_48_533",0.483588933528418
"Q8N5C8_IDR_618_684",0.516411066471582
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.470921276165666
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.612617269420935
"Q8N5U6_IDR_406_501",0.185310776901635
"Q8N5U6_IDR_603_799",0.20207195367743
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.459056379757401
"Q8N5Y2_IDR_93_168",0.540943620242599
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.527084560888096
"Q8N612_IDR_835_915",0.472915439111904
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.495295570307091
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.504655355618686
"Q8N6P7_IDR_409_480",0.495344644381314
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.339504118648286
"Q8N6U8_IDR_350_455",0.283898465478207
"Q8N6U8_IDR_496_529",0.376597415873507
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.549865608165138
"Q8N7G0_IDR_264_328",0.314262922658572
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.443643091152245
"Q8N7P1_IDR_505_536",0.556356908847755
"Q8N7R1_IDR_1_139",0.480707324776247
"Q8N7R1_IDR_144_296",0.519292675223753
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.127162823666396
"Q8N7X0_IDR_1_41",0.133290747499178
"Q8N7X0_IDR_305_407",0.192699854499975
"Q8N7X0_IDR_524_627",0.110553211075275
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.508709527104715
"Q8N878_IDR_333_499",0.491290472895285
"Q8N883_IDR_552_585",0.52028035474782
"Q8N883_IDR_61_245",0.47971964525218
"Q8N895_IDR_1_308",0.296865877235482
"Q8N895_IDR_372_422",0.34491540956097
"Q8N895_IDR_480_718",0.358218713203549
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.395398147460146
"Q8N8E2_IDR_479_541",0.604601852539854
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.438900856305203
"Q8N8G2_IDR_20_76",0.561099143694797
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.440690171147671
"Q8N8R5_IDR_204_247",0.559309828852329
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.462934319562444
"Q8N8U3_IDR_397_427",0.537065680437556
"Q8N8V4_IDR_157_233",0.499649591675058
"Q8N8V4_IDR_237_343",0.500350408324942
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.494001768100453
"Q8N8Z6_IDR_416_715",0.505998231899547
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.257006946794573
"Q8N9B5_IDR_940_988",0.312146369181259
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.367139955810337
"Q8N9I0_IDR_88_138",0.632860044189663
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.504880269351524
"Q8N9K5_IDR_1_36",0.495119730648476
"Q8N9L1_IDR_1_63",0.465414697381645
"Q8N9L1_IDR_277_334",0.534585302618355
"Q8N9M1_IDR_107_422",0.537427262785191
"Q8N9M1_IDR_1_49",0.462572737214809
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.303997208684406
"Q8N9N5_IDR_1_47",0.366528484000836
"Q8N9N5_IDR_321_374",0.329474307314758
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.471187642291766
"Q8N9R8_IDR_377_411",0.528812357708234
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.524619546294093
"Q8N9Z0_IDR_77_172",1
