"","GO0030659_cytoplasmic_vesicle_membrane"
"Q8N137_IDR_442_797",0.343075118152298
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.356820271575684
"Q8N196_IDR_235_739",0.643179728424316
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.52936363016258
"Q8N1C3_IDR_361_403",0.47063636983742
"Q8N1F8_IDR_334_534",0.505572863949983
"Q8N1F8_IDR_723_773",0.494427136050017
"Q8N1G0_IDR_1158_1198",0.18319233963856
"Q8N1G0_IDR_1_85",0.202447319091714
"Q8N1G0_IDR_608_672",0.221822242234578
"Q8N1G0_IDR_861_1155",0.155810747088277
"Q8N1G0_IDR_87_504",0.236727351946872
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.506580930901039
"Q8N228_IDR_1_90",0.508658832538335
"Q8N228_IDR_210_341",0.491341167461665
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.493179529749781
"Q8N2C3_IDR_165_214",0.506820470250219
"Q8N2C7_IDR_1300_1451",0.0942132292949998
"Q8N2C7_IDR_1507_1554",0.0933641417250008
"Q8N2C7_IDR_1770_1837",0.102983414052398
"Q8N2C7_IDR_241_322",0.10871560516178
"Q8N2C7_IDR_2428_2474",0.103524210692506
"Q8N2C7_IDR_2755_2786",0.0998590980799916
"Q8N2C7_IDR_2912_3214",0.0984456532013828
"Q8N2C7_IDR_363_584",0.0948522755393922
"Q8N2C7_IDR_693_781",0.108369352675452
"Q8N2C7_IDR_963_1171",0.0956730195770969
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.317992786324699
"Q8N302_IDR_522_621",0.298232388916002
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.549677800904678
"Q8N309_IDR_506_549",0.450322199095322
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.326930759147877
"Q8N344_IDR_348_473",0.332471226537092
"Q8N344_IDR_97_194",0.340598014315032
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.351903047413235
"Q8N365_IDR_198_243",0.307697445269895
"Q8N365_IDR_300_385",0.34039950731687
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.355306345511614
"Q8N392_IDR_19_78",0.333652231069608
"Q8N392_IDR_538_572",0.311041423418778
"Q8N393_IDR_63_241",0.507062188477861
"Q8N3C7_IDR_352_480",0.318614174809445
"Q8N3C7_IDR_556_618",0.324013340303587
"Q8N3D4_IDR_1081_1132",0.227003011913415
"Q8N3D4_IDR_1138_1370",0.25010831420664
"Q8N3D4_IDR_120_150",0.215479375645791
"Q8N3D4_IDR_161_1074",0.307409298234154
"Q8N3E9_IDR_1_55",0.476508087327299
"Q8N3E9_IDR_486_519",0.523491912672701
"Q8N3F8_IDR_111_159",0.325726653333344
"Q8N3F8_IDR_219_677",0.384520160518491
"Q8N3F8_IDR_821_863",0.289753186148165
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.448200233044578
"Q8N3J2_IDR_47_77",0.551799766955422
"Q8N3J3_IDR_1_444",0.480043998290611
"Q8N3J3_IDR_577_647",0.519956001709389
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.464965486238784
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.57266689599216
"Q8N3Z6_IDR_384_543",0.42733310400784
"Q8N412_IDR_1_162",0.505354483151584
"Q8N412_IDR_268_303",0.494645516848416
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.506014202947481
"Q8N441_IDR_403_446",0.493985797052519
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.537093985098608
"Q8N448_IDR_425_459",0.462906014901392
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.541473798107912
"Q8N4L4_IDR_63_309",0.458526201892088
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.517794381732908
"Q8N4N8_IDR_84_180",0.482205618267092
"Q8N4P6_IDR_1_53",0.50700713444674
"Q8N4P6_IDR_333_439",0.49299286555326
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.550431812995951
"Q8N4S9_IDR_368_436",0.449568187004049
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.360596346426729
"Q8N573_IDR_148_203",0.346246396945556
"Q8N573_IDR_1_67",0.330441708233554
"Q8N573_IDR_281_586",0.32331189482089
"Q8N587_IDR_1_45",0.523184729273476
"Q8N587_IDR_52_190",0.476815270726524
"Q8N594_IDR_169_234",0.495678421075893
"Q8N594_IDR_1_72",0.504321578924107
"Q8N5A5_IDR_270_367",0.333036012214859
"Q8N5A5_IDR_369_466",0.277614592583202
"Q8N5A5_IDR_64_126",0.389349395201939
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.488486584554735
"Q8N5C6_IDR_789_819",0.511513415445265
"Q8N5C7_IDR_1_33",0.517051864000371
"Q8N5C7_IDR_165_195",0.482948135999629
"Q8N5C8_IDR_48_533",0.548845328702612
"Q8N5C8_IDR_618_684",0.451154671297388
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.524635323677896
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.286829086273799
"Q8N5U6_IDR_406_501",0.401051338384567
"Q8N5U6_IDR_603_799",0.312119575341634
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.493965063594736
"Q8N5Y2_IDR_93_168",0.506034936405264
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.564180584655809
"Q8N612_IDR_835_915",0.435819415344191
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.533622368898435
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.509517537797915
"Q8N6P7_IDR_409_480",0.490482462202086
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.324415554871397
"Q8N6U8_IDR_350_455",0.356357594108928
"Q8N6U8_IDR_496_529",0.319226851019674
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.470261665948207
"Q8N7G0_IDR_264_328",0.327577439269216
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.543005203605869
"Q8N7P1_IDR_505_536",0.456994796394131
"Q8N7R1_IDR_1_139",0.490737310160016
"Q8N7R1_IDR_144_296",0.509262689839984
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.139990018347345
"Q8N7X0_IDR_1_41",0.137365069937685
"Q8N7X0_IDR_305_407",0.130101142307723
"Q8N7X0_IDR_524_627",0.179785656366129
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.497287971944624
"Q8N878_IDR_333_499",0.502712028055376
"Q8N883_IDR_552_585",0.512643655149302
"Q8N883_IDR_61_245",0.487356344850698
"Q8N895_IDR_1_308",0.341389460267661
"Q8N895_IDR_372_422",0.334943611205313
"Q8N895_IDR_480_718",0.323666928527025
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.486922519419519
"Q8N8E2_IDR_479_541",0.513077480580481
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.517917299228756
"Q8N8G2_IDR_20_76",0.482082700771244
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.502156561701686
"Q8N8R5_IDR_204_247",0.497843438298315
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.53725904034582
"Q8N8U3_IDR_397_427",0.46274095965418
"Q8N8V4_IDR_157_233",0.446773531445063
"Q8N8V4_IDR_237_343",0.553226468554937
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.503447656572248
"Q8N8Z6_IDR_416_715",0.496552343427752
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.324082664566447
"Q8N9B5_IDR_940_988",0.351851382497475
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.53600267776226
"Q8N9I0_IDR_88_138",0.46399732223774
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.492757576615657
"Q8N9K5_IDR_1_36",0.507242423384343
"Q8N9L1_IDR_1_63",0.501288016462721
"Q8N9L1_IDR_277_334",0.498711983537279
"Q8N9M1_IDR_107_422",0.478211095824485
"Q8N9M1_IDR_1_49",0.521788904175515
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.343312764897865
"Q8N9N5_IDR_1_47",0.326057337353563
"Q8N9N5_IDR_321_374",0.330629897748572
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.506650530249275
"Q8N9R8_IDR_377_411",0.493349469750725
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.502138551040374
