"","GO0051650_establishment_of_vesicle_localization"
"Q8N137_IDR_442_797",0.380181039981432
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.483586983266241
"Q8N196_IDR_235_739",0.516413016733759
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.487579988158646
"Q8N1C3_IDR_361_403",0.512420011841354
"Q8N1F8_IDR_334_534",0.552434826213536
"Q8N1F8_IDR_723_773",0.447565173786464
"Q8N1G0_IDR_1158_1198",0.206415472119573
"Q8N1G0_IDR_1_85",0.2113636931349
"Q8N1G0_IDR_608_672",0.19598788228553
"Q8N1G0_IDR_861_1155",0.184712973529299
"Q8N1G0_IDR_87_504",0.201519978930698
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.491268297499239
"Q8N228_IDR_1_90",0.519253800309617
"Q8N228_IDR_210_341",0.480746199690383
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.444914233086061
"Q8N2C3_IDR_165_214",0.555085766913939
"Q8N2C7_IDR_1300_1451",0.0986674660603539
"Q8N2C7_IDR_1507_1554",0.100385731934111
"Q8N2C7_IDR_1770_1837",0.10156272798103
"Q8N2C7_IDR_241_322",0.0900277956622841
"Q8N2C7_IDR_2428_2474",0.0984017103720905
"Q8N2C7_IDR_2755_2786",0.100927120864794
"Q8N2C7_IDR_2912_3214",0.105801990216702
"Q8N2C7_IDR_363_584",0.101035048083841
"Q8N2C7_IDR_693_781",0.094726573647131
"Q8N2C7_IDR_963_1171",0.108463835177663
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.355131527712418
"Q8N302_IDR_522_621",0.328778779044069
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.498087194381729
"Q8N309_IDR_506_549",0.501912805618271
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.353538848805838
"Q8N344_IDR_348_473",0.310345631237119
"Q8N344_IDR_97_194",0.336115519957043
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.335538832587609
"Q8N365_IDR_198_243",0.348456076268529
"Q8N365_IDR_300_385",0.316005091143862
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.368695561400957
"Q8N392_IDR_19_78",0.288368461072975
"Q8N392_IDR_538_572",0.342935977526068
"Q8N393_IDR_63_241",0.510283720476166
"Q8N3C7_IDR_352_480",0.345406244841915
"Q8N3C7_IDR_556_618",0.317570448261195
"Q8N3D4_IDR_1081_1132",0.246358325278797
"Q8N3D4_IDR_1138_1370",0.238478034844076
"Q8N3D4_IDR_120_150",0.244060476992727
"Q8N3D4_IDR_161_1074",0.2711031628844
"Q8N3E9_IDR_1_55",0.46565800579231
"Q8N3E9_IDR_486_519",0.53434199420769
"Q8N3F8_IDR_111_159",0.327587463393051
"Q8N3F8_IDR_219_677",0.31317713990619
"Q8N3F8_IDR_821_863",0.359235396700758
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.516015183878328
"Q8N3J2_IDR_47_77",0.483984816121672
"Q8N3J3_IDR_1_444",0.469991086965116
"Q8N3J3_IDR_577_647",0.530008913034884
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.48595078684652
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.509257592923527
"Q8N3Z6_IDR_384_543",0.490742407076473
"Q8N412_IDR_1_162",0.491950666396763
"Q8N412_IDR_268_303",0.508049333603237
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.513847063670755
"Q8N441_IDR_403_446",0.486152936329245
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.488952488868677
"Q8N448_IDR_425_459",0.511047511131323
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.516988773330486
"Q8N4L4_IDR_63_309",0.483011226669514
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.499777729586182
"Q8N4N8_IDR_84_180",0.500222270413818
"Q8N4P6_IDR_1_53",0.479406234542878
"Q8N4P6_IDR_333_439",0.520593765457122
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.471081056774758
"Q8N4S9_IDR_368_436",0.528918943225242
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.330942166605974
"Q8N573_IDR_148_203",0.30179361388155
"Q8N573_IDR_1_67",0.294221528578956
"Q8N573_IDR_281_586",0.403984857539494
"Q8N587_IDR_1_45",0.505781738297967
"Q8N587_IDR_52_190",0.494218261702033
"Q8N594_IDR_169_234",0.533717428768011
"Q8N594_IDR_1_72",0.466282571231989
"Q8N5A5_IDR_270_367",0.329336947442086
"Q8N5A5_IDR_369_466",0.319155548070611
"Q8N5A5_IDR_64_126",0.351507504487303
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.515302341747171
"Q8N5C6_IDR_789_819",0.484697658252829
"Q8N5C7_IDR_1_33",0.491033161474378
"Q8N5C7_IDR_165_195",0.508966838525622
"Q8N5C8_IDR_48_533",0.490853956007504
"Q8N5C8_IDR_618_684",0.509146043992496
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.511023245122198
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.31288787213387
"Q8N5U6_IDR_406_501",0.340776718806546
"Q8N5U6_IDR_603_799",0.346335409059584
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.444985138392439
"Q8N5Y2_IDR_93_168",0.555014861607561
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.487829612766008
"Q8N612_IDR_835_915",0.512170387233992
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.503160322346729
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.482636393329215
"Q8N6P7_IDR_409_480",0.517363606670785
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.315939167149546
"Q8N6U8_IDR_350_455",0.341739883181099
"Q8N6U8_IDR_496_529",0.342320949669355
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.501975165543494
"Q8N7G0_IDR_264_328",0.332110864516748
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.489794454848336
"Q8N7P1_IDR_505_536",0.510205545151664
"Q8N7R1_IDR_1_139",0.497203079208317
"Q8N7R1_IDR_144_296",0.502796920791683
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.136819433984844
"Q8N7X0_IDR_1_41",0.131007388934819
"Q8N7X0_IDR_305_407",0.157691682951064
"Q8N7X0_IDR_524_627",0.143506534716739
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.482625908587125
"Q8N878_IDR_333_499",0.517374091412875
"Q8N883_IDR_552_585",0.504054788618818
"Q8N883_IDR_61_245",0.495945211381182
"Q8N895_IDR_1_308",0.321227819409807
"Q8N895_IDR_372_422",0.335372221121206
"Q8N895_IDR_480_718",0.343399959468987
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.468754161798042
"Q8N8E2_IDR_479_541",0.531245838201958
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.497241498153917
"Q8N8G2_IDR_20_76",0.502758501846083
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.504066265308815
"Q8N8R5_IDR_204_247",0.495933734691185
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.541270339644765
"Q8N8U3_IDR_397_427",0.458729660355235
"Q8N8V4_IDR_157_233",0.459448088264424
"Q8N8V4_IDR_237_343",0.540551911735576
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.505734559880792
"Q8N8Z6_IDR_416_715",0.494265440119209
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.373587175499966
"Q8N9B5_IDR_940_988",0.325341556302539
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.482046011098534
"Q8N9I0_IDR_88_138",0.517953988901466
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.497801123039918
"Q8N9K5_IDR_1_36",0.502198876960082
"Q8N9L1_IDR_1_63",0.493822772273864
"Q8N9L1_IDR_277_334",0.506177227726136
"Q8N9M1_IDR_107_422",0.516728027480163
"Q8N9M1_IDR_1_49",0.483271972519837
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.335587512993877
"Q8N9N5_IDR_1_47",0.337592305607474
"Q8N9N5_IDR_321_374",0.326820181398649
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.502970992669054
"Q8N9R8_IDR_377_411",0.497029007330946
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.494899465593928
"Q8N9Z0_IDR_77_172",1
