"","GO0005739_mitochondrion"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.539323178754162
"Q8N196_IDR_235_739",0.460676821245838
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.491558143023049
"Q8N1C3_IDR_361_403",0.508441856976951
"Q8N1F8_IDR_334_534",0.480665352676436
"Q8N1F8_IDR_723_773",0.519334647323564
"Q8N1G0_IDR_1158_1198",0.179096496900116
"Q8N1G0_IDR_1_85",0.212592832201133
"Q8N1G0_IDR_608_672",0.228005474369197
"Q8N1G0_IDR_861_1155",0.163807309684798
"Q8N1G0_IDR_87_504",0.216497886844756
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.52031790729613
"Q8N228_IDR_1_90",0.481639619160465
"Q8N228_IDR_210_341",0.518360380839535
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.545006792240375
"Q8N2C3_IDR_165_214",0.454993207759625
"Q8N2C7_IDR_1300_1451",0.0877223221204964
"Q8N2C7_IDR_1507_1554",0.0978900555159556
"Q8N2C7_IDR_1770_1837",0.104539395390272
"Q8N2C7_IDR_241_322",0.0967734384800324
"Q8N2C7_IDR_2428_2474",0.110880469533237
"Q8N2C7_IDR_2755_2786",0.109787967165406
"Q8N2C7_IDR_2912_3214",0.0930600991848217
"Q8N2C7_IDR_363_584",0.107465727659365
"Q8N2C7_IDR_693_781",0.0899402579303084
"Q8N2C7_IDR_963_1171",0.101940267020105
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.277803670927989
"Q8N302_IDR_522_621",0.416746287742483
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.514715881742396
"Q8N309_IDR_506_549",0.485284118257604
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.347131683007022
"Q8N344_IDR_348_473",0.346469940624962
"Q8N344_IDR_97_194",0.306398376368017
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.318603779376125
"Q8N365_IDR_198_243",0.337658816619082
"Q8N365_IDR_300_385",0.343737404004793
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.32399151651765
"Q8N392_IDR_19_78",0.299805727305304
"Q8N392_IDR_538_572",0.376202756177046
"Q8N393_IDR_63_241",0.480292313065528
"Q8N3C7_IDR_352_480",0.289234519881909
"Q8N3C7_IDR_556_618",0.28777650499113
"Q8N3D4_IDR_1081_1132",0.202855993002349
"Q8N3D4_IDR_1138_1370",0.273580346539998
"Q8N3D4_IDR_120_150",0.240617751020392
"Q8N3D4_IDR_161_1074",0.282945909437262
"Q8N3E9_IDR_1_55",0.560737878935853
"Q8N3E9_IDR_486_519",0.439262121064147
"Q8N3F8_IDR_111_159",0.380581889716392
"Q8N3F8_IDR_219_677",0.341152078868919
"Q8N3F8_IDR_821_863",0.278266031414689
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.496300017933842
"Q8N3J2_IDR_47_77",0.503699982066158
"Q8N3J3_IDR_1_444",0.624408386293833
"Q8N3J3_IDR_577_647",0.375591613706167
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.462759583669981
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.486109891835123
"Q8N3Z6_IDR_384_543",0.513890108164877
"Q8N412_IDR_1_162",0.468396730921579
"Q8N412_IDR_268_303",0.531603269078421
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.480916567560704
"Q8N441_IDR_403_446",0.519083432439296
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.463084761016094
"Q8N448_IDR_425_459",0.536915238983906
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.443793989689241
"Q8N4L4_IDR_63_309",0.556206010310759
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.434994471398159
"Q8N4N8_IDR_84_180",0.565005528601841
"Q8N4P6_IDR_1_53",0.523512960989908
"Q8N4P6_IDR_333_439",0.476487039010092
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.455633508236518
"Q8N4S9_IDR_368_436",0.544366491763482
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.372156419503275
"Q8N573_IDR_148_203",0.337168897441582
"Q8N573_IDR_1_67",0.380950646304732
"Q8N573_IDR_281_586",0.281880456253686
"Q8N587_IDR_1_45",0.496086227506505
"Q8N587_IDR_52_190",0.503913772493495
"Q8N594_IDR_169_234",0.469579744371766
"Q8N594_IDR_1_72",0.530420255628234
"Q8N5A5_IDR_270_367",0.298657168888769
"Q8N5A5_IDR_369_466",0.359491120698214
"Q8N5A5_IDR_64_126",0.341851710413017
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.454404335087543
"Q8N5C6_IDR_789_819",0.545595664912457
"Q8N5C7_IDR_1_33",0.51194977883367
"Q8N5C7_IDR_165_195",0.48805022116633
"Q8N5C8_IDR_48_533",0.509649584982893
"Q8N5C8_IDR_618_684",0.490350415017107
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.471773952045995
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.339860379867455
"Q8N5U6_IDR_406_501",0.320628837897874
"Q8N5U6_IDR_603_799",0.33951078223467
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.525068204881501
"Q8N5Y2_IDR_93_168",0.474931795118499
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.436535471670503
"Q8N612_IDR_835_915",0.563464528329497
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.453766391208279
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.515603518116856
"Q8N6P7_IDR_409_480",0.484396481883144
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.337922767346522
"Q8N6U8_IDR_350_455",0.301723415926003
"Q8N6U8_IDR_496_529",0.360353816727475
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.470825984250722
"Q8N7G0_IDR_264_328",0.302447364272586
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.462776911086997
"Q8N7P1_IDR_505_536",0.537223088913003
"Q8N7R1_IDR_1_139",0.668086962556245
"Q8N7R1_IDR_144_296",0.331913037443755
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.131639916514794
"Q8N7X0_IDR_1_41",0.154577308835614
"Q8N7X0_IDR_305_407",0.129869159151132
"Q8N7X0_IDR_524_627",0.124847466063835
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.551050598875025
"Q8N878_IDR_333_499",0.448949401124975
"Q8N883_IDR_552_585",0.532537527659595
"Q8N883_IDR_61_245",0.467462472340405
"Q8N895_IDR_1_308",0.325069287344125
"Q8N895_IDR_372_422",0.387471391430518
"Q8N895_IDR_480_718",0.287459321225356
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.488350851959688
"Q8N8E2_IDR_479_541",0.511649148040312
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.535234579650659
"Q8N8G2_IDR_20_76",0.464765420349341
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.697150143434512
"Q8N8R5_IDR_204_247",0.302849856565488
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.510033538245715
"Q8N8U3_IDR_397_427",0.489966461754285
"Q8N8V4_IDR_157_233",0.510787360139266
"Q8N8V4_IDR_237_343",0.489212639860734
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.588081131811212
"Q8N8Z6_IDR_416_715",0.411918868188788
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.235314455985492
"Q8N9B5_IDR_940_988",0.210841031001272
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.591691551675254
"Q8N9I0_IDR_88_138",0.408308448324746
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.457347220147023
"Q8N9K5_IDR_1_36",0.542652779852977
"Q8N9L1_IDR_1_63",0.533427594102074
"Q8N9L1_IDR_277_334",0.466572405897926
"Q8N9M1_IDR_107_422",0.59966848853605
"Q8N9M1_IDR_1_49",0.400331511463949
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.322548736999348
"Q8N9N5_IDR_1_47",0.290902971517532
"Q8N9N5_IDR_321_374",0.38654829148312
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.509676588360197
"Q8N9R8_IDR_377_411",0.490323411639803
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.451195344997845
"Q8N9Z0_IDR_77_172",1
