"","GO0000280_nuclear_division"
"Q8N184_IDR_60_252",1
"Q8N187_IDR_586_634",1
"Q8N196_IDR_1_82",0.528044189332691
"Q8N196_IDR_235_739",0.471955810667309
"Q8N1A0_IDR_147_195",1
"Q8N1B4_IDR_1_54",1
"Q8N1C3_IDR_1_52",0.50159893539197
"Q8N1C3_IDR_361_403",0.49840106460803
"Q8N1F8_IDR_334_534",0.547586856258153
"Q8N1F8_IDR_723_773",0.452413143741847
"Q8N1G0_IDR_1158_1198",0.199057547703881
"Q8N1G0_IDR_1_85",0.202843663757892
"Q8N1G0_IDR_608_672",0.21034830011527
"Q8N1G0_IDR_861_1155",0.197961518656882
"Q8N1G0_IDR_87_504",0.189788969766075
"Q8N1G1_IDR_1_810",1
"Q8N1G2_IDR_1_86",1
"Q8N1G4_IDR_262_304",1
"Q8N205_IDR_207_368",0.478043708397795
"Q8N228_IDR_1_90",0.535312666639915
"Q8N228_IDR_210_341",0.464687333360085
"Q8N257_IDR_1_36",1
"Q8N264_IDR_332_648",1
"Q8N271_IDR_1_33",1
"Q8N292_IDR_36_92",1
"Q8N2C3_IDR_1_54",0.463533686259752
"Q8N2C3_IDR_165_214",0.536466313740248
"Q8N2C7_IDR_1300_1451",0.0966555123692294
"Q8N2C7_IDR_1507_1554",0.119110608780114
"Q8N2C7_IDR_1770_1837",0.0943662181077252
"Q8N2C7_IDR_241_322",0.0949632286067052
"Q8N2C7_IDR_2428_2474",0.0928777698403696
"Q8N2C7_IDR_2755_2786",0.0947722828863035
"Q8N2C7_IDR_2912_3214",0.111469787988785
"Q8N2C7_IDR_363_584",0.11218046306704
"Q8N2C7_IDR_693_781",0.0904982683163845
"Q8N2C7_IDR_963_1171",0.0931058600373437
"Q8N2E2_IDR_680_756",1
"Q8N302_IDR_260_403",0.434618813497857
"Q8N302_IDR_522_621",0.252812356475809
"Q8N307_IDR_19_658",1
"Q8N309_IDR_350_440",0.479207547834077
"Q8N309_IDR_506_549",0.520792452165923
"Q8N339_IDR_1_36",1
"Q8N344_IDR_1_90",0.331746674108487
"Q8N344_IDR_348_473",0.312960015824669
"Q8N344_IDR_97_194",0.355293310066845
"Q8N350_IDR_1_705",1
"Q8N365_IDR_1_112",0.322308859465793
"Q8N365_IDR_198_243",0.344205944720766
"Q8N365_IDR_300_385",0.333485195813441
"Q8N370_IDR_249_314",1
"Q8N386_IDR_198_238",1
"Q8N387_IDR_1_240",1
"Q8N392_IDR_116_260",0.403933095249546
"Q8N392_IDR_19_78",0.28471961253265
"Q8N392_IDR_538_572",0.311347292217804
"Q8N393_IDR_63_241",0.499609984671061
"Q8N3C7_IDR_352_480",0.353226174651097
"Q8N3C7_IDR_556_618",0.315595332886647
"Q8N3D4_IDR_1081_1132",0.253261301255656
"Q8N3D4_IDR_1138_1370",0.266120864247257
"Q8N3D4_IDR_120_150",0.261366769487421
"Q8N3D4_IDR_161_1074",0.219251065009666
"Q8N3E9_IDR_1_55",0.480564709887723
"Q8N3E9_IDR_486_519",0.519435290112277
"Q8N3F8_IDR_111_159",0.321617103695946
"Q8N3F8_IDR_219_677",0.354372778623763
"Q8N3F8_IDR_821_863",0.324010117680291
"Q8N3F9_IDR_1_39",1
"Q8N3H0_IDR_1_35",1
"Q8N3J2_IDR_102_145",0.539282144731767
"Q8N3J2_IDR_47_77",0.460717855268233
"Q8N3J3_IDR_1_444",0.496184056461337
"Q8N3J3_IDR_577_647",0.503815943538663
"Q8N3J5_IDR_1_56",1
"Q8N3J6_IDR_321_377",1
"Q8N3K9_IDR_1_3505",1
"Q8N3X6_IDR_58_521",0.687995347846709
"Q8N3Y1_IDR_19_95",1
"Q8N3Y3_IDR_1_91",1
"Q8N3Z0_IDR_194_241",1
"Q8N3Z6_IDR_1_192",0.553692776558514
"Q8N3Z6_IDR_384_543",0.446307223441486
"Q8N412_IDR_1_162",0.491005283629677
"Q8N412_IDR_268_303",0.508994716370323
"Q8N414_IDR_1_92",1
"Q8N427_IDR_238_270",1
"Q8N428_IDR_26_67",1
"Q8N436_IDR_23_134",1
"Q8N441_IDR_1_34",0.488762025340357
"Q8N441_IDR_403_446",0.511237974659643
"Q8N442_IDR_1_57",1
"Q8N448_IDR_138_221",0.507299859611513
"Q8N448_IDR_425_459",0.492700140388487
"Q8N461_IDR_1_93",1
"Q8N4E4_IDR_205_241",1
"Q8N4E7_IDR_1_69",1
"Q8N4F7_IDR_1_48",1
"Q8N4H0_IDR_131_392",1
"Q8N4J0_IDR_1_56",1
"Q8N4L1_IDR_403_440",1
"Q8N4L2_IDR_1_50",1
"Q8N4L4_IDR_15_49",0.508350416555151
"Q8N4L4_IDR_63_309",0.491649583444849
"Q8N4L8_IDR_191_307",1
"Q8N4N8_IDR_544_613",0.490442268161218
"Q8N4N8_IDR_84_180",0.509557731838782
"Q8N4P6_IDR_1_53",0.490125106313028
"Q8N4P6_IDR_333_439",0.509874893686972
"Q8N4Q1_IDR_107_142",1
"Q8N4S0_IDR_1_330",1
"Q8N4S9_IDR_1_175",0.470975233505782
"Q8N4S9_IDR_368_436",0.529024766494218
"Q8N4U5_IDR_1_57",1
"Q8N4V2_IDR_513_548",1
"Q8N568_IDR_655_766",0.378818579817217
"Q8N573_IDR_148_203",0.294325061587184
"Q8N573_IDR_1_67",0.346561358120626
"Q8N573_IDR_281_586",0.35911358029219
"Q8N587_IDR_1_45",0.504176215204974
"Q8N587_IDR_52_190",0.495823784795026
"Q8N594_IDR_169_234",0.510881576258614
"Q8N594_IDR_1_72",0.489118423741386
"Q8N5A5_IDR_270_367",0.331202640816319
"Q8N5A5_IDR_369_466",0.330504367206671
"Q8N5A5_IDR_64_126",0.33829299197701
"Q8N5B7_IDR_343_392",1
"Q8N5C6_IDR_1_206",0.631721569161767
"Q8N5C6_IDR_789_819",0.368278430838233
"Q8N5C7_IDR_1_33",0.485309398941405
"Q8N5C7_IDR_165_195",0.514690601058595
"Q8N5C8_IDR_48_533",0.488856833463838
"Q8N5C8_IDR_618_684",0.511143166536162
"Q8N5D0_IDR_479_514",1
"Q8N5F7_IDR_1_308",1
"Q8N5S9_IDR_456_505",0.535791824825923
"Q8N5U0_IDR_229_333",1
"Q8N5U6_IDR_1_136",0.306217950259587
"Q8N5U6_IDR_406_501",0.325041678678703
"Q8N5U6_IDR_603_799",0.36874037106171
"Q8N5V2_IDR_1_236",1
"Q8N5W8_IDR_1_48",1
"Q8N5X7_IDR_1_44",1
"Q8N5Y2_IDR_287_417",0.515321248146775
"Q8N5Y2_IDR_93_168",0.484678751853225
"Q8N608_IDR_1_63",1
"Q8N609_IDR_327_369",1
"Q8N612_IDR_462_730",0.543326018563668
"Q8N612_IDR_835_915",0.456673981436332
"Q8N660_IDR_1_376",1
"Q8N680_IDR_88_345",1
"Q8N684_IDR_13_68",0.528913314811385
"Q8N6L7_IDR_128_170",1
"Q8N6M0_IDR_58_127",1
"Q8N6M6_IDR_104_136",1
"Q8N6M8_IDR_1_66",1
"Q8N6N2_IDR_1_56",1
"Q8N6N3_IDR_1_182",1
"Q8N6P7_IDR_290_398",0.4921940304342
"Q8N6P7_IDR_409_480",0.5078059695658
"Q8N6Q1_IDR_1_222",1
"Q8N6Q8_IDR_231_354",1
"Q8N6R1_IDR_1_34",1
"Q8N6S4_IDR_1_109",1
"Q8N6S5_IDR_1_140",1
"Q8N6T3_IDR_125_400",1
"Q8N6T7_IDR_283_355",1
"Q8N6U8_IDR_223_262",0.341891800473478
"Q8N6U8_IDR_350_455",0.319755854548717
"Q8N6U8_IDR_496_529",0.338352344977805
"Q8N6V9_IDR_1_194",1
"Q8N6W0_IDR_1_41",0.487936267136207
"Q8N7G0_IDR_264_328",0.332712141173937
"Q8N7H5_IDR_363_531",1
"Q8N7J2_IDR_1_671",1
"Q8N7K0_IDR_52_140",1
"Q8N7L0_IDR_89_139",1
"Q8N7M0_IDR_1_60",1
"Q8N7M2_IDR_1_206",1
"Q8N7P1_IDR_1_102",0.483979478690897
"Q8N7P1_IDR_505_536",0.516020521309103
"Q8N7R1_IDR_1_139",0.513924409204369
"Q8N7R1_IDR_144_296",0.486075590795631
"Q8N7R7_IDR_1_139",1
"Q8N7S2_IDR_151_189",1
"Q8N7U6_IDR_1_248",1
"Q8N7X0_IDR_1178_1248",0.147693199710382
"Q8N7X0_IDR_1_41",0.142546697636494
"Q8N7X0_IDR_305_407",0.13872567764046
"Q8N7X0_IDR_524_627",0.148733498466216
"Q8N831_IDR_1_200",1
"Q8N859_IDR_72_215",1
"Q8N865_IDR_244_524",1
"Q8N878_IDR_1_49",0.524666887174486
"Q8N878_IDR_333_499",0.475333112825514
"Q8N883_IDR_552_585",0.498307430859803
"Q8N883_IDR_61_245",0.501692569140197
"Q8N895_IDR_1_308",0.334374532291673
"Q8N895_IDR_372_422",0.329206759933674
"Q8N895_IDR_480_718",0.336418707774654
"Q8N8A6_IDR_13_158",1
"Q8N8B7_IDR_82_168",1
"Q8N8D1_IDR_1_135",1
"Q8N8E2_IDR_1_417",0.477695112062495
"Q8N8E2_IDR_479_541",0.522304887937505
"Q8N8E3_IDR_126_257",1
"Q8N8G2_IDR_106_317",0.455951168503029
"Q8N8G2_IDR_20_76",0.544048831496971
"Q8N8I0_IDR_1_69",1
"Q8N8J6_IDR_53_205",1
"Q8N8J7_IDR_1_69",1
"Q8N8K9_IDR_66_420",1
"Q8N8L2_IDR_1_101",1
"Q8N8L6_IDR_37_73",1
"Q8N8M0_IDR_1_50",1
"Q8N8Q3_IDR_249_282",1
"Q8N8Q8_IDR_1_36",1
"Q8N8Q9_IDR_310_360",1
"Q8N8R5_IDR_1_51",0.470906459970444
"Q8N8R5_IDR_204_247",0.529093540029556
"Q8N8R7_IDR_124_187",1
"Q8N8S7_IDR_116_552",1
"Q8N8U2_IDR_61_245",1
"Q8N8U3_IDR_1_234",0.479698088337136
"Q8N8U3_IDR_397_427",0.520301911662864
"Q8N8V4_IDR_157_233",0.469188456173979
"Q8N8V4_IDR_237_343",0.530811543826021
"Q8N8W4_IDR_264_532",1
"Q8N8Y5_IDR_1_60",1
"Q8N8Z6_IDR_1_33",0.427182504710583
"Q8N8Z6_IDR_416_715",0.572817495289417
"Q8N8Z8_IDR_38_107",1
"Q8N907_IDR_1_82",1
"Q8N912_IDR_1_46",1
"Q8N944_IDR_1_861",1
"Q8N9B5_IDR_587_922",0.294532094270847
"Q8N9B5_IDR_940_988",0.275217175162024
"Q8N9B8_IDR_1_34",1
"Q8N9E0_IDR_75_248",1
"Q8N9F0_IDR_17_75",1
"Q8N9F7_IDR_1_33",1
"Q8N9F8_IDR_67_215",1
"Q8N9H8_IDR_577_610",1
"Q8N9I0_IDR_1_40",0.49055035056848
"Q8N9I0_IDR_88_138",0.50944964943152
"Q8N9I9_IDR_99_160",1
"Q8N9K5_IDR_108_206",0.493945738828442
"Q8N9K5_IDR_1_36",0.506054261171558
"Q8N9L1_IDR_1_63",0.475392478675582
"Q8N9L1_IDR_277_334",0.524607521324418
"Q8N9M1_IDR_107_422",0.539848580227939
"Q8N9M1_IDR_1_49",0.460151419772061
"Q8N9M5_IDR_166_253",1
"Q8N9N5_IDR_126_156",0.327770179050354
"Q8N9N5_IDR_1_47",0.361478663519567
"Q8N9N5_IDR_321_374",0.310751157430079
"Q8N9N8_IDR_111_165",1
"Q8N9Q2_IDR_46_155",1
"Q8N9R6_IDR_49_126",1
"Q8N9R8_IDR_1_50",0.497665168022734
"Q8N9R8_IDR_377_411",0.502334831977266
"Q8N9S9_IDR_384_431",1
"Q8N9Y4_IDR_111_259",0.530585517311149
"Q8N9Z0_IDR_77_172",1
